FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Nathaniel,Chalobah,MID,WAT,4400000,0,12,0.4,9.09090909090909e-08,2.7272727272727298e-06,0,160659,1,7,0,0,0,0,0,2.7,6644,-1,0,12,1,0.0,0,0.0,0,0,3,0,0,1.3,123827,0,0,0,0,429,169,0,0,37,Everton,West Ham,Newcastle,Man Utd,Tottenham,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.6
,Chamberlain,MID,LIV,5700000,1,13,0.4333333333333329,7.60233918128655e-08,2.28070175438596e-06,0,196469,0,13,0,0,0,0,0,2.3,4713,-3,0,13,3,0.2,0,1.0,0,0,0,0,0,1.6,88776,0,0,0,0,409,1840,0,0,97,West Ham,Southampton,Chelsea,Stoke,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,36.7
Calum,Chambers,DEF,ARS,4700000,0,0,0.0,0.0,0.0,0,17725,0,0,0,0,0,0,0,0.0,206,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1693,0,0,0,0,0,22,0,0,0,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Chicharito,FWD,WHU,6900000,9,39,3.9,5.65217391304348e-07,5.65217391304348e-06,0,1376590,3,18,0,0,0,4,0,5.7,41625,-1,0,39,1,0.6,0,4.0,6,0,4,0,0,13.1,1010479,0,0,0,2,829,24410,0,0,126,Liverpool,Watford,Leicester,Everton,Man City,5.4,4.6,5.0,4.2,2.9,3.5,5.4,4.1,5.2,4.0,2.9,5.3,3.0,5.4,5.8,3.4,4.2,2.6,3.4,4.5,4.5,4.1,3.3,5.5,2.1,4.0,3.0,5.8,57.2
Benjamin,Chilwell,DEF,LEI,4300000,6,10,0.33333333333333304,7.75193798449612e-08,2.32558139534884e-06,0,15189,0,4,0,0,0,0,0,2.3,1195,-2,0,10,2,0.5,0,2.3,0,0,1,0,0,0.4,9036,0,0,0,0,278,5013,0,0,57,Stoke,Man City,West Ham,Tottenham,Burnley,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.8
Eric Maxim,Choupo-Moting,MID,STK,5700000,2,39,3.9,6.84210526315789e-07,6.8421052631578906e-06,0,238311,1,19,0,0,0,2,0,6.8,28324,2,0,39,-2,0.5,0,3.0,3,0,2,0,2,6.0,508718,0,0,0,1,828,13462,0,0,89,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,4.7,3.1,3.7,4.7,4.6,3.4,3.6,5.0,4.5,3.5,4.0,5.0,2.3,4.7,3.0,4.1,4.1,3.5,4.0,2.7,5.6,2.6,3.4,3.6,4.3,2.6,5.0,4.8,69.6
Andreas,Christensen,DEF,CHE,5500000,0,13,0.4333333333333329,7.87878787878788e-08,2.36363636363636e-06,0,10946,0,5,0,0,0,0,0,2.4,976,0,0,13,0,0.0,0,0.0,0,0,1,0,0,0.2,9936,0,0,0,0,345,151,0,0,77,Man Utd,West Brom,Liverpool,Swansea,Newcastle,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,11.8
Ciaran,Clark,DEF,NEW,4500000,0,29,4.1,9.111111111111108e-07,6.444444444444439e-06,0,126438,1,6,0,0,0,1,0,6.4,14621,0,0,29,0,0.0,0,0.0,3,0,2,0,0,2.5,189607,0,0,0,1,630,1342,0,0,126,Bournemouth,Man Utd,Watford,West Brom,Chelsea,5.4,2.3,5.1,3.9,4.1,4.8,4.9,2.4,3.5,4.1,5.9,3.6,4.3,2.8,5.5,4.3,5.0,3.6,2.8,4.9,3.9,6.0,2.5,6.1,2.7,6.1,5.2,4.6,23.6
Jordy,Clasie,MID,SOU,4400000,0,0,0.0,0.0,0.0,0,16724,0,0,0,0,0,0,0,0.0,293,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,3943,0,0,0,0,0,15,0,0,0,Burnley,Liverpool,Everton,Man City,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom,Cleverley,MID,WAT,5000000,2,34,3.4,6.8e-07,6.8e-06,0,31033,0,16,0,0,0,1,0,6.8,6765,0,0,34,0,0.9,0,4.7,3,0,3,0,1,1.3,81229,0,0,0,1,873,8034,0,0,156,Everton,West Ham,Newcastle,Man Utd,Tottenham,4.5,3.3,3.4,2.3,1.9,3.6,3.7,3.0,3.1,3.0,2.9,2.5,2.1,3.5,3.5,2.0,3.6,3.9,2.8,2.7,2.7,3.1,2.6,3.5,3.2,3.4,3.3,2.4,43.3
