FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rob,Holding,DEF,ARS,4700000,1,7,0.29166666666666696,6.20567375886525e-08,1.48936170212766e-06,0,82479,1,8,0,0,0,0,0,1.5,2332,-3,0,7,3,0.5,0,2.3,0,0,1,0,0,0.8,13368,0,0,0,0,251,578,0,0,65,Everton,Swansea,Man City,Tottenham,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,10.4
Jose,Holebas,DEF,WAT,5000000,2,25,3.6,7.2e-07,5e-06,0,28939,1,13,0,0,0,0,0,5.0,1355,0,0,25,0,0.7,0,3.7,3,0,2,0,2,0.6,27932,0,0,0,0,630,1436,0,0,135,Chelsea,Stoke,Everton,West Ham,Newcastle,4.7,3.5,3.4,4.5,3.9,2.6,2.5,4.6,5.1,3.7,4.6,2.6,2.2,3.4,2.4,3.3,3.8,2.6,3.8,2.7,3.9,2.8,3.7,3.6,2.6,4.6,4.3,5.0,3.0,3.1,34.7
Mason,Holgate,DEF,EVE,4300000,2,7,0.29166666666666696,6.78294573643411e-08,1.62790697674419e-06,0,58954,0,5,0,0,0,0,0,1.6,2759,-2,1,7,2,0.3,0,1.3,0,0,0,0,0,0.9,34811,0,0,0,0,360,2908,-1,0,40,Arsenal,Leicester,Watford,Crystal Palace,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,19.2
Mark,Hudson,DEF,HUD,4000000,0,0,0.0,0.0,0.0,0,14759,0,0,0,0,0,0,0,0.0,368,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,840,0,0,0,0,0,23,0,0,0,Man Utd,Liverpool,West Brom,Bournemouth,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will,Hughes,MID,WAT,4700000,0,0,0.0,0.0,0.0,0,10234,0,0,0,0,0,0,0,0.0,331,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1212,0,0,0,0,0,140,0,0,0,Chelsea,Stoke,Everton,West Ham,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uwe,Hunemeier,DEF,BHA,3900000,1,1,0.0416666666666667,1.0683760683760699e-08,2.56410256410256e-07,0,198368,0,1,0,0,0,0,0,0.3,10300,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,6.4,171738,0,0,0,0,17,18533,0,0,5,West Ham,Southampton,Swansea,Stoke,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
Robert,Huth,DEF,LEI,4900000,0,0,0.0,0.0,0.0,0,3774,0,0,0,0,0,0,0,0.0,127,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,922,0,0,0,0,0,18,0,0,0,Swansea,Everton,Stoke,Man City,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordon,Ibe,MID,BOU,4900000,1,14,2.0,4.08163265306122e-07,2.8571428571428602e-06,0,23153,0,3,0,0,0,0,0,2.9,2607,-1,0,14,1,0.3,0,1.3,0,0,0,0,2,0.6,26682,0,0,0,0,307,720,0,0,56,Stoke,Chelsea,Newcastle,Huddersfield,Swansea,1.0,1.4,1.1,1.8,1.6,1.5,1.4,1.3,1.0,1.7,1.0,2.5,2.4,1.0,2.8,1.0,1.3,1.9,1.0,1.9,1.1,1.1,1.7,1.2,2.2,1.0,1.3,1.4,1.9,1.2,25.0
Vicente,Iborra,MID,LEI,5800000,2,3,0.125,2.1551724137931002e-08,5.17241379310345e-07,0,6656,0,1,0,0,0,0,0,0.5,159,-2,0,3,2,0.2,0,1.0,0,0,0,0,0,0.1,782,0,0,0,0,135,77,0,0,24,Swansea,Everton,Stoke,Man City,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.3
Zlatan,Ibrahimovic,FWD,MUN,10000000,0,0,0.0,0.0,0.0,0,2918,0,0,0,0,0,0,0,0.0,159,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2617,0,0,0,0,0,113,0,0,0,Huddersfield,Tottenham,Chelsea,Newcastle,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelechi,Iheanacho,FWD,LEI,6700000,1,7,0.29166666666666696,4.35323383084577e-08,1.04477611940299e-06,0,122494,1,4,0,0,0,0,0,1.0,2149,-3,0,7,3,0.1,0,1.0,0,0,0,0,0,0.8,8900,0,0,0,0,198,512,0,0,20,Swansea,Everton,Stoke,Man City,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.9
Giannelli,Imbula,MID,STK,4500000,0,0,0.0,0.0,0.0,0,7172,0,0,0,0,0,0,0,0.0,150,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,940,0,0,0,0,0,1,0,0,0,Bournemouth,Watford,Leicester,Brighton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
