FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Michy,Batshuayi,FWD,CHE,8500000,0,24,1.5,1.7647058823529398e-07,2.82352941176471e-06,0,129501,0,0,0,0,0,1,0,2.8,156,-5,0,24,5,0.0,0,0.3,1,0,0,0,1,0.9,60719,0,0,0,0,110,21,0,0,66,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,0.0,0.8,1.0,1.0,0.8,0.8,1.2,0.8,1.1,0.8,1.4
Asmir,Begovic,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,6324,0,0,0,0,0,0,0,0.0,59,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1611,0,150,0,0,0,21,0,0,0,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,2,41,1.9,4.2222222222222205e-07,9.11111111111111e-06,0,16797,6,29,0,0,0,0,0,9.1,123,0,0,41,0,0.3,0,1.3,0,0,5,0,0,0.2,12733,0,127,0,0,1733,56,0,0,216,Crystal Palace,Sunderland,West Brom,Tottenham,Swansea,0.0,1.1,2.0,1.4,1.0,1.4,1.2,1.0,1.1,1.0,1.0
Hector,Bellerin,DEF,ARS,6500000,1,79,3.8,5.84615384615385e-07,1.2153846153846199e-05,0,992367,1,24,0,0,0,0,0,12.2,4521,0,0,79,0,0.5,0,3.5,10,0,7,0,3,13.8,367259,0,541,0,1,1704,698,0,0,371,West Brom,Man City,West Ham,Crystal Palace,Middlesbrough,0.0,4.2,4.3,5.3,4.7,3.7,4.3,3.2,3.6,4.1,4.5
Yohan,Benalouane,DEF,LEI,4000000,0,0,0.0,0.0,0.0,0,8263,0,0,0,0,0,0,0,0.0,33,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,1789,0,15,0,0,0,39,0,0,0,West Ham,Stoke,Sunderland,Everton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,4316,0,0,0,0,0,0,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,519,0,29,0,0,0,5,0,0,0,Southampton,Burnley,Swansea,Watford,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saido,Berahino,FWD,STK,6000000,3,12,0.148148148148148,2.46913580246914e-08,2e-06,0,57744,1,2,0,0,0,0,0,2.0,2858,-5,0,12,5,0.2,0,1.0,0,0,3,0,0,0.5,30087,0,226,0,0,421,162,0,0,15,Chelsea,Leicester,Burnley,Liverpool,Hull City,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,92,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,43,0,55,0,0,0,0,0,0,0,Crystal Palace,Sunderland,West Brom,Tottenham,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo,DEF,MID,4300000,1,22,0.271604938271605,6.31639391329314e-08,5.11627906976744e-06,0,2291,2,10,0,0,0,0,0,5.1,602,-2,0,22,2,0.9,0,4.0,3,0,2,0,0,0.1,6289,0,0,0,0,713,1090,0,0,131,Man Utd,Swansea,Hull City,Burnley,Arsenal,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ryan,Bertrand,DEF,SOU,5400000,1,83,4.6,8.51851851851852e-07,1.53703703703704e-05,0,82341,2,23,0,0,0,1,0,15.4,4745,-1,0,83,1,1.4,0,7.5,8,0,8,0,4,2.0,120591,0,415,0,2,1607,6224,0,0,371,Tottenham,Bournemouth,Crystal Palace,West Brom,Man City,0.0,4.1,6.8,6.3,5.3,5.7,4.6,6.7,5.3,4.7,6.7
Muhamed,Besic,MID,EVE,4300000,0,0,0.0,0.0,0.0,0,1316,0,0,0,0,0,0,0,0.0,28,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,665,0,75,0,0,0,33,0,0,0,West Brom,Hull City,Liverpool,Man Utd,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
