FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Giannelli,Imbula,MID,STK,4500000,0,0,0.0,0.0,0.0,0,6134,0,0,0,0,0,0,0,0.0,831,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,916,0,0,0,0,0,11,0,0,0,Chelsea,Southampton,Man City,Bournemouth,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom,Ince,MID,HUD,5900000,2,13,2.6,4.4067796610169497e-07,2.20338983050847e-06,0,50009,0,3,0,0,0,0,0,2.2,9686,-1,1,13,1,0.4,0,2.3,0,0,3,0,0,1.0,20662,0,0,0,0,450,1323,-1,0,49,Burnley,Tottenham,Swansea,Man Utd,Liverpool,1.9,1.4,3.8,1.8,1.3,2.1,2.0,1.7,1.6,2.4,2.2,2.4,2.9,2.4,2.9,2.3,1.7,3.9,1.3,3.1,1.3,3.4,1.6,2.5,2.3,3.0,2.0,1.6,1.4,2.0,3.7,1.6,3.7,34.7
Danny,Ings,FWD,LIV,5400000,0,0,0.0,0.0,0.0,0,2756,0,0,0,0,0,0,0,0.0,368,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,970,0,0,0,0,0,168,0,0,0,Leicester,Newcastle,Man Utd,Tottenham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,Iwobi,MID,ARS,5100000,3,4,0.266666666666667,5.22875816993464e-08,7.843137254901959e-07,0,114378,0,0,0,0,0,0,0,0.8,4648,-4,1,4,4,0.2,0,1.0,0,0,1,0,0,0.7,5849,0,0,0,0,90,3068,-1,0,20,West Brom,Brighton,Watford,Everton,Swansea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,5.5
,Izquierdo,MID,BHA,6000000,1,2,0.133333333333333,2.2222222222222204e-08,3.3333333333333304e-07,0,1023,0,0,0,0,0,0,0,0.3,324,0,0,2,0,0.1,0,0.7,0,0,0,0,0,0.0,1746,0,0,0,0,23,132,0,0,6,Newcastle,Arsenal,Everton,West Ham,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4
Phil,Jagielka,DEF,EVE,5000000,0,10,2.5,5e-07,2e-06,0,139775,0,7,0,0,0,0,0,2.0,32778,0,0,10,0,0.1,0,0.3,1,0,1,0,0,6.0,78798,0,0,0,0,352,11068,0,0,73,Bournemouth,Burnley,Brighton,Arsenal,Leicester,3.1,2.3,2.1,3.1,1.2,2.4,2.9,2.5,3.8,2.7,1.2,1.6,1.8,2.5,2.2,1.4,2.1,3.2,3.2,2.4,1.2,3.6,3.5,1.5,3.2,1.4,1.5,3.3,2.9,2.6,1.5,2.4,1.2,8.9
Eldin,Jakupovic,GLK,LEI,4400000,0,0,0.0,0.0,0.0,0,4893,0,0,0,0,0,0,0,0.0,723,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,363,0,0,0,0,0,73,0,0,0,Liverpool,Bournemouth,West Brom,Swansea,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matty,James,MID,LEI,4500000,0,8,2.0,4.44444444444444e-07,1.77777777777778e-06,0,14188,1,6,0,0,0,0,0,1.8,4262,0,0,8,0,0.2,0,1.0,0,0,1,0,0,0.4,16134,0,0,0,0,338,164,0,0,35,Liverpool,Bournemouth,West Brom,Swansea,Everton,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.0,1.0,1.6,1.1,1.3,2.2,1.3,1.7,1.0,1.8,1.1,1.0,1.3,1.6,1.0,2.1,2.5,1.0,2.8,1.0,1.8,1.0,1.3,1.5,3.0,1.4,7.3
Daryl,Janmaat,DEF,WAT,4900000,-1,7,0.46666666666666706,9.52380952380952e-08,1.4285714285714301e-06,0,9357,0,6,0,0,0,1,0,1.4,864,-1,0,7,1,0.4,0,2.0,0,0,0,0,0,0.2,3064,0,0,0,0,135,821,0,0,34,Swansea,West Brom,Arsenal,Chelsea,Stoke,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,9.4
Vincent,Janssen,FWD,TOT,7400000,0,1,1.0,1.35135135135135e-07,1.35135135135135e-07,0,7347,0,0,0,0,0,0,0,0.1,755,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.1,878,0,0,0,0,1,4,0,0,2,West Ham,Huddersfield,Bournemouth,Liverpool,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
