FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Lamine,Kone,DEF,SUN,4400000,0,19,1.7,3.8636363636363604e-07,4.31818181818182e-06,0,64094,1,19,0,0,0,0,0,4.3,1009,-1,0,19,1,0.6,0,2.7,0,0,1,0,0,1.2,17239,0,176,0,0,990,865,0,0,153,Leicester,Swansea,Chelsea,Watford,Man Utd,1.3,1.1,1.2,1.4,0.8,0.8,2.3,1.7,1.1,1.5,1.3,1.6,0.8,1.1,1.1,1.7,1.1,0.8,1.0,2.2,1.8,1.9,1.2,1.2,0.8
Dimitrios,Konstantopoulos,GLK,MID,4200000,0,0,0.0,0.0,0.0,0,5232,0,0,0,0,0,0,0,0.0,117,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,444,0,0,0,0,0,26,0,0,0,Hull City,Southampton,Liverpool,Swansea,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laurent,Koscielny,DEF,ARS,6600000,2,58,4.8,7.27272727272727e-07,8.78787878787879e-06,0,154914,1,9,0,0,0,2,0,8.8,16003,6,0,58,-6,0.3,0,1.7,8,0,4,0,0,21.7,721551,0,493,0,2,1080,21483,0,0,295,West Ham,Stoke,Everton,Man City,West Brom,6.3,5.9,5.1,5.3,5.9,5.9,6.0,6.1,6.5,5.8,5.2,5.9,6.1,6.1,5.5,6.3,4.9,6.6,6.7,6.1,5.5,5.7,4.7,6.8,6.4
Cheikhou,Kouyate,MID,WHU,5100000,2,28,2.2,4.313725490196079e-07,5.49019607843137e-06,0,77943,1,24,0,0,0,0,0,5.5,1075,-4,0,28,4,0.4,0,2.0,0,0,3,0,0,1.0,17618,0,498,0,0,1170,329,0,0,169,Arsenal,Liverpool,Burnley,Hull City,Swansea,1.1,1.1,2.3,1.7,1.5,1.4,1.9,1.5,1.7,1.3,1.2,1.6,1.4,1.3,1.1,2.5,1.4,1.1,1.6,1.8,2.1,1.5,1.6,1.2,1.2
Dusan,Kuciak,GLK,HUL,4000000,0,0,0.0,0.0,0.0,0,3483,0,0,0,0,0,0,0,0.0,145,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.3,6433,0,0,0,0,0,99,0,0,0,Middlesbrough,Crystal Palace,Tottenham,West Ham,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olayinka Fredrick Oladotun,Ladapo,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,918,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,774,0,0,0,0,0,2,0,0,0,Southampton,Hull City,Man Utd,Chelsea,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel,Lafferty,DEF,BUR,4000000,0,0,0.0,0.0,0.0,0,19726,0,0,0,0,0,0,0,0.0,309,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,2921,0,0,0,0,0,12,0,0,0,Stoke,Bournemouth,West Ham,Tottenham,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam,Lallana,MID,LIV,7000000,0,59,1.5128205128205099,2.16117216117216e-07,8.428571428571429e-06,0,585192,1,12,0,0,0,3,0,8.3,39782,0,1,59,0,0.6,0,4.0,8,0,2,0,5,7.4,614552,0,416,0,2,766,12830,-1,0,229,Bournemouth,West Ham,Middlesbrough,Everton,Stoke,0.0,0.9,0.8,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.8,0.9,0.8,0.8,1.3,0.8,1.2,1.2,0.8,0.8,0.8,0.8,1.0,0.8,1.0
Rickie,Lambert,FWD,WBA,5400000,0,1,1.0,1.85185185185185e-07,1.85185185185185e-07,0,7728,0,0,0,0,0,0,0,0.2,40,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.1,1161,0,72,0,0,13,5,0,0,3,Watford,Chelsea,Swansea,Man Utd,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik,Lamela,MID,TOT,6600000,0,28,0.7179487179487181,1.08780108780109e-07,4.24242424242424e-06,0,508038,1,2,0,0,0,1,0,4.2,6153,-4,1,28,4,0.0,1,0.0,4,0,4,0,1,4.2,301522,0,519,0,0,595,97,-1,0,93,Swansea,Man Utd,Hull City,Burnley,Southampton,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Manuel,Lanzini,MID,WHU,6400000,2,41,1.05128205128205,1.64262820512821e-07,6.40625e-06,0,16018,1,16,0,0,0,3,0,6.4,1090,-1,0,41,1,0.7,0,4.3,5,0,3,0,0,0.3,23230,0,381,0,1,745,1473,0,0,182,Arsenal,Liverpool,Burnley,Hull City,Swansea,0.5,0.5,0.7,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5
Sebastian,Larsson,MID,SUN,4700000,0,0,0.0,0.0,0.0,0,813,0,0,0,0,0,0,0,0.0,10,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.0,165,0,58,0,0,0,18,0,0,0,Leicester,Swansea,Chelsea,Watford,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant,Leadbitter,MID,MID,4800000,0,2,0.0512820512820513,1.0683760683760699e-08,4.1666666666666704e-07,0,432,0,0,0,0,0,0,0,0.4,17,-2,0,2,2,0.1,0,0.3,0,0,0,0,0,0.0,184,0,0,0,0,30,8,0,0,6,Hull City,Southampton,Liverpool,Swansea,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Ledley,MID,CRY,4500000,0,22,0.564102564102564,1.25356125356125e-07,4.88888888888889e-06,0,26305,0,12,0,0,0,1,0,4.9,1173,0,0,22,0,0.1,0,0.3,1,0,1,0,0,0.6,21083,0,121,0,0,577,144,0,0,107,Southampton,Hull City,Man Utd,Chelsea,Watford,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Lee Chung-yong,MID,CRY,4400000,0,18,0.46153846153846206,1.04895104895105e-07,4.09090909090909e-06,0,13032,0,6,0,0,0,0,0,4.1,302,-1,0,18,1,0.1,0,0.3,0,0,2,0,1,0.2,12656,0,56,0,0,287,91,0,0,76,Southampton,Hull City,Man Utd,Chelsea,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jonathan,Leko,MID,WBA,4300000,0,8,0.20512820512820498,4.77042337507454e-08,1.86046511627907e-06,0,21814,0,2,0,0,0,0,0,1.9,661,-2,0,8,2,0.0,0,0.0,0,0,0,0,1,0.4,19065,0,28,0,0,86,142,0,0,27,Watford,Chelsea,Swansea,Man Utd,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Brian,Lenihan,DEF,HUL,3900000,0,0,0.0,0.0,0.0,0,46883,0,0,0,0,0,0,0,0.0,1886,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,1.6,51943,0,0,0,0,0,2089,0,0,0,Middlesbrough,Crystal Palace,Tottenham,West Ham,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron,Lennon,MID,EVE,5600000,2,7,0.179487179487179,3.2051282051282105e-08,1.25e-06,0,11332,0,3,0,0,0,0,0,1.3,102,-4,0,7,4,0.3,0,1.7,0,0,0,0,0,0.2,1438,0,278,0,0,179,52,0,0,37,Man Utd,Watford,Arsenal,Liverpool,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jeremain,Lens,MID,SUN,5900000,0,2,1.0,1.6949152542372902e-07,3.3898305084745803e-07,0,2399,0,1,0,0,0,0,0,0.3,9,-1,0,2,1,0.0,0,0.0,0,0,0,0,0,0.0,166,0,180,0,0,69,3,0,0,12,Leicester,Swansea,Chelsea,Watford,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesse,Lingard,MID,MUN,5700000,2,17,0.43589743589743607,7.64732343679712e-08,2.98245614035088e-06,0,37360,0,7,0,0,0,0,0,3.0,735,-3,0,17,3,0.2,0,1.0,0,0,2,0,1,0.4,10624,0,318,0,0,418,573,0,0,76,Everton,Tottenham,Crystal Palace,West Brom,Sunderland,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jake,Livermore,MID,HUL,4800000,2,25,1.9,3.9583333333333297e-07,5.20833333333333e-06,0,4655,1,28,0,0,0,0,0,5.2,123,-2,0,25,2,0.4,0,2.0,0,0,1,0,1,0.1,2589,0,0,0,0,1119,82,0,1,178,Middlesbrough,Crystal Palace,Tottenham,West Ham,Man City,1.5,1.0,1.0,1.0,1.0,1.5,1.1,1.5,1.0,1.3,1.0,1.0,1.7,1.2,1.2,1.0,1.2,1.3,1.0,1.3,1.3,1.0,1.9,1.2,1.1
Fernando,Llorente,FWD,SWA,6100000,15,39,3.9,6.39344262295082e-07,6.39344262295082e-06,0,140073,0,19,0,0,0,3,0,6.4,1488,-4,0,39,4,0.9,0,5.3,4,0,1,0,2,1.4,81595,0,0,0,1,723,9151,0,0,125,Tottenham,Sunderland,West Brom,Middlesbrough,West Ham,3.9,5.0,4.4,4.7,5.0,4.7,5.3,3.7,4.2,4.3,4.8,5.2,3.6,5.2,5.3,3.6,3.9,4.4,4.7,4.3,4.0,4.1,4.9,4.6,4.1
