FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Ederson,GLK,MCI,5500000,2,42,3.8,6.90909090909091e-07,7.63636363636364e-06,0,141302,0,7,0,15,0,0,0,7.6,10224,0,0,42,0,0.5,0,3.0,2,0,5,0,0,4.8,137374,0,0,0,0,945,10505,0,0,186,Leicester,Huddersfield,Southampton,West Ham,Man Utd,3.1,4.1,3.8,4.8,2.7,4.0,4.0,4.1,3.7,4.7,4.0,3.4,4.5,5.2,4.2,3.8,2.9,3.6,3.9,4.5,3.0,4.4,4.2,3.3,4.1,5.2,4.7,13.8
,Eduardo,GLK,CHE,4800000,0,0,0.0,0.0,0.0,0,2530,0,0,0,0,0,0,0,0.0,90,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,644,0,0,0,0,0,43,0,0,0,West Brom,Liverpool,Swansea,Newcastle,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas,Edwards,DEF,STK,4000000,0,0,0.0,0.0,0.0,0,595,0,3,0,0,0,0,0,0.0,177,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1684,0,0,0,0,52,447,0,0,12,Brighton,Crystal Palace,Liverpool,Swansea,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
Robert,Elliot,GLK,NEW,4200000,3,40,3.6,8.57142857142857e-07,9.52380952380952e-06,0,171893,0,10,0,26,0,0,0,9.5,23802,2,0,40,-2,1.0,0,4.3,2,0,3,0,0,26.6,686273,0,0,0,2,990,23242,0,0,186,Man Utd,Watford,West Brom,Chelsea,Leicester,2.0,4.1,3.4,3.4,3.9,3.9,2.2,3.3,3.2,4.6,3.1,3.4,2.4,4.2,4.0,4.4,3.5,2.6,3.9,3.4,5.2,2.4,5.1,2.3,5.2,4.5,3.7,20.5
Mohamed,Elneny,MID,ARS,4400000,0,11,1.0,2.2727272727272702e-07,2.5e-06,0,178588,1,5,0,0,0,0,0,2.5,7425,-1,0,11,1,0.0,0,0.0,0,0,1,0,1,2.5,143924,0,0,0,0,263,1573,0,0,54,Tottenham,Burnley,Huddersfield,Man Utd,Southampton,0.5,0.5,0.8,0.6,0.5,0.5,0.7,0.6,0.5,0.5,0.5,0.5,0.8,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.7,0.5,0.6,0.5,14.8
Christian,Eriksen,MID,TOT,9600000,3,63,5.7,5.9375e-07,6.5625e-06,0,771111,0,5,0,0,0,3,0,6.5,110369,1,1,63,-1,0.2,0,2.3,10,0,7,0,3,23.9,1132592,0,0,0,2,923,33263,-1,0,252,Arsenal,West Brom,Leicester,Watford,Stoke,5.3,7.6,6.4,7.3,6.7,6.3,4.8,6.9,6.1,7.7,8.2,8.1,7.4,7.1,5.1,8.4,6.9,7.8,7.7,7.7,7.1,6.4,4.6,6.1,5.3,6.2,7.4,101.3
Jonny,Evans,DEF,WBA,4900000,2,18,2.3,4.6938775510204106e-07,3.6734693877551003e-06,0,37823,3,12,0,0,0,1,0,3.7,2152,-1,0,18,1,0.2,0,1.0,0,0,1,0,0,0.8,33760,0,0,0,0,661,1125,0,0,124,Chelsea,Tottenham,Newcastle,Crystal Palace,Swansea,1.9,1.6,2.5,3.4,1.5,1.2,2.4,1.4,2.0,2.8,1.5,2.5,1.2,1.2,2.0,1.6,2.9,2.3,2.1,1.6,2.2,1.7,1.2,2.6,1.3,2.2,2.5,21.5
Lukasz,Fabianski,GLK,SWA,4600000,2,45,4.1,8.91304347826087e-07,9.78260869565217e-06,0,140908,0,13,0,40,0,0,0,9.8,18036,1,0,45,-1,0.4,0,2.0,3,0,4,0,0,8.0,319856,0,0,0,1,990,3751,0,0,225,Burnley,Bournemouth,Chelsea,Stoke,West Brom,5.0,4.2,5.0,4.7,5.4,3.1,3.7,5.6,4.1,6.1,4.1,4.5,4.9,5.3,3.8,4.2,5.1,5.0,4.9,3.9,3.3,5.0,3.8,3.9,3.7,5.1,4.3,27.7
Cesc,Fabregas,MID,CHE,6900000,3,31,3.1,4.4927536231884096e-07,4.49275362318841e-06,0,479876,0,9,0,0,0,1,0,4.5,17421,-1,0,31,1,0.4,0,2.7,3,0,4,0,1,4.8,299803,0,0,0,1,797,16826,0,1,176,West Brom,Liverpool,Swansea,Newcastle,West Ham,2.6,2.0,2.9,3.1,2.9,2.6,2.2,3.5,2.3,2.5,2.1,2.9,2.5,2.9,3.2,3.1,1.8,1.9,3.3,3.0,2.1,3.1,3.3,3.2,3.9,2.7,2.8,84.5
Adam,Federici,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,102930,0,0,0,0,0,0,0,0.0,4433,0,0,0,0,0.0,0,0.0,0,0,0,0,0,2.9,11790,0,0,0,0,0,317,0,0,0,Huddersfield,Swansea,Burnley,Southampton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
