FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Liam,Rosenior,DEF,BHA,4000000,0,0,0.0,0.0,0.0,0,22578,0,0,0,0,0,0,0,0.0,13394,0,0,0,0,0.0,0,0.0,0,0,0,0,0,2.7,7597,0,0,0,0,0,2992,0,0,0,Watford,West Brom,Bournemouth,Newcastle,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wayne,Routledge,MID,SWA,5500000,1,4,2.0,3.63636363636364e-07,7.27272727272727e-07,0,1218,0,3,0,0,0,0,0,0.7,718,0,0,4,0,0.4,0,2.0,0,0,1,0,0,0.1,602,0,0,0,0,108,152,0,0,5,Crystal Palace,Newcastle,Tottenham,Watford,West Ham,2.4,1.6,2.4,1.0,2.2,1.0,1.3,1.2,1.0,2.8,1.4,2.5,1.2,1.0,1.0,2.1,1.3,1.1,2.0,1.0,2.7,1.1,1.4,1.2,1.0,2.0,1.3,1.4,1.0,1.0,1.4,2.1,2.3,1.0,2.5,3.0,2.6
Antonio,Rudiger,DEF,CHE,6000000,1,1,0.5,8.33333333333333e-08,1.66666666666667e-07,0,27455,2,4,0,0,0,0,0,0.2,11726,0,0,1,0,0.1,0,0.5,0,0,0,0,0,2.3,2648,0,0,0,0,180,1221,0,0,16,Everton,Leicester,Arsenal,Stoke,Man City,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.3,4.5
Mathew,Ryan,GLK,BHA,4500000,1,3,1.5,3.3333333333333304e-07,6.66666666666667e-07,0,3660,0,4,0,5,0,0,0,0.7,2334,0,0,3,0,0.3,0,1.5,0,0,0,0,0,0.7,1404,0,0,0,0,180,382,0,0,26,Watford,West Brom,Bournemouth,Newcastle,Arsenal,1.5,1.3,1.1,1.4,0.8,0.9,0.8,0.8,1.6,2.2,0.8,2.0,1.2,0.8,2.2,0.8,0.8,1.2,1.4,1.1,1.3,0.8,0.8,0.8,0.8,0.9,1.2,0.8,1.4,1.0,0.8,2.0,1.6,1.5,0.8,0.8,2.9
Abdelhamid,Sabiri,MID,HUD,5000000,0,0,0.0,0.0,0.0,0,13,0,0,0,0,0,0,0,0.0,13,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,45,0,0,0,0,0,45,0,0,0,Southampton,West Ham,Leicester,Burnley,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henri,Saivet,MID,NEW,4500000,0,0,0.0,0.0,0.0,0,487,0,0,0,0,0,0,0,0.0,487,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,920,0,0,0,0,0,920,0,0,0,West Ham,Swansea,Stoke,Brighton,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diafra,Sakho,FWD,WHU,5500000,4,5,2.5,4.54545454545455e-07,9.09090909090909e-07,0,1396,0,3,0,0,0,0,0,0.9,866,0,0,5,0,0.5,0,2.5,0,0,0,0,1,0.2,2520,0,0,0,0,52,2065,0,0,9,Newcastle,Huddersfield,West Brom,Tottenham,Swansea,2.9,1.5,1.3,1.4,1.6,3.5,3.4,2.4,2.7,2.4,3.0,1.2,2.5,1.8,3.8,1.2,3.2,2.8,3.0,1.5,1.3,3.0,2.6,3.2,1.4,1.2,2.7,2.1,1.5,2.0,2.2,3.8,2.1,1.5,1.3,2.7,3.0
Mamadou,Sakho,DEF,LIV,4900000,0,0,0.0,0.0,0.0,0,1438,0,0,0,0,0,0,0,0.0,604,-1,1,0,1,0.0,0,0.0,0,0,0,0,0,0.1,260,0,0,0,0,0,111,-1,0,0,Arsenal,Man City,Burnley,Leicester,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakary,Sako,MID,CRY,5000000,0,0,0.0,0.0,0.0,0,1394,0,0,0,0,0,0,0,0.0,507,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,45,0,0,0,0,0,19,0,0,0,Swansea,Burnley,Southampton,Man City,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed,Salah,MID,LIV,9000000,1,12,6.0,6.66666666666667e-07,1.33333333333333e-06,0,227897,0,2,0,0,0,1,0,1.3,210151,0,1,12,0,0.7,0,6.0,1,0,0,0,1,24.7,221115,0,0,0,1,114,27455,-1,0,26,Arsenal,Man City,Burnley,Leicester,Newcastle,9.0,7.0,7.5,3.5,6.0,5.8,7.3,7.5,5.7,8.3,8.4,3.5,6.0,9.0,7.4,6.0,3.6,8.0,9.0,8.3,7.0,8.0,4.3,5.8,4.6,9.0,9.0,3.0,5.9,6.0,4.8,9.0,4.2,9.0,6.9,9.0,13.3
