FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Jonathan,Hogg,MID,HUD,4400000,2,21,1.05,2.38636363636364e-07,4.77272727272727e-06,0,29009,2,18,0,0,0,0,0,4.8,801,-1,0,21,1,0.2,0,0.8,0,0,3,0,0,0.3,39800,0,0,0,0,930,368,0,1,177,Burnley,Leicester,West Ham,Stoke,Liverpool,0.6,0.5,0.7,0.5,0.5,0.5,0.7,0.5,0.5,0.7,0.6,0.5,0.5,0.5,0.5,0.8,0.5,0.6,26.0
Pierre-Emile,H?jbjerg,MID,SOU,4300000,1,11,0.55,1.27906976744186e-07,2.55813953488372e-06,0,25519,1,9,0,0,0,0,0,2.6,1019,-2,0,11,2,0.2,0,1.0,0,0,0,0,0,0.4,25706,0,0,0,0,428,606,0,0,80,Man Utd,Crystal Palace,Watford,Tottenham,Brighton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,16.6
Rob,Holding,DEF,ARS,4500000,0,8,0.4,8.888888888888891e-08,1.77777777777778e-06,0,97957,1,8,0,0,0,0,0,1.8,692,-5,0,8,5,0.0,0,0.0,0,0,1,0,0,0.6,15905,0,0,0,0,263,243,0,0,68,West Brom,Chelsea,Bournemouth,Crystal Palace,Swansea,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,10.7
Jose,Holebas,DEF,WAT,4900000,0,35,2.3,4.6938775510204106e-07,7.142857142857139e-06,0,55047,3,28,0,0,0,0,0,7.1,1884,-1,0,35,1,0.2,0,0.8,3,0,2,0,3,0.5,48569,0,0,0,0,1211,1236,0,0,214,Swansea,Man City,Southampton,Leicester,Stoke,1.7,1.7,1.9,1.6,2.0,2.1,2.3,1.6,2.3,1.5,1.7,1.7,2.0,1.7,3.1,1.7,1.8,1.4,69.7
Mason,Holgate,DEF,EVE,4300000,6,33,1.65,3.8372093023255796e-07,7.674418604651159e-06,0,100092,2,7,0,0,0,0,0,7.9,4684,-2,-1,33,2,0.8,0,3.3,0,0,4,0,0,2.2,146989,0,0,0,0,900,26294,1,0,161,Bournemouth,Man Utd,Tottenham,West Brom,Leicester,0.8,1.3,0.8,1.6,1.1,0.8,2.4,1.3,1.0,1.8,1.0,1.0,1.3,0.8,1.2,0.8,1.4,1.1,36.6
Mark,Hudson,DEF,HUD,4000000,0,0,0.0,0.0,0.0,0,17416,0,0,0,0,0,0,0,0.0,181,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,1091,0,0,0,0,0,18,0,0,0,Burnley,Leicester,West Ham,Stoke,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callum,Hudson-Odoi,MID,CHE,4500000,0,0,0.0,0.0,0.0,0,20,0,0,0,0,0,0,0,0.0,15,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,35,0,0,0,0,0,26,0,0,0,Stoke,Arsenal,Leicester,Brighton,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will,Hughes,MID,WAT,4600000,0,26,1.3,2.82608695652174e-07,5.65217391304348e-06,0,64307,0,6,0,0,0,2,0,5.7,2857,-4,0,26,4,0.0,0,0.0,3,0,2,0,1,0.3,64018,0,0,0,1,323,133,0,0,89,Swansea,Man City,Southampton,Leicester,Stoke,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.8,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.7,0.6,30.3
Uwe,Hunemeier,DEF,BHA,3900000,0,1,0.05,1.28205128205128e-08,2.56410256410256e-07,0,324744,0,1,0,0,0,0,0,0.3,10993,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,6.4,292829,0,0,0,0,17,4097,0,0,5,Newcastle,Bournemouth,West Brom,Chelsea,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
Robert,Huth,DEF,LEI,4800000,0,0,0.0,0.0,0.0,0,4676,0,0,0,0,0,0,0,0.0,62,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,1218,0,0,0,0,0,27,0,0,0,Liverpool,Huddersfield,Chelsea,Watford,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
