FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Loris,Karius,GLK,LIV,4800000,0,12,0.6,1.25e-07,2.5e-06,0,6341,0,0,0,1,0,0,0,2.5,217,-2,0,12,2,0.2,0,1.0,0,0,2,0,0,0.2,2505,0,0,0,0,180,58,0,0,48,Leicester,Burnley,Man City,Swansea,Huddersfield,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,1.4
Orestis,Karnezis,GLK,WAT,4500000,0,0,0.0,0.0,0.0,0,449,0,3,0,0,0,0,0,0.0,24,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,554,0,0,0,0,31,17,0,0,4,Swansea,Man City,Southampton,Leicester,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Beram,Kayal,MID,BHA,4400000,2,5,0.25,5.68181818181818e-08,1.13636363636364e-06,0,5162,0,3,0,0,0,0,0,1.1,102,-1,0,5,1,0.2,0,0.8,0,0,0,0,0,0.1,2271,0,0,0,0,156,127,0,0,17,Newcastle,Bournemouth,West Brom,Chelsea,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.8
Michael,Keane,DEF,EVE,5300000,8,33,2.4,4.52830188679245e-07,6.2264150943396205e-06,0,518251,2,24,0,0,0,0,0,6.2,3015,-2,0,33,2,0.5,0,2.5,5,0,3,0,0,5.0,143258,0,0,0,0,1164,11036,0,0,239,Bournemouth,Man Utd,Tottenham,West Brom,Leicester,1.5,2.3,1.5,2.7,2.0,1.3,3.5,2.3,1.8,3.1,1.8,1.8,2.3,1.5,2.2,1.5,2.4,2.0,36.4
Martin,Kelly,DEF,CRY,4200000,1,16,0.8,1.9047619047619e-07,3.80952380952381e-06,0,14358,0,6,0,0,0,0,0,3.8,1132,-3,0,16,3,0.6,0,2.7,1,0,2,0,0,0.3,12516,0,0,0,0,398,1261,0,0,80,Man City,Southampton,Burnley,Arsenal,West Ham,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.5,11.2
,Kenedy,MID,CHE,4700000,0,0,0.0,0.0,0.0,0,2761,0,0,0,0,0,0,0,0.0,61,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.0,1003,0,0,0,0,0,34,0,0,0,Stoke,Arsenal,Leicester,Brighton,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonjoe,Kenny,DEF,EVE,4600000,6,44,3.4,7.391304347826091e-07,9.56521739130435e-06,0,36909,2,17,0,0,0,0,0,9.8,9135,1,-1,44,-1,1.0,0,4.8,2,0,5,0,2,7.1,412076,0,0,0,1,1094,123314,1,0,254,Bournemouth,Man Utd,Tottenham,West Brom,Leicester,2.7,3.9,2.7,4.5,3.4,2.3,5.0,3.9,3.1,4.9,3.1,3.2,3.8,2.7,3.8,2.6,4.0,3.5,45.4
,Ki Sung-yueng,MID,SWA,4900000,0,18,1.8,3.6734693877551e-07,3.6734693877551003e-06,0,1471,1,11,0,0,0,0,0,3.7,89,-1,0,18,1,0.2,0,1.2,0,0,2,0,0,0.0,1331,0,0,0,0,712,10,0,0,102,Watford,Tottenham,Newcastle,Liverpool,Arsenal,0.0,1.1,1.2,1.0,1.4,1.0,1.2,0.9,1.4,1.0,1.2,0.9,1.0,1.7,0.9,1.1,1.2,1.2,25.7
,Kiko Femenia,DEF,WAT,4500000,0,51,3.4,7.555555555555559e-07,1.1333333333333302e-05,0,394306,2,22,0,0,0,0,0,11.3,26334,0,0,51,0,0.1,0,0.3,9,0,5,0,1,2.5,482005,0,0,0,1,1214,161,0,0,298,Swansea,Man City,Southampton,Leicester,Stoke,0.0,3.1,3.5,3.0,3.7,3.8,4.0,2.9,4.0,2.8,3.1,3.2,3.6,3.2,4.6,3.2,3.3,2.8,50.7
Andy,King,MID,LEI,4200000,1,23,1.15,2.7380952380952395e-07,5.47619047619048e-06,0,235420,1,12,0,0,0,1,0,5.5,14384,-3,0,23,3,0.4,0,1.5,1,0,0,0,1,3.4,341272,0,0,0,0,533,23124,0,0,83,Liverpool,Huddersfield,Chelsea,Watford,Everton,0.6,0.8,0.6,0.6,0.6,0.8,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,21.6
Joshua,King,FWD,BOU,7000000,5,48,2.8,4e-07,6.85714285714286e-06,0,315171,1,20,0,0,0,2,0,6.9,3084,-5,0,48,5,0.3,0,2.0,2,0,4,0,2,1.2,84874,0,0,0,0,1427,5481,0,0,158,Everton,Brighton,Arsenal,West Ham,Chelsea,0.0,2.2,2.8,2.1,1.6,3.4,2.2,3.0,2.5,2.6,3.1,2.6,3.1,1.9,2.8,2.5,2.8,2.1,105.4
Stephen,Kingsley,DEF,SWA,4500000,0,0,0.0,0.0,0.0,0,5764,0,0,0,0,0,0,0,0.0,32,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,206,0,0,0,0,0,2,0,0,0,Watford,Tottenham,Newcastle,Liverpool,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davy,Klaassen,MID,EVE,7000000,0,4,0.2,2.85714285714286e-08,5.714285714285711e-07,0,81557,0,4,0,0,0,0,0,0.6,250,-5,0,4,5,0.0,0,0.0,0,0,0,0,0,0.3,5193,0,0,0,0,187,66,0,0,10,Bournemouth,Man Utd,Tottenham,West Brom,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.8
Ragnar,Klavan,DEF,LIV,4400000,6,49,2.45,5.568181818181819e-07,1.11363636363636e-05,0,65670,0,12,0,0,0,0,0,11.1,8256,-1,-1,49,1,0.9,0,4.0,4,0,6,0,0,2.4,163944,0,0,0,1,1080,26890,1,0,264,Leicester,Burnley,Man City,Swansea,Huddersfield,2.0,1.9,1.8,1.6,1.6,2.4,2.0,3.1,2.3,1.3,2.7,2.9,1.2,2.2,2.0,2.5,2.0,3.1,27.8
Anthony,Knockaert,MID,BHA,5600000,1,51,2.7,4.821428571428571e-07,9.107142857142861e-06,0,106576,3,13,0,0,0,1,0,9.1,1847,-4,0,51,4,0.3,0,1.7,5,0,7,0,1,0.6,42194,0,0,0,0,1336,324,0,0,220,Newcastle,Bournemouth,West Brom,Chelsea,Southampton,2.0,2.9,1.8,2.4,1.8,2.9,1.6,3.1,2.8,2.0,1.4,2.5,3.2,1.6,2.3,1.7,2.3,1.4,81.4
Aleksandar,Kolarov,DEF,MCI,5500000,0,0,0.0,0.0,0.0,0,2068,0,0,0,0,0,0,0,0.0,21,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,124,0,0,0,0,0,6,0,0,0,Crystal Palace,Watford,Liverpool,Newcastle,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sead,Kolasinac,DEF,ARS,6000000,1,77,4.8,8e-07,1.28333333333333e-05,0,856479,1,18,0,0,0,1,0,12.8,48542,0,0,77,0,0.1,0,0.7,6,0,7,0,4,11.2,804822,0,0,0,1,1387,29657,0,0,340,West Brom,Chelsea,Bournemouth,Crystal Palace,Swansea,4.8,6.9,4.1,7.2,4.1,5.9,4.1,5.6,4.8,6.9,3.8,6.8,6.7,4.4,7.2,3.5,6.8,4.0,84.8
Vincent,Kompany,DEF,MCI,5800000,1,24,2.7,4.6551724137931004e-07,4.13793103448276e-06,0,261742,4,4,0,0,0,0,0,4.1,4309,-2,0,24,2,0.2,0,1.3,0,0,3,0,0,1.9,73576,0,0,0,0,674,1142,0,0,148,Crystal Palace,Watford,Liverpool,Newcastle,West Brom,0.0,2.8,2.1,2.4,2.9,2.6,2.1,1.9,2.7,2.6,3.3,1.7,2.4,2.2,2.3,2.8,2.9,2.6,26.1
Laurent,Koscielny,DEF,ARS,6000000,1,67,3.9,6.5e-07,1.11666666666667e-05,0,72211,3,20,0,0,0,0,0,11.2,9322,0,0,67,0,0.6,0,3.5,11,0,8,0,0,2.4,133365,0,0,0,2,1524,12760,0,0,387,West Brom,Chelsea,Bournemouth,Crystal Palace,Swansea,3.5,5.3,2.9,5.8,2.9,4.4,3.0,4.1,3.7,5.4,2.7,5.2,5.1,3.2,5.8,2.5,5.2,2.9,59.7
Cheikhou,Kouyate,MID,WHU,5000000,2,40,2.7,5.4e-07,8e-06,0,50626,2,26,0,0,0,2,0,8.0,706,0,0,40,0,0.1,0,0.7,2,0,3,0,0,0.2,57451,0,0,0,0,1186,397,0,0,175,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,0.0,4.3,1.8,2.9,2.5,1.5,2.2,1.4,2.3,2.5,2.2,2.5,1.5,2.5,1.4,1.5,1.8,3.2,43.9
Tim,Krul,GLK,BHA,4000000,0,0,0.0,0.0,0.0,0,24410,0,0,0,0,0,0,0,0.0,1203,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.9,58003,0,0,0,0,0,1176,0,0,0,Newcastle,Bournemouth,West Brom,Chelsea,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grzegorz,Krychowiak,MID,WBA,4900000,1,32,2.5,5.102040816326529e-07,6.53061224489796e-06,0,24450,1,18,0,0,0,0,0,6.5,609,-1,0,32,1,0.2,0,1.0,3,0,2,0,2,0.2,30051,0,0,0,0,899,32,0,0,161,Arsenal,West Ham,Brighton,Everton,Man City,2.4,1.5,2.4,1.9,1.2,2.2,1.4,2.8,1.7,2.1,1.9,2.2,2.7,1.2,1.8,1.9,1.9,1.5,32.6
Alexandre,Lacazette,FWD,ARS,10300000,8,82,4.1,3.98058252427184e-07,7.96116504854369e-06,0,1472811,1,16,0,0,0,8,0,8.0,34643,-2,1,82,2,0.4,0,4.0,3,0,8,0,4,9.4,1094388,0,0,0,1,1344,25250,-1,0,322,West Brom,Chelsea,Bournemouth,Crystal Palace,Swansea,3.5,4.2,3.9,5.7,3.5,5.5,2.9,4.6,3.2,5.1,3.7,6.1,5.4,3.9,5.5,2.7,4.9,3.2,151.3
Olayinka Fredrick Oladotun,Ladapo,FWD,CRY,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,107288,0,1,0,0,0,0,0,0.2,4285,0,0,1,0,0.0,0,0.0,0,0,0,0,0,1.6,171906,0,0,0,0,16,4219,0,0,3,Man City,Southampton,Burnley,Arsenal,West Ham,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.2
Adam,Lallana,MID,LIV,7300000,1,2,0.1,1.3698630136986298e-08,2.73972602739726e-07,0,35617,1,0,0,0,0,0,0,0.3,313,-2,0,2,2,0.0,0,0.2,0,0,0,0,0,0.3,4601,0,0,0,0,41,259,0,0,6,Leicester,Burnley,Man City,Swansea,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
Erik,Lamela,MID,TOT,6300000,1,11,0.55,8.73015873015873e-08,1.74603174603175e-06,0,8303,1,4,0,0,0,0,0,1.7,1056,-2,0,11,2,0.2,0,1.3,0,0,1,0,1,0.1,7454,0,0,0,0,156,233,0,0,40,Swansea,West Ham,Everton,Southampton,Man Utd,0.0,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,23.9
Manuel,Lanzini,MID,WHU,6800000,2,51,3.6,5.294117647058821e-07,7.499999999999999e-06,0,91366,2,23,0,0,0,1,0,7.5,11054,-2,0,51,2,0.7,1,4.7,6,0,3,0,5,0.9,71848,0,0,0,1,1128,2660,0,0,254,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,0.0,6.5,2.8,4.3,3.9,2.4,3.4,2.0,3.6,3.8,3.5,3.9,2.5,3.8,2.1,2.5,2.8,4.8,83.6
Jamaal,Lascelles,DEF,NEW,4600000,2,51,3.4,7.391304347826091e-07,1.1086956521739099e-05,0,616414,3,14,0,0,0,2,0,11.1,8818,1,0,51,-1,0.3,0,1.2,4,0,3,0,0,5.6,789645,0,0,0,1,1307,25623,0,0,240,Brighton,Stoke,Swansea,Man City,Burnley,4.7,3.4,3.4,2.9,3.9,4.2,3.6,3.0,2.9,3.8,3.0,4.1,2.8,4.0,2.3,4.2,4.2,4.0,53.0
,Lee Chung-yong,MID,CRY,4300000,0,3,0.15,3.48837209302326e-08,6.976744186046509e-07,0,38234,0,2,0,0,0,0,0,0.7,715,-2,0,3,2,0.0,0,0.0,0,0,0,0,0,0.3,41923,0,0,0,0,109,121,0,0,8,Man City,Southampton,Burnley,Arsenal,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Adam,Legzdins,GLK,BUR,4000000,0,0,0.0,0.0,0.0,0,3112,0,0,0,0,0,0,0,0.0,145,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,7884,0,0,0,0,0,246,0,0,0,Huddersfield,Liverpool,Crystal Palace,Man Utd,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florian,Lejeune,DEF,NEW,4400000,0,17,0.85,1.9318181818181802e-07,3.86363636363636e-06,0,32995,3,21,0,0,0,0,0,3.9,1086,-1,0,17,1,0.2,0,0.8,0,0,1,0,0,0.1,5702,0,0,0,0,1023,12,0,0,173,Brighton,Stoke,Swansea,Man City,Burnley,0.0,0.0,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.4,36.3
Jonathan,Leko,MID,WBA,4500000,0,0,0.0,0.0,0.0,0,4163,0,0,0,0,0,0,0,0.0,32,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,594,0,0,0,0,0,1,0,0,0,Arsenal,West Ham,Brighton,Everton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario,Lemina,MID,SOU,4900000,2,28,1.4,2.85714285714286e-07,5.71428571428571e-06,0,26081,1,18,0,0,0,0,0,5.7,290,-1,0,28,1,0.3,0,1.3,0,0,3,0,0,0.1,21178,0,0,0,0,1005,118,0,0,194,Man Utd,Crystal Palace,Watford,Tottenham,Brighton,0.7,0.8,0.7,0.7,0.9,0.7,0.7,0.7,0.8,0.8,0.9,0.7,0.7,0.7,0.7,0.9,0.8,0.7,38.4
Aaron,Lennon,MID,EVE,5400000,1,27,1.35,2.5e-07,5e-06,0,7445,0,9,0,0,0,0,0,5.0,521,-1,0,27,1,0.4,0,2.3,0,0,3,0,2,0.1,5411,0,0,0,0,637,272,0,0,66,Bournemouth,Man Utd,Tottenham,West Brom,Leicester,0.7,0.7,0.7,1.0,0.8,0.7,0.8,0.7,0.7,0.9,0.7,0.7,0.7,0.7,0.9,0.7,0.8,0.7,18.3
,Lewis Cook,MID,BOU,4300000,1,21,1.05,2.44186046511628e-07,4.88372093023256e-06,0,47505,3,14,0,0,0,0,0,4.9,1752,-2,0,21,2,0.4,0,1.7,0,0,1,0,1,0.9,37975,0,0,0,0,746,1558,0,0,136,Everton,Brighton,Arsenal,West Ham,Chelsea,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.7,0.5,33.1
Anders,Lindegaard,GLK,BUR,4000000,0,0,0.0,0.0,0.0,0,3407,0,0,0,0,0,0,0,0.0,276,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,10073,0,0,0,0,0,658,0,0,0,Huddersfield,Liverpool,Crystal Palace,Man Utd,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor,Lindelof,DEF,MUN,4900000,0,15,0.75,1.53061224489796e-07,3.0612244897959202e-06,0,270822,1,9,0,0,0,0,0,3.1,5685,-6,0,15,6,0.1,0,0.5,1,0,1,0,0,1.2,51180,0,0,0,0,563,2745,0,0,115,Southampton,Everton,Stoke,Burnley,Tottenham,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,16.0
Jesse,Lingard,MID,MUN,6100000,13,76,3.8,6.22950819672131e-07,1.24590163934426e-05,0,83349,0,9,0,0,0,6,0,12.5,13283,1,-1,76,-1,1.3,0,8.0,10,0,1,0,4,10.3,610305,0,0,0,2,741,297856,1,0,229,Southampton,Everton,Stoke,Burnley,Tottenham,4.3,3.4,4.2,2.9,2.3,5.1,3.4,4.0,2.7,3.6,2.8,5.0,2.0,4.8,3.4,4.6,2.5,3.8,89.2
Jake,Livermore,MID,WBA,4800000,3,43,2.3,4.79166666666667e-07,8.95833333333333e-06,0,13664,2,25,0,0,0,0,0,8.8,310,-2,1,43,2,0.5,0,2.3,0,0,5,0,1,0.1,8277,0,0,0,0,1578,166,-1,0,204,Arsenal,West Ham,Brighton,Everton,Man City,2.1,1.3,2.1,1.7,1.2,1.9,1.2,2.4,1.5,1.9,1.6,1.9,2.4,1.2,1.5,1.6,1.7,1.3,49.2
Fernando,Llorente,FWD,TOT,7400000,0,10,0.9,1.21621621621622e-07,1.35135135135135e-06,0,19558,1,1,0,0,0,0,0,1.4,586,-1,0,10,1,0.0,0,0.3,0,0,0,0,0,0.1,14878,0,0,0,0,138,412,0,0,26,Swansea,West Ham,Everton,Southampton,Man Utd,0.0,0.9,0.5,0.4,0.5,0.4,0.5,0.4,0.6,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.5,9.6
Hugo,Lloris,GLK,TOT,5500000,2,69,3.6,6.54545454545455e-07,1.25454545454545e-05,0,439015,0,20,0,45,0,0,0,12.5,18906,0,0,69,0,0.7,0,3.8,2,0,7,0,0,8.2,175994,0,0,0,0,1710,4250,0,0,352,Swansea,West Ham,Everton,Southampton,Man Utd,0.0,8.2,3.6,3.6,4.1,2.9,4.5,4.3,4.6,3.0,4.0,3.6,3.5,3.4,3.7,4.6,3.6,3.6,36.6
Ruben,Loftus-Cheek,MID,CRY,4600000,2,53,3.3,7.173913043478259e-07,1.15217391304348e-05,0,539387,0,24,0,0,0,1,0,11.5,28926,1,0,53,-1,0.8,0,3.7,2,0,3,0,4,8.5,478056,0,0,0,0,1329,24375,0,0,236,Man City,Southampton,Burnley,Arsenal,West Ham,2.0,2.7,3.3,1.9,2.5,3.6,3.0,3.0,3.0,2.3,2.6,2.7,3.0,3.5,2.7,3.2,2.5,3.7,91.7
Jason,Lokilo,MID,CRY,4300000,0,0,0.0,0.0,0.0,0,14861,0,0,0,0,0,0,0,0.0,174,-2,1,0,2,0.0,0,0.0,0,0,0,0,0,0.1,13210,0,0,0,0,0,22,-1,0,0,Man City,Southampton,Burnley,Arsenal,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Lolley,MID,HUD,4300000,1,3,0.15,3.48837209302326e-08,6.976744186046509e-07,0,4704,0,0,0,0,0,0,0,0.7,143,-2,0,3,2,0.1,0,0.5,0,0,0,0,0,0.1,3911,0,0,0,0,60,92,0,0,10,Burnley,Leicester,West Ham,Stoke,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.7
Kevin,Long,DEF,BUR,4000000,5,21,1.05,2.625e-07,5.25e-06,0,146827,0,5,0,0,0,0,0,5.3,8613,0,0,21,0,0.9,0,3.5,4,0,2,0,1,5.8,287993,0,0,0,0,360,73841,0,0,95,Huddersfield,Liverpool,Crystal Palace,Man Utd,Newcastle,0.5,0.5,1.1,0.6,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.5,0.7,0.5,0.5,0.9,0.5,0.5,15.1
Shane,Long,FWD,SOU,5600000,1,24,1.7,3.0357142857142897e-07,4.28571428571429e-06,0,39388,4,15,0,0,0,0,0,4.3,793,-4,0,24,4,0.0,0,0.2,0,0,2,0,2,0.3,19862,0,0,0,0,760,1029,0,0,74,Man Utd,Crystal Palace,Watford,Tottenham,Brighton,0.8,1.4,1.2,1.1,1.4,1.1,1.1,0.9,1.6,1.2,1.1,1.0,0.8,0.8,1.2,1.4,1.0,1.0,42.4
Ademola,Lookman,MID,EVE,5100000,0,10,0.5,9.803921568627449e-08,1.96078431372549e-06,0,8503,0,6,0,0,0,0,0,2.0,144,-4,0,10,4,0.1,0,0.3,0,0,0,0,1,0.1,2028,0,0,0,0,153,40,0,0,30,Bournemouth,Man Utd,Tottenham,West Brom,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.5
Jonas,Lossl,GLK,HUD,4600000,3,74,3.7,8.043478260869571e-07,1.60869565217391e-05,0,278097,0,32,0,52,0,0,0,16.1,12103,1,0,74,-1,0.6,0,2.7,5,0,6,0,1,8.5,518263,0,0,1,1,1800,4820,0,0,383,Burnley,Leicester,West Ham,Stoke,Liverpool,4.7,2.7,5.5,3.4,4.4,2.4,4.3,3.4,2.9,4.2,5.6,3.1,3.6,4.9,3.4,4.0,2.8,4.9,45.4
Dejan,Lovren,DEF,LIV,5300000,0,51,3.4,6.41509433962264e-07,9.62264150943396e-06,0,94321,4,13,0,0,0,1,0,9.6,10125,-2,0,51,2,0.7,0,3.8,2,0,6,0,0,1.3,60677,0,0,0,1,1115,5586,0,0,261,Leicester,Burnley,Man City,Swansea,Huddersfield,3.3,3.2,3.1,2.8,2.7,3.9,3.3,4.8,3.7,2.3,4.2,4.1,2.1,3.6,3.3,4.1,3.3,4.8,42.7
Chris,Lowe,DEF,HUD,4500000,2,48,2.8,6.22222222222222e-07,1.06666666666667e-05,0,205478,0,18,0,0,0,0,0,10.7,4694,0,0,48,0,0.4,0,1.7,0,0,6,0,0,2.4,273679,0,0,0,0,1159,1693,0,0,231,Burnley,Leicester,West Ham,Stoke,Liverpool,3.2,1.7,3.8,2.2,3.0,1.5,2.8,2.2,1.8,2.8,4.2,2.0,2.3,3.4,2.2,2.6,1.8,3.3,27.4
Matthew,Lowton,DEF,BUR,4500000,0,53,4.1,9.111111111111108e-07,1.1777777777777802e-05,0,204166,0,10,0,0,0,0,0,11.8,13673,0,0,53,0,0.0,0,0.0,2,0,6,0,1,2.4,269048,0,0,0,0,1170,8172,0,0,234,Huddersfield,Liverpool,Crystal Palace,Man Utd,Newcastle,3.9,4.7,5.1,4.8,4.2,4.0,3.9,5.0,4.3,4.9,5.2,4.5,5.4,4.2,4.5,6.0,3.4,4.6,38.9
Leiva,Lucas,MID,LIV,4500000,0,0,0.0,0.0,0.0,0,1063,0,0,0,0,0,0,0,0.0,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,211,0,0,0,0,0,0,0,0,0,Leicester,Burnley,Man City,Swansea,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romelu,Lukaku,FWD,MUN,11400000,2,98,4.9,4.2982456140350897e-07,8.596491228070179e-06,0,2733702,2,16,0,0,0,10,0,8.6,193216,-1,0,98,1,0.3,1,3.5,10,0,10,0,4,29.4,1731030,0,0,0,2,1800,57162,0,0,347,Southampton,Everton,Stoke,Burnley,Tottenham,6.7,4.5,7.2,4.4,4.2,7.2,5.4,5.3,5.2,6.2,4.5,6.6,4.7,7.0,5.4,6.6,4.6,6.3,173.8
Levi,Lumeka,MID,CRY,4400000,0,1,0.05,1.1363636363636399e-08,2.2727272727272702e-07,0,482,0,0,0,0,0,0,0,0.2,28,-1,1,1,1,0.0,0,0.0,0,0,0,0,0,0.0,540,0,0,0,0,25,17,-1,0,3,Man City,Southampton,Burnley,Arsenal,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
Matt,Macey,GLK,ARS,5000000,0,0,0.0,0.0,0.0,0,251,0,0,0,0,0,0,0,0.0,30,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,263,0,0,0,0,0,28,0,0,0,West Brom,Chelsea,Bournemouth,Crystal Palace,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niki,Maenpaa,GLK,BHA,4000000,0,0,0.0,0.0,0.0,0,35512,0,0,0,0,0,0,0,0.0,926,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1.1,24525,0,0,0,0,0,591,0,0,0,Newcastle,Bournemouth,West Brom,Chelsea,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry,Maguire,DEF,LEI,5300000,0,74,3.7,6.981132075471699e-07,1.3962264150943399e-05,0,425687,3,30,0,0,0,2,0,14.0,43918,3,0,74,-3,0.7,0,3.8,8,0,4,0,4,10.5,817327,0,0,0,1,1800,52261,0,0,409,Liverpool,Huddersfield,Chelsea,Watford,Everton,3.3,4.7,4.0,4.6,2.6,3.9,3.3,4.4,3.9,3.9,4.5,4.1,4.0,3.9,4.3,4.6,5.2,3.4,87.0
Connor,Mahoney,MID,BOU,4500000,0,0,0.0,0.0,0.0,0,28,0,0,0,0,0,0,0,0.0,21,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,54,0,0,0,0,0,36,0,0,0,Everton,Brighton,Arsenal,West Ham,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
