FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Christian,Atsu,MID,NEW,4800000,0,76,2.9,6.04166666666667e-07,1.58333333333333e-05,0,522801,1,21,0,0,0,2,0,15.8,3988,-2,0,76,2,0.3,0,1.5,5,0,6,0,4,1.5,452668,0,0,0,1,1727,926,0,0,236,Huddersfield,Leicester,Arsenal,Everton,West Brom,3.3,2.1,3.1,2.4,3.2,2.0,2.5,112.4
Pierre-Emerick,Aubameyang,FWD,ARS,10700000,0,26,0.866666666666667,8.09968847352025e-08,2.42990654205607e-06,0,190913,0,7,0,0,0,3,0,2.5,15541,2,-2,26,-2,0.6,1,6.0,3,0,1,0,1,11.9,888591,0,0,0,0,450,350562,2,0,95,Stoke,Southampton,Newcastle,West Ham,Man Utd,0.6,0.5,0.4,0.5,0.4,0.4,0.4,37.6
Serge,Aurier,DEF,TOT,5900000,0,74,2.46666666666667,4.1807909604519794e-07,1.25423728813559e-05,0,90135,0,11,0,0,0,2,0,12.5,3222,-1,0,74,1,1.7,0,10.0,9,0,6,0,2,1.0,130119,0,0,0,3,1247,12191,0,1,311,Chelsea,Stoke,Man City,Brighton,Watford,1.9,2.2,3.9,0.0,2.8,1.6,2.2,76.5
Charlie,Austin,FWD,SOU,5800000,0,53,1.76666666666667,3.0459770114942496e-07,9.137931034482761e-06,0,447378,1,10,0,0,0,6,0,9.1,932,-7,0,53,7,0.0,0,0.0,9,0,1,0,0,0.6,402884,0,0,0,1,596,3117,0,0,163,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0.0,0.9,2.2,0.0,1.5,1.1,1.1,69.5
Cesar,Azpilicueta,DEF,CHE,6900000,0,142,4.9,7.10144927536232e-07,2.05797101449275e-05,0,1010070,1,27,0,0,0,1,0,20.6,22673,4,0,142,-4,0.4,0,2.5,19,0,13,0,6,20.1,1383683,1,0,0,3,2610,14223,0,0,730,Tottenham,West Ham,Southampton,Burnley,Swansea,6.5,7.2,11.4,0.0,5.1,6.6,4.8,129.2
Daniel,Bachmann,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,3691,0,0,0,0,0,0,0,0.0,82,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,8292,0,0,0,0,0,101,0,0,0,Bournemouth,Burnley,Huddersfield,Crystal Palace,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Badou Ndiaye,MID,STK,5200000,2,15,0.483870967741936,9.30521091811414e-08,2.8846153846153802e-06,0,1133,1,7,0,0,0,0,0,2.8,275,-3,1,15,3,0.4,0,2.3,0,0,1,0,1,0.0,2205,0,0,0,0,508,24,-1,0,55,Arsenal,Tottenham,West Ham,Burnley,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,25.6
Eric,Bailly,DEF,MUN,6000000,0,47,1.5666666666666698,2.61111111111111e-07,7.83333333333333e-06,0,882436,2,4,0,0,0,1,0,7.8,4483,0,0,47,0,0.0,0,0.0,3,0,6,0,0,5.9,610365,1,0,0,1,819,18299,0,0,207,Swansea,Man City,West Brom,Bournemouth,Arsenal,1.2,0.8,2.1,0.0,1.6,0.8,1.5,30.4
Leighton,Baines,DEF,EVE,5600000,2,50,1.61290322580645,2.88018433179723e-07,8.92857142857143e-06,0,456375,1,26,0,0,0,2,0,8.9,21068,-4,0,50,4,0.8,0,4.7,5,0,2,0,2,3.9,131329,0,0,0,2,1279,2064,0,0,238,Man City,Liverpool,Swansea,Newcastle,Huddersfield,1.1,1.4,0.8,1.2,0.8,1.4,1.0,61.7
Tiemoue,Bakayoko,MID,CHE,4900000,0,68,2.7,5.510204081632651e-07,1.38775510204082e-05,0,348019,2,20,0,0,0,2,0,13.9,963,-1,0,68,1,0.1,0,0.5,5,0,9,0,2,1.2,358140,0,0,0,1,1761,165,0,1,309,Tottenham,West Ham,Southampton,Burnley,Swansea,2.1,2.8,3.9,0.0,1.9,1.9,2.0,100.1
Sam,Baldock,FWD,BHA,4900000,0,1,0.0333333333333333,6.80272108843537e-09,2.04081632653061e-07,0,2800,0,0,0,0,0,0,0,0.2,48,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,2399,0,0,0,0,24,58,0,0,1,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Beni,Baningime,MID,EVE,4500000,0,5,0.161290322580645,3.5842293906809996e-08,1.11111111111111e-06,0,483,0,1,0,0,0,0,0,1.1,18,0,0,5,0,0.0,0,0.0,0,0,0,0,0,0.0,606,0,0,0,0,145,11,0,0,17,Man City,Liverpool,Swansea,Newcastle,Huddersfield,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Phil,Bardsley,DEF,BUR,4300000,0,33,1.1,2.55813953488372e-07,7.674418604651159e-06,0,63694,5,13,0,0,0,0,0,7.7,1716,-2,0,33,2,0.0,0,0.0,0,0,4,0,0,0.5,79519,0,0,0,0,1125,83,0,0,193,West Brom,Watford,Leicester,Chelsea,Stoke,0.6,0.6,1.3,0.6,0.8,0.6,0.6,38.3
Ross,Barkley,MID,CHE,7300000,0,1,0.0333333333333333,4.5662100456620995e-09,1.36986301369863e-07,0,14471,0,1,0,0,0,0,0,0.1,82,-2,0,1,2,0.0,0,0.0,0,0,0,0,0,0.1,5516,0,0,0,0,53,15,0,0,4,Tottenham,West Ham,Southampton,Burnley,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
Ashley,Barnes,FWD,BUR,5300000,0,66,2.3,4.33962264150943e-07,1.2452830188679199e-05,0,117386,7,16,0,0,0,6,0,12.5,10100,-2,0,66,2,1.3,0,7.0,5,0,4,0,0,2.7,229292,0,0,0,0,1612,70255,0,0,208,West Brom,Watford,Leicester,Chelsea,Stoke,1.8,1.8,3.9,2.0,2.4,1.3,2.2,111.9
Modou,Barrow,MID,SWA,5000000,0,0,0.0,0.0,0.0,0,270,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,52,0,0,0,0,0,0,0,0,0,Man Utd,West Brom,Everton,Man City,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,WBA,4500000,0,56,2.2,4.88888888888889e-07,1.24444444444444e-05,0,132964,4,35,0,0,0,1,0,12.4,1796,0,0,56,0,0.0,0,0.0,0,0,4,0,2,0.8,70618,0,0,0,0,1921,19,0,0,287,Burnley,Swansea,Man Utd,Liverpool,Newcastle,0.0,2.0,1.1,1.5,1.3,1.6,1.2,82.0
Kyle,Bartley,DEF,SWA,4300000,0,4,0.133333333333333,3.1007751937984505e-08,9.30232558139535e-07,0,5716,1,2,0,0,0,0,0,0.9,28,-2,0,4,2,0.0,0,0.0,0,0,0,0,0,0.1,1347,0,0,0,0,165,24,0,0,24,Man Utd,West Brom,Everton,Man City,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.1
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.5925925925925896e-07,3.08641975308642e-06,0,181673,0,7,0,0,0,2,0,3.1,163,-4,0,25,4,0.0,0,0.0,3,0,1,0,1,0.5,121630,1,0,0,1,351,3,0,0,77,Tottenham,West Ham,Southampton,Burnley,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7
Moritz,Bauer,DEF,STK,4500000,0,23,0.7419354838709681,1.64874551971326e-07,5.11111111111111e-06,0,22766,2,9,0,0,0,0,0,5.1,9979,0,0,23,0,0.5,0,2.3,0,0,3,0,0,0.6,60148,0,0,0,0,720,185,0,0,125,Arsenal,Tottenham,West Ham,Burnley,Liverpool,0.4,0.4,0.4,0.4,0.4,0.6,0.4,26.4
Jan,Bednarek,DEF,SOU,4100000,0,0,0.0,0.0,0.0,0,9678,0,0,0,0,0,0,0,0.0,61,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,2672,0,0,0,0,0,86,0,0,0,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asmir,Begovic,GLK,BOU,4500000,3,91,2.9,6.44444444444444e-07,2.02222222222222e-05,0,259662,2,49,0,89,0,0,0,20.2,15813,0,0,91,0,0.5,0,2.3,4,0,5,0,0,4.5,211423,0,0,1,3,2790,1544,0,0,507,Watford,Crystal Palace,Liverpool,Man Utd,Southampton,2.8,4.1,5.5,0.0,2.9,2.9,2.6,65.4
Valon,Behrami,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,10002,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,646,0,0,0,0,0,0,0,0,0,Bournemouth,Burnley,Huddersfield,Crystal Palace,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hector,Bellerin,DEF,ARS,5900000,0,101,3.5,5.932203389830511e-07,1.71186440677966e-05,0,908776,4,39,0,0,0,2,0,17.1,6669,-1,0,101,1,0.1,0,0.7,7,0,9,0,2,9.8,668728,0,0,0,1,2527,12855,0,0,510,Stoke,Southampton,Newcastle,West Ham,Man Utd,4.8,4.4,2.4,5.1,2.2,4.3,2.6,137.0
Yohan,Benalouane,DEF,LEI,4200000,0,0,0.0,0.0,0.0,0,3647,0,0,0,0,0,0,0,0.0,38,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1592,0,0,0,0,0,46,0,0,0,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Benteke,FWD,CRY,7600000,2,74,3.0,3.9473684210526293e-07,9.73684210526316e-06,0,488483,5,34,0,0,0,2,0,9.7,32113,-4,0,74,4,0.4,1,2.7,5,0,6,0,7,2.9,183052,0,0,0,0,2063,2659,0,0,145,Liverpool,Bournemouth,Brighton,Watford,Leicester,2.7,2.9,3.6,2.6,3.4,3.0,3.6,144.5
Saido,Berahino,FWD,STK,5600000,1,19,0.6129032258064521,1.09447004608295e-07,3.39285714285714e-06,0,35455,0,10,0,0,0,0,0,3.4,197,-4,0,19,4,0.1,1,0.3,0,0,2,0,1,0.3,15220,0,0,0,0,454,98,0,0,39,Arsenal,Tottenham,West Ham,Burnley,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.7
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,239,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,40,0,0,0,0,0,1,0,0,0,Bournemouth,Burnley,Huddersfield,Crystal Palace,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo Silva,MID,MCI,7400000,0,84,2.8,3.7837837837837795e-07,1.1351351351351401e-05,0,174107,0,6,0,0,0,4,0,11.2,17260,-6,1,84,6,0.9,0,6.7,3,0,7,0,5,1.6,149126,0,0,0,1,1129,4577,-1,0,342,Everton,Man Utd,Tottenham,Swansea,West Ham,2.4,2.1,1.6,2.6,2.2,3.0,2.3,105.1
Ryan,Bertrand,DEF,SOU,5300000,0,76,2.8,5.283018867924531e-07,1.4339622641509399e-05,0,795615,1,38,0,0,0,0,0,14.3,6227,-2,0,76,2,0.7,0,3.5,4,0,5,0,4,5.1,303293,0,0,0,1,2425,444,0,0,436,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0.0,2.3,5.1,0.0,2.4,1.7,2.3,112.3
Muhamed,Besic,MID,EVE,4200000,0,2,1.0,2.38095238095238e-07,4.76190476190476e-07,0,15267,0,0,0,0,0,0,0,0.5,134,-3,0,2,3,0.0,0,0.0,0,0,0,0,0,0.2,11603,0,0,0,0,46,20,0,0,10,Man City,Liverpool,Swansea,Newcastle,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Philip,Billing,MID,HUD,4400000,0,16,0.516129032258065,1.1730205278592401e-07,3.63636363636364e-06,0,38373,3,9,0,0,0,0,0,3.6,108,-1,0,16,1,0.1,0,0.3,0,0,3,0,0,0.2,32103,0,0,0,0,600,17,0,0,70,Newcastle,Brighton,Watford,Everton,Man City,0.3,0.3,0.3,0.0,0.3,0.3,0.3,15.0
Daley,Blind,DEF,MUN,5100000,0,20,0.666666666666667,1.30718954248366e-07,3.92156862745098e-06,0,189173,0,0,0,0,0,0,0,3.9,286,-4,0,20,4,0.0,0,0.0,0,0,3,0,0,0.9,135756,0,0,0,0,274,15,0,0,88,Swansea,Man City,West Brom,Bournemouth,Arsenal,0.0,0.0,0.0,0.0,0.0,0.3,0.4,15.1
Jeremie,Boga,MID,CHE,6000000,0,1,1.0,1.66666666666667e-07,1.66666666666667e-07,0,996,0,0,0,0,0,0,0,0.2,1,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,543,0,0,0,0,17,0,0,0,1,Tottenham,West Ham,Southampton,Burnley,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,6602,0,1,0,0,0,0,0,0.4,4,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.0,1882,0,0,0,0,71,3,0,0,5,Arsenal,Tottenham,West Ham,Burnley,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
Yannick,Bolasie,MID,EVE,6400000,2,20,0.6451612903225811,1.0080645161290301e-07,3.125e-06,0,12969,0,10,0,0,0,0,0,3.1,3165,-1,0,20,1,0.5,0,3.0,0,0,2,0,1,0.2,13796,0,0,0,0,513,218,0,0,48,Man City,Liverpool,Swansea,Newcastle,Huddersfield,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.2
Gaetan,Bong,DEF,BHA,4400000,0,43,2.5,5.68181818181818e-07,9.772727272727271e-06,0,12817,1,22,0,0,0,0,0,9.8,424,-1,0,43,1,0.1,0,0.5,3,0,4,0,0,0.1,13112,1,0,0,1,1522,366,0,0,271,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,2.3,2.9,5.4,0.0,1.8,2.6,1.7,35.8
Wilfried,Bony,FWD,SWA,5600000,0,33,1.1,1.96428571428571e-07,5.89285714285714e-06,0,88063,2,8,0,0,0,2,0,5.9,135,-4,0,33,4,0.0,0,0.0,3,0,2,0,1,0.1,87708,0,0,0,0,701,30,0,0,103,Man Utd,West Brom,Everton,Man City,Chelsea,0.0,0.0,0.0,0.0,0.0,0.6,0.8,39.3
Artur,Boruc,GLK,BOU,4100000,0,0,0.0,0.0,0.0,0,156432,0,0,0,0,0,0,0,0.0,640,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,1.4,9309,0,0,0,0,0,587,0,0,0,Watford,Crystal Palace,Liverpool,Man Utd,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofiane,Boufal,MID,SOU,5700000,0,54,1.8,3.15789473684211e-07,9.47368421052632e-06,0,23205,1,24,0,0,0,2,0,9.5,179,-3,0,54,3,0.1,0,0.5,2,0,1,0,2,0.2,17682,0,0,0,0,1183,105,0,0,214,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,1.1,0.9,2.1,0.0,1.3,1.2,0.9,98.9
,Brad Smith,DEF,BOU,3900000,0,0,0.0,0.0,0.0,0,193589,0,0,0,0,0,0,0,0.0,2361,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,3.1,101910,0,0,0,0,0,3882,0,0,0,Watford,Crystal Palace,Liverpool,Man Utd,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
