FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Shinji,Okazaki,FWD,LEI,5300000,0,69,3.0,5.66037735849057e-07,1.3018867924528301e-05,0,760150,2,15,0,0,0,6,0,12.8,35813,-2,1,69,2,0.1,0,0.7,7,0,5,0,2,3.4,780716,0,0,0,1,1122,272,-1,0,249,Stoke,Bournemouth,West Brom,Brighton,Newcastle,0.0,3.5,2.4,0.0,2.5,3.3,2.3,3.3,2.6,3.4,2.0,98.2
Martin,Olsson,DEF,SWA,5000000,0,68,2.7,5.4e-07,1.36e-05,0,25759,4,33,0,0,0,0,0,13.6,661,0,0,68,0,0.3,0,1.3,0,0,8,0,1,0.3,21342,0,0,0,0,2214,503,0,0,333,Brighton,West Ham,Huddersfield,Man Utd,West Brom,2.5,3.3,2.0,0.0,1.8,2.0,2.4,1.8,2.7,1.9,3.1,51.9
Aiden,O'Neill,MID,BUR,4500000,0,0,0.0,0.0,0.0,0,64,0,0,0,0,0,0,0,0.0,35,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,179,0,0,0,0,0,103,0,0,0,Southampton,Everton,West Ham,West Brom,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divock,Origi,FWD,LIV,7400000,0,1,1.0,1.35135135135135e-07,1.35135135135135e-07,0,21943,0,1,0,0,0,0,0,0.1,34,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.2,1152,0,0,0,0,9,2,0,0,3,West Ham,Newcastle,Man Utd,Watford,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Oriol Romeu,MID,SOU,4300000,1,50,2.0,4.65116279069767e-07,1.1627906976744199e-05,0,268354,8,37,0,0,0,1,0,11.6,4023,-2,0,50,2,0.3,0,1.3,0,0,5,0,0,2.1,157526,0,0,0,0,2103,3720,0,0,355,Burnley,Stoke,Newcastle,West Ham,Arsenal,1.3,1.4,1.4,0.0,1.3,1.0,1.2,1.2,1.5,1.5,1.0,86.6
David,Ospina,GLK,ARS,4800000,0,1,0.037037037037037,7.71604938271605e-09,2.0833333333333302e-07,0,8683,0,0,0,1,0,0,0,0.2,209,-2,0,1,2,0.1,0,0.3,0,0,0,0,0,0.2,2092,0,0,0,0,20,56,0,0,6,Man City,Brighton,Watford,Stoke,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Nicolas,Otamendi,DEF,MCI,6400000,2,123,4.7,7.34375e-07,1.921875e-05,0,1333033,7,20,0,0,0,4,0,19.2,114043,9,1,123,-9,0.5,0,3.3,16,0,11,0,0,29.7,2518566,1,0,0,4,2310,22025,-1,0,578,Arsenal,Chelsea,Stoke,Everton,Man Utd,5.1,5.9,5.5,0.0,4.1,6.2,4.9,5.6,5.7,6.5,6.0,113.2
Reece,Oxford,DEF,WHU,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,8,0,0,0,0,0,0,0,0.2,2,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.0,15,0,0,0,0,4,3,0,0,2,Liverpool,Swansea,Burnley,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Mesut,Ozil,MID,ARS,9300000,2,95,4.3,4.6236559139784896e-07,1.02150537634409e-05,0,325057,4,31,0,0,0,4,0,10.2,19267,-2,0,95,2,0.3,0,2.7,10,0,6,0,7,2.4,286732,0,0,0,2,1801,2534,0,0,435,Man City,Brighton,Watford,Stoke,Southampton,0.0,2.9,5.0,0.0,5.5,5.1,3.6,5.8,2.2,5.2,3.3,214.1
Alex,Palmer,GLK,WBA,4000000,0,0,0.0,0.0,0.0,0,5136,0,0,0,0,0,0,0,0.0,201,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,12362,0,0,0,0,0,218,0,0,0,Huddersfield,Watford,Leicester,Bournemouth,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
