FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Matteo,Darmian,DEF,MUN,5100000,0,1,0.0476190476190476,9.33706816059757e-09,1.9607843137254898e-07,0,25889,0,2,0,0,0,0,0,0.2,987,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.2,2363,0,0,0,0,90,202,0,0,13,Liverpool,Huddersfield,Tottenham,Chelsea,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
,David Luiz,DEF,CHE,5900000,0,21,4.2,7.118644067796609e-07,3.55932203389831e-06,0,822195,2,5,0,0,0,1,0,3.6,30340,-1,0,21,1,0.2,0,1.0,0,0,2,0,1,13.7,260407,0,0,0,0,446,26641,0,1,104,Crystal Palace,Watford,Bournemouth,Man Utd,West Brom,6.1,3.7,4.7,3.1,5.5,4.2,3.0,4.4,4.4,5.6,3.8,4.3,5.7,4.6,3.3,3.6,5.4,4.6,6.3,5.1,3.7,4.1,4.9,5.6,3.1,5.7,6.3,4.4,5.9,4.8,4.8,16.2
,David Silva,MID,MCI,8500000,3,44,6.3,7.41176470588235e-07,5.17647058823529e-06,0,309236,1,2,0,0,0,0,0,5.2,45909,5,-1,44,-5,1.0,0,8.3,8,0,5,0,6,26.0,1308918,0,0,0,2,602,268881,1,0,170,Stoke,Burnley,West Brom,Arsenal,Leicester,8.2,7.1,7.3,9.4,8.1,8.0,6.8,9.4,5.5,9.4,5.6,9.0,8.0,8.6,5.5,6.0,8.7,8.1,8.5,8.8,6.5,6.9,7.1,8.6,8.0,6.1,9.0,7.2,7.2,7.5,9.3,75.4
Ben,Davies,DEF,TOT,5900000,16,49,8.2,1.38983050847458e-06,8.30508474576271e-06,0,294569,1,4,0,0,0,2,0,8.4,17953,4,-1,49,-4,1.0,0,5.7,6,0,3,0,3,25.6,1194050,0,0,0,3,529,236989,1,0,177,Bournemouth,Liverpool,Man Utd,Crystal Palace,Arsenal,9.8,10.8,10.4,8.5,9.5,9.5,10.8,12.3,9.8,10.4,11.1,12.3,7.4,11.8,12.3,9.6,12.3,7.8,11.0,12.3,12.2,8.5,11.4,9.5,12.3,11.4,6.6,11.1,7.0,11.6,8.7,55.8
Tom,Davies,MID,EVE,5300000,1,14,2.0,3.77358490566038e-07,2.64150943396226e-06,0,35411,2,4,0,0,0,0,0,2.6,5799,-2,0,14,2,0.6,0,3.0,0,0,1,0,2,0.8,26145,0,0,0,0,301,4162,0,0,40,Brighton,Arsenal,Leicester,Watford,Crystal Palace,1.0,2.8,1.1,1.0,1.6,1.5,2.6,1.6,1.0,1.1,1.8,1.4,1.0,1.3,1.1,1.4,1.7,2.0,1.0,2.1,1.4,1.2,1.9,1.0,1.0,1.8,2.1,2.0,1.1,1.3,1.0,10.2
Steven,Davis,MID,SOU,5100000,2,28,4.0,7.843137254901959e-07,5.49019607843137e-06,0,89242,0,6,0,0,0,1,0,5.5,26004,1,0,28,-1,1.0,0,5.0,3,0,3,0,1,5.3,322964,0,0,0,1,571,82230,0,0,141,Newcastle,West Brom,Brighton,Burnley,Liverpool,4.1,3.6,3.8,3.0,3.3,5.0,3.7,5.0,5.8,4.2,5.4,3.2,5.3,3.0,4.3,5.3,2.1,4.0,4.2,3.7,4.9,3.7,4.6,6.0,4.1,3.6,2.9,4.7,4.7,5.4,2.1,36.4
Craig,Dawson,DEF,WBA,5000000,1,23,3.3,6.6e-07,4.6e-06,0,140311,1,8,0,0,0,0,0,4.6,27250,0,0,23,0,0.5,0,2.3,1,0,3,0,0,4.2,80124,0,0,0,0,630,808,0,0,119,Leicester,Southampton,Man City,Huddersfield,Chelsea,2.0,3.9,2.5,3.2,3.0,3.9,3.9,4.7,3.5,2.1,2.9,2.6,3.7,4.9,2.2,4.9,2.2,2.1,3.5,3.3,3.9,4.3,3.3,2.5,3.4,2.8,1.8,4.3,2.6,3.0,4.0,19.1
Kevin,De Bruyne,MID,MCI,10000000,11,37,5.3,5.3e-07,3.7000000000000006e-06,0,938491,0,2,0,0,0,1,0,3.7,38909,0,0,37,0,0.7,0,6.7,4,0,5,0,3,17.1,402296,0,0,0,1,605,87861,0,0,169,Stoke,Burnley,West Brom,Arsenal,Leicester,6.5,5.5,5.7,8.0,6.4,6.3,5.2,8.0,4.2,8.0,4.2,7.6,6.3,7.3,4.2,4.6,6.9,6.4,6.7,7.0,5.0,5.4,5.5,6.9,6.7,4.6,7.2,6.0,5.6,5.9,7.4,74.6
David,de Gea,GLK,MUN,5600000,6,42,6.0,1.0714285714285699e-06,7.499999999999999e-06,0,285244,0,2,0,16,0,0,0,7.5,48417,1,0,42,-1,1.3,0,7.0,1,0,6,0,0,37.0,385359,0,0,0,0,630,36208,0,0,160,Liverpool,Huddersfield,Tottenham,Chelsea,Newcastle,5.8,7.5,7.1,8.0,8.6,9.0,9.0,4.4,6.2,8.9,7.0,5.4,7.9,7.6,5.8,9.0,7.8,8.8,8.4,6.6,7.2,7.5,9.0,6.0,6.8,5.6,9.0,6.5,9.0,6.6,7.4,11.4
Siem,de Jong,MID,NEW,4900000,0,0,0.0,0.0,0.0,0,8864,0,0,0,0,0,0,0,0.0,307,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,506,0,0,0,0,0,4,0,0,0,Southampton,Crystal Palace,Burnley,Bournemouth,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy,Deeney,FWD,WAT,6300000,2,9,1.8,2.85714285714286e-07,1.4285714285714301e-06,0,28731,0,4,0,0,0,0,0,1.4,1779,-2,1,9,2,0.4,0,2.3,0,0,0,0,1,0.4,6084,0,0,0,0,123,1207,-1,0,30,Arsenal,Chelsea,Stoke,Everton,West Ham,1.4,1.5,1.3,1.7,1.3,1.3,0.9,0.9,1.5,2.3,0.9,1.5,1.0,0.9,1.2,0.9,1.4,1.7,0.9,1.1,1.3,0.9,0.9,1.3,1.2,0.9,1.3,1.4,1.7,0.9,1.0,8.7
Jermain,Defoe,FWD,BOU,7700000,2,17,2.4,3.11688311688312e-07,2.20779220779221e-06,0,147882,0,7,0,0,0,1,0,2.2,11576,-3,1,17,3,0.5,0,3.7,1,0,2,0,0,2.2,30405,0,0,0,0,431,2584,-1,0,57,Tottenham,Stoke,Chelsea,Newcastle,Huddersfield,1.8,1.8,1.5,1.3,1.9,1.9,1.9,1.6,2.6,1.2,3.0,1.2,3.1,3.1,1.5,3.2,1.2,1.5,3.1,1.4,2.4,1.4,1.3,2.5,2.2,3.2,1.3,1.9,1.8,1.6,1.6,22.9
