FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Bruno,DEF,BHA,4500000,1,44,2.9,6.44444444444444e-07,9.77777777777778e-06,0,24280,3,16,0,0,0,0,0,9.8,2617,0,0,44,0,0.4,0,2.0,4,0,5,0,0,0.7,44450,0,0,0,0,1262,749,0,0,234,Tottenham,Burnley,Watford,Chelsea,Newcastle,2.4,3.2,3.1,2.5,2.1,2.7,2.5,3.0,2.6,4.1,2.5,2.7,3.3,1.5,2.0,2.8,4.0,3.4,3.1,2.5,2.9,2.2,29.3
Chris,Brunt,MID,WBA,5100000,0,19,1.1875,2.3284313725490198e-07,3.7254901960784303e-06,0,128665,1,2,0,0,0,0,0,3.7,627,-4,0,19,4,0.0,0,0.0,3,0,3,0,1,0.6,118958,0,0,0,0,410,17,0,0,92,Liverpool,Man Utd,Stoke,Everton,Arsenal,0.6,0.6,0.6,1.0,0.8,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.6,0.7,0.6,0.6,0.9,0.6,0.6,0.6,0.6,0.6,22.0
Harry,Bunn,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,566,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,79,0,0,0,0,0,2,0,0,0,Chelsea,Watford,Southampton,Stoke,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver,Burke,MID,WBA,5100000,1,8,0.5,9.803921568627449e-08,1.56862745098039e-06,0,3146,0,2,0,0,0,0,0,1.6,21,-4,0,8,4,0.1,0,0.6,0,0,0,0,1,0.0,3415,0,0,0,0,68,6,0,0,22,Liverpool,Man Utd,Stoke,Everton,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6.5
Jack,Butland,GLK,STK,5000000,2,35,2.7,5.4e-07,7.000000000000001e-06,0,127176,0,28,0,37,0,0,0,7.0,1080,0,0,35,0,0.2,0,1.0,3,0,2,0,0,2.3,90329,0,0,0,1,1170,454,0,0,215,Burnley,West Ham,West Brom,Huddersfield,Chelsea,2.3,3.6,3.1,2.1,2.4,2.6,1.6,3.5,2.7,2.0,3.2,1.8,2.4,2.0,2.3,1.6,2.7,2.5,2.8,2.0,4.0,2.0,27.7
Sam,Byram,DEF,WHU,4300000,0,0,0.0,0.0,0.0,0,8051,0,0,0,0,0,0,0,0.0,116,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,1328,0,0,0,0,0,23,0,0,0,Arsenal,Stoke,Newcastle,Bournemouth,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willy,Caballero,GLK,CHE,4800000,0,0,0.0,0.0,0.0,0,3831,0,0,0,0,0,0,0,0.0,57,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,625,0,0,0,0,0,9,0,0,0,Huddersfield,Southampton,Everton,Brighton,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yohan,Cabaye,MID,CRY,5400000,5,34,2.6,4.81481481481482e-07,6.2962962962963e-06,0,26113,3,18,0,0,0,0,0,6.3,353,-1,0,34,1,0.6,0,3.0,3,0,1,0,3,0.3,14572,0,0,0,0,1016,970,0,0,209,Watford,Leicester,Swansea,Arsenal,Man City,1.9,1.5,2.2,2.8,1.5,1.7,2.4,1.3,1.6,2.8,2.0,2.2,2.2,1.6,1.6,2.0,1.9,2.3,1.8,2.4,1.6,2.8,84.8
Gary,Cahill,DEF,CHE,6200000,2,32,2.0,3.2258064516129e-07,5.16129032258064e-06,0,531866,0,10,0,0,0,0,0,5.2,4698,-3,0,32,3,0.5,0,3.4,1,0,4,0,0,3.4,58309,0,0,0,0,864,1740,0,1,179,Huddersfield,Southampton,Everton,Brighton,Stoke,1.3,1.5,1.0,2.0,1.7,1.0,1.4,1.7,1.4,2.0,2.0,1.0,1.2,2.9,1.5,1.7,2.4,1.5,2.3,1.3,1.7,1.3,28.1
,Callum Wilson,FWD,BOU,5900000,1,26,1.625,2.75423728813559e-07,4.4067796610169505e-06,0,208136,0,2,0,0,0,3,0,4.3,90139,-1,1,26,1,0.8,0,4.6,3,0,3,0,0,3.0,362014,0,0,0,1,381,1619,-1,0,87,Man Utd,Liverpool,Man City,West Ham,Everton,0.8,1.1,0.9,1.5,1.5,1.0,1.2,0.9,0.8,1.5,0.8,1.3,1.0,1.0,1.4,1.2,1.5,0.8,1.1,1.0,1.0,0.8,38.8
Dominic,Calvert-Lewin,FWD,EVE,5300000,5,55,3.4,6.41509433962264e-07,1.0377358490566001e-05,0,198359,1,18,0,0,0,2,0,10.6,10800,3,-1,55,-3,0.9,0,5.0,3,0,3,0,6,9.0,631920,0,0,0,1,1128,166033,1,0,152,Newcastle,Swansea,Chelsea,West Brom,Bournemouth,2.9,3.7,3.1,2.9,2.9,4.0,2.3,4.6,4.2,1.8,4.7,3.1,2.4,4.3,3.6,3.5,4.0,2.5,4.4,2.2,3.8,2.5,81.6
Geoff,Cameron,DEF,STK,4300000,1,14,0.875,2.03488372093023e-07,3.2558139534883703e-06,0,34178,0,12,0,0,0,0,0,3.3,183,-2,0,14,2,0.0,0,0.2,0,0,1,0,0,0.3,22750,0,0,0,0,578,146,0,0,97,Burnley,West Ham,West Brom,Huddersfield,Chelsea,0.4,0.7,0.5,0.4,0.4,0.4,0.4,0.7,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.3,0.4,16.4
Emre,Can,MID,LIV,4800000,0,36,3.0,6.25e-07,7.499999999999999e-06,0,423608,4,17,0,0,0,1,0,7.5,8196,-2,0,36,2,0.6,0,2.8,1,0,3,0,3,4.5,278466,0,0,0,0,905,3533,0,0,191,West Brom,Bournemouth,Arsenal,Swansea,Leicester,3.4,2.5,1.6,3.6,3.0,2.1,1.9,2.8,2.0,2.7,2.3,3.7,3.4,1.5,2.3,2.1,2.5,3.2,2.2,2.9,2.0,2.9,48.5
Etienne,Capoue,MID,WAT,4900000,0,15,0.9375,1.9132653061224502e-07,3.0612244897959202e-06,0,280300,1,5,0,0,0,1,0,3.0,1885,-6,1,15,6,0.0,0,0.2,0,0,0,0,1,1.5,38240,0,0,0,0,228,104,-1,0,59,Crystal Palace,Huddersfield,Brighton,Leicester,Swansea,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,19.6
Michael,Carrick,MID,MUN,4300000,0,0,0.0,0.0,0.0,0,92374,0,0,0,0,0,0,0,0.0,1383,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,1.0,70612,0,0,0,0,0,156,0,0,0,Bournemouth,West Brom,Leicester,Burnley,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre,Carrillo,MID,WAT,5500000,2,28,2.0,3.63636363636364e-07,5.0909090909090895e-06,0,3109,0,18,0,0,0,0,0,5.1,66,0,0,28,0,0.3,0,1.8,0,0,1,0,2,0.0,3877,0,0,0,0,731,63,0,0,128,Crystal Palace,Huddersfield,Brighton,Leicester,Swansea,1.4,1.9,1.2,1.3,1.6,1.0,1.1,1.3,1.4,1.1,1.4,1.9,1.5,1.1,1.0,1.4,1.2,1.3,1.5,1.2,1.5,1.0,39.5
Andy,Carroll,FWD,WHU,5900000,0,8,1.0,1.6949152542372902e-07,1.35593220338983e-06,0,45047,3,9,0,0,0,0,0,1.4,826,-1,0,8,1,0.1,0,0.6,0,0,3,0,0,0.2,45853,0,0,0,0,539,261,0,1,1,Arsenal,Stoke,Newcastle,Bournemouth,West Brom,0.6,0.5,0.7,0.5,0.0,1.3,0.5,0.6,0.8,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.8,0.5,0.5,0.5,0.8,26.3
Tom,Carroll,MID,SWA,4400000,2,37,2.5,5.68181818181818e-07,8.40909090909091e-06,0,373458,2,14,0,0,0,0,0,8.4,12721,-1,0,37,1,0.4,0,1.6,2,0,6,0,1,4.5,312433,0,0,0,0,1218,3426,0,0,190,Man City,Everton,Crystal Palace,Liverpool,Watford,1.3,2.1,2.4,1.2,1.9,1.9,1.9,1.8,2.4,1.6,2.0,1.6,2.7,1.7,2.0,1.2,1.8,3.0,1.2,1.9,2.1,2.0,61.2
Cameron,Carter-Vickers,DEF,TOT,4500000,0,0,0.0,0.0,0.0,0,664,0,0,0,0,0,0,0,0.0,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,358,0,0,0,0,0,5,0,0,0,Brighton,Man City,Burnley,Southampton,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig,Cathcart,DEF,WAT,4400000,0,1,0.0625,1.42045454545455e-08,2.2727272727272702e-07,0,962,0,0,0,0,0,0,0,0.2,13,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,185,0,0,0,0,19,6,0,0,4,Crystal Palace,Huddersfield,Brighton,Leicester,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Santiago,Cazorla,MID,ARS,6900000,0,0,0.0,0.0,0.0,0,1812,0,0,0,0,0,0,0,0.0,31,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,598,0,0,0,0,0,15,0,0,0,West Ham,Newcastle,Liverpool,Crystal Palace,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petr,Cech,GLK,ARS,5400000,2,63,3.9,7.22222222222222e-07,1.1666666666666698e-05,0,166503,0,20,0,36,0,0,0,11.7,5288,-1,0,63,1,0.9,0,4.6,4,0,7,0,0,5.2,90938,0,0,0,0,1440,1822,0,0,302,West Ham,Newcastle,Liverpool,Crystal Palace,West Brom,3.5,4.9,5.2,3.9,3.3,5.0,2.8,5.8,2.7,4.6,3.0,4.1,3.6,5.1,2.5,5.1,4.9,2.8,5.8,2.2,5.2,2.9,30.2
,Cedric,DEF,SOU,4800000,0,39,2.8,5.83333333333333e-07,8.125e-06,0,604980,0,16,0,0,0,0,0,8.1,21186,-2,0,39,2,0.2,0,1.0,0,0,4,0,0,4.1,232108,0,0,0,0,1248,126,0,0,219,Leicester,Chelsea,Huddersfield,Tottenham,Man Utd,0.0,2.6,3.6,2.4,1.8,4.0,3.3,2.8,3.2,2.6,2.8,2.6,2.7,2.2,2.2,2.8,1.9,2.6,2.1,2.3,1.6,2.0,55.4
Nacer,Chadli,MID,WBA,5700000,0,12,0.75,1.3157894736842101e-07,2.10526315789474e-06,0,38035,1,1,0,0,0,1,0,2.1,197,-3,0,12,3,0.0,0,0.0,3,0,1,0,0,0.2,9502,0,0,0,1,159,8,0,0,26,Liverpool,Man Utd,Stoke,Everton,Arsenal,0.0,0.0,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,8.4
Nathaniel,Chalobah,MID,WAT,4300000,0,12,0.75,1.74418604651163e-07,2.7906976744186e-06,0,184311,1,7,0,0,0,0,0,2.8,1839,-2,0,12,2,0.0,0,0.0,0,0,3,0,0,0.9,125298,0,0,0,0,429,217,0,0,37,Crystal Palace,Huddersfield,Brighton,Leicester,Swansea,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,19.6
,Chamberlain,MID,LIV,5700000,2,33,2.0625,3.6184210526315797e-07,5.78947368421053e-06,0,215869,1,16,0,0,0,1,0,5.8,2032,-3,0,33,3,0.5,0,2.6,2,0,1,0,1,1.5,103474,0,0,0,0,752,975,0,0,170,West Brom,Bournemouth,Arsenal,Swansea,Leicester,1.9,1.4,1.0,2.1,1.7,1.1,1.0,1.6,1.1,1.5,1.2,2.2,1.9,1.0,1.3,1.1,1.4,1.8,1.2,1.6,1.1,1.6,61.9
Calum,Chambers,DEF,ARS,4700000,0,0,0.0,0.0,0.0,0,18703,0,0,0,0,0,0,0,0.0,118,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,2510,0,0,0,0,0,142,0,0,0,West Ham,Newcastle,Liverpool,Crystal Palace,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Chicharito,FWD,WHU,6700000,0,41,3.7,5.522388059701489e-07,6.11940298507463e-06,0,1702160,3,21,0,0,0,4,0,6.1,7415,-3,0,41,3,0.0,0,0.0,6,0,4,0,0,7.0,1024103,0,0,0,2,900,2223,0,0,125,Arsenal,Stoke,Newcastle,Bournemouth,West Brom,4.6,3.9,5.0,3.2,0.0,7.6,2.5,4.6,5.3,3.1,4.1,2.5,2.8,4.2,4.5,4.4,2.3,5.4,2.0,4.1,2.9,5.3,57.8
Benjamin,Chilwell,DEF,LEI,4300000,1,20,1.25,2.90697674418605e-07,4.65116279069767e-06,0,20778,0,7,0,0,0,0,0,4.7,835,-2,0,20,2,0.5,0,2.0,0,0,2,0,0,0.5,21454,0,0,0,0,568,2744,0,0,111,Southampton,Crystal Palace,Man Utd,Watford,Liverpool,0.6,1.9,0.8,0.9,0.6,1.2,0.6,0.8,0.6,0.7,0.6,0.8,0.7,0.6,0.9,0.7,0.8,0.6,0.8,1.5,1.3,0.6,19.6
