FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Seamus,Coleman,DEF,EVE,6400000,0,0,0.0,0.0,0.0,0,7908,0,0,0,0,0,0,0,0.0,74,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,779,0,0,0,0,0,22,0,0,0,Newcastle,Swansea,Chelsea,West Brom,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James,Collins,DEF,WHU,4300000,0,8,0.5,1.1627906976744199e-07,1.86046511627907e-06,0,15949,0,3,0,0,0,0,0,1.9,141,-2,0,8,2,0.0,0,0.0,0,0,1,0,0,0.1,6644,0,0,0,0,237,12,0,0,44,Arsenal,Stoke,Newcastle,Bournemouth,West Brom,0.0,0.2,0.2,0.2,0.0,0.4,0.2,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.7
Francis,Coquelin,MID,ARS,4400000,0,5,0.3125,7.10227272727273e-08,1.13636363636364e-06,0,33316,0,5,0,0,0,0,0,1.1,584,-1,0,5,1,0.0,0,0.2,0,0,0,0,0,0.6,14257,0,0,0,0,148,222,0,0,29,West Ham,Newcastle,Liverpool,Crystal Palace,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.4
Jack,Cork,MID,BUR,4600000,3,46,2.9,6.30434782608696e-07,1e-05,0,199918,4,12,0,0,0,1,0,10.0,7895,1,0,46,-1,0.9,0,4.0,3,0,7,0,1,3.9,346442,0,0,0,0,1440,13001,0,0,242,Stoke,Brighton,Tottenham,Man Utd,Huddersfield,2.6,2.0,2.4,1.4,2.1,2.3,2.1,2.4,2.4,1.7,2.9,2.5,3.7,2.1,2.4,2.2,2.3,2.7,2.1,2.6,1.7,2.9,60.1
,Costa,FWD,CHE,9500000,0,0,0.0,0.0,0.0,0,65101,0,0,0,0,0,0,0,0.0,116,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.4,2324,0,0,0,0,0,8,0,0,0,Huddersfield,Southampton,Everton,Brighton,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thibaut,Courtois,GLK,CHE,5500000,2,66,4.1,7.454545454545451e-07,1.2e-05,0,447688,0,13,0,35,0,0,0,12.0,24155,0,0,66,0,0.7,0,3.8,2,0,7,0,0,14.0,306739,0,0,0,0,1440,5983,0,0,291,Huddersfield,Southampton,Everton,Brighton,Stoke,4.2,4.6,3.0,5.5,4.9,3.4,4.4,4.9,4.3,5.4,5.4,3.3,3.8,5.9,4.5,4.9,6.1,4.6,6.0,4.0,4.9,4.0,24.4
Philippe,Coutinho,MID,LIV,9000000,1,64,4.0,4.44444444444444e-07,7.11111111111111e-06,0,785660,0,10,0,0,0,4,0,7.1,28908,0,0,64,0,0.8,0,6.8,10,0,2,0,5,11.3,1038576,0,0,0,3,672,61110,0,0,241,West Brom,Bournemouth,Arsenal,Swansea,Leicester,5.0,3.9,2.6,5.3,4.6,3.3,3.1,4.3,3.2,4.1,3.6,5.5,5.0,2.3,3.7,3.3,3.9,4.9,3.4,4.4,3.3,4.4,102.2
Martin,Cranie,DEF,HUD,4000000,0,2,0.125,3.125e-08,5e-07,0,13584,0,7,0,0,0,0,0,0.5,767,0,0,2,0,0.1,0,0.2,0,0,0,0,0,0.4,20293,0,0,0,0,179,522,0,0,35,Chelsea,Watford,Southampton,Stoke,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.7
Aaron,Cresswell,DEF,WHU,5000000,5,43,2.9,5.8e-07,8.599999999999999e-06,0,65856,1,25,0,0,0,0,0,8.6,952,0,0,43,0,0.5,0,2.6,4,0,4,0,2,0.7,69399,0,0,0,0,1224,2818,0,0,227,Arsenal,Stoke,Newcastle,Bournemouth,West Brom,3.5,2.1,3.2,1.8,0.0,5.8,1.9,2.9,4.4,2.4,3.3,1.8,1.8,3.4,3.2,3.1,2.2,3.3,1.4,2.5,1.6,2.9,53.3
Peter,Crouch,FWD,STK,4800000,1,32,2.7,5.625e-07,6.66666666666667e-06,0,165516,1,9,0,0,0,3,0,6.7,10314,-2,0,32,2,0.4,0,2.0,4,0,0,0,1,2.8,177205,0,0,0,0,393,11514,0,0,120,Burnley,West Ham,West Brom,Huddersfield,Chelsea,1.9,3.1,3.1,1.8,1.7,2.9,1.6,3.3,2.3,2.4,2.9,2.2,2.3,2.3,3.2,1.4,2.4,2.0,2.4,1.9,3.2,2.0,43.5
Charlie,Daniels,DEF,BOU,5000000,1,55,3.4,6.8e-07,1.1e-05,0,653026,0,19,0,0,0,1,0,11.0,64833,0,0,55,0,0.7,0,3.6,4,0,4,0,1,12.1,412315,0,0,0,0,1440,4754,0,0,288,Man Utd,Liverpool,Man City,West Ham,Everton,2.4,3.8,2.8,4.9,3.3,3.7,4.0,3.6,3.4,3.8,3.1,3.6,2.7,3.8,4.3,4.2,5.0,3.0,3.6,3.5,3.3,3.4,60.0
,Danilo,DEF,MCI,5000000,0,25,1.5625,3.125e-07,5e-06,0,305970,1,2,0,0,0,0,0,5.0,2258,-5,0,25,5,0.0,0,0.2,0,0,3,0,1,1.8,152419,0,0,0,0,379,712,0,0,111,Swansea,Tottenham,Bournemouth,Newcastle,Crystal Palace,0.8,1.1,0.9,0.9,2.0,1.1,0.9,1.0,1.3,1.0,0.9,0.8,1.0,1.0,1.3,0.8,1.0,1.0,0.9,1.1,1.6,1.1,20.1
Scott,Dann,DEF,CRY,4700000,8,21,1.8,3.8297872340425503e-07,4.4680851063829805e-06,0,61703,3,21,0,0,0,1,0,4.5,522,-3,0,21,3,0.4,0,1.8,0,0,0,0,0,0.5,26575,0,0,0,0,1055,3645,0,0,147,Watford,Leicester,Swansea,Arsenal,Man City,1.6,0.9,0.9,1.7,1.1,1.1,1.6,0.9,1.2,1.5,0.9,1.6,1.5,1.1,0.9,1.6,0.9,1.9,1.5,1.4,1.1,1.8,52.8
Karl,Darlow,GLK,NEW,4400000,2,6,0.375,8.52272727272727e-08,1.36363636363636e-06,0,12748,0,8,0,11,0,0,0,1.4,161,-1,0,6,1,0.3,0,1.2,0,0,0,0,0,0.2,2279,0,0,0,0,270,556,0,0,47,Everton,Arsenal,West Ham,Man City,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.1
Matteo,Darmian,DEF,MUN,5000000,0,9,0.5625,1.125e-07,1.8000000000000001e-06,0,30636,0,2,0,0,0,0,0,1.8,231,-5,0,9,5,0.0,0,0.2,0,0,1,0,0,0.2,6051,0,0,0,0,195,142,0,0,46,Bournemouth,West Brom,Leicester,Burnley,Southampton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,4.8
,David Luiz,DEF,CHE,5800000,0,29,1.8125,3.125e-07,5e-06,0,1115051,2,9,0,0,0,1,0,5.0,12707,-2,0,29,2,0.0,0,0.0,0,0,3,0,1,9.0,320182,0,0,0,0,716,50,0,1,165,Huddersfield,Southampton,Everton,Brighton,Stoke,0.0,0.0,0.0,0.0,0.0,0.9,1.2,1.4,1.2,1.7,1.7,0.9,1.0,2.6,1.3,1.4,2.1,1.3,2.0,1.1,1.5,1.1,26.3
,David Silva,MID,MCI,8100000,8,86,5.4,6.66666666666667e-07,1.06172839506173e-05,0,1238494,3,11,0,0,0,3,0,10.6,12534,1,0,86,-1,0.6,0,5.0,12,0,7,0,8,15.9,1722544,0,0,0,2,1336,87922,0,0,343,Swansea,Tottenham,Bournemouth,Newcastle,Crystal Palace,7.1,5.8,6.8,6.5,5.9,5.2,4.7,7.0,7.0,5.9,6.4,5.0,5.8,6.0,6.2,6.6,5.9,5.3,7.3,6.0,8.0,6.3,157.9
Ben,Davies,DEF,TOT,5600000,5,62,5.2,9.285714285714291e-07,1.10714285714286e-05,0,1096594,1,10,0,0,0,2,0,11.1,18085,1,0,62,-1,0.4,0,2.0,6,0,3,0,4,15.6,1490184,0,0,0,3,980,34182,0,0,262,Brighton,Man City,Burnley,Southampton,Swansea,7.5,5.1,6.0,6.7,0.0,13.1,6.3,6.1,6.7,5.5,7.3,6.1,7.8,5.4,6.7,6.1,6.0,5.6,6.3,6.8,6.1,6.5,83.9
Tom,Davies,MID,EVE,5200000,1,24,1.6,3.07692307692308e-07,4.6153846153846195e-06,0,59362,6,13,0,0,0,0,0,4.6,562,-3,0,24,3,0.2,0,1.0,0,0,3,0,2,0.4,30888,0,0,0,0,772,247,0,0,87,Newcastle,Swansea,Chelsea,West Brom,Bournemouth,0.8,1.5,1.0,0.8,0.8,1.0,0.8,1.4,1.2,0.8,1.3,0.8,0.8,1.1,0.8,0.8,0.9,0.9,1.4,0.8,1.1,0.8,23.1
Steven,Davis,MID,SOU,5100000,1,56,3.7,7.254901960784309e-07,1.09803921568627e-05,0,284678,0,13,0,0,0,3,0,11.0,16506,1,0,56,-1,0.5,0,2.4,6,0,4,0,1,4.0,452893,0,0,0,2,1130,4830,0,0,275,Leicester,Chelsea,Huddersfield,Tottenham,Man Utd,3.7,3.3,4.9,2.9,2.3,4.1,3.6,3.3,3.5,3.5,3.1,3.3,3.6,3.7,4.3,3.4,2.7,3.3,3.2,4.0,3.9,2.4,68.6
Craig,Dawson,DEF,WBA,4800000,0,27,1.6875,3.515625e-07,5.625e-06,0,295045,1,10,0,0,0,0,0,5.6,2352,-2,0,27,2,0.0,0,0.0,1,0,3,0,0,1.2,81160,0,0,0,0,810,8,0,0,144,Liverpool,Man Utd,Stoke,Everton,Arsenal,0.0,0.0,1.0,1.2,1.5,1.1,1.7,0.8,0.8,1.3,1.0,1.9,1.3,1.2,0.8,1.4,1.2,0.8,1.4,0.8,1.4,1.9,25.3
Kevin,De Bruyne,MID,MCI,10200000,2,93,5.8,5.68627450980392e-07,9.11764705882353e-06,0,1260765,1,11,0,0,0,4,0,9.1,25973,2,0,93,-2,0.6,0,5.8,11,0,7,0,8,22.0,963547,0,0,0,1,1377,37516,0,0,406,Swansea,Tottenham,Bournemouth,Newcastle,Crystal Palace,7.7,6.5,7.5,7.2,6.6,5.8,5.2,7.7,7.7,6.5,7.1,5.5,6.4,6.6,6.8,7.1,6.5,5.9,7.8,6.6,8.7,7.0,169.3
David,de Gea,GLK,MUN,5800000,2,85,5.3,9.13793103448276e-07,1.46551724137931e-05,0,486080,0,11,0,59,0,0,0,14.7,7349,3,0,85,-3,0.7,0,4.0,7,0,9,0,0,42.8,833731,0,0,0,0,1440,50314,0,0,358,Bournemouth,West Brom,Leicester,Burnley,Southampton,6.8,5.7,4.6,7.6,7.2,3.7,7.5,5.6,5.3,8.0,4.9,7.3,5.7,7.6,5.4,6.8,4.7,8.0,5.0,7.8,5.9,7.3,40.1
Siem,de Jong,MID,NEW,4900000,0,0,0.0,0.0,0.0,0,9475,0,0,0,0,0,0,0,0.0,16,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,516,0,0,0,0,0,0,0,0,0,Everton,Arsenal,West Ham,Man City,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathieu,Debuchy,DEF,ARS,4500000,0,0,0.0,0.0,0.0,0,388,0,0,0,0,0,0,0,0.0,74,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,649,0,0,0,0,0,107,0,0,0,West Ham,Newcastle,Liverpool,Crystal Palace,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy,Deeney,FWD,WAT,6300000,2,27,2.5,3.9682539682539704e-07,4.28571428571429e-06,0,53320,1,10,0,0,0,2,0,4.3,1309,-2,0,27,2,0.3,0,1.8,1,0,0,0,1,0.5,34591,0,0,0,0,517,2403,0,0,100,Crystal Palace,Huddersfield,Brighton,Leicester,Swansea,2.4,2.6,2.3,2.1,1.8,2.2,1.9,2.2,2.9,1.4,2.1,2.6,2.4,1.5,1.9,2.0,1.8,1.9,2.5,1.9,2.3,1.7,40.2
Jermain,Defoe,FWD,BOU,7600000,13,38,2.9,3.8157894736842105e-07,5e-06,0,188801,1,11,0,0,0,3,0,5.0,1108,-4,0,38,4,0.5,0,3.6,4,0,2,0,1,1.6,41820,0,0,0,1,678,4590,0,0,126,Man Utd,Liverpool,Man City,West Ham,Everton,1.9,2.8,2.4,3.4,3.5,2.6,2.9,2.3,2.0,3.6,2.1,3.2,2.5,2.6,3.4,2.9,3.5,2.2,2.9,2.6,2.6,2.2,49.5
Steven,Defour,MID,BUR,5400000,3,41,2.6,4.81481481481482e-07,7.59259259259259e-06,0,21576,3,9,0,0,0,0,0,7.6,289,-1,0,41,1,0.5,0,2.6,0,0,9,0,1,0.3,17032,0,0,0,0,1325,432,0,0,218,Stoke,Brighton,Tottenham,Man Utd,Huddersfield,2.2,1.6,2.0,1.3,1.7,1.9,1.8,2.0,2.0,1.4,2.4,2.1,3.2,1.8,2.0,1.9,2.0,2.3,1.8,2.2,1.4,2.5,46.0
Damien,Delaney,DEF,CRY,4200000,0,0,0.0,0.0,0.0,0,20989,0,4,0,0,0,0,0,0.0,484,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,2829,0,0,0,0,90,18,0,0,19,Watford,Leicester,Swansea,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Fabian,Delph,MID,MCI,4500000,2,32,2.0,4.44444444444444e-07,7.11111111111111e-06,0,65174,0,9,0,0,0,1,0,7.1,3657,0,0,32,0,0.5,0,2.2,0,0,3,0,1,0.9,96170,0,0,0,0,920,4683,0,0,220,Swansea,Tottenham,Bournemouth,Newcastle,Crystal Palace,1.7,1.2,1.5,1.4,1.2,1.0,1.0,1.6,1.6,1.2,1.4,1.0,1.2,1.3,1.3,1.5,1.2,1.0,1.8,1.3,2.0,1.4,41.6
Mousa,Dembele,MID,TOT,4900000,1,21,1.3125,2.67857142857143e-07,4.28571428571429e-06,0,148093,1,10,0,0,0,0,0,4.3,1486,-1,0,21,1,0.4,0,2.2,3,0,1,0,0,1.6,72431,0,0,0,0,699,880,0,0,142,Brighton,Man City,Burnley,Southampton,Swansea,0.7,0.7,0.7,0.7,0.0,1.8,1.2,0.7,0.7,0.7,0.9,0.7,1.2,0.7,0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.8,28.9
Laurent,Depoitre,FWD,HUD,5200000,1,37,2.8,5.384615384615379e-07,7.115384615384621e-06,0,41971,0,19,0,0,0,2,0,7.1,4204,-3,0,37,3,0.3,0,1.6,6,0,3,0,0,0.5,55585,0,0,0,0,907,662,0,0,109,Chelsea,Watford,Southampton,Stoke,Burnley,2.4,2.0,1.8,3.8,2.9,1.7,3.7,2.3,3.1,1.4,3.2,1.8,1.4,3.0,3.7,1.8,1.8,2.8,1.4,3.8,1.6,3.2,42.8
Mohamed,Diame,MID,NEW,4600000,0,13,0.8125,1.76630434782609e-07,2.82608695652174e-06,0,12096,0,7,0,0,0,0,0,2.8,151,-4,0,13,4,0.2,0,1.0,0,0,0,0,0,0.1,2685,0,0,0,0,309,33,0,0,51,Everton,Arsenal,West Ham,Man City,Brighton,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,12.8
Brahim,Diaz,MID,MCI,4700000,0,0,0.0,0.0,0.0,0,3503,0,0,0,0,0,0,0,0.0,31,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.0,1014,0,0,0,0,0,20,0,0,0,Swansea,Tottenham,Bournemouth,Newcastle,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Dier,MID,TOT,4800000,2,34,2.1,4.375e-07,7.08333333333333e-06,0,192599,3,12,0,0,0,0,0,7.1,4602,-2,0,34,2,0.4,0,1.8,0,0,6,0,0,2.6,111004,0,0,0,0,1336,1653,0,0,204,Brighton,Man City,Burnley,Southampton,Swansea,1.6,1.0,1.2,1.5,0.0,3.9,2.4,1.3,1.5,1.0,1.9,1.2,2.4,1.5,1.9,1.2,1.2,1.0,1.1,1.2,1.3,1.7,55.9
Mame Biram,Diouf,FWD,STK,5600000,2,56,3.7,6.607142857142861e-07,1e-05,0,234184,1,33,0,0,0,4,0,10.0,24658,1,0,56,-1,0.5,0,3.0,5,0,2,0,2,5.4,480491,0,0,0,0,1328,19430,0,0,224,Burnley,West Ham,West Brom,Huddersfield,Chelsea,3.2,4.9,4.8,3.0,2.9,4.6,2.8,5.0,3.7,3.8,4.5,3.5,3.8,3.7,5.0,2.5,3.9,3.3,3.8,3.1,4.9,3.4,80.3
Abdoulaye,Doucoure,MID,WAT,5400000,2,69,4.3,7.96296296296296e-07,1.27777777777778e-05,0,667936,4,27,0,0,0,5,0,12.8,36201,4,0,69,-4,0.6,0,3.4,11,0,5,0,0,15.9,1386807,0,0,0,1,1440,34019,0,0,322,Crystal Palace,Huddersfield,Brighton,Leicester,Swansea,4.5,5.7,4.2,4.3,5.1,3.5,4.0,4.4,4.5,3.8,4.5,5.7,4.8,3.7,3.5,4.6,4.1,4.4,4.7,4.0,4.8,3.3,88.5
Aleksandar,Dragovic,DEF,LEI,4900000,0,0,0.0,0.0,0.0,0,1055,0,0,0,0,0,0,0,0.0,40,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,1080,0,0,0,0,0,26,0,0,0,Southampton,Crystal Palace,Man Utd,Watford,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel,Drinkwater,MID,CHE,4800000,0,8,0.5,1.04166666666667e-07,1.66666666666667e-06,0,16447,0,2,0,0,0,0,0,1.7,573,-2,0,8,2,0.3,0,1.2,0,0,0,0,0,0.2,8041,0,0,0,0,217,73,0,0,35,Huddersfield,Southampton,Everton,Brighton,Stoke,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,12.7
Shane,Duffy,DEF,BHA,4600000,1,52,3.3,7.173913043478259e-07,1.1304347826087e-05,0,73272,4,20,0,0,0,0,0,11.3,10576,1,0,52,-1,0.5,0,2.4,5,0,6,0,1,3.1,207237,0,0,0,1,1422,3384,0,0,276,Tottenham,Burnley,Watford,Chelsea,Newcastle,2.9,3.8,3.7,3.1,2.6,3.3,3.1,3.6,3.1,4.8,3.0,3.3,4.0,1.9,2.5,3.4,4.7,3.9,3.8,3.1,3.6,2.7,63.6
Paul,Dummett,DEF,NEW,4200000,0,1,0.0625,1.48809523809524e-08,2.38095238095238e-07,0,36226,0,0,0,0,0,0,0,0.2,137,-3,0,1,3,0.0,0,0.0,0,0,0,0,0,0.1,1332,0,0,0,0,7,33,0,0,4,Everton,Arsenal,West Ham,Man City,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Lewis,Dunk,DEF,BHA,4400000,1,35,2.2,5e-07,7.95454545454546e-06,0,92704,3,21,0,0,0,0,0,8.0,7991,-1,0,35,1,0.2,0,1.0,0,0,5,0,0,2.6,143390,3,0,0,0,1440,5391,0,0,250,Tottenham,Burnley,Watford,Chelsea,Newcastle,1.5,2.1,2.0,1.6,1.4,1.7,1.6,2.0,1.7,2.8,1.6,1.7,2.2,1.1,1.3,1.8,2.7,2.6,2.1,1.6,1.9,1.4,62.8
Nathan,Dyer,MID,SWA,4400000,3,9,0.5625,1.27840909090909e-07,2.04545454545455e-06,0,6242,1,3,0,0,0,0,0,2.0,233,-1,0,9,1,0.2,0,0.8,0,0,1,0,0,0.1,8217,0,0,0,0,300,214,0,0,38,Man City,Everton,Crystal Palace,Liverpool,Watford,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,14.1
,Ederson,GLK,MCI,5500000,3,58,3.6,6.54545454545455e-07,1.05454545454545e-05,0,179017,0,11,0,24,0,0,0,10.5,5174,0,0,58,0,0.6,0,3.2,2,0,6,0,0,5.0,176992,0,0,0,0,1395,6108,0,0,261,Swansea,Tottenham,Bournemouth,Newcastle,Crystal Palace,3.3,4.0,3.4,3.3,4.5,3.9,3.4,3.7,4.5,3.8,3.6,2.8,3.8,3.8,4.5,2.5,3.8,3.6,3.4,4.1,5.0,3.9,20.8
,Eduardo,GLK,CHE,4800000,0,0,0.0,0.0,0.0,0,2797,0,0,0,0,0,0,0,0.0,31,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,728,0,0,0,0,0,13,0,0,0,Huddersfield,Southampton,Everton,Brighton,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas,Edwards,DEF,STK,4000000,0,0,0.0,0.0,0.0,0,1387,0,7,0,0,0,0,0,0.0,130,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2868,0,0,0,0,121,209,0,0,21,Burnley,West Ham,West Brom,Huddersfield,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
Robert,Elliot,GLK,NEW,4100000,0,42,3.2,7.804878048780491e-07,1.02439024390244e-05,0,330453,0,17,0,31,0,0,0,10.0,44608,1,1,42,-1,0.1,0,0.4,2,0,3,0,0,24.3,741481,0,0,0,2,1170,6034,-1,0,212,Everton,Arsenal,West Ham,Man City,Brighton,3.1,2.1,3.1,2.7,4.1,2.9,3.1,2.4,3.7,3.7,3.4,2.5,2.6,3.4,2.7,4.5,2.3,3.8,1.8,4.1,3.7,3.5,25.0
Mohamed,Elneny,MID,ARS,4300000,0,11,0.6875,1.59883720930233e-07,2.55813953488372e-06,0,211521,1,5,0,0,0,0,0,2.6,4963,-2,0,11,2,0.0,0,0.0,0,0,1,0,1,2.5,168195,0,0,0,0,263,2657,0,0,54,West Ham,Newcastle,Liverpool,Crystal Palace,West Brom,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,14.8
Christian,Eriksen,MID,TOT,9300000,8,85,5.3,5.6989247311828e-07,9.13978494623656e-06,0,1300140,0,12,0,0,0,4,0,9.1,18289,-2,0,85,2,0.5,0,4.4,14,0,7,0,4,15.2,1207631,0,0,0,2,1332,24332,0,0,327,Brighton,Man City,Burnley,Southampton,Swansea,6.4,4.1,5.3,6.3,0.0,14.3,8.0,5.7,6.1,4.1,7.2,5.3,8.0,6.1,7.2,5.3,5.4,4.6,5.0,5.5,5.5,6.6,140.3
Jonny,Evans,DEF,WBA,4900000,1,26,2.0,4.08163265306122e-07,5.30612244897959e-06,0,46112,4,20,0,0,0,1,0,5.3,1834,-1,0,26,1,0.3,0,1.6,0,0,2,0,0,0.7,39810,1,0,0,0,1111,412,0,0,203,Liverpool,Man Utd,Stoke,Everton,Arsenal,1.1,1.7,1.3,1.5,2.0,1.4,2.2,1.0,1.0,1.7,1.3,2.4,1.8,1.6,1.1,1.9,1.6,1.0,1.9,1.1,1.8,2.3,32.0
Lukasz,Fabianski,GLK,SWA,4600000,6,69,4.3,9.34782608695652e-07,1.4999999999999999e-05,0,187184,0,18,0,62,0,0,0,15.0,12384,1,0,69,-1,1.0,0,4.8,5,0,6,0,0,8.5,391696,0,0,0,2,1440,13277,0,0,336,Man City,Everton,Crystal Palace,Liverpool,Watford,4.1,3.1,6.3,4.3,5.7,5.3,4.2,5.4,5.6,3.9,5.4,5.2,6.4,4.4,5.0,3.5,4.8,4.7,4.0,5.1,4.2,5.3,43.2
Cesc,Fabregas,MID,CHE,6900000,2,47,3.1,4.4927536231884096e-07,6.8115942028985496e-06,0,561536,1,11,0,0,0,1,0,6.8,15474,-1,0,47,1,0.5,0,3.2,3,0,6,0,3,4.6,369545,0,0,0,1,1136,8942,0,1,279,Huddersfield,Southampton,Everton,Brighton,Stoke,2.4,2.7,3.0,2.8,2.8,2.0,2.9,2.3,3.1,2.7,3.3,1.7,1.8,3.2,2.5,2.6,3.6,2.7,3.9,3.3,2.4,2.8,124.4
Adam,Federici,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,115409,0,0,0,0,0,0,0,0.0,1690,0,0,0,0,0.0,0,0.0,0,0,0,0,0,2.6,12491,0,0,0,0,0,138,0,0,0,Man Utd,Liverpool,Man City,West Ham,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofiane,Feghouli,MID,WHU,5500000,0,0,0.0,0.0,0.0,0,1401,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,77,0,0,0,0,0,1,0,0,0,Arsenal,Stoke,Newcastle,Bournemouth,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
