FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Shane,Duffy,DEF,BHA,4500000,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,Man City,Leicester,Watford,West Brom,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul,Dummett,DEF,NEW,4500000,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,Tottenham,Huddersfield,West Ham,Swansea,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis,Dunk,DEF,BHA,4500000,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,Man City,Leicester,Watford,West Brom,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Dyer,MID,SWA,4500000,0,12,4.34017747806316e-27,9.64483884014035e-34,2.66666666666667e-06,0,0,0,11,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,214,0,0,0,47,Southampton,Man Utd,Crystal Palace,Newcastle,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6
,Ederson,GLK,MCI,5500000,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,Brighton,Everton,Bournemouth,Liverpool,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Eduardo,GLK,CHE,5000000,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,Burnley,Tottenham,Everton,Leicester,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert,Elliot,GLK,NEW,4000000,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,0,0,0,0,0,0,0,0,0,0,Tottenham,Huddersfield,West Ham,Swansea,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed,Elneny,MID,ARS,4500000,0,26,1.8807435738273697e-27,4.17943016406082e-34,5.7777777777777805e-06,0,0,1,9,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,3,0,1,1.5,0,0,0,0,0,694,0,0,0,133,Leicester,Stoke,Liverpool,Bournemouth,Chelsea,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1
Christian,Eriksen,MID,TOT,9500000,0,218,5.73684210526316,6.0387811634349e-07,2.29473684210526e-05,0,0,0,24,0,0,0,8,0,0,0,0,0,218,0,0,0,0,30,0,16,0,20,14.7,0,0,0,0,0,3159,0,0,0,798,Newcastle,Chelsea,Burnley,Everton,Swansea,7.1,6.9,8.0,6.2,7.4,5.1,7.1,7.8,6.4,5.5,7.3,4.7,7.3,6.5,7.1,7.7,8.1,5.2,6.9,7.3,6.2,6.3,7.3,6.2,6.7,5.2,5.8,6.1,8.1,6.7,8.1,5.8,6.6,6.3,7.1,8.1,6.2,7.6,389.7
Jonny,Evans,DEF,WBA,5000000,0,79,2.07894736842105,4.15789473684211e-07,1.58e-05,0,0,8,39,0,0,0,2,0,0,0,0,0,79,0,0,0,0,7,0,4,0,1,0.8,0,0,0,0,0,2637,0,0,0,478,Bournemouth,Burnley,Stoke,Brighton,West Ham,1.1,1.6,2.3,2.6,2.3,1.8,1.6,1.0,1.9,1.8,2.6,1.8,1.3,3.0,2.3,1.7,1.2,1.6,1.9,2.8,2.2,1.9,3.0,2.4,1.4,2.3,1.4,3.0,1.3,1.4,1.0,2.0,2.1,1.3,1.5,2.6,1.7,1.9,100.6
Lukasz,Fabianski,GLK,SWA,4500000,0,116,3.05263157894737,6.78362573099415e-07,2.57777777777778e-05,0,0,1,69,0,117,0,0,0,0,0,0,0,116,0,0,0,0,8,0,8,0,0,4.5,0,0,0,1,0,3330,0,0,0,650,Southampton,Man Utd,Crystal Palace,Newcastle,Tottenham,3.3,3.0,3.4,4.3,2.5,3.0,3.4,4.3,2.6,3.2,4.3,3.0,2.2,2.7,3.4,3.3,3.3,3.8,4.0,2.2,2.4,3.1,3.8,2.8,3.8,2.0,3.6,3.8,4.0,3.8,3.9,2.4,2.7,4.3,2.7,3.3,1.7,3.9,78.1
Cesc,Fabregas,MID,CHE,7000000,0,121,8.75269124742737e-27,1.2503844639182001e-33,1.72857142857143e-05,0,0,8,14,0,0,0,5,0,0,0,0,0,121,0,0,0,0,14,0,4,0,15,9.6,0,0,0,0,0,1340,0,0,0,529,Burnley,Tottenham,Everton,Leicester,Arsenal,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.1
Adam,Federici,GLK,BOU,4000000,0,8,5.78690330408421e-28,1.4467258260210497e-34,2e-06,0,0,1,3,0,5,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,0,5.7,0,0,0,0,0,180,0,0,0,37,West Brom,Watford,Man City,Arsenal,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
Sofiane,Feghouli,MID,WHU,5500000,0,55,1.98924801077895e-26,3.6168145650526285e-33,1e-05,0,0,1,23,0,0,0,3,0,0,0,0,0,55,0,0,0,0,4,0,1,0,3,0.0,0,0,0,0,0,1042,0,0,1,220,Man Utd,Southampton,Newcastle,Huddersfield,West Brom,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9
Marouane,Fellaini,MID,MUN,5000000,0,48,3.47214198245053e-27,6.94428396490105e-34,9.6e-06,0,0,8,14,0,0,0,1,0,0,0,0,0,48,0,0,0,0,0,0,10,0,0,0.5,0,0,0,0,0,1604,0,0,1,259,West Ham,Swansea,Leicester,Stoke,Everton,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9
Leroy,Fer,MID,SWA,5500000,0,95,2.5,4.54545454545455e-07,1.72727272727273e-05,0,0,9,49,0,0,0,6,0,0,0,0,0,95,0,0,0,0,5,0,4,0,2,0.7,0,0,0,0,0,2405,0,0,0,429,Southampton,Man Utd,Crystal Palace,Newcastle,Tottenham,1.7,1.9,1.7,3.5,1.2,2.6,1.3,3.5,2.3,1.2,3.5,2.0,2.4,1.5,1.9,2.2,1.7,1.7,2.1,1.3,2.1,1.6,3.1,1.8,1.5,1.8,2.5,3.1,1.7,3.1,2.2,1.4,1.7,2.1,1.3,2.0,1.9,2.3,128.3
