FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marcos,Alonso,DEF,CHE,7200000,2,146,4.9,6.80555555555556e-07,2.02777777777778e-05,0,1566986,5,27,0,0,0,6,0,20.3,21223,2,0,146,-2,0.2,0,1.5,13,0,12,0,1,19.9,1680254,0,0,0,4,2585,25876,0,0,580,Southampton,Burnley,Swansea,Liverpool,Huddersfield,11.4,0.0,5.2,13.4,4.8,185.2
Daniel,Amartey,MID,LEI,4300000,0,13,1.6,3.7209302325581396e-07,3.02325581395349e-06,0,27811,0,7,0,0,0,0,0,3.0,289,-2,0,13,2,0.0,0,0.0,0,0,3,0,0,0.2,23742,0,0,0,0,486,18,0,1,53,Burnley,Southampton,Crystal Palace,West Ham,Arsenal,0.0,0.0,0.0,0.0,0.0,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,716,0,1,0,0,0,0,0,0.2,12,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,806,0,0,0,0,10,12,0,0,6,Southampton,Burnley,Swansea,Liverpool,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2.0,4e-07,1.2e-06,0,7653,0,3,0,0,0,0,0,1.2,2,0,0,6,0,0.0,0,0.0,0,0,1,0,0,0.0,3629,0,0,0,0,198,1,0,0,11,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,0.0,0.0,0.0,0.0,0.0,8.0
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,52099,0,0,0,0,0,0,0,0.0,156,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.3,59794,0,0,0,0,0,29,0,0,0,Brighton,Watford,Leicester,Stoke,West Brom,0.0,0.0,0.0,0.0,0.0,0.0
,Andre Ayew,MID,SWA,6800000,2,63,1.96875,2.89522058823529e-07,9.26470588235294e-06,0,105122,4,31,0,0,0,3,0,9.3,1069,-2,0,63,2,0.3,1,2.0,2,0,3,0,4,1.0,55838,0,0,0,0,1294,154,0,0,195,Everton,Man City,Chelsea,Bournemouth,Southampton,2.0,1.0,1.3,2.7,1.5,63.7
Michail,Antonio,MID,WHU,7400000,0,62,3.0,4.05405405405405e-07,8.37837837837838e-06,0,89818,1,23,0,0,0,3,0,8.4,620,-1,0,62,1,0.1,0,0.5,1,0,7,0,2,0.2,85807,0,0,0,0,1350,37,0,0,188,Stoke,Arsenal,Man City,Leicester,Man Utd,0.0,0.0,0.0,0.0,0.0,94.6
Scott,Arfield,MID,BUR,4900000,0,56,3.1,6.3265306122449e-07,1.14285714285714e-05,0,44223,3,15,0,0,0,2,0,11.4,307,-1,0,56,1,0.0,0,0.0,6,0,6,0,2,0.2,48015,0,0,0,2,1330,4,0,0,185,Leicester,Chelsea,Stoke,Brighton,Arsenal,0.0,0.0,0.0,0.0,0.0,60.1
Marko,Arnautovic,MID,WHU,7000000,5,114,4.6,6.57142857142857e-07,1.62857142857143e-05,0,1034421,3,40,0,0,0,9,0,16.5,19886,0,-1,114,0,1.5,0,10.5,10,0,5,0,5,5.4,1324164,0,0,0,3,1781,56101,1,1,347,Stoke,Arsenal,Man City,Leicester,Man Utd,5.7,3.5,3.8,9.2,6.6,182.2
Harry,Arter,MID,BOU,4700000,0,27,0.818181818181818,1.74081237911025e-07,5.74468085106383e-06,0,41584,4,13,0,0,0,1,0,5.7,124,-3,0,27,3,0.0,0,0.0,0,0,3,0,0,0.4,14002,0,0,0,0,959,76,0,0,156,Liverpool,Man Utd,Southampton,Swansea,Burnley,0.8,0.0,0.4,0.4,0.4,29.2
Christian,Atsu,MID,NEW,4800000,1,78,2.8,5.83333333333333e-07,1.625e-05,0,529117,1,22,0,0,0,2,0,16.3,2907,-2,0,78,2,0.2,0,1.0,5,0,6,0,4,1.4,453596,0,0,0,1,1776,452,0,0,236,Arsenal,Everton,West Brom,Watford,Tottenham,3.0,2.3,3.1,3.4,2.4,112.9
Pierre-Emerick,Aubameyang,FWD,ARS,10700000,6,45,1.40625,1.3142523364486e-07,4.205607476635511e-06,0,422320,0,8,0,0,0,6,0,4.2,207656,2,1,45,-2,0.9,1,9.5,6,0,2,0,1,11.5,1125813,0,0,0,1,610,47551,-1,0,186,Newcastle,West Ham,Man Utd,Burnley,Leicester,0.7,1.2,0.7,1.7,0.7,63.8
Serge,Aurier,DEF,TOT,5900000,1,75,2.34375,3.97245762711864e-07,1.27118644067797e-05,0,98944,1,12,0,0,0,2,0,12.7,3473,-1,0,75,1,0.1,0,0.5,9,0,6,0,2,0.9,136866,0,0,0,3,1337,1814,0,1,323,Man City,Brighton,Watford,West Brom,Newcastle,3.7,0.0,2.7,3.5,1.9,78.6
Charlie,Austin,FWD,SOU,5800000,5,60,1.875,3.23275862068966e-07,1.03448275862069e-05,0,450014,1,14,0,0,0,7,0,10.3,1557,-7,0,60,7,0.6,0,3.5,9,0,1,0,0,1.4,443849,0,0,0,1,696,36683,0,0,191,Chelsea,Leicester,Bournemouth,Everton,Swansea,2.5,0.0,1.6,2.4,1.3,84.1
Cesar,Azpilicueta,DEF,CHE,6900000,11,154,5.0,7.2463768115942e-07,2.23188405797101e-05,0,1043824,1,31,0,0,0,2,0,22.3,10566,4,0,154,-4,0.9,0,6.0,22,0,13,0,6,21.0,1454376,1,0,0,4,2790,55837,0,0,785,Southampton,Burnley,Swansea,Liverpool,Huddersfield,11.8,0.0,5.3,13.8,4.9,145.7
Daniel,Bachmann,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,3858,0,0,0,0,0,0,0,0.0,90,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,8456,0,0,0,0,0,85,0,0,0,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0
,Badou Ndiaye,MID,STK,5100000,1,18,0.545454545454545,1.06951871657754e-07,3.52941176470588e-06,0,1399,2,12,0,0,0,0,0,3.5,123,-4,0,18,4,0.3,0,1.7,0,0,1,0,1,0.0,2240,0,0,0,0,688,16,0,0,66,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,0.3,0.3,0.3,0.3,0.3,31.7
Eric,Bailly,DEF,MUN,6000000,1,48,1.5,2.5e-07,8e-06,0,890131,2,6,0,0,0,1,0,8.0,2317,0,0,48,0,0.1,0,0.5,3,0,6,0,0,5.9,618785,1,0,0,1,909,6566,0,0,218,West Brom,Bournemouth,Arsenal,Brighton,West Ham,2.0,0.0,1.4,1.7,1.4,31.4
Leighton,Baines,DEF,EVE,5600000,6,57,1.72727272727273,3.08441558441558e-07,1.01785714285714e-05,0,471330,1,29,0,0,0,2,0,10.2,5687,-4,0,57,4,0.5,0,3.0,5,0,3,0,2,3.7,135911,0,0,0,2,1459,3538,0,0,281,Swansea,Newcastle,Huddersfield,Southampton,West Ham,0.9,1.3,0.9,1.5,1.1,67.7
Tiemoue,Bakayoko,MID,CHE,4900000,0,68,2.7,5.510204081632651e-07,1.38775510204082e-05,0,349443,2,20,0,0,0,2,0,13.9,640,-1,0,68,1,0.0,0,0.0,5,0,9,0,2,1.2,358576,0,0,0,1,1761,254,0,1,309,Southampton,Burnley,Swansea,Liverpool,Huddersfield,4.1,0.0,2.0,4.9,2.0,100.1
Sam,Baldock,FWD,BHA,4900000,0,2,0.0625,1.2755102040816298e-08,4.08163265306122e-07,0,2913,0,1,0,0,0,0,0,0.4,47,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,0.0,2550,0,0,0,0,30,61,0,0,4,Crystal Palace,Tottenham,Burnley,Man Utd,Man City,0.0,0.0,0.0,0.0,0.0,0.7
Beni,Baningime,MID,EVE,4500000,1,7,0.212121212121212,4.71380471380471e-08,1.55555555555556e-06,0,505,0,1,0,0,0,0,0,1.6,12,0,0,7,0,0.2,0,0.7,0,0,0,0,0,0.0,635,0,0,0,0,171,22,0,0,20,Swansea,Newcastle,Huddersfield,Southampton,West Ham,0.1,0.1,0.1,0.1,0.1,0.8
Phil,Bardsley,DEF,BUR,4200000,0,33,1.03125,2.45535714285714e-07,7.857142857142861e-06,0,67883,5,13,0,0,0,0,0,7.9,2121,-3,0,33,3,0.0,0,0.0,0,0,4,0,0,0.4,79982,0,0,0,0,1125,313,0,0,193,Leicester,Chelsea,Stoke,Brighton,Arsenal,1.1,0.5,0.7,0.5,0.5,38.3
Ross,Barkley,MID,CHE,7300000,0,1,0.03125,4.280821917808221e-09,1.36986301369863e-07,0,14560,0,1,0,0,0,0,0,0.1,45,-2,0,1,2,0.0,0,0.0,0,0,0,0,0,0.1,5567,0,0,0,0,53,33,0,0,4,Southampton,Burnley,Swansea,Liverpool,Huddersfield,0.0,0.0,0.0,0.0,0.0,3.9
Ashley,Barnes,FWD,BUR,5400000,2,74,2.4,4.44444444444444e-07,1.3703703703703699e-05,0,134331,8,18,0,0,0,7,0,13.7,9244,-1,0,74,1,0.7,0,4.0,6,0,4,0,0,5.2,380319,0,0,0,0,1792,63732,0,0,232,Leicester,Chelsea,Stoke,Brighton,Arsenal,3.9,2.2,2.5,1.4,2.4,122.0
Modou,Barrow,MID,SWA,5000000,0,0,0.0,0.0,0.0,0,272,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,53,0,0,0,0,0,1,0,0,0,Everton,Man City,Chelsea,Bournemouth,Southampton,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,WBA,4500000,0,56,2.2,4.88888888888889e-07,1.24444444444444e-05,0,135151,4,35,0,0,0,1,0,12.4,979,0,0,56,0,0.0,0,0.0,0,0,4,0,2,0.8,70645,0,0,0,0,1921,12,0,0,287,Man Utd,Liverpool,Newcastle,Tottenham,Crystal Palace,0.0,0.0,0.0,0.0,0.0,82.0
Kyle,Bartley,DEF,SWA,4300000,0,4,0.125,2.9069767441860498e-08,9.30232558139535e-07,0,5772,2,3,0,0,0,0,0,0.9,27,-2,0,4,2,0.0,0,0.0,0,0,0,0,0,0.1,1386,0,0,0,0,210,21,0,0,25,Everton,Man City,Chelsea,Bournemouth,Southampton,0.1,0.1,0.1,0.2,0.1,10.5
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.5925925925925896e-07,3.08641975308642e-06,0,181814,0,7,0,0,0,2,0,3.1,67,-4,0,25,4,0.0,0,0.0,3,0,1,0,1,0.5,121639,1,0,0,1,351,4,0,0,77,Southampton,Burnley,Swansea,Liverpool,Huddersfield,0.0,0.0,0.0,0.0,0.0,25.7
Moritz,Bauer,DEF,STK,4500000,1,25,0.7575757575757579,1.6835016835016802e-07,5.55555555555556e-06,0,32454,2,14,0,0,0,0,0,5.6,3501,0,0,25,0,0.2,0,0.7,0,0,3,0,0,0.5,60551,0,0,0,0,900,278,0,0,138,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,0.4,0.4,0.4,0.6,0.4,30.4
Jan,Bednarek,DEF,SOU,4100000,0,0,0.0,0.0,0.0,0,9830,0,0,0,0,0,0,0,0.0,82,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,2954,0,0,0,0,0,181,0,0,0,Chelsea,Leicester,Bournemouth,Everton,Swansea,0.0,0.0,0.0,0.0,0.0,0.0
