FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4500000,0,0,0.0,0.0,0.0,0,1378,0,0,0,0,0,0,0,0.0,1378,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3,290,0,0,0,0,0,290,0,0,0,Huddersfield,West Ham,Swansea,Stoke,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy,Abraham,FWD,SWA,5500000,2,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,13624,0,0,0,0,0,0,0,0.4,13624,0,0,2,0,0.4,0,2,0,0,1,0,0,2.6,5050,0,0,0,0,80,5050,0,0,6,Man Utd,Crystal Palace,Newcastle,Tottenham,Watford,1.2,2.3,2.5,1.0,1.8,2.5,1.1,2.8,1.9,2.8,1.5,1.9,2.3,1.7,1.1,1.0,1.0,2.7,2.5,1.4,1.0,2.2,2.8,2.3,2.5,1.9,2.5,2.8,1.0,1.1,1.0,1.0,1.2,1.0,2.7,1.5,2.1,3.5
Charlie,Adam,MID,STK,5000000,0,0,0.0,0.0,0.0,0,961,0,0,0,0,0,0,0,0.0,961,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,140,0,0,0,0,0,140,0,0,0,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adam Smith,DEF,BOU,5000000,1,1,0.33333333333333304,6.66666666666667e-08,2e-07,0,5129,0,0,0,0,0,0,0,0.2,5129,0,0,1,0,0.2,0,1,0,0,0,0,0,1.1,403,0,0,0,0,10,403,0,0,2,Watford,Man City,Arsenal,Brighton,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
,Adrian,GLK,WHU,4500000,0,0,0.0,0.0,0.0,0,2233,0,0,0,0,0,0,0,0.0,2233,0,0,0,0,0.0,0,0,0,0,0,0,0,0.6,218,0,0,0,0,0,218,0,0,0,Southampton,Newcastle,Huddersfield,West Brom,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,5000000,0,0,0.0,0.0,0.0,0,164,0,0,0,0,0,0,0,0.0,164,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,39,0,0,0,0,0,39,0,0,0,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,6000000,2,2,2.0,3.3333333333333304e-07,3.3333333333333304e-07,0,5655,0,1,0,0,0,0,0,0.3,5655,0,0,2,0,0.3,0,2,0,0,0,0,0,0.6,974,0,0,0,0,63,974,0,0,7,Watford,Man City,Arsenal,Brighton,Everton,1.8,1.0,1.9,2.8,1.0,2.8,1.0,1.7,2.7,2.2,1.1,1.0,1.9,1.1,2.3,1.0,2.8,1.0,2.8,1.2,2.5,2.3,2.5,2.3,2.1,1.0,2.5,2.5,1.0,1.1,1.4,2.7,2.5,1.2,1.0,1.0,1.5,2.7
Sergio,Aguero,FWD,MCI,11500000,9,9,9.0,7.826086956521741e-07,7.826086956521741e-07,0,24742,0,0,0,0,0,1,0,0.8,24742,0,0,9,0,0.8,0,9,3,0,1,0,0,12.1,39553,0,0,0,0,82,39553,0,0,33,Everton,Bournemouth,Liverpool,Watford,Crystal Palace,11.9,11.2,12.8,11.2,12.8,11.2,12.8,12.8,9.4,12.8,11.2,9.8,11.2,12.8,10.2,9.2,10.4,12.8,11.2,11.2,12.8,11.2,12.8,11.1,11.2,12.8,11.2,12.8,11.2,12.8,10.2,11.9,8.6,11.0,11.2,11.5,9.5,9.6
Nathan,Ake,DEF,BOU,5000000,3,3,3.0,6e-07,6e-07,0,17114,0,1,0,0,0,0,0,0.6,17114,0,0,3,0,0.6,0,3,1,0,0,0,0,8.4,14319,0,0,0,0,90,14319,0,0,25,Watford,Man City,Arsenal,Brighton,Everton,2.9,2.5,1.5,4.3,1.5,1.6,3.7,3.0,2.4,3.3,1.9,3.0,2.2,4.3,3.7,1.5,2.2,2.0,4.3,1.9,3.7,1.8,3.7,1.9,3.6,1.5,3.9,1.5,4.3,4.3,2.3,4.3,1.6,1.7,3.7,3.6,1.6,4.1
Marc,Albrighton,MID,LEI,5500000,5,5,5.0,9.09090909090909e-07,9.09090909090909e-07,0,7636,0,4,0,0,0,0,0,0.9,7636,0,0,5,0,0.9,0,5,0,0,0,0,1,3.2,68830,0,0,0,0,87,68830,0,0,20,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,6.7,3.1,7.1,4.6,4.8,6.2,5.2,5.8,7.1,6.2,5.6,6.2,4.5,6.0,6.2,5.4,7.1,4.0,4.5,3.9,5.6,6.2,5.5,6.2,6.7,4.6,7.1,7.1,4.2,4.8,5.8,7.1,5.1,6.4,6.2,7.1,3.5,5.3
Toby,Alderweireld,DEF,TOT,6000000,7,7,7.0,1.16666666666667e-06,1.16666666666667e-06,0,19840,0,0,0,0,0,0,0,1.2,19840,0,0,7,0,1.2,0,7,1,0,1,0,0,15.8,36471,0,0,0,0,90,36471,0,0,30,Chelsea,Burnley,Everton,Swansea,West Ham,8.5,8.0,5.8,9.9,8.7,5.8,9.9,8.0,5.4,9.9,5.6,9.9,5.1,8.2,9.9,9.9,7.5,6.6,9.9,9.9,8.7,7.2,8.7,6.8,6.6,7.0,8.7,7.2,8.7,9.9,7.1,8.7,8.8,8.7,9.5,8.7,6.5,4.1
Trent,Alexander-Arnold,DEF,LIV,4500000,0,0,0.0,0.0,0.0,0,9481,1,2,0,0,0,0,0,0.0,9481,0,0,0,0,0.0,0,0,0,0,0,0,0,3.3,34313,0,0,0,0,90,34313,0,0,9,Crystal Palace,Arsenal,Man City,Burnley,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2
Joe,Allen,MID,STK,5500000,1,1,1.0,1.81818181818182e-07,1.81818181818182e-07,0,21318,1,1,0,0,0,0,0,0.2,21318,0,0,1,0,0.2,0,1,0,0,0,0,0,4.1,1549,0,0,0,0,90,1549,0,0,9,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,0.5,0.5,0.5,0.9,0.7,0.5,0.5,0.8,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.7,0.5,0.5,0.5,1.1,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.8,0.5,3.3
Bamidele,Alli,MID,TOT,9500000,8,8,8.0,8.42105263157895e-07,8.42105263157895e-07,0,37214,0,0,0,0,0,1,0,0.8,37214,0,0,8,0,0.8,0,8,0,0,1,0,0,37.4,52703,0,0,0,0,81,52703,0,0,25,Chelsea,Burnley,Everton,Swansea,West Ham,11.4,11.4,9.9,11.4,9.9,9.3,11.4,9.6,6.6,11.4,8.0,10.1,9.9,9.1,11.4,11.4,9.3,9.9,11.4,11.4,9.9,11.4,9.9,8.2,8.0,9.6,9.9,10.8,9.9,11.4,9.9,9.9,10.8,9.9,10.6,8.5,11.4,9.0
Marcos,Alonso,DEF,CHE,7000000,0,0,0.0,0.0,0.0,0,71736,1,3,0,0,0,0,0,0.0,71736,0,0,0,0,0.0,0,0,0,0,0,0,0,11.7,7160,0,0,0,0,90,7160,0,0,12,Tottenham,Everton,Leicester,Arsenal,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1
Daniel,Amartey,MID,LEI,4500000,1,1,0.33333333333333304,7.40740740740741e-08,2.22222222222222e-07,0,1242,0,2,0,0,0,0,0,0.2,1242,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,720,0,0,0,0,18,720,0,0,2,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6
Nordin,Amrabat,MID,WAT,5000000,2,2,2.0,4e-07,4e-07,0,641,0,3,0,0,0,0,0,0.4,641,0,0,2,0,0.4,0,2,0,0,0,0,0,0.1,1337,0,0,0,0,90,1337,0,0,-2,Bournemouth,Brighton,Southampton,Man City,Swansea,1.9,1.8,1.3,1.4,1.4,1.0,1.1,1.7,2.2,1.7,2.1,2.5,1.0,1.0,1.2,1.9,1.4,1.4,1.5,1.8,1.0,1.6,1.2,1.8,2.1,1.7,2.1,1.2,1.0,1.0,2.3,1.5,1.0,2.3,1.0,2.8,1.0,2.6
Michail,Antonio,MID,WHU,7500000,0,0,0.0,0.0,0.0,0,880,0,0,0,0,0,0,0,0.0,880,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,1391,0,0,0,0,0,1391,0,0,0,Southampton,Newcastle,Huddersfield,West Brom,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5000000,0,0,0.0,0.0,0.0,0,376,1,1,0,0,0,0,0,0.0,376,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,74,0,0,0,0,15,74,0,0,-1,West Brom,Tottenham,Crystal Palace,Liverpool,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Marko,Arnautovic,MID,WHU,7000000,2,2,2.0,2.85714285714286e-07,2.85714285714286e-07,0,8734,0,4,0,0,0,0,0,0.3,8734,0,0,2,0,0.3,0,2,0,0,0,0,0,2.3,20444,0,0,0,0,90,20444,0,0,8,Southampton,Newcastle,Huddersfield,West Brom,Tottenham,1.3,2.5,1.4,1.0,1.0,1.8,1.2,1.8,1.9,1.1,1.0,1.5,1.7,1.0,2.1,1.1,1.8,2.8,1.9,1.0,1.2,1.0,2.3,2.3,1.4,1.3,1.0,1.4,1.5,1.0,1.6,1.7,2.2,1.0,1.4,1.2,2.1,4.2
Harry,Arter,MID,BOU,5000000,1,1,1.0,2e-07,2e-07,0,2910,1,1,0,0,0,0,0,0.2,2910,0,0,1,0,0.2,0,1,0,0,0,0,0,0.9,1057,0,0,0,0,90,1057,0,0,13,Watford,Man City,Arsenal,Brighton,Everton,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.7,0.9,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.8,0.5,1.1,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.6,0.5,2.6
Christian,Atsu,MID,NEW,5000000,2,2,2.0,4e-07,4e-07,0,9659,0,2,0,0,0,0,0,0.4,9659,0,0,2,0,0.4,0,2,0,0,0,0,0,3.0,25789,0,0,0,0,90,25789,0,0,-4,Huddersfield,West Ham,Swansea,Stoke,Brighton,1.0,2.1,1.4,2.2,1.4,1.1,1.3,2.3,1.2,2.3,1.0,1.3,1.0,1.7,1.5,2.1,1.0,1.7,1.4,1.8,1.8,1.8,1.0,1.5,1.9,1.0,1.9,1.0,1.6,1.0,1.4,1.2,1.1,1.7,1.2,1.0,2.1,4.1
Charlie,Austin,FWD,SOU,6400000,1,1,1.0,1.5625e-07,1.5625e-07,0,15408,0,0,0,0,0,0,0,0.2,15408,-1,1,1,1,0.2,0,1,0,0,0,0,0,1.0,871,0,0,0,0,21,871,-1,0,2,West Ham,Huddersfield,Watford,Crystal Palace,Man Utd,1.4,0.5,0.6,0.8,0.5,0.5,0.9,0.5,1.0,0.6,0.9,0.5,0.5,0.5,0.8,1.2,0.8,0.5,0.5,0.5,1.0,0.5,0.5,1.2,0.5,1.1,0.5,0.7,0.7,0.5,1.2,0.6,1.0,1.0,0.6,0.5,0.5,0.7
Andre,Ayew,MID,WHU,7000000,2,2,2.0,2.85714285714286e-07,2.85714285714286e-07,0,8688,0,4,0,0,0,0,0,0.3,8688,0,0,2,0,0.3,0,2,0,0,0,0,0,2.0,2285,0,0,0,0,90,2285,0,0,7,Southampton,Newcastle,Huddersfield,West Brom,Tottenham,1.3,2.5,1.4,1.0,1.0,1.8,1.2,1.8,1.9,1.1,1.0,1.5,1.7,1.0,2.1,1.1,1.8,2.8,1.9,1.0,1.2,1.0,2.3,2.3,1.4,1.3,1.0,1.4,1.5,1.0,1.6,1.7,2.2,1.0,1.4,1.2,2.1,1.0
Jordan,Ayew,FWD,SWA,5000000,2,2,2.0,4e-07,4e-07,0,13109,0,0,0,0,0,0,0,0.4,13109,0,0,2,0,0.4,0,2,0,0,1,0,0,1.9,6678,0,0,0,0,90,6678,0,0,0,Man Utd,Crystal Palace,Newcastle,Tottenham,Watford,1.2,2.3,2.5,1.0,1.8,2.5,1.1,2.8,1.9,2.8,1.5,1.9,2.3,1.7,1.1,1.0,1.0,2.7,2.5,1.4,1.0,2.2,2.8,2.3,2.5,1.9,2.5,2.8,1.0,1.1,1.0,1.0,1.2,1.0,2.7,1.5,2.1,0.8
Cesar,Azpilicueta,DEF,CHE,6500000,1,1,1.0,1.53846153846154e-07,1.53846153846154e-07,0,46276,0,3,0,0,0,0,0,0.2,46276,0,0,1,0,0.2,0,1,0,0,0,0,0,10.3,7262,0,0,0,0,90,7262,0,0,16,Tottenham,Everton,Leicester,Arsenal,Stoke,1.2,0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.9,0.5,0.7,0.8,0.7,0.5,0.9,0.5,1.1,0.7,0.5,0.5,0.9,0.7,0.5,1.1,0.5,0.5,1.1,0.5,1.4,0.9,0.7,0.5,0.5,0.5,0.6,3.7
Eric,Bailly,DEF,MUN,6000000,5,5,5.0,8.33333333333333e-07,8.33333333333333e-07,0,18599,1,0,0,0,0,0,0,0.8,18599,0,0,5,0,0.8,0,5,0,0,1,0,0,9.1,22851,0,0,0,0,90,22851,0,0,21,Swansea,Leicester,Stoke,Everton,Southampton,6.2,3.8,6.2,4.3,6.2,7.1,3.9,3.4,7.1,4.3,7.1,7.1,5.1,3.2,5.5,7.1,6.2,2.9,4.8,7.1,3.4,7.1,3.9,6.2,4.3,6.2,5.3,6.2,4.8,6.2,7.1,4.5,7.1,6.2,4.2,6.2,6.0,1.3
Leighton,Baines,DEF,EVE,6000000,6,6,6.0,1e-06,1e-06,0,22154,0,0,0,0,0,0,0,1.0,22154,0,0,6,0,1.0,0,6,0,0,1,0,0,11.0,11868,0,0,0,0,90,11868,0,0,18,Man City,Chelsea,Tottenham,Man Utd,Bournemouth,5.9,5.7,8.5,4.2,8.5,6.4,7.4,5.6,4.0,7.8,7.4,7.4,8.5,5.7,5.2,7.4,8.5,6.9,7.4,7.4,5.4,7.4,8.5,5.1,4.4,8.5,6.6,5.2,8.5,7.4,7.1,6.4,7.4,8.5,4.6,8.5,7.4,1.8
Tiemoue,Bakayoko,MID,CHE,5000000,0,0,0.0,0.0,0.0,0,5012,0,0,0,0,0,0,0,0.0,5012,0,0,0,0,0.0,0,0,0,0,0,0,0,0.5,1155,0,0,0,0,0,1155,0,0,0,Tottenham,Everton,Leicester,Arsenal,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam,Baldock,FWD,BHA,5000000,0,0,0.0,0.0,0.0,0,266,0,0,0,0,0,0,0,0.0,266,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,47,0,0,0,0,0,47,0,0,0,Leicester,Watford,West Brom,Bournemouth,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,BUR,4500000,0,0,0.0,0.0,0.0,0,811,0,0,0,0,0,0,0,0.0,811,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,132,0,0,0,0,0,132,0,0,0,West Brom,Tottenham,Crystal Palace,Liverpool,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross,Barkley,MID,EVE,7500000,0,0,0.0,0.0,0.0,0,3012,0,0,0,0,0,0,0,0.0,3012,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,196,0,0,0,0,0,196,0,0,0,Man City,Chelsea,Tottenham,Man Utd,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley,Barnes,FWD,BUR,5500000,0,0,0.0,0.0,0.0,0,8963,0,0,0,0,0,0,0,0.0,8963,0,0,0,0,0.0,0,0,0,0,0,0,0,0.7,408,0,0,0,0,0,408,0,0,0,West Brom,Tottenham,Crystal Palace,Liverpool,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modou,Barrow,MID,SWA,5000000,0,0,0.0,0.0,0.0,0,105,0,0,0,0,0,0,0,0.0,105,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0,4,0,0,0,Man Utd,Crystal Palace,Newcastle,Tottenham,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,WBA,4500000,0,0,0.0,0.0,0.0,0,19197,0,0,0,0,0,0,0,0.0,19197,0,0,0,0,0.0,0,0,0,0,0,0,0,1.8,1240,0,0,0,0,0,1240,0,0,0,Burnley,Stoke,Brighton,West Ham,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle,Bartley,DEF,SWA,4500000,1,1,0.33333333333333304,7.40740740740741e-08,2.22222222222222e-07,0,516,0,0,0,0,0,0,0,0.2,516,0,0,1,0,0.2,0,1,0,0,0,0,0,0.1,157,0,0,0,0,9,157,0,0,4,Man Utd,Crystal Palace,Newcastle,Tottenham,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.7
Michy,Batshuayi,FWD,CHE,8400000,1,1,1.0,1.19047619047619e-07,1.19047619047619e-07,0,30076,0,3,0,0,0,0,0,0.1,30076,-1,1,1,1,0.1,0,1,0,0,0,0,0,1.1,972,0,0,0,0,58,972,-1,0,1,Tottenham,Everton,Leicester,Arsenal,Stoke,0.5,0.5,1.0,0.8,0.5,0.5,0.8,0.6,0.5,0.5,0.5,0.9,0.5,0.9,1.2,0.5,0.5,0.5,1.2,0.7,0.6,1.2,1.0,0.6,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.4,0.5,0.5,0.5,1.1,0.7,1.6
Jan,Bednarek,DEF,SOU,4500000,0,0,0.0,0.0,0.0,0,1658,0,0,0,0,0,0,0,0.0,1658,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,124,0,0,0,0,0,124,0,0,0,West Ham,Huddersfield,Watford,Crystal Palace,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asmir,Begovic,GLK,BOU,4500000,3,3,3.0,6.66666666666667e-07,6.66666666666667e-07,0,8515,0,1,0,5,0,0,0,0.7,8515,0,0,3,0,0.7,0,3,0,0,0,0,0,5.9,10868,0,0,0,0,90,10868,0,0,19,Watford,Man City,Arsenal,Brighton,Everton,2.9,2.5,1.5,4.3,1.5,1.6,3.7,3.0,2.4,3.3,1.9,3.0,2.2,4.3,3.7,1.5,2.2,2.0,4.3,1.9,3.7,1.8,3.7,1.9,3.6,1.5,3.9,1.5,4.3,4.3,2.3,4.3,1.6,1.7,3.7,3.6,1.6,3.5
Valon,Behrami,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,2144,0,0,0,0,0,0,0,0.0,2144,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,492,0,0,0,0,0,492,0,0,0,Bournemouth,Brighton,Southampton,Man City,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hector,Bellerin,DEF,ARS,6000000,1,1,1.0,1.66666666666667e-07,1.66666666666667e-07,0,42654,0,3,0,0,0,0,0,0.2,42654,0,0,1,0,0.2,0,1,0,0,0,0,0,14.0,14241,0,0,0,0,90,14241,0,0,9,Stoke,Liverpool,Bournemouth,Chelsea,West Brom,0.5,0.5,0.7,0.5,1.1,1.1,0.5,0.5,0.7,0.5,1.4,0.5,0.5,0.5,0.7,0.7,0.8,0.5,0.9,0.9,0.5,0.5,1.1,0.5,0.5,1.2,0.5,0.9,0.5,0.5,0.7,0.9,0.6,0.9,0.5,0.5,0.5,7.0
Yohan,Benalouane,DEF,LEI,4500000,0,0,0.0,0.0,0.0,0,493,0,0,0,0,0,0,0,0.0,493,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,58,0,0,0,0,0,58,0,0,0,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Benteke,FWD,CRY,8000000,2,2,2.0,2.5e-07,2.5e-07,0,91319,0,3,0,0,0,0,0,0.3,91319,0,0,2,0,0.3,0,2,0,0,0,0,0,7.9,4089,0,0,0,0,90,4089,0,0,-2,Liverpool,Swansea,Burnley,Southampton,Man City,2.5,1.0,1.5,1.1,1.0,1.0,2.7,2.2,2.8,1.0,1.2,2.1,2.5,1.0,1.9,1.8,2.5,1.0,2.3,1.0,1.0,1.9,1.9,2.5,2.5,1.0,1.0,1.2,2.3,1.0,2.8,1.5,2.8,1.4,2.8,1.7,1.1,3.8
Saido,Berahino,FWD,STK,6000000,2,2,2.0,3.3333333333333304e-07,3.3333333333333304e-07,0,4272,0,1,0,0,0,0,0,0.3,4272,0,0,2,0,0.3,0,2,0,0,0,0,0,0.6,1049,0,0,0,0,71,1049,0,0,6,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,2.3,1.0,1.2,2.2,2.7,1.1,1.0,1.9,1.4,2.8,2.5,2.3,2.8,1.0,1.0,1.5,2.8,1.1,1.0,2.3,2.5,1.0,1.1,1.8,1.5,2.8,2.5,1.0,1.0,1.2,1.9,1.0,2.5,1.9,2.5,2.7,1.0,2.3
