FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Eldin,Jakupovic,GLK,LEI,4500000,0,0,0.0,0.0,0.0,0,1295,0,0,0,0,0,0,0,0.0,1295,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3,97,0,0,0,0,0,97,0,0,0,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matty,James,MID,LEI,4500000,2,2,2.0,4.44444444444444e-07,4.44444444444444e-07,0,1122,0,2,0,0,0,0,0,0.4,1122,0,0,2,0,0.4,0,2,0,0,0,0,0,0.3,2573,0,0,0,0,81,2573,0,0,5,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,1.8,1.0,2.1,1.0,1.1,1.9,1.2,1.4,2.1,1.8,1.4,1.7,1.0,1.5,2.5,1.3,2.3,1.0,1.0,1.0,1.4,1.7,1.3,1.7,1.8,1.0,2.2,2.3,1.0,1.1,1.4,2.8,1.2,1.6,1.9,2.1,1.0,1.0
Daryl,Janmaat,DEF,WAT,5000000,1,1,0.33333333333333304,6.66666666666667e-08,2e-07,0,3561,0,0,0,0,0,0,0,0.2,3561,0,0,1,0,0.2,0,1,0,0,0,0,0,0.2,196,0,0,0,0,17,196,0,0,4,Bournemouth,Brighton,Southampton,Man City,Swansea,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Vincent,Janssen,FWD,TOT,7500000,0,0,0.0,0.0,0.0,0,2314,0,0,0,0,0,0,0,0.0,2314,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3,218,0,0,0,0,0,218,0,0,0,Chelsea,Burnley,Everton,Swansea,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carl,Jenkinson,DEF,ARS,4500000,0,0,0.0,0.0,0.0,0,2218,0,0,0,0,0,0,0,0.0,2218,0,0,0,0,0.0,0,0,0,0,0,0,0,0.4,436,0,0,0,0,0,436,0,0,0,Stoke,Liverpool,Bournemouth,Chelsea,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Jese,MID,STK,6000000,0,0,0.0,0.0,0.0,0,238,0,0,0,0,0,0,0,0.0,238,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,3716,0,0,0,0,0,3716,0,0,0,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Jesus,FWD,MCI,10500000,1,1,1.0,9.52380952380952e-08,9.52380952380952e-08,0,81522,1,0,0,0,0,0,0,0.1,81522,0,0,1,0,0.1,0,1,0,0,1,0,0,10.9,10847,0,0,0,0,77,10847,0,0,-4,Everton,Bournemouth,Liverpool,Watford,Crystal Palace,0.5,0.5,1.1,0.5,1.0,0.8,0.7,0.6,0.5,0.8,1.0,0.5,0.5,1.4,0.5,0.5,0.5,0.6,0.7,0.8,0.6,0.9,0.9,0.5,0.5,1.2,0.6,1.0,0.5,1.2,0.5,0.5,0.5,0.5,1.2,0.5,0.5,7.8
,Joel Pereira,GLK,MUN,4000000,0,0,0.0,0.0,0.0,0,3112,0,0,0,0,0,0,0,0.0,3112,0,0,0,0,0.0,0,0,0,0,0,0,0,0.9,615,0,0,0,0,0,615,0,0,0,Swansea,Leicester,Stoke,Everton,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glen,Johnson,DEF,STK,4500000,0,0,0.0,0.0,0.0,0,5036,0,0,0,0,0,0,0,0.0,5036,0,0,0,0,0.0,0,0,0,0,0,0,0,0.7,337,0,0,0,0,0,337,0,0,0,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Jones,DEF,MUN,5000000,6,6,6.0,1.2e-06,1.2e-06,0,6188,0,0,0,0,0,0,0,1.2,6188,0,0,6,0,1.2,0,6,0,0,1,0,0,2.1,52220,0,0,0,0,90,52220,0,0,27,Swansea,Leicester,Stoke,Everton,Southampton,7.4,5.1,7.4,5.7,7.4,8.5,5.2,4.6,8.5,5.7,8.5,8.5,6.6,4.4,7.1,8.5,7.4,4.0,6.4,8.5,4.6,8.5,5.2,7.4,5.7,7.4,6.9,7.4,6.4,7.4,8.5,5.9,8.5,7.4,5.6,7.4,7.8,2.0
