FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Danny,Simpson,DEF,LEI,4900000,1,29,2.2,4.4897959183673497e-07,5.91836734693878e-06,0,62915,4,19,0,0,0,0,0,5.9,2753,-1,0,29,1,0.4,0,2.0,1,0,3,0,1,1.5,18468,0,390,0,0,1105,213,0,0,187,Man City,Bournemouth,Stoke,Everton,West Ham,1.8,1.3,2.0,2.5,3.0,1.4,1.9,1.4,1.1,1.7,1.4,3.2,2.4,2.5,2.1,2.6,2.1,1.1,1.5,2.4,1.5,2.2,1.2,2.8
Joshua,Sims,MID,SOU,4500000,1,7,0.166666666666667,3.7037037037037e-08,1.55555555555556e-06,0,1574,0,1,0,0,0,0,0,1.6,1177,0,0,7,0,0.8,0,3.5,0,0,1,0,1,0.2,8546,0,0,0,0,115,1018,0,0,31,Middlesbrough,Stoke,Bournemouth,Tottenham,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jerome,Sinclair,FWD,WAT,4800000,1,1,0.0238095238095238,4.960317460317461e-09,2.0833333333333302e-07,0,14101,0,0,0,0,0,0,0,0.2,308,-2,0,1,2,0.1,0,0.3,0,0,0,0,0,0.3,5095,0,0,0,0,1,243,0,0,3,Everton,Man City,Sunderland,Crystal Palace,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moussa,Sissoko,MID,TOT,6700000,4,16,0.38095238095238104,5.6858564321250903e-08,2.38805970149254e-06,0,10747,1,1,0,0,0,0,0,2.4,162,-3,0,16,3,0.2,0,1.3,0,0,3,0,1,0.1,10463,0,0,0,0,346,171,0,0,44,Man Utd,Hull City,Burnley,Southampton,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Islam,Slimani,FWD,LEI,8300000,2,37,0.880952380952381,1.061388410786e-07,4.4578313253012e-06,0,111116,0,9,0,0,0,4,0,4.5,4454,-2,0,37,2,0.3,0,2.3,4,0,3,0,1,0.8,124266,0,0,0,1,538,912,0,0,134,Man City,Bournemouth,Stoke,Everton,West Ham,0.6,0.4,0.4,0.6,0.6,0.4,0.4,0.4,0.4,0.5,0.4,0.7,0.7,0.4,0.4,0.4,0.7,0.4,0.4,0.5,0.4,0.5,0.4,0.6
Chris,Smalling,DEF,MUN,5800000,0,19,0.452380952380952,7.79967159277504e-08,3.27586206896552e-06,0,46561,0,9,0,0,0,1,0,3.3,1296,-2,0,19,2,0.0,0,0.0,0,0,1,0,0,1.0,15849,0,381,0,0,453,108,0,0,105,Tottenham,Crystal Palace,West Brom,Sunderland,Middlesbrough,0.0,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2
Adam,Smith,DEF,BOU,4800000,1,43,3.3,6.875e-07,8.95833333333333e-06,0,232199,5,22,0,0,0,1,0,9.0,9390,3,0,43,-3,0.1,0,0.7,3,0,3,0,3,10.9,549194,0,297,0,1,1170,9185,0,0,259,Burnley,Leicester,Southampton,Chelsea,Swansea,2.2,3.7,4.6,2.2,2.7,4.7,3.0,4.0,4.1,2.3,3.4,3.0,2.0,4.9,3.8,2.8,3.4,3.6,2.4,3.7,2.0,4.6,4.6,1.6
Bradley,Smith,DEF,BOU,4000000,0,0,0.0,0.0,0.0,0,119857,1,2,0,0,0,0,0,0.0,2560,0,0,0,0,0.0,0,0.0,0,0,0,0,0,3.2,62834,0,35,0,0,80,1575,0,0,2,Burnley,Leicester,Southampton,Chelsea,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert,Snodgrass,MID,HUL,5600000,2,58,4.5,8.035714285714291e-07,1.03571428571429e-05,0,385968,1,26,0,0,0,4,0,10.4,15324,1,0,58,-1,0.4,0,2.0,9,0,2,0,1,5.1,500412,0,0,0,1,1102,7864,0,0,212,Crystal Palace,Tottenham,West Ham,Man City,Everton,4.5,3.3,4.0,3.8,5.5,4.3,5.5,3.4,4.8,3.8,3.5,6.1,4.7,4.9,3.9,4.6,5.0,3.9,4.5,5.3,4.0,6.4,4.3,4.5
Ramadan,Sobhi,MID,STK,4900000,0,10,0.23809523809523803,4.8590864917395496e-08,2.04081632653061e-06,0,33265,0,2,0,0,0,0,0,2.0,1059,-6,0,10,6,0.0,0,0.0,0,0,1,0,1,0.4,10342,0,0,0,0,164,70,0,0,41,Arsenal,Southampton,Leicester,Liverpool,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
