FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Jermain,Defoe,FWD,BOU,7600000,0,42,1.44827586206897,1.90562613430127e-07,5.52631578947368e-06,0,209646,1,15,0,0,0,3,0,5.5,261,-4,0,42,4,0.0,0,0.3,4,0,2,0,1,1.4,47172,0,0,0,1,804,193,0,0,132,Tottenham,West Brom,Watford,Crystal Palace,Liverpool,0.9,1.2,0.8,1.1,0.7,1.0,0.9,1.0,0.7,61.9
Steven,Defour,MID,BUR,5400000,0,62,2.6,4.81481481481482e-07,1.14814814814815e-05,0,33797,6,17,0,0,0,1,0,11.5,262,-1,0,62,1,0.0,0,0.0,0,0,12,0,1,0.3,26854,0,0,0,0,1998,26,0,0,353,West Ham,West Brom,Watford,Leicester,Stoke,0.0,0.0,0.0,0.0,0.0,1.8,2.3,1.5,2.4,78.4
Damien,Delaney,DEF,CRY,4200000,0,1,0.0344827586206897,8.210180623973729e-09,2.38095238095238e-07,0,24448,0,5,0,0,0,0,0,0.2,93,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.2,4276,0,0,0,0,95,106,0,0,19,Chelsea,Huddersfield,Liverpool,Bournemouth,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Fabian,Delph,MID,MCI,4500000,0,42,1.44827586206897,3.2183908045977e-07,9.33333333333333e-06,0,119187,1,12,0,0,0,1,0,9.3,488,0,0,42,0,0.0,0,0.0,0,0,5,0,1,0.4,117685,0,0,0,0,1282,249,0,0,294,Stoke,Everton,Man Utd,Tottenham,Swansea,0.0,0.0,0.8,0.7,0.7,0.9,0.7,1.1,0.8,52.3
Mousa,Dembele,MID,TOT,4900000,3,41,1.41379310344828,2.88529204785362e-07,8.36734693877551e-06,0,167883,5,16,0,0,0,0,0,8.4,1599,-1,0,41,1,0.6,0,2.7,3,0,6,0,0,1.8,96638,0,0,0,0,1455,4795,0,0,261,Bournemouth,Chelsea,Stoke,Man City,Brighton,0.7,0.0,0.7,0.7,0.7,0.7,0.8,0.7,0.9,55.5
Laurent,Depoitre,FWD,HUD,5100000,1,77,3.1,6.078431372549021e-07,1.5098039215686301e-05,0,598851,1,31,0,0,0,5,0,14.8,13108,-4,1,77,4,0.1,0,0.7,11,0,4,0,2,2.7,725807,0,0,0,1,1521,8420,-1,0,234,Swansea,Crystal Palace,Newcastle,Brighton,Watford,3.5,3.8,2.5,2.3,3.6,1.6,3.9,2.2,3.7,79.6
Gerard,Deulofeu,MID,WAT,5800000,0,21,0.7241379310344829,1.24851367419738e-07,3.62068965517241e-06,0,210901,0,2,0,0,0,1,0,3.6,47980,-2,1,21,2,0.3,0,1.7,3,0,2,0,1,1.0,267641,0,0,0,1,311,122,-1,0,79,Arsenal,Liverpool,Bournemouth,Burnley,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,27.4
Fousseni,Diabate,FWD,LEI,5000000,1,6,0.206896551724138,4.13793103448276e-08,1.2e-06,0,6460,1,4,0,0,0,0,0,1.2,1546,0,0,6,0,0.3,0,1.3,0,0,0,0,0,0.1,12934,0,0,0,0,223,368,0,0,17,West Brom,Brighton,Newcastle,Burnley,Southampton,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.8
Mohamed,Diame,MID,NEW,4600000,2,50,1.72413793103448,3.74812593703148e-07,1.0869565217391302e-05,0,17217,1,21,0,0,0,2,0,10.9,813,-4,0,50,4,0.5,0,2.3,3,0,2,0,0,0.3,15855,0,0,0,0,1257,1645,0,0,219,Southampton,Huddersfield,Leicester,Arsenal,Everton,1.1,0.0,1.5,0.9,1.4,1.1,1.5,0.9,1.1,53.8
Brahim,Diaz,MID,MCI,4700000,0,3,0.103448275862069,2.20102714600147e-08,6.382978723404259e-07,0,4156,0,1,0,0,0,0,0,0.6,35,-3,0,3,3,0.0,0,0.0,0,0,0,0,0,0.0,1575,0,0,0,0,31,29,0,0,9,Stoke,Everton,Man Utd,Tottenham,Swansea,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.5
