FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Joel,Robles,GLK,EVE,4300000,0,0,0.0,0.0,0.0,0,7794,0,0,0,0,0,0,0,0.0,88,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,966,0,0,0,0,0,24,0,0,0,West Brom,Bournemouth,Man Utd,Tottenham,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hal,Robson-Kanu,FWD,WBA,4900000,2,23,1.21052631578947,2.4704618689581105e-07,4.69387755102041e-06,0,53561,2,10,0,0,0,2,0,4.7,1769,-1,0,23,1,0.4,0,2.2,1,0,3,0,0,0.5,39716,0,0,0,0,647,1788,0,1,58,Everton,Arsenal,West Ham,Brighton,Everton,0.9,0.8,0.6,0.9,0.6,0.6,0.8,0.6,0.9,0.6,0.8,0.6,0.6,0.7,0.6,0.7,0.6,0.7,0.6,35.5
Joe,Rodon,DEF,SWA,4000000,0,0,0.0,0.0,0.0,0,1698,0,0,0,0,0,0,0,0.0,144,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,3489,0,0,0,0,0,274,0,0,0,Liverpool,Watford,Tottenham,Newcastle,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay,Rodriguez,FWD,WBA,5500000,1,39,2.2,4e-07,7.09090909090909e-06,0,171119,2,20,0,0,0,2,0,7.1,2061,-5,0,39,5,0.2,0,1.2,0,0,5,0,0,0.6,71998,0,0,0,0,1357,445,0,0,101,Everton,Arsenal,West Ham,Brighton,Everton,2.2,2.0,1.3,2.2,1.4,1.4,2.0,1.1,2.4,1.7,2.0,1.7,1.8,1.9,1.1,1.8,1.7,1.8,1.6,80.6
Marcos,Rojo,DEF,MUN,5400000,0,1,0.0526315789473684,9.74658869395711e-09,1.85185185185185e-07,0,10623,4,5,0,0,0,0,0,0.2,727,-1,0,1,1,0.0,0,0.2,0,0,0,0,0,0.1,13608,0,0,0,0,249,1397,0,0,19,Burnley,Southampton,Everton,Stoke,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
Sergio,Romero,GLK,MUN,4700000,0,0,0.0,0.0,0.0,0,5871,0,0,0,0,0,0,0,0.0,80,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1045,0,0,0,0,0,40,0,0,0,Burnley,Southampton,Everton,Stoke,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salomon,Rondon,FWD,WBA,6000000,6,39,2.2,3.6666666666666704e-07,6.5000000000000004e-06,0,109991,3,22,0,0,0,3,0,6.5,1979,-5,0,39,5,0.4,0,2.5,0,0,2,0,0,0.8,56875,0,0,0,0,1238,8849,0,0,96,Everton,Arsenal,West Ham,Brighton,Everton,2.2,2.0,1.3,2.2,1.4,1.4,2.0,1.1,2.4,1.7,2.0,1.7,1.8,1.9,1.1,1.8,1.7,1.8,1.6,65.1
Wayne,Rooney,FWD,EVE,7600000,0,91,5.7,7.5e-07,1.19736842105263e-05,0,1376875,3,18,0,0,0,10,0,12.0,189399,1,0,91,-1,0.9,2,7.0,19,0,4,0,3,18.6,1484077,0,0,0,2,1232,35228,0,0,370,West Brom,Bournemouth,Man Utd,Tottenham,West Brom,0.0,6.7,8.0,5.4,8.5,8.0,4.6,8.4,7.0,5.7,8.3,6.7,7.2,7.5,6.2,8.3,5.8,7.9,5.8,116.2
Danny,Rose,DEF,TOT,6400000,0,13,0.6842105263157889,1.0690789473684199e-07,2.03125e-06,0,25735,1,5,0,0,0,0,0,2.0,1103,-1,0,13,1,0.2,0,1.2,0,0,2,0,0,0.3,14975,0,0,0,0,358,861,0,0,75,Southampton,Swansea,West Ham,Everton,Southampton,0.3,0.0,0.7,0.3,0.3,0.3,0.3,0.3,0.6,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.2
Liam,Rosenior,DEF,BHA,3900000,0,3,0.157894736842105,4.04858299595142e-08,7.69230769230769e-07,0,177564,0,3,0,0,0,0,0,0.8,5554,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,3.8,220235,0,0,0,0,163,2609,0,0,22,Chelsea,Newcastle,Bournemouth,West Brom,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.6
