FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Danny,Simpson,DEF,LEI,4500000,1,43,2.3,5.11111111111111e-07,9.55555555555555e-06,0,225563,1,27,0,0,0,0,0,9.6,21499,0,0,43,0,0.4,0,2.0,0,0,4,0,0,3.4,147750,0,0,0,0,1659,684,0,0,255,Watford,Liverpool,Huddersfield,Chelsea,Watford,0.0,1.6,2.4,2.0,2.2,1.2,1.8,1.5,2.2,1.9,1.9,2.3,2.0,1.9,1.9,2.0,2.9,2.7,1.7,48.1
Jack,Simpson,DEF,BOU,4000000,1,1,0.0526315789473684,1.31578947368421e-08,2.5e-07,0,1731,0,2,0,0,0,0,0,0.3,304,0,0,1,0,0.1,0,0.2,0,0,0,0,0,0.1,4562,0,0,0,0,71,1100,0,0,10,West Ham,Everton,Brighton,Arsenal,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Joshua,Sims,MID,SOU,4300000,0,0,0.0,0.0,0.0,0,5195,0,0,0,0,0,0,0,0.0,141,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,5412,0,0,0,0,0,240,0,0,0,Tottenham,Man Utd,Crystal Palace,Watford,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerome,Sinclair,FWD,WAT,4900000,1,1,0.0526315789473684,1.07411385606874e-08,2.04081632653061e-07,0,10567,0,0,0,0,0,0,0,0.2,218,-1,0,1,1,0.0,0,0.2,0,0,0,0,0,0.2,8084,0,0,0,0,19,186,0,0,3,Leicester,Swansea,Man City,Southampton,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Moussa,Sissoko,MID,TOT,5400000,5,38,2.0,3.7037037037037e-07,7.037037037037041e-06,0,38292,2,9,0,0,0,1,0,7.0,610,-1,0,38,1,0.3,0,1.8,0,0,6,0,1,0.4,32279,0,0,0,0,875,651,0,0,152,Southampton,Swansea,West Ham,Everton,Southampton,1.5,0.0,3.3,2.1,1.2,1.4,1.0,1.7,1.0,2.0,1.4,1.7,1.0,1.1,1.0,1.0,1.3,1.2,1.5,60.7
Jiri,Skalak,MID,BHA,4700000,0,0,0.0,0.0,0.0,0,1800,0,0,0,0,0,0,0,0.0,54,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.0,527,0,0,0,0,0,9,0,0,0,Chelsea,Newcastle,Bournemouth,West Brom,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Islam,Slimani,FWD,LEI,6600000,0,12,0.631578947368421,9.56937799043062e-08,1.81818181818182e-06,0,25798,0,2,0,0,0,0,0,1.8,423,-4,1,12,4,0.0,0,0.2,0,0,0,0,1,0.3,12541,0,0,0,0,117,314,-1,0,29,Watford,Liverpool,Huddersfield,Chelsea,Watford,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,11.7
Chris,Smalling,DEF,MUN,5500000,1,49,3.5,6.36363636363636e-07,8.909090909090911e-06,0,191307,2,12,0,0,0,1,0,8.9,59593,0,0,49,0,0.4,0,2.2,2,0,5,0,0,3.8,292113,0,0,0,0,1185,3660,0,0,243,Burnley,Southampton,Everton,Stoke,Burnley,0.0,4.2,1.9,4.4,3.0,2.7,4.7,2.7,4.5,3.8,4.1,3.4,3.9,2.4,4.7,2.6,4.6,3.3,4.5,39.9
Tommy,Smith,DEF,HUD,4800000,4,37,2.5,5.20833333333333e-07,7.70833333333333e-06,0,29354,4,19,0,0,0,0,0,7.7,399,-2,0,37,2,0.4,0,1.9,2,0,4,0,1,0.3,14639,0,0,0,0,1233,809,0,0,213,Stoke,Burnley,Leicester,West Ham,Stoke,2.7,2.7,1.4,3.3,1.7,2.5,1.2,2.4,1.8,1.6,2.3,3.8,1.5,1.9,2.8,1.9,2.2,1.4,2.9,41.0
Robert,Snodgrass,MID,WHU,5800000,0,0,0.0,0.0,0.0,0,231804,0,0,0,0,0,0,0,0.0,214,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.5,1820,0,0,0,0,0,1,0,0,0,Bournemouth,West Brom,Tottenham,Huddersfield,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramadan,Sobhi,MID,STK,4500000,5,28,1.4736842105263201,3.27485380116959e-07,6.22222222222222e-06,0,43899,1,18,0,0,0,1,0,6.2,735,-5,0,28,5,0.4,0,1.7,0,0,1,0,1,0.4,15207,0,0,0,0,707,1704,0,0,133,Huddersfield,Chelsea,Newcastle,Man Utd,Huddersfield,0.7,0.7,1.0,0.7,1.2,0.7,0.8,0.9,0.7,0.7,0.7,1.3,0.7,0.8,0.7,0.9,0.7,0.9,0.9,39.7
Dominic,Solanke,FWD,LIV,4700000,0,17,0.8947368421052628,1.9036954087346e-07,3.61702127659574e-06,0,176768,0,3,0,0,0,0,0,3.6,4457,-3,0,17,3,0.4,0,1.7,0,0,1,0,1,1.7,88100,0,0,0,0,262,3756,0,0,40,Swansea,Leicester,Burnley,Man City,Swansea,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.6,0.4,0.5,27.0
Heung-Min,Son,MID,TOT,8000000,3,73,4.1,5.125e-07,9.125e-06,0,205666,0,7,0,0,0,5,0,9.1,25241,0,0,73,0,0.8,0,6.2,5,0,7,0,2,3.8,336974,0,0,0,2,1038,15686,0,0,236,Southampton,Swansea,West Ham,Everton,Southampton,4.6,0.0,9.6,5.7,3.8,4.3,2.7,5.0,3.4,5.5,4.2,5.0,3.3,3.5,3.0,3.2,4.0,3.7,4.5,110.2
Pape,Souare,DEF,CRY,4500000,0,0,0.0,0.0,0.0,0,1009,0,0,0,0,0,0,0,0.0,37,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,868,0,0,0,0,0,48,0,0,0,Arsenal,Man City,Southampton,Burnley,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry,Souttar,DEF,STK,4000000,0,0,0.0,0.0,0.0,0,5694,0,0,0,0,0,0,0,0.0,157,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,9167,0,0,0,0,0,175,0,0,0,Huddersfield,Chelsea,Newcastle,Man Utd,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian,Speroni,GLK,CRY,4100000,2,33,3.3,8.04878048780488e-07,8.04878048780488e-06,0,76441,0,11,0,24,0,0,0,8.0,4308,1,0,33,-1,0.9,0,3.8,3,0,2,0,0,5.2,227227,0,0,0,1,900,5312,0,0,155,Arsenal,Man City,Southampton,Burnley,Arsenal,4.0,2.9,3.1,3.8,2.3,3.5,3.5,2.0,3.8,3.7,3.3,2.7,3.6,2.8,4.5,3.9,3.1,3.1,4.2,17.5
Junior,Stanislas,MID,BOU,5900000,1,29,1.5263157894736799,2.58697591436218e-07,4.91525423728814e-06,0,15521,1,11,0,0,0,1,0,4.9,357,-1,0,29,1,0.2,0,1.3,3,0,1,0,1,0.1,13187,0,0,0,1,675,43,0,0,110,West Ham,Everton,Brighton,Arsenal,West Ham,0.0,0.0,0.8,1.1,0.8,0.8,0.9,0.8,1.1,0.8,0.8,1.1,0.8,0.9,0.8,0.8,0.8,1.2,0.8,49.7
Jon Gorenc,Stankovic,DEF,HUD,3900000,0,0,0.0,0.0,0.0,0,5422,0,0,0,0,0,0,0,0.0,152,-1,1,0,1,0.0,0,0.0,0,0,0,0,0,0.1,3269,0,0,0,0,0,396,-1,0,0,Stoke,Burnley,Leicester,West Ham,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maarten,Stekelenburg,GLK,EVE,4300000,0,0,0.0,0.0,0.0,0,18818,0,0,0,0,0,0,0,0.0,240,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.4,2080,0,0,0,0,0,33,0,0,0,West Brom,Bournemouth,Man Utd,Tottenham,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dale,Stephens,MID,BHA,4500000,3,47,2.5,5.55555555555556e-07,1.04444444444444e-05,0,104375,1,23,0,0,0,0,0,10.4,3899,0,0,47,0,0.5,0,2.3,0,0,7,0,1,1.5,145621,0,0,0,0,1710,1700,0,0,299,Chelsea,Newcastle,Bournemouth,West Brom,Chelsea,1.4,1.7,2.6,1.6,2.0,1.6,2.6,1.5,2.7,2.5,1.8,1.2,2.2,2.8,1.4,2.0,1.5,2.1,1.2,57.2
Jack,Stephens,DEF,SOU,4500000,2,19,1.0,2.22222222222222e-07,4.2222222222222194e-06,0,52513,2,7,0,0,0,0,0,4.2,277,-5,0,19,5,0.1,0,0.6,1,0,2,0,0,0.2,15156,0,0,0,0,630,81,0,0,121,Tottenham,Man Utd,Crystal Palace,Watford,Tottenham,0.5,0.5,1.2,0.7,0.5,0.7,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,22.5
Raheem,Sterling,MID,MCI,8700000,13,125,7.4,8.50574712643678e-07,1.4367816091954e-05,0,965380,1,10,0,0,0,12,0,14.5,11533,7,-1,125,-7,1.0,0,8.6,11,0,6,0,7,30.2,2268645,0,0,0,5,1296,168464,1,1,406,Newcastle,Crystal Palace,Watford,Liverpool,Newcastle,9.7,9.1,8.7,7.7,10.1,10.4,9.4,9.6,7.8,9.1,9.2,10.0,9.3,9.3,8.2,9.9,9.2,10.9,9.8,171.8
,Steve Cook,DEF,BOU,4700000,0,38,2.0,4.25531914893617e-07,8.08510638297872e-06,0,74735,4,21,0,0,0,1,0,7.9,4449,-3,1,38,3,0.1,0,0.5,4,0,3,0,0,1.4,100041,0,0,0,1,1153,978,-1,0,197,West Ham,Everton,Brighton,Arsenal,West Ham,2.3,1.4,1.6,1.9,1.7,1.6,1.8,1.2,1.6,1.1,1.7,2.0,1.9,2.9,1.2,1.7,1.5,1.5,1.5,47.9
John,Stones,DEF,MCI,5500000,0,46,3.8,6.90909090909091e-07,8.36363636363636e-06,0,656618,0,6,0,0,0,0,0,8.4,4663,0,0,46,0,0.0,0,0.0,2,0,6,0,0,3.3,506534,0,0,0,0,884,578,0,0,226,Newcastle,Crystal Palace,Watford,Liverpool,Newcastle,0.0,0.0,0.0,3.7,4.0,4.8,4.2,3.5,3.2,4.5,4.1,5.2,2.8,4.2,3.9,3.8,4.6,4.7,4.2,28.7
Daniel,Sturridge,FWD,LIV,7900000,0,25,2.8,3.54430379746835e-07,3.16455696202532e-06,0,55071,0,3,0,0,0,2,0,3.2,562,-1,0,25,1,0.0,0,0.0,0,0,3,0,1,0.6,39324,0,0,0,0,427,90,0,0,108,Swansea,Leicester,Burnley,Man City,Swansea,0.0,2.9,2.0,2.4,2.2,2.1,2.6,2.4,3.0,3.1,1.7,2.7,2.4,2.2,3.1,2.4,3.5,1.6,3.1,56.8
Isaac,Success,MID,WAT,5300000,0,0,0.0,0.0,0.0,0,2718,0,0,0,0,0,0,0,0.0,42,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,641,0,0,0,0,0,31,0,0,0,Leicester,Swansea,Man City,Southampton,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew,Surman,MID,BOU,4800000,2,66,3.9,8.125e-07,1.375e-05,0,330018,1,24,0,0,0,2,0,13.8,21453,3,0,66,-3,0.6,0,3.0,7,0,4,0,4,8.9,730143,0,0,0,1,1530,18814,0,0,295,West Ham,Everton,Brighton,Arsenal,West Ham,4.6,5.2,3.1,4.5,3.4,3.2,4.1,3.5,4.5,3.6,3.8,4.6,3.7,4.2,2.7,3.8,3.7,4.8,3.5,66.8
Markus,Suttner,DEF,BHA,4300000,8,35,3.5,8.13953488372093e-07,8.139534883720931e-06,0,61518,0,10,0,0,0,0,0,8.1,965,-2,0,35,2,0.6,0,2.5,3,0,4,0,0,0.5,44393,0,0,0,1,900,3006,0,0,170,Chelsea,Newcastle,Bournemouth,West Brom,Chelsea,3.4,2.9,3.9,3.3,4.4,3.2,5.1,3.2,3.7,4.5,2.0,2.6,3.5,4.6,4.0,4.2,3.2,4.1,2.8,21.7
Dusan,Tadic,MID,SOU,6300000,2,56,3.3,5.23809523809524e-07,8.88888888888889e-06,0,261567,2,19,0,0,0,2,0,8.9,4796,-2,0,56,2,0.6,0,3.7,5,0,5,0,2,1.7,174388,0,0,0,1,1336,470,0,0,216,Tottenham,Man Utd,Crystal Palace,Watford,Tottenham,2.3,1.9,3.2,3.0,2.8,3.2,2.9,2.5,2.8,3.1,3.1,3.5,2.7,2.1,2.8,2.8,3.6,3.2,1.9,110.8
Matt,Targett,DEF,SOU,4300000,2,2,0.10526315789473699,2.44798041615667e-08,4.65116279069767e-07,0,6467,0,1,0,0,0,0,0,0.5,61,-2,0,2,2,0.1,0,0.3,0,0,0,0,0,0.1,1131,0,0,0,0,90,67,0,0,15,Tottenham,Man Utd,Crystal Palace,Watford,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.8
James,Tarkowski,DEF,BUR,4800000,0,68,3.8,7.91666666666667e-07,1.41666666666667e-05,0,209246,3,12,0,0,0,0,0,14.2,72562,3,0,68,-3,0.7,0,3.4,1,0,9,0,0,4.1,413308,0,0,0,0,1620,2534,0,0,322,Man Utd,Huddersfield,Liverpool,Crystal Palace,Man Utd,0.0,0.0,4.3,4.7,4.4,3.6,3.5,3.5,4.4,3.8,4.4,4.7,4.0,4.8,3.7,3.9,5.3,3.0,4.1,68.3
Charlie,Taylor,DEF,BUR,4200000,1,7,0.368421052631579,8.7719298245614e-08,1.66666666666667e-06,0,12359,1,3,0,0,0,0,0,1.7,357,-3,0,7,3,0.2,0,1.0,0,0,1,0,0,0.2,6316,0,0,0,0,229,733,0,0,40,Man Utd,Huddersfield,Liverpool,Crystal Palace,Man Utd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6.7
Stuart,Taylor,GLK,SOU,4000000,0,0,0.0,0.0,0.0,0,8993,0,0,0,0,0,0,0,0.0,242,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,14564,0,0,0,0,0,184,0,0,0,Tottenham,Man Utd,Crystal Palace,Watford,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James,Tomkins,DEF,CRY,4300000,2,23,1.21052631578947,2.8151774785801703e-07,5.34883720930233e-06,0,59486,2,9,0,0,0,0,0,5.3,1102,-2,0,23,2,0.7,0,2.8,1,0,2,0,0,0.5,14659,0,0,0,0,772,1180,0,0,150,Arsenal,Man City,Southampton,Burnley,Arsenal,0.9,0.6,0.6,0.8,0.6,0.7,0.7,0.6,0.8,0.8,0.6,0.6,0.7,0.6,1.1,0.8,0.6,0.6,0.9,23.3
Fikayo,Tomori,DEF,CHE,4500000,0,0,0.0,0.0,0.0,0,717,0,0,0,0,0,0,0,0.0,6,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,382,0,0,0,0,0,3,0,0,0,Brighton,Stoke,Arsenal,Leicester,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andros,Townsend,MID,CRY,5600000,2,52,2.7,4.821428571428571e-07,9.28571428571429e-06,0,113142,1,27,0,0,0,0,0,9.3,2878,-4,0,52,4,0.6,0,3.3,4,0,3,0,3,0.9,37523,0,0,0,0,1618,941,0,0,270,Arsenal,Man City,Southampton,Burnley,Arsenal,2.7,1.4,2.0,2.4,1.4,1.8,2.7,2.2,2.2,2.2,1.7,1.9,2.0,2.2,2.5,2.0,2.4,1.8,2.8,112.1
Kieran,Trippier,DEF,TOT,5400000,0,58,4.5,8.33333333333333e-07,1.07407407407407e-05,0,576551,0,14,0,0,0,0,0,10.5,33199,-1,1,58,1,0.1,0,0.7,9,0,4,0,4,5.9,686507,0,0,0,2,1083,10904,-1,0,301,Southampton,Swansea,West Ham,Everton,Southampton,5.7,0.0,11.1,5.0,4.9,5.7,4.3,6.2,5.4,6.3,4.4,5.5,5.1,4.8,4.7,5.2,6.1,4.9,4.9,69.0
Nathan,Trott,GLK,WHU,4000000,0,0,0.0,0.0,0.0,0,854,0,0,0,0,0,0,0,0.0,177,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,3986,0,0,0,0,0,498,0,0,0,Bournemouth,West Brom,Tottenham,Huddersfield,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axel,Tuanzebe,DEF,MUN,3900000,0,0,0.0,0.0,0.0,0,102899,0,0,0,0,0,0,0,0.0,1664,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,1.7,92466,0,0,0,0,0,1572,0,0,0,Burnley,Southampton,Everton,Stoke,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rayhaan,Tulloch,FWD,WBA,4500000,0,0,0.0,0.0,0.0,0,6150,0,0,0,0,0,0,0,0.0,1595,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,16793,0,0,0,0,0,3359,0,0,0,Everton,Arsenal,West Ham,Brighton,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh,Tymon,DEF,STK,4400000,0,0,0.0,0.0,0.0,0,1042,0,2,0,0,0,0,0,0.0,29,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,551,0,0,0,0,27,27,0,0,5,Huddersfield,Chelsea,Newcastle,Man Utd,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Leonardo,Ulloa,FWD,LEI,4800000,0,3,0.157894736842105,3.28947368421053e-08,6.25e-07,0,16924,0,1,0,0,0,0,0,0.6,350,-2,0,3,2,0.1,0,0.5,0,0,0,0,0,0.2,11876,0,0,0,0,13,360,0,0,10,Watford,Liverpool,Huddersfield,Chelsea,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0
Fredrik,Ulvestad,MID,BUR,4500000,0,0,0.0,0.0,0.0,0,85,0,0,0,0,0,0,0,0.0,18,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,133,0,0,0,0,0,15,0,0,0,Man Utd,Huddersfield,Liverpool,Crystal Palace,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio,Valencia,DEF,MUN,6900000,0,94,5.2,7.53623188405797e-07,1.3623188405797099e-05,0,768737,3,11,0,0,0,2,0,13.6,133637,4,0,94,-4,0.6,0,3.8,9,0,11,0,0,12.3,809851,0,0,0,1,1595,1781,0,0,402,Burnley,Southampton,Everton,Stoke,Burnley,7.4,7.2,3.7,7.5,5.5,5.0,7.8,5.0,7.6,5.7,7.1,5.5,6.7,4.6,7.8,4.9,7.7,5.5,7.3,68.7
Enner,Valencia,FWD,WHU,5000000,0,0,0.0,0.0,0.0,0,2178,0,0,0,0,0,0,0,0.0,22,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,640,0,0,0,0,0,9,0,0,0,Bournemouth,West Brom,Tottenham,Huddersfield,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,van Aanholt,DEF,CRY,5100000,1,8,0.421052631578947,8.255933952528381e-08,1.56862745098039e-06,0,157779,3,16,0,0,0,0,0,1.6,682,-4,0,8,4,0.0,0,0.2,0,0,0,0,0,0.8,15499,0,0,0,0,616,194,0,0,77,Arsenal,Man City,Southampton,Burnley,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,24.4
Mike,van der Hoorn,DEF,SWA,4400000,0,29,1.5263157894736799,3.4688995215311e-07,6.5909090909090896e-06,0,7205,1,10,0,0,0,0,0,6.6,433,-1,0,29,1,0.3,0,1.5,1,0,4,0,0,0.1,7068,0,0,0,0,729,96,0,0,156,Liverpool,Watford,Tottenham,Newcastle,Liverpool,0.8,1.3,1.1,0.8,1.0,1.2,0.8,1.1,1.1,1.5,0.8,1.1,0.8,1.0,0.8,0.8,1.2,0.8,1.1,22.9
Virgil,van Dijk,DEF,SOU,5400000,0,25,2.1,3.88888888888889e-07,4.62962962962963e-06,0,131807,0,18,0,0,0,0,0,4.6,8172,-1,0,25,1,0.2,0,1.1,4,0,1,0,0,1.8,104407,0,0,0,1,993,1580,0,0,199,Tottenham,Man Utd,Crystal Palace,Watford,Tottenham,1.5,1.1,3.0,2.1,1.8,2.3,1.7,1.7,1.7,1.9,1.4,1.4,1.9,1.2,1.9,1.3,1.6,1.0,1.3,43.7
Rajiv,van La Parra,MID,HUD,4800000,2,27,1.8,3.75e-07,5.625e-06,0,11297,2,16,0,0,0,1,0,5.6,135,-2,0,27,2,0.1,0,0.6,0,0,3,0,0,0.1,6225,0,0,0,0,873,110,0,1,82,Stoke,Burnley,Leicester,West Ham,Stoke,1.4,1.4,0.9,1.6,0.9,1.1,0.9,1.6,0.9,0.9,1.7,1.4,0.9,0.9,1.2,0.9,1.9,0.9,1.6,42.9
Jamie,Vardy,FWD,LEI,8600000,8,86,4.5,5.23255813953488e-07,1e-05,0,1414767,1,26,0,0,0,8,0,10.0,43096,1,0,86,-1,0.5,1,4.5,13,0,4,0,2,16.1,1757083,0,0,0,1,1656,53251,0,0,310,Watford,Liverpool,Huddersfield,Chelsea,Watford,5.5,4.3,6.1,3.8,5.1,4.7,5.2,4.7,6.3,5.8,5.1,5.5,4.6,5.9,4.4,5.4,5.2,5.7,4.2,116.6
Jan,Vertonghen,DEF,TOT,6000000,6,66,3.5,5.83333333333333e-07,1.1e-05,0,341510,4,18,0,0,0,0,0,11.0,7053,0,0,66,0,0.4,0,2.5,4,0,8,0,1,8.2,301385,0,0,0,0,1679,18323,0,0,385,Southampton,Swansea,West Ham,Everton,Southampton,4.0,0.0,7.9,3.4,3.4,4.0,2.9,4.4,4.2,4.5,3.0,3.9,3.5,3.3,3.2,3.6,4.3,3.4,3.4,63.8
Nikola,Vlasic,MID,EVE,5400000,0,10,0.526315789473684,9.746588693957109e-08,1.8518518518518502e-06,0,2143,0,8,0,0,0,0,0,1.8,66,-1,1,10,1,0.1,0,0.4,0,0,0,0,0,0.0,2384,0,0,0,0,303,30,-1,0,46,West Brom,Bournemouth,Man Utd,Tottenham,West Brom,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,17.4
Sam,Vokes,FWD,BUR,5700000,1,33,1.73684210526316,3.04709141274238e-07,5.78947368421053e-06,0,425079,1,5,0,0,0,3,0,5.8,2859,-3,0,33,3,0.1,0,0.6,6,0,1,0,0,2.1,319419,0,0,0,1,435,847,0,0,105,Man Utd,Huddersfield,Liverpool,Crystal Palace,Man Utd,0.9,1.0,1.2,1.2,1.3,1.2,1.1,1.1,1.3,1.5,0.9,0.9,1.1,1.3,1.3,1.4,1.5,0.9,1.5,35.1
Michel,Vorm,GLK,TOT,4800000,0,0,0.0,0.0,0.0,0,8593,0,0,0,0,0,0,0,0.0,74,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,7248,0,0,0,0,0,28,0,0,0,Southampton,Swansea,West Ham,Everton,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Molla,Wague,DEF,WAT,4500000,0,1,0.0526315789473684,1.1695906432748502e-08,2.22222222222222e-07,0,835,0,1,0,0,0,0,0,0.2,29,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,626,0,0,0,0,45,23,0,0,5,Leicester,Swansea,Man City,Southampton,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Theo,Walcott,MID,ARS,7100000,1,4,0.21052631578947398,2.9651593773165297e-08,5.63380281690141e-07,0,120650,0,0,0,0,0,0,0,0.6,303,-4,0,4,4,0.0,0,0.1,0,0,0,0,0,0.6,13621,0,0,0,0,47,164,0,0,9,Crystal Palace,West Brom,Chelsea,Bournemouth,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Kyle,Walker,DEF,MCI,6600000,6,72,4.2,6.36363636363636e-07,1.09090909090909e-05,0,893487,2,11,0,0,0,0,0,10.9,14895,1,0,72,-1,0.3,0,2.1,4,0,8,0,4,13.7,534352,1,0,0,2,1483,15719,0,1,368,Newcastle,Crystal Palace,Watford,Liverpool,Newcastle,4.4,5.4,5.2,4.3,4.7,5.5,4.9,4.1,3.8,5.2,4.8,5.9,3.3,4.8,4.5,4.4,5.2,5.4,4.9,56.7
