FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Sam,Clucas,MID,SWA,4900000,2,21,2.3,4.6938775510204106e-07,4.28571428571429e-06,0,4132,1,8,0,0,0,1,0,4.3,279,-1,0,21,1,0.7,0,3.3,0,0,2,0,0,0.0,5791,0,0,0,0,582,137,0,0,96,Bournemouth,Chelsea,Stoke,West Brom,Man City,1.9,1.9,1.6,1.9,1.2,2.3,2.1,1.2,1.8,1.4,1.8,1.7,2.4,1.8,1.6,1.5,2.1,1.6,1.5,1.2,1.7,2.4,1.2,1.3,2.0,1.6,17.9
Nathaniel,Clyne,DEF,LIV,5300000,0,0,0.0,0.0,0.0,0,26047,0,0,0,0,0,0,0,0.0,236,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.3,1066,0,0,0,0,0,26,0,0,0,Chelsea,Stoke,Brighton,Everton,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Colback,MID,NEW,4300000,0,0,0.0,0.0,0.0,0,63342,0,0,0,0,0,0,0,0.0,6676,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,1.5,85829,0,0,0,0,0,6133,0,0,0,Watford,West Brom,Chelsea,Leicester,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Coleman,GLK,HUD,4000000,0,0,0.0,0.0,0.0,0,39136,0,0,0,0,0,0,0,0.0,986,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1.5,17355,0,0,0,0,0,421,0,0,0,Man City,Arsenal,Everton,Brighton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seamus,Coleman,DEF,EVE,6400000,0,0,0.0,0.0,0.0,0,7535,0,0,0,0,0,0,0,0.0,110,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,667,0,0,0,0,0,35,0,0,0,Southampton,West Ham,Huddersfield,Liverpool,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James,Collins,DEF,WHU,4300000,0,8,0.666666666666667,1.55038759689922e-07,1.86046511627907e-06,0,15073,0,3,0,0,0,0,0,1.9,297,-2,0,8,2,0.0,0,0.0,0,0,1,0,0,0.1,6586,0,0,0,0,237,24,0,0,44,Leicester,Everton,Man City,Chelsea,Arsenal,0.0,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,1.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,8.7
Francis,Coquelin,MID,ARS,4400000,1,5,0.4166666666666671,9.469696969696972e-08,1.13636363636364e-06,0,30076,0,5,0,0,0,0,0,1.1,939,-1,0,5,1,0.2,0,0.7,0,0,0,0,0,0.6,12768,0,0,0,0,148,903,0,0,29,Burnley,Huddersfield,Man Utd,Southampton,West Ham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.4
Jack,Cork,MID,BUR,4500000,11,37,3.1,6.88888888888889e-07,8.22222222222222e-06,0,162266,4,9,0,0,0,1,0,8.2,7159,0,0,37,0,1.2,0,5.3,3,0,6,0,1,3.7,295211,0,0,0,0,1080,30051,0,0,199,Arsenal,Bournemouth,Leicester,Watford,Stoke,3.9,2.9,2.6,2.2,2.8,2.2,2.6,1.6,2.3,3.0,2.5,2.9,2.6,1.7,3.5,2.7,4.0,2.6,2.3,2.5,2.6,3.1,2.4,2.6,1.8,3.3,53.3
,Costa,FWD,CHE,9500000,0,0,0.0,0.0,0.0,0,64589,0,0,0,0,0,0,0,0.0,189,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.4,2300,0,0,0,0,0,6,0,0,0,Liverpool,Swansea,Newcastle,West Ham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thibaut,Courtois,GLK,CHE,5400000,6,53,4.4,8.148148148148151e-07,9.814814814814819e-06,0,384772,0,10,0,30,0,0,0,9.8,15962,-1,0,53,1,1.2,0,6.3,2,0,6,0,0,12.7,176923,0,0,0,0,1080,10152,0,0,236,Liverpool,Swansea,Newcastle,West Ham,Huddersfield,4.6,3.9,5.1,5.4,5.4,4.6,4.1,5.3,4.8,4.0,4.2,5.7,4.5,6.4,5.7,3.7,4.4,6.1,5.3,5.0,5.7,5.8,6.2,5.2,5.6,4.8,20.5
