FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Brahim,Diaz,MID,MCI,4700000,0,0,0.0,0.0,0.0,0,3311,0,0,0,0,0,0,0,0.0,53,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.0,907,0,0,0,0,0,27,0,0,0,Huddersfield,Southampton,West Ham,Man Utd,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Dier,MID,TOT,4900000,2,27,2.3,4.6938775510204106e-07,5.51020408163265e-06,0,165300,2,7,0,0,0,0,0,5.5,7117,-1,0,27,1,0.5,0,2.3,0,0,6,0,0,2.9,101658,0,0,0,0,976,3729,0,0,154,West Brom,Leicester,Watford,Stoke,Brighton,2.1,1.5,1.6,1.8,1.6,1.2,1.5,1.7,2.3,2.2,2.6,1.7,1.9,1.2,2.6,1.5,2.4,1.8,2.3,1.7,1.4,1.2,1.3,1.3,1.5,2.0,42.2
Mame Biram,Diouf,FWD,STK,5500000,2,43,3.9,7.09090909090909e-07,7.818181818181821e-06,0,132488,1,23,0,0,0,3,0,7.8,29973,0,0,43,0,0.3,0,1.7,4,0,2,0,2,5.0,356443,0,0,0,0,985,53488,0,0,177,Crystal Palace,Liverpool,Swansea,Tottenham,Burnley,4.6,4.9,4.0,3.1,3.4,5.1,5.1,3.3,3.4,4.9,2.7,5.0,3.9,4.0,4.6,3.9,4.1,3.7,5.5,2.5,3.7,3.8,3.9,3.0,5.8,4.1,62.0
Abdoulaye,Doucoure,MID,WAT,5400000,3,55,4.6,8.51851851851852e-07,1.01851851851852e-05,0,479040,3,21,0,0,0,4,0,10.2,69767,4,0,55,-4,0.4,0,2.3,10,0,4,0,0,16.8,1242632,0,0,0,1,1080,25005,0,0,260,Newcastle,Man Utd,Tottenham,Burnley,Crystal Palace,5.3,4.6,4.1,5.1,5.2,5.6,4.7,4.8,5.2,3.8,4.3,5.3,5.0,3.7,5.3,6.1,5.1,4.1,3.7,5.2,4.5,4.9,5.5,4.7,5.5,3.6,69.0
Aleksandar,Dragovic,DEF,LEI,4900000,0,0,0.0,0.0,0.0,0,875,0,0,0,0,0,0,0,0.0,49,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,941,0,0,0,0,0,28,0,0,0,West Ham,Tottenham,Burnley,Newcastle,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel,Drinkwater,MID,CHE,4800000,1,3,0.25,5.20833333333333e-08,6.25e-07,0,14709,0,0,0,0,0,0,0,0.6,309,-2,0,3,2,0.2,0,1.0,0,0,0,0,0,0.2,6349,0,0,0,0,45,137,0,0,13,Liverpool,Swansea,Newcastle,West Ham,Huddersfield,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.0
Shane,Duffy,DEF,BHA,4600000,1,41,3.4,7.391304347826091e-07,8.91304347826087e-06,0,45005,3,12,0,0,0,0,0,8.9,10036,1,0,41,-1,0.7,0,3.0,5,0,5,0,0,2.7,155419,0,0,0,1,1062,7565,0,0,210,Man Utd,Crystal Palace,Liverpool,Huddersfield,Tottenham,2.1,5.1,4.3,3.3,3.3,3.7,3.7,3.5,2.9,3.5,3.6,3.1,3.7,4.4,3.3,3.1,4.7,2.4,2.6,3.2,4.8,4.0,3.9,3.3,3.7,2.7,51.1
Paul,Dummett,DEF,NEW,4200000,0,1,0.0833333333333333,1.98412698412698e-08,2.38095238095238e-07,0,35435,0,0,0,0,0,0,0,0.2,204,-3,0,1,3,0.0,0,0.0,0,0,0,0,0,0.1,1021,0,0,0,0,7,216,0,0,4,Watford,West Brom,Chelsea,Leicester,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Lewis,Dunk,DEF,BHA,4400000,1,31,2.6,5.90909090909091e-07,7.04545454545455e-06,0,67440,2,13,0,0,0,0,0,7.0,6122,-1,0,31,1,0.6,0,2.7,0,0,4,0,0,2.2,98504,1,0,0,0,1080,12023,0,0,198,Man Utd,Crystal Palace,Liverpool,Huddersfield,Tottenham,1.3,3.9,3.0,2.2,2.2,2.5,2.5,2.3,1.9,2.3,2.4,2.0,2.5,3.1,2.1,2.0,3.2,1.5,1.7,2.1,3.3,3.1,2.6,2.2,2.5,1.7,50.7
Nathan,Dyer,MID,SWA,4400000,1,6,0.5,1.13636363636364e-07,1.36363636363636e-06,0,4696,1,3,0,0,0,0,0,1.4,477,-1,0,6,1,0.3,0,1.3,0,0,0,0,0,0.1,7413,0,0,0,0,236,700,0,0,25,Bournemouth,Chelsea,Stoke,West Brom,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.4
,Ederson,GLK,MCI,5500000,6,48,4.0,7.27272727272727e-07,8.72727272727273e-06,0,146008,0,7,0,16,0,0,0,8.7,4567,0,0,48,0,0.5,0,3.0,2,0,6,0,0,5.0,150395,0,0,0,0,1035,12855,0,0,208,Huddersfield,Southampton,West Ham,Man Utd,Swansea,4.5,4.3,5.3,3.0,4.3,4.6,4.2,3.9,5.0,4.5,3.7,4.8,5.3,4.4,3.9,3.2,3.8,4.4,4.9,3.3,4.5,4.5,3.7,4.5,5.7,4.9,14.3
,Eduardo,GLK,CHE,4800000,0,0,0.0,0.0,0.0,0,2601,0,0,0,0,0,0,0,0.0,71,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,662,0,0,0,0,0,18,0,0,0,Liverpool,Swansea,Newcastle,West Ham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas,Edwards,DEF,STK,4000000,0,0,0.0,0.0,0.0,0,779,0,3,0,0,0,0,0,0.0,182,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2023,0,0,0,0,52,332,0,0,12,Crystal Palace,Liverpool,Swansea,Tottenham,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
Robert,Elliot,GLK,NEW,4200000,1,41,3.4,8.095238095238101e-07,9.76190476190476e-06,0,187299,0,14,0,29,0,0,0,9.8,14867,2,0,41,-2,0.5,0,2.3,2,0,3,0,0,26.6,705542,0,0,0,2,1080,18893,0,0,200,Watford,West Brom,Chelsea,Leicester,Everton,4.0,3.2,3.1,3.5,3.4,2.0,3.0,2.9,4.3,2.9,3.3,2.3,4.0,3.7,4.0,2.7,2.4,3.9,3.0,5.0,2.3,4.9,2.1,4.7,3.8,3.4,23.1
Mohamed,Elneny,MID,ARS,4300000,0,11,0.916666666666667,2.1317829457364302e-07,2.55813953488372e-06,0,186050,1,5,0,0,0,0,0,2.6,7359,-2,1,11,2,0.0,0,0.0,0,0,1,0,1,2.5,151497,0,0,0,0,263,7553,-1,0,54,Burnley,Huddersfield,Man Utd,Southampton,West Ham,0.5,0.7,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,14.8
Christian,Eriksen,MID,TOT,9500000,2,65,5.4,5.684210526315791e-07,6.8421052631578906e-06,0,911286,0,7,0,0,0,3,0,6.8,138693,0,1,65,0,0.2,0,2.3,10,0,7,0,3,21.5,1147929,0,0,0,2,1013,14441,-1,0,258,West Brom,Leicester,Watford,Stoke,Brighton,7.2,5.9,5.9,6.4,6.0,4.2,5.7,6.3,7.6,7.3,7.8,6.3,6.7,4.1,8.1,5.8,7.7,6.4,7.6,6.1,5.6,4.4,5.2,5.3,5.7,6.9,107.2
Jonny,Evans,DEF,WBA,4900000,0,18,2.0,4.08163265306122e-07,3.6734693877551003e-06,0,40329,3,16,0,0,0,1,0,3.7,2454,-1,0,18,1,0.1,0,0.7,0,0,1,0,0,0.7,34185,0,0,0,0,751,403,0,0,144,Tottenham,Newcastle,Crystal Palace,Swansea,Liverpool,1.3,1.9,3.0,1.3,1.0,1.8,1.3,1.5,2.4,1.3,2.0,1.0,1.0,1.7,1.4,2.4,1.8,1.5,1.1,1.8,1.4,1.0,2.1,1.1,1.8,2.2,24.7
Lukasz,Fabianski,GLK,SWA,4600000,3,48,4.0,8.695652173913041e-07,1.0434782608695699e-05,0,151790,0,15,0,46,0,0,0,10.4,10588,1,0,48,-1,0.5,0,2.3,3,0,4,0,0,7.9,323216,0,0,0,1,1080,3289,0,0,248,Bournemouth,Chelsea,Stoke,West Brom,Man City,4.1,4.8,4.5,5.2,3.1,3.4,5.7,3.8,5.5,4.5,4.1,5.1,5.4,3.8,4.3,4.9,5.2,4.6,4.2,3.1,4.9,3.7,3.7,3.6,4.2,4.4,31.6
Cesc,Fabregas,MID,CHE,6900000,8,39,3.5,5.07246376811594e-07,5.65217391304348e-06,0,493165,1,9,0,0,0,1,0,5.7,12976,-1,0,39,1,0.7,0,4.7,3,0,5,0,3,4.9,317394,0,0,0,1,863,17178,0,1,203,Liverpool,Swansea,Newcastle,West Ham,Huddersfield,2.4,3.5,3.7,3.5,3.2,2.8,4.3,2.7,2.9,2.6,3.2,3.1,3.5,3.6,3.4,2.2,2.4,3.8,3.4,2.7,3.8,3.8,3.9,4.5,3.2,3.5,93.8
Adam,Federici,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,105811,0,0,0,0,0,0,0,0.0,2779,0,0,0,0,0.0,0,0.0,0,0,0,0,0,2.8,12008,0,0,0,0,0,214,0,0,0,Swansea,Burnley,Southampton,Crystal Palace,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofiane,Feghouli,MID,WHU,5500000,0,0,0.0,0.0,0.0,0,1384,0,0,0,0,0,0,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,75,0,0,0,0,0,1,0,0,0,Leicester,Everton,Man City,Chelsea,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marouane,Fellaini,MID,MUN,4900000,1,31,2.5833333333333304,5.27210884353742e-07,6.326530612244901e-06,0,160366,1,0,0,0,0,3,0,6.3,7507,-1,0,31,1,0.1,0,0.3,3,0,3,0,0,1.3,186480,0,0,0,1,363,3124,0,0,105,Brighton,Watford,Arsenal,Man City,Bournemouth,2.3,1.4,1.3,1.6,2.9,1.3,1.4,2.5,2.4,1.9,2.5,1.3,1.3,3.2,1.4,2.1,1.3,2.6,1.4,2.9,1.3,2.8,1.6,3.4,1.3,1.9,43.3
Leroy,Fer,MID,SWA,5400000,2,22,2.0,3.7037037037037e-07,4.07407407407407e-06,0,33731,4,13,0,0,0,0,0,4.1,618,-1,0,22,1,0.4,0,2.0,0,0,3,0,1,0.3,16038,0,0,0,0,848,98,0,0,109,Bournemouth,Chelsea,Stoke,West Brom,Man City,1.5,1.5,1.3,1.5,1.0,1.8,1.7,1.0,1.4,1.1,1.4,1.4,1.9,1.4,1.3,1.2,1.7,1.2,1.2,1.0,1.3,1.9,1.0,1.0,1.6,1.2,27.8
Edimilson,Fernandes,MID,WHU,4400000,0,7,0.583333333333333,1.32575757575758e-07,1.59090909090909e-06,0,12511,1,11,0,0,0,0,0,1.6,476,-1,0,7,1,0.2,0,1.0,0,0,0,0,0,0.2,5948,0,0,0,0,322,276,0,0,33,Leicester,Everton,Man City,Chelsea,Arsenal,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,9.2
Federico,Fernandez,DEF,SWA,4500000,1,37,3.1,6.88888888888889e-07,8.22222222222222e-06,0,106222,1,15,0,0,0,0,0,8.2,7323,0,0,37,0,0.2,0,1.0,6,0,4,0,0,3.1,172695,1,0,0,0,1080,3140,0,0,219,Bournemouth,Chelsea,Stoke,West Brom,Man City,2.8,3.3,3.1,3.7,2.0,2.3,4.4,2.6,3.9,3.1,2.8,3.5,3.9,2.5,3.0,3.4,3.6,3.2,2.8,2.0,3.4,2.5,2.5,2.4,2.9,3.0,35.2
,Fernandinho,MID,MCI,5200000,3,50,4.2,8.076923076923079e-07,9.61538461538462e-06,0,207492,3,7,0,0,0,2,0,9.6,23229,2,0,50,-2,1.3,0,7.0,3,0,7,0,3,8.2,505227,0,0,0,1,1049,55533,0,0,237,Huddersfield,Southampton,West Ham,Man Utd,Swansea,3.9,4.1,5.2,2.8,5.5,4.0,4.9,4.3,4.2,3.3,2.9,5.2,4.8,4.2,4.6,3.2,3.6,4.1,3.9,5.2,4.4,3.8,4.9,4.4,5.3,4.7,64.0
,Fernando,MID,MCI,4500000,0,0,0.0,0.0,0.0,0,4088,0,0,0,0,0,0,0,0.0,31,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,417,0,0,0,0,0,7,0,0,0,Huddersfield,Southampton,West Ham,Man Utd,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam,Field,MID,WBA,4500000,0,6,0.5,1.11111111111111e-07,1.33333333333333e-06,0,13614,0,0,0,0,0,0,0,1.3,425,0,0,6,0,0.0,0,0.0,0,0,2,0,0,0.2,15369,0,0,0,0,154,20,0,0,12,Tottenham,Newcastle,Crystal Palace,Swansea,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.6
Roberto,Firmino,FWD,LIV,8500000,5,52,4.3,5.05882352941176e-07,6.11764705882353e-06,0,1512739,0,12,0,0,0,3,0,6.1,74929,0,0,52,0,0.6,0,5.0,8,0,5,0,3,17.9,1250754,0,0,0,1,874,32887,0,0,203,Chelsea,Stoke,Brighton,Everton,West Brom,4.1,4.5,3.7,6.4,6.3,3.7,2.2,5.1,5.8,3.0,4.9,3.8,3.0,4.9,3.8,6.3,6.1,2.3,5.1,4.2,4.3,5.8,3.8,6.4,3.1,5.8,94.7
Jon,Flanagan,DEF,LIV,4500000,0,0,0.0,0.0,0.0,0,664,0,0,0,0,0,0,0,0.0,39,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,594,0,0,0,0,0,26,0,0,0,Chelsea,Stoke,Brighton,Everton,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley,Fletcher,FWD,WHU,4500000,0,0,0.0,0.0,0.0,0,29557,0,0,0,0,0,0,0,0.0,413,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.3,4658,0,0,0,0,0,179,0,0,0,Leicester,Everton,Man City,Chelsea,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren,Fletcher,MID,STK,4900000,2,34,2.8,5.714285714285711e-07,6.9387755102040806e-06,0,35823,0,24,0,0,0,1,0,6.9,2732,-1,0,34,1,1.0,0,5.0,3,0,2,0,0,0.7,23190,0,0,0,1,1080,1504,0,0,165,Crystal Palace,Liverpool,Swansea,Tottenham,Burnley,2.1,2.6,2.9,1.8,2.1,3.1,2.8,1.9,2.3,3.1,1.4,3.2,1.8,2.4,2.2,2.2,2.4,1.5,3.5,1.5,2.2,2.2,2.4,1.4,3.1,3.0,42.9
Phil,Foden,MID,MCI,4700000,0,0,0.0,0.0,0.0,0,2017,0,0,0,0,0,0,0,0.0,45,-3,1,0,3,0.0,0,0.0,0,0,0,0,0,0.0,513,0,0,0,0,0,36,-1,0,0,Huddersfield,Southampton,West Ham,Man Utd,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose,Fonte,DEF,WHU,4900000,0,34,4.3,8.775510204081629e-07,6.9387755102040806e-06,0,122485,0,11,0,0,0,0,0,6.9,7521,-1,0,34,1,0.1,0,0.7,3,0,3,0,2,1.4,76548,0,0,0,0,688,30,0,0,156,Leicester,Everton,Man City,Chelsea,Arsenal,0.0,3.1,3.3,4.8,6.4,4.2,5.8,3.8,4.2,6.3,4.3,5.3,6.4,4.6,5.5,3.4,4.1,5.5,5.5,5.4,4.5,5.5,3.0,4.2,3.4,4.9,33.4
Fraser,Forster,GLK,SOU,5100000,2,53,4.4,8.627450980392159e-07,1.0392156862745098e-05,0,235430,0,14,0,34,0,0,0,10.4,16577,1,0,53,-1,0.4,0,2.0,5,0,4,0,0,8.7,328166,0,0,1,1,1080,3792,0,0,220,Everton,Man City,Bournemouth,Arsenal,Leicester,4.3,4.2,4.8,6.2,4.4,5.4,6.3,5.2,3.6,6.3,6.2,5.2,5.5,5.5,5.8,5.1,5.0,4.6,5.1,5.3,3.9,4.2,4.3,4.7,4.0,3.7,25.6
Ben,Foster,GLK,WBA,4400000,1,32,2.9,6.59090909090909e-07,7.272727272727271e-06,0,419927,1,17,0,24,0,0,0,7.1,23318,-1,1,32,1,0.3,0,1.3,1,0,3,0,0,11.4,289059,0,0,0,0,990,858,-1,0,173,Tottenham,Newcastle,Crystal Palace,Swansea,Liverpool,2.4,3.3,4.4,2.3,1.9,3.1,2.3,2.6,3.9,2.4,3.4,1.7,1.8,3.0,2.5,4.0,3.1,2.7,2.1,3.1,2.5,1.4,3.6,2.0,3.2,3.2,18.1
Timothy,Fosu-Mensah,DEF,CRY,4500000,0,12,1.3,2.88888888888889e-07,2.66666666666667e-06,0,67731,0,15,0,0,0,0,0,2.7,1684,0,0,12,0,0.2,0,1.0,0,0,0,0,0,1.0,28788,0,0,0,0,701,475,0,0,130,Stoke,Brighton,West Brom,Bournemouth,Watford,0.9,0.7,0.6,0.9,0.9,0.6,0.6,1.3,0.6,0.7,0.9,0.6,0.6,1.0,0.6,1.0,0.9,0.6,0.6,1.2,0.6,1.1,0.8,0.8,0.6,1.2,21.1
Juan,Foyth,DEF,TOT,4500000,0,0,0.0,0.0,0.0,0,743,0,0,0,0,0,0,0,0.0,62,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,889,0,0,0,0,0,47,0,0,0,West Brom,Leicester,Watford,Stoke,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simon,Francis,DEF,BOU,4400000,-2,20,2.0,4.54545454545455e-07,4.54545454545455e-06,0,119527,3,8,0,0,0,0,0,4.5,12082,-1,0,20,1,0.4,0,1.7,1,0,2,0,0,1.2,40212,0,0,0,0,802,396,0,1,140,Swansea,Burnley,Southampton,Crystal Palace,Man Utd,0.0,1.7,1.6,2.4,1.0,2.0,1.0,2.1,1.4,1.6,2.3,1.4,1.5,1.7,1.4,1.8,1.1,1.8,2.1,1.9,3.0,1.1,1.7,1.6,1.3,1.4,30.1
Ryan,Fraser,MID,BOU,5100000,0,8,0.666666666666667,1.30718954248366e-07,1.56862745098039e-06,0,56880,0,5,0,0,0,0,0,1.5,545,-4,1,8,4,0.0,0,0.0,0,0,0,0,0,0.3,7318,0,0,0,0,270,81,-1,0,32,Swansea,Burnley,Southampton,Crystal Palace,Man Utd,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,14.3
Christian,Fuchs,DEF,LEI,4900000,1,34,3.4,6.93877551020408e-07,6.9387755102040806e-06,0,125852,1,14,0,0,0,0,0,6.9,4899,-1,0,34,1,1.0,0,4.7,6,0,3,0,1,2.7,68636,0,0,0,1,900,5465,0,0,176,West Ham,Tottenham,Burnley,Newcastle,Southampton,3.3,3.9,3.8,2.8,3.6,5.1,3.8,4.1,2.6,4.8,3.4,3.8,2.3,3.1,2.5,3.8,3.6,3.5,4.7,3.6,4.0,3.2,3.7,4.0,4.5,3.3,32.6
Jay,Fulton,MID,SWA,4400000,0,0,0.0,0.0,0.0,0,2844,1,0,0,0,0,0,0,0.0,122,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,3180,0,0,0,0,16,39,0,0,-2,Bournemouth,Chelsea,Stoke,West Brom,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramiro,Funes Mori,DEF,EVE,4900000,0,0,0.0,0.0,0.0,0,837,0,0,0,0,0,0,0,0.0,22,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,254,0,0,0,0,0,22,0,0,0,Southampton,West Ham,Huddersfield,Liverpool,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manolo,Gabbiadini,FWD,SOU,6600000,1,35,2.9,4.39393939393939e-07,5.3030303030303e-06,0,402440,1,8,0,0,0,3,0,5.3,17979,-4,0,35,4,0.3,0,1.7,4,0,4,0,0,2.6,237856,0,0,0,1,671,9970,0,0,110,Everton,Man City,Bournemouth,Arsenal,Leicester,3.5,2.5,2.8,3.2,2.8,2.4,3.1,2.1,1.8,3.9,3.1,2.1,2.7,2.9,3.0,2.3,3.3,2.5,2.9,2.7,1.7,1.6,2.7,2.7,3.3,2.1,34.3
,Gabriel,DEF,ARS,5000000,0,0,0.0,0.0,0.0,0,1853,0,0,0,0,0,0,0,0.0,33,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,303,0,0,0,0,0,3,0,0,0,Burnley,Huddersfield,Man Utd,Southampton,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Gamez,DEF,NEW,4000000,0,9,0.75,1.875e-07,2.25e-06,0,136771,0,0,0,0,0,0,0,2.3,6390,0,0,9,0,0.0,0,0.0,2,0,1,0,0,3.0,178197,0,0,0,0,97,1880,0,0,38,Watford,West Brom,Chelsea,Leicester,Everton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.5,0.4,0.5,0.4,0.4,8.4
Dwight,Gayle,FWD,NEW,6100000,7,17,1.4166666666666698,2.3224043715847e-07,2.78688524590164e-06,0,102163,1,9,0,0,0,1,0,2.8,887,-4,0,17,4,0.5,0,3.3,1,0,0,0,0,0.7,21098,0,0,0,0,375,6518,0,0,47,Watford,West Brom,Chelsea,Leicester,Everton,0.8,0.7,0.7,1.1,1.4,0.7,0.7,0.8,1.1,0.9,0.9,0.7,0.8,0.9,1.1,0.7,0.7,0.9,0.7,1.2,0.7,1.3,0.9,1.3,0.8,0.7,31.4
Paulo,Gazzaniga,GLK,TOT,4500000,0,9,0.75,1.66666666666667e-07,2e-06,0,1790,0,0,0,3,0,0,0,2.0,1158,0,0,9,0,1.0,0,4.5,2,0,1,0,0,0.1,4696,0,0,0,0,90,278,0,0,26,West Brom,Leicester,Watford,Stoke,Brighton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.8,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2.7
Kieran,Gibbs,DEF,WBA,5000000,0,16,1.8,3.6e-07,3.2e-06,0,16065,0,15,0,0,0,0,0,3.2,1329,0,0,16,0,0.2,0,1.0,0,0,1,0,0,0.3,21128,0,0,0,0,747,254,0,0,106,Tottenham,Newcastle,Crystal Palace,Swansea,Liverpool,1.1,1.6,2.7,1.0,0.9,1.5,1.1,1.2,2.0,1.1,1.7,0.9,0.9,1.4,1.2,2.1,1.5,1.3,1.0,1.5,1.2,0.9,1.8,0.9,1.6,2.0,27.8
Olivier,Giroud,FWD,ARS,8200000,0,14,1.16666666666667,1.42276422764228e-07,1.70731707317073e-06,0,88584,0,3,0,0,0,1,0,1.7,2147,-3,0,14,3,0.1,0,0.7,0,0,0,0,0,1.1,29758,0,0,0,0,176,415,0,0,51,Burnley,Huddersfield,Man Utd,Southampton,West Ham,0.6,1.0,0.9,0.6,0.6,1.0,1.0,0.6,0.6,0.6,0.6,1.4,0.6,1.2,0.6,0.7,0.6,0.7,0.6,1.1,0.7,0.6,1.1,0.6,0.7,0.6,22.2
Connor,Goldson,DEF,BHA,3900000,0,0,0.0,0.0,0.0,0,30109,0,0,0,0,0,0,0,0.0,1598,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,1.0,30581,0,0,0,0,0,1831,0,0,0,Man Utd,Crystal Palace,Liverpool,Huddersfield,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
