FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Craig,Cathcart,DEF,WAT,4400000,0,1,0.0666666666666667,1.5151515151515202e-08,2.2727272727272702e-07,0,949,0,0,0,0,0,0,0,0.2,16,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,179,0,0,0,0,19,3,0,0,4,Burnley,Crystal Palace,Huddersfield,Brighton,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Santiago,Cazorla,MID,ARS,6900000,0,0,0.0,0.0,0.0,0,1780,0,0,0,0,0,0,0,0.0,42,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,582,0,0,0,0,0,24,0,0,0,Southampton,West Ham,Newcastle,Liverpool,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petr,Cech,GLK,ARS,5400000,1,61,4.1,7.59259259259259e-07,1.12962962962963e-05,0,161144,0,19,0,34,0,0,0,11.3,6100,-1,0,61,1,1.0,0,5.3,4,0,7,0,0,5.3,88945,0,0,0,0,1350,7643,0,0,286,Southampton,West Ham,Newcastle,Liverpool,Crystal Palace,3.6,3.8,5.5,5.6,4.0,3.6,5.1,3.1,6.1,3.2,5.1,3.4,4.3,3.9,5.3,2.7,5.4,5.2,3.1,6.1,2.3,5.4,3.5,28.5
,Cedric,DEF,SOU,4800000,0,39,2.8,5.83333333333333e-07,8.125e-06,0,582406,0,16,0,0,0,0,0,8.1,47937,-2,0,39,2,0.3,0,1.3,0,0,4,0,0,4.5,231981,0,0,0,0,1248,145,0,0,219,Arsenal,Leicester,Chelsea,Huddersfield,Tottenham,0.0,2.4,2.7,3.6,2.6,1.8,4.0,3.4,2.8,3.1,2.7,2.8,2.6,2.6,2.4,2.4,2.8,1.9,2.4,2.0,2.5,1.6,1.9,55.4
Nacer,Chadli,MID,WBA,5700000,0,12,0.8,1.40350877192982e-07,2.10526315789474e-06,0,37834,1,1,0,0,0,1,0,2.1,410,-3,0,12,3,0.0,0,0.0,3,0,1,0,0,0.2,9494,0,0,0,1,159,23,0,0,26,Swansea,Liverpool,Man Utd,Stoke,Everton,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,8.4
Nathaniel,Chalobah,MID,WAT,4300000,0,12,0.8,1.8604651162790698e-07,2.7906976744186e-06,0,182397,1,7,0,0,0,0,0,2.8,2695,-2,0,12,2,0.0,0,0.0,0,0,3,0,0,0.9,125074,0,0,0,0,429,552,0,0,37,Burnley,Crystal Palace,Huddersfield,Brighton,Leicester,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,19.6
,Chamberlain,MID,LIV,5700000,1,31,2.06666666666667,3.62573099415205e-07,5.43859649122807e-06,0,213753,1,15,0,0,0,1,0,5.4,4318,-3,0,31,3,0.5,0,2.8,2,0,1,0,1,1.5,102481,0,0,0,0,675,1075,0,0,159,Everton,West Brom,Bournemouth,Arsenal,Swansea,2.4,1.9,1.3,1.0,2.0,1.8,1.1,1.0,1.6,1.1,1.5,1.2,2.1,2.0,1.0,1.2,1.1,1.3,1.9,1.1,1.6,1.1,1.5,58.9
Calum,Chambers,DEF,ARS,4700000,0,0,0.0,0.0,0.0,0,18583,0,0,0,0,0,0,0,0.0,194,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,2365,0,0,0,0,0,271,0,0,0,Southampton,West Ham,Newcastle,Liverpool,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Chicharito,FWD,WHU,6700000,0,41,3.7,5.522388059701489e-07,6.11940298507463e-06,0,1694277,3,21,0,0,0,4,0,6.0,21620,-3,1,41,3,0.0,0,0.0,6,0,4,0,0,7.2,1021851,0,0,0,2,900,621,-1,0,125,Chelsea,Arsenal,Stoke,Newcastle,Bournemouth,0.0,4.5,4.1,4.8,3.3,0.0,7.6,2.9,4.5,5.1,3.3,3.8,2.6,3.2,4.1,4.6,4.2,2.6,5.2,2.0,3.9,3.0,5.3,57.8
Benjamin,Chilwell,DEF,LEI,4300000,6,19,1.26666666666667,2.94573643410853e-07,4.41860465116279e-06,0,19921,0,5,0,0,0,0,0,4.4,702,-2,0,19,2,0.5,0,2.3,0,0,2,0,0,0.4,18539,0,0,0,0,478,5674,0,0,92,Newcastle,Southampton,Crystal Palace,Man Utd,Watford,0.6,0.6,1.9,0.9,0.9,0.6,1.3,0.6,0.8,0.6,0.7,0.6,0.8,0.8,0.6,1.0,0.7,0.9,0.6,0.8,1.5,1.2,0.6,15.1
Hamza,Choudhury,MID,LEI,4500000,0,1,0.0666666666666667,1.48148148148148e-08,2.22222222222222e-07,0,34,0,0,0,0,0,0,0,0.2,23,0,0,1,0,0.1,0,0.5,0,0,0,0,0,0.0,76,0,0,0,0,7,35,0,0,2,Newcastle,Southampton,Crystal Palace,Man Utd,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Eric Maxim,Choupo-Moting,MID,STK,5600000,2,60,4.0,7.142857142857141e-07,1.0714285714285699e-05,0,394293,1,27,0,0,0,3,0,10.7,37651,1,1,60,-1,0.7,0,4.0,6,0,2,0,3,4.7,596117,0,0,0,1,1240,7800,-1,0,162,Tottenham,Burnley,West Ham,West Brom,Huddersfield,3.3,3.8,5.1,4.6,3.7,3.7,4.8,2.4,5.4,3.2,4.2,3.9,3.5,3.9,2.7,5.6,2.9,3.9,3.9,4.1,2.7,4.7,4.9,94.0
Andreas,Christensen,DEF,CHE,5500000,2,36,3.3,6e-07,6.54545454545455e-06,0,24985,0,7,0,0,0,0,0,6.5,7019,0,0,36,0,0.7,0,4.0,1,0,4,0,0,3.2,181962,0,0,0,0,784,37389,0,0,191,West Ham,Huddersfield,Southampton,Everton,Brighton,3.7,3.4,3.2,2.2,3.8,3.3,2.5,3.1,3.8,3.1,4.3,3.8,2.4,2.8,4.6,3.5,3.5,4.3,3.5,4.5,3.2,3.5,3.1,23.4
Ciaran,Clark,DEF,NEW,4500000,0,39,3.3,7.33333333333333e-07,8.66666666666667e-06,0,156679,2,19,0,0,0,2,0,8.7,3909,0,0,39,0,0.5,0,2.3,4,0,2,0,0,2.1,199409,0,0,0,1,1025,1868,0,0,194,Leicester,Everton,Arsenal,West Ham,Man City,3.4,3.4,2.2,3.3,2.7,4.2,3.0,3.2,2.4,3.7,3.9,3.8,2.8,2.6,3.5,3.0,4.8,2.4,4.0,1.9,4.2,4.0,3.4,46.5
Jordy,Clasie,MID,SOU,4400000,0,0,0.0,0.0,0.0,0,17654,0,0,0,0,0,0,0,0.0,162,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,3977,0,0,0,0,0,4,0,0,0,Arsenal,Leicester,Chelsea,Huddersfield,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom,Cleverley,MID,WAT,5000000,4,46,3.1,6.2e-07,9.2e-06,0,58728,1,24,0,0,0,1,0,9.2,3638,0,0,46,0,0.6,1,3.0,3,0,5,0,2,1.1,96239,0,0,0,1,1320,4135,0,0,229,Burnley,Crystal Palace,Huddersfield,Brighton,Leicester,3.0,2.9,3.3,2.7,2.5,2.9,2.2,2.2,2.8,2.9,1.9,3.0,3.5,2.6,2.3,2.1,2.7,2.3,2.9,2.8,2.6,2.8,1.9,66.0
Sam,Clucas,MID,SWA,4900000,2,23,2.3,4.6938775510204106e-07,4.69387755102041e-06,0,4810,1,10,0,0,0,1,0,4.7,170,-1,0,23,1,0.2,0,1.0,0,0,2,0,0,0.0,5880,0,0,0,0,654,51,0,0,107,West Brom,Man City,Everton,Crystal Palace,Liverpool,1.9,1.2,1.8,2.0,1.2,1.8,1.6,1.8,1.5,2.0,1.5,1.7,1.5,2.2,1.6,1.6,1.2,1.6,2.5,1.2,1.4,1.9,1.6,21.0
Nathaniel,Clyne,DEF,LIV,5300000,0,0,0.0,0.0,0.0,0,26549,0,0,0,0,0,0,0,0.0,180,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1135,0,0,0,0,0,28,0,0,0,Everton,West Brom,Bournemouth,Arsenal,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Colback,MID,NEW,4300000,0,0,0.0,0.0,0.0,0,75351,0,0,0,0,0,0,0,0.0,3609,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,1.4,89569,0,0,0,0,0,1121,0,0,0,Leicester,Everton,Arsenal,West Ham,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Coleman,GLK,HUD,4000000,0,0,0.0,0.0,0.0,0,42163,0,0,0,0,0,0,0,0.0,1204,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1.5,18204,0,0,0,0,0,298,0,0,0,Brighton,Chelsea,Watford,Southampton,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seamus,Coleman,DEF,EVE,6400000,0,0,0.0,0.0,0.0,0,7834,0,0,0,0,0,0,0,0.0,126,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,756,0,0,0,0,0,36,0,0,0,Liverpool,Newcastle,Swansea,Chelsea,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James,Collins,DEF,WHU,4300000,0,8,0.5333333333333329,1.2403100775193802e-07,1.86046511627907e-06,0,15808,0,3,0,0,0,0,0,1.9,205,-2,0,8,2,0.0,0,0.0,0,0,1,0,0,0.1,6632,0,0,0,0,237,22,0,0,44,Chelsea,Arsenal,Stoke,Newcastle,Bournemouth,0.0,0.3,0.3,0.3,0.3,0.0,0.6,0.3,0.3,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,8.7
Francis,Coquelin,MID,ARS,4400000,0,5,0.33333333333333304,7.575757575757571e-08,1.13636363636364e-06,0,32721,0,5,0,0,0,0,0,1.1,938,-1,0,5,1,0.1,0,0.3,0,0,0,0,0,0.6,14024,0,0,0,0,148,424,0,0,29,Southampton,West Ham,Newcastle,Liverpool,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.4
Jack,Cork,MID,BUR,4600000,2,43,2.9,6.30434782608696e-07,9.347826086956521e-06,0,191802,4,12,0,0,0,1,0,9.3,11338,1,0,43,-1,0.9,0,4.3,3,0,6,0,1,3.8,333120,0,0,0,0,1350,13631,0,0,234,Watford,Stoke,Brighton,Tottenham,Man Utd,1.9,2.5,2.1,2.4,1.4,2.2,2.2,2.3,2.5,2.5,1.6,3.1,2.4,3.6,2.4,2.2,2.3,2.5,2.7,2.2,2.4,1.7,2.9,59.3
,Costa,FWD,CHE,9500000,0,0,0.0,0.0,0.0,0,64985,0,0,0,0,0,0,0,0.0,144,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.4,2316,0,0,0,0,0,8,0,0,0,West Ham,Huddersfield,Southampton,Everton,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thibaut,Courtois,GLK,CHE,5500000,2,64,4.3,7.81818181818182e-07,1.16363636363636e-05,0,423220,0,12,0,34,0,0,0,11.6,21852,0,-1,64,0,0.8,0,4.3,2,0,7,0,0,14.4,300151,0,0,0,0,1350,28198,1,0,280,West Ham,Huddersfield,Southampton,Everton,Brighton,5.3,5.0,4.7,3.4,5.5,4.9,3.8,4.6,5.5,4.6,6.1,5.5,3.7,4.2,6.0,5.1,5.1,6.1,5.2,6.3,4.7,5.1,4.7,23.1
Philippe,Coutinho,MID,LIV,9000000,18,63,4.2,4.66666666666667e-07,7.000000000000001e-06,0,756519,0,10,0,0,0,4,0,7.2,8221,0,-2,63,0,0.9,0,8.3,10,0,2,0,5,10.5,971920,0,0,0,3,660,292831,2,0,236,Everton,West Brom,Bournemouth,Arsenal,Swansea,6.2,5.3,4.1,2.7,5.6,5.1,3.6,3.3,4.8,3.5,4.6,3.8,5.8,5.5,2.2,3.8,3.6,4.0,5.3,3.6,4.7,3.6,4.6,97.0
Martin,Cranie,DEF,HUD,4000000,0,2,0.133333333333333,3.33333333333333e-08,5e-07,0,12792,0,7,0,0,0,0,0,0.5,1618,0,0,2,0,0.1,0,0.3,0,0,0,0,0,0.4,19764,0,0,0,0,179,1360,0,0,35,Brighton,Chelsea,Watford,Southampton,Stoke,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.7
Aaron,Cresswell,DEF,WHU,5000000,5,38,2.7,5.4e-07,7.6e-06,0,64824,0,25,0,0,0,0,0,7.6,2053,0,0,38,0,0.4,0,2.0,4,0,3,0,2,0.7,66561,0,0,0,0,1134,799,0,0,205,Chelsea,Arsenal,Stoke,Newcastle,Bournemouth,2.7,3.2,2.0,2.9,1.8,0.0,5.3,2.0,2.7,4.1,2.3,2.8,1.7,1.9,2.9,3.0,2.8,2.1,2.9,1.4,2.1,1.5,2.6,50.3
Peter,Crouch,FWD,STK,4800000,5,31,2.8,5.83333333333333e-07,6.45833333333333e-06,0,155036,1,8,0,0,0,3,0,6.5,9534,-2,0,31,2,0.5,0,2.3,4,0,0,0,1,2.7,165219,0,0,0,0,373,25608,0,0,118,Tottenham,Burnley,West Ham,West Brom,Huddersfield,2.0,2.2,3.3,3.1,2.1,1.9,3.0,1.6,3.4,2.2,2.5,2.8,2.3,2.5,2.3,3.4,1.5,2.4,2.4,2.4,2.0,3.3,2.4,43.3
Charlie,Daniels,DEF,BOU,5000000,2,54,3.6,7.2e-07,1.0800000000000002e-05,0,587327,0,17,0,0,0,1,0,10.8,28654,0,0,54,0,0.9,0,4.3,4,0,4,0,1,13.2,407020,0,0,0,0,1350,24961,0,0,277,Crystal Palace,Man Utd,Liverpool,Man City,West Ham,4.4,2.5,4.2,3.0,5.0,3.7,4.0,4.4,3.9,3.8,4.0,3.7,4.1,2.9,4.2,4.5,4.6,5.2,3.2,4.1,3.8,3.5,3.7,57.8
,Danilo,DEF,MCI,5000000,1,25,1.6666666666666698,3.3333333333333304e-07,5e-06,0,303640,1,2,0,0,0,0,0,4.9,2985,-5,1,25,5,0.1,0,0.3,0,0,3,0,1,1.8,151698,0,0,0,0,379,847,-1,0,111,Man Utd,Swansea,Tottenham,Bournemouth,Newcastle,0.8,1.1,1.2,1.0,1.0,2.1,1.1,1.0,1.2,1.4,1.2,1.0,0.8,1.0,1.1,1.4,0.8,1.2,1.1,1.0,1.3,1.7,1.2,20.1
Scott,Dann,DEF,CRY,4700000,0,13,1.2,2.5531914893617e-07,2.7659574468085098e-06,0,61113,3,20,0,0,0,0,0,2.8,2604,-3,0,13,3,0.1,0,0.3,0,0,0,0,0,0.4,22907,0,0,0,0,990,272,0,0,131,Bournemouth,Watford,Leicester,Swansea,Arsenal,0.7,0.7,0.6,0.6,0.9,0.6,0.6,0.8,0.6,0.6,0.8,0.6,0.8,0.8,0.6,0.6,0.8,0.6,0.9,0.8,0.7,0.6,0.9,45.0
