FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Craig,Cathcart,DEF,WAT,4500000,0,1,0.0833333333333333,1.85185185185185e-08,2.22222222222222e-07,0,561,0,0,0,0,0,0,0,0.2,98,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.0,104,0,0,0,0,19,8,0,0,4,Man City,Swansea,West Brom,Arsenal,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Santiago,Cazorla,MID,ARS,7000000,0,0,0.0,0.0,0.0,0,1032,0,0,0,0,0,0,0,0.0,104,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,252,0,0,0,0,0,48,0,0,0,Chelsea,West Brom,Brighton,Watford,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petr,Cech,GLK,ARS,5500000,6,12,3.0,5.454545454545451e-07,2.1818181818181803e-06,0,67191,0,8,0,11,0,0,0,2.2,9910,0,0,12,0,0.7,0,3.7,0,0,1,0,0,5.3,13690,0,0,0,0,360,1994,0,0,71,Chelsea,West Brom,Brighton,Watford,Everton,1.5,4.5,4.4,2.2,1.5,2.7,1.5,3.6,1.5,4.2,3.4,1.5,1.5,3.6,4.5,1.8,1.5,3.5,1.5,4.5,2.4,3.7,2.4,2.8,1.5,3.7,1.5,4.5,3.6,1.5,4.5,1.5,3.2,1.5,11.6
,Cedric,DEF,SOU,5000000,1,14,3.5,7e-07,2.8e-06,0,164201,0,4,0,0,0,0,0,2.8,53664,0,0,14,0,0.5,0,2.7,0,0,2,0,0,11.1,131908,0,0,0,0,360,15707,0,0,67,Crystal Palace,Man Utd,Stoke,Newcastle,West Brom,4.9,2.9,3.2,3.2,4.3,4.3,2.8,2.3,3.3,3.1,4.0,4.9,3.6,3.5,4.0,5.2,2.5,4.4,5.2,3.2,4.2,4.4,5.0,3.4,4.6,3.7,5.2,2.8,1.9,3.1,2.4,4.1,2.9,2.4,14.6
Nacer,Chadli,MID,WBA,5800000,0,0,0.0,0.0,0.0,0,22847,0,0,0,0,0,0,0,0.0,4354,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.3,2396,0,0,0,0,0,92,0,0,0,West Ham,Arsenal,Watford,Leicester,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathaniel,Chalobah,MID,WAT,4500000,3,10,2.5,5.55555555555556e-07,2.22222222222222e-06,0,47431,1,3,0,0,0,0,0,2.2,14381,0,0,10,0,0.6,0,2.7,0,0,3,0,0,3.2,101025,0,0,0,0,360,38479,0,0,30,Man City,Swansea,West Brom,Arsenal,Chelsea,1.2,3.8,2.0,3.2,2.5,1.8,3.1,3.7,2.9,1.2,1.2,2.7,3.2,1.4,2.2,2.0,1.2,2.3,1.2,2.2,1.8,1.3,1.8,2.4,1.2,2.0,1.5,2.4,1.3,2.1,1.8,3.1,1.6,1.5,15.8
,Chamberlain,MID,LIV,6000000,1,7,1.8,3e-07,1.16666666666667e-06,0,109981,0,11,0,0,0,0,0,1.2,24728,0,0,7,0,0.3,0,1.7,0,0,0,0,0,3.1,75425,0,0,0,0,286,14917,0,0,71,Burnley,Leicester,Newcastle,Man Utd,Tottenham,1.7,0.9,0.9,1.3,0.9,1.8,0.9,1.5,1.7,0.9,0.9,2.5,1.5,0.9,0.9,1.5,2.3,0.9,1.3,1.5,0.9,1.0,0.9,2.7,1.9,0.9,1.0,0.9,0.9,2.5,0.9,2.1,0.9,1.7,23.2
Calum,Chambers,DEF,ARS,4800000,0,0,0.0,0.0,0.0,0,13360,0,0,0,0,0,0,0,0.0,1401,-2,1,0,2,0.0,0,0.0,0,0,0,0,0,0.3,1454,0,0,0,0,0,65,-1,0,0,Chelsea,West Brom,Brighton,Watford,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Chicharito,FWD,WHU,7100000,2,18,4.5,6.33802816901408e-07,2.53521126760563e-06,0,529820,1,10,0,0,0,2,0,2.5,225216,1,0,18,-1,0.7,0,5.3,3,0,1,0,0,24.5,717603,0,0,0,1,333,35190,0,0,58,West Brom,Tottenham,Swansea,Burnley,Brighton,2.2,4.6,4.5,2.2,6.8,2.2,6.8,2.2,6.8,2.2,2.2,5.7,6.8,2.2,5.6,2.2,2.2,6.3,2.2,6.8,6.8,2.2,4.4,2.2,3.0,6.4,6.1,5.7,2.2,6.8,2.2,5.6,2.2,6.8,28.0
Benjamin,Chilwell,DEF,LEI,4400000,0,0,0.0,0.0,0.0,0,9039,0,0,0,0,0,0,0,0.0,1251,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.3,876,0,0,0,0,0,167,0,0,0,Huddersfield,Liverpool,Bournemouth,West Brom,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
