FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Laurent,Depoitre,FWD,HUD,5300000,0,0,0.0,0.0,0.0,0,5333,0,0,0,0,0,0,0,0.0,1130,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,755,0,0,0,0,0,298,0,0,0,West Ham,Leicester,Burnley,Tottenham,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed,Diame,MID,NEW,4900000,1,2,0.222222222222222,4.53514739229025e-08,4.08163265306122e-07,0,5976,0,0,0,0,0,0,0,0.4,1606,-1,0,2,1,0.1,0,0.7,0,0,0,0,0,0.2,561,0,0,0,0,22,142,0,0,8,Swansea,Stoke,Brighton,Liverpool,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Brahim,Diaz,MID,MCI,4900000,0,0,0.0,0.0,0.0,0,1877,0,0,0,0,0,0,0,0.0,460,-1,1,0,1,0.0,0,0.0,0,0,0,0,0,0.1,370,0,0,0,0,0,75,-1,0,0,Liverpool,Watford,Crystal Palace,Chelsea,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Dier,MID,TOT,5000000,2,6,2.0,4e-07,1.2e-06,0,55542,1,2,0,0,0,0,0,1.2,19162,0,0,6,0,0.4,0,2.0,0,0,1,0,0,3.6,21879,0,0,0,0,247,5337,0,0,35,Everton,Swansea,West Ham,Huddersfield,Bournemouth,2.0,1.0,2.2,1.9,1.5,1.0,1.1,1.2,1.6,1.0,1.3,2.2,2.0,1.0,2.1,2.7,1.0,1.2,3.0,2.6,1.7,1.0,1.0,1.5,2.5,1.0,2.5,1.6,1.9,1.4,1.0,2.2,1.0,1.8,2.0,10.5
Mame Biram,Diouf,FWD,STK,5400000,0,4,2.0,3.7037037037037e-07,7.407407407407409e-07,0,8373,0,1,0,0,0,0,0,0.7,3218,-1,1,4,1,0.2,0,1.3,0,0,1,0,0,0.3,2029,0,0,0,0,180,385,-1,0,16,Man Utd,Newcastle,Chelsea,Southampton,Man City,0.0,1.0,1.6,1.6,1.0,2.8,1.0,3.0,1.0,1.0,2.3,1.1,1.0,1.3,3.0,1.4,1.0,1.0,2.6,1.0,1.2,1.3,1.0,2.1,1.0,1.0,1.7,3.0,1.0,1.5,1.2,2.0,1.0,2.5,1.1,5.9
Abdoulaye,Doucoure,MID,WAT,5100000,3,15,5.0,9.80392156862745e-07,2.94117647058824e-06,0,70989,0,3,0,0,0,1,0,2.9,31882,1,0,15,-1,1.0,0,5.0,2,0,2,0,0,4.9,235605,0,0,0,0,270,54184,0,0,64,Southampton,Man City,Swansea,West Brom,Arsenal,6.3,3.0,7.5,6.7,6.5,6.8,7.4,6.3,5.3,6.6,2.5,2.5,7.5,7.5,2.9,7.5,7.5,3.6,7.2,3.9,5.3,5.5,4.3,7.3,7.5,2.9,6.0,4.4,5.5,3.1,6.7,5.0,7.5,6.6,4.7,17.8
Aleksandar,Dragovic,DEF,LEI,5000000,0,0,0.0,0.0,0.0,0,66,0,0,0,0,0,0,0,0.0,66,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,286,0,0,0,0,0,286,0,0,0,Chelsea,Huddersfield,Liverpool,Bournemouth,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel,Drinkwater,MID,CHE,4900000,0,0,0.0,0.0,0.0,0,6647,0,0,0,0,0,0,0,0.0,1954,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.3,3680,0,0,0,0,0,2930,0,0,0,Leicester,Arsenal,Stoke,Man City,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane,Duffy,DEF,BHA,4500000,9,11,3.7,8.22222222222222e-07,2.44444444444444e-06,0,5268,0,4,0,0,0,0,0,2.4,2577,0,0,11,0,0.8,0,3.7,3,0,1,0,0,0.5,8902,0,0,0,1,270,7585,0,0,58,West Brom,Bournemouth,Newcastle,Arsenal,Everton,3.6,4.4,4.3,3.1,4.9,4.0,3.4,5.6,5.6,3.4,4.4,3.6,4.7,5.6,2.4,3.1,3.8,3.2,4.1,5.4,3.0,4.1,3.5,3.4,2.0,4.5,2.4,4.8,5.1,2.9,5.3,3.6,5.4,2.5,2.6,11.3
Paul,Dummett,DEF,NEW,4400000,0,1,0.111111111111111,2.5252525252525296e-08,2.2727272727272702e-07,0,25585,0,0,0,0,0,0,0,0.2,6989,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.3,416,0,0,0,0,7,45,0,0,4,Swansea,Stoke,Brighton,Liverpool,Southampton,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.5
