FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Nampalys,Mendy,MID,LEI,4500000,0,0,0.0,0.0,0.0,0,3065,0,0,0,0,0,0,0,0.0,282,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,1159,0,0,0,0,0,27,0,0,0,Bournemouth,West Brom,Swansea,Everton,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikel,Merino,MID,NEW,5000000,2,11,1.8,3.6e-07,2.2e-06,0,2925,2,3,0,0,0,0,0,2.2,567,0,0,11,0,0.4,0,2.0,0,0,2,0,0,0.1,4575,0,0,0,0,464,648,0,0,91,Liverpool,Southampton,Crystal Palace,Burnley,Bournemouth,1.6,1.4,1.8,1.0,2.0,0.9,0.9,0.9,1.1,1.8,2.3,0.9,0.9,0.9,1.5,0.9,1.4,0.9,1.3,1.4,1.0,1.2,0.9,1.0,1.2,1.4,0.9,2.4,1.2,1.5,1.4,1.2,20.5
Per,Mertesacker,DEF,ARS,4900000,0,0,0.0,0.0,0.0,0,16001,0,0,0,0,0,0,0,0.0,1646,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.4,4331,0,0,0,0,0,776,0,0,0,Brighton,Watford,Everton,Swansea,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roque,Mesa,MID,SWA,4400000,1,3,0.166666666666667,3.78787878787879e-08,6.81818181818182e-07,0,19514,0,2,0,0,0,0,0,0.7,3263,-1,0,3,1,0.1,0,0.3,0,0,0,0,0,0.5,17226,0,0,0,0,111,4805,0,0,21,West Ham,Huddersfield,Leicester,Arsenal,Brighton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.9
Simon,Mignolet,GLK,LIV,4900000,6,16,3.2,6.53061224489796e-07,3.26530612244898e-06,0,34128,2,11,0,15,0,0,0,3.3,4032,-1,1,16,1,0.7,0,3.3,0,0,1,0,0,1.5,14201,0,0,1,0,450,3119,-1,0,94,Newcastle,Man Utd,Tottenham,Huddersfield,West Ham,2.0,3.2,3.3,4.2,1.7,3.6,3.2,2.3,2.2,4.0,4.8,1.8,1.6,2.7,3.4,2.1,2.5,3.1,2.1,3.4,3.6,4.8,4.2,1.6,3.3,3.3,1.6,4.1,2.5,4.5,2.1,4.7,11.9
Luka,Milivojevic,MID,CRY,4700000,2,7,1.4,2.97872340425532e-07,1.48936170212766e-06,0,47939,0,10,0,0,0,0,0,1.5,3250,-3,0,7,3,0.2,0,1.0,0,0,0,0,0,0.4,3696,0,0,0,0,289,550,0,0,44,Man Utd,Chelsea,Newcastle,West Ham,Tottenham,0.7,0.7,0.7,1.3,0.9,1.5,0.8,0.7,0.7,1.2,0.7,0.7,1.6,1.6,0.7,1.1,0.7,0.7,0.7,1.0,0.9,0.7,0.7,0.8,0.7,0.9,0.9,0.9,1.1,1.1,0.7,0.9,8.7
James,Milner,DEF,LIV,6300000,1,11,0.6111111111111109,9.700176366843029e-08,1.74603174603175e-06,0,195559,0,4,0,0,0,0,0,1.7,20723,-2,0,11,2,0.2,0,1.0,0,0,1,0,0,3.2,17053,0,0,0,0,242,835,0,0,67,Newcastle,Man Utd,Tottenham,Huddersfield,West Ham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.4,22.8
Tyrone,Mings,DEF,BOU,4400000,0,0,0.0,0.0,0.0,0,11151,1,4,0,0,0,0,0,0.0,2347,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.3,1968,0,0,0,0,135,31,0,0,17,Leicester,Tottenham,Stoke,Chelsea,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
Kevin,Mirallas,MID,EVE,6200000,0,2,0.111111111111111,1.7921146953404998e-08,3.2258064516129e-07,0,90020,0,3,0,0,0,0,0,0.3,7076,-3,1,2,3,0.0,0,0.3,0,0,0,0,0,1.2,5374,0,0,0,0,21,540,-1,0,9,Burnley,Brighton,Arsenal,Leicester,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.3
Aleksandar,Mitrovic,FWD,NEW,4800000,0,5,0.277777777777778,5.78703703703704e-08,1.04166666666667e-06,0,101547,0,0,0,0,0,1,0,1.0,5587,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,1.0,19130,0,0,0,0,18,5571,0,0,25,Liverpool,Southampton,Crystal Palace,Burnley,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.6
