FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Hector,Bellerin,DEF,ARS,5900000,6,107,3.6,6.10169491525424e-07,1.8135593220339003e-05,0,913457,4,39,0,0,0,2,0,18.1,4516,-1,0,107,1,0.5,0,3.0,7,0,10,0,2,10.0,681547,0,0,0,1,2617,12423,0,0,532,Southampton,Newcastle,West Ham,Man Utd,Burnley,4.7,2.4,5.4,2.2,6.8,2.6,139.9
Yohan,Benalouane,DEF,LEI,4200000,0,0,0.0,0.0,0.0,0,3680,0,0,0,0,0,0,0,0.0,32,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1623,0,0,0,0,0,30,0,0,0,Newcastle,Burnley,Southampton,Crystal Palace,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Benteke,FWD,CRY,7600000,1,75,2.9,3.8157894736842105e-07,9.868421052631579e-06,0,507659,6,36,0,0,0,2,0,9.9,18188,-4,0,75,4,0.2,1,1.3,5,0,6,0,7,2.6,184635,0,0,0,0,2153,1501,0,0,141,Bournemouth,Brighton,Watford,Leicester,Stoke,0.0,0.0,0.0,3.1,2.9,3.4,145.9
Saido,Berahino,FWD,STK,5600000,1,20,0.625,1.11607142857143e-07,3.5714285714285697e-06,0,35581,0,13,0,0,0,0,0,3.6,119,-4,0,20,4,0.1,1,0.7,0,0,2,0,1,0.3,15299,0,0,0,0,483,79,0,0,42,Tottenham,West Ham,Burnley,Liverpool,Crystal Palace,0.3,0.3,0.3,0.3,0.3,0.3,23.7
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,239,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,41,0,0,0,0,0,1,0,0,0,Burnley,Huddersfield,Crystal Palace,Tottenham,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo Silva,MID,MCI,7300000,1,85,2.74193548387097,3.7560760053027e-07,1.16438356164384e-05,0,193671,0,6,0,0,0,4,0,11.5,18971,-7,1,85,7,0.1,0,1.0,3,0,7,0,5,1.3,150710,0,0,0,1,1155,1414,-1,0,351,Man Utd,Tottenham,Swansea,West Ham,Huddersfield,2.1,1.5,2.6,2.0,5.5,2.2,106.8
Ryan,Bertrand,DEF,SOU,5300000,1,77,2.8,5.283018867924531e-07,1.4528301886792498e-05,0,798519,1,41,0,0,0,0,0,14.5,2685,-2,0,77,2,0.2,0,1.0,4,0,5,0,4,5.0,303851,0,0,0,1,2515,552,0,0,447,Arsenal,Chelsea,Leicester,Bournemouth,Everton,2.2,5.0,0.0,2.4,4.0,2.3,115.3
Muhamed,Besic,MID,EVE,4200000,0,2,1.0,2.38095238095238e-07,4.76190476190476e-07,0,15351,0,0,0,0,0,0,0,0.5,82,-3,0,2,3,0.0,0,0.0,0,0,0,0,0,0.2,11631,0,0,0,0,46,26,0,0,10,Liverpool,Swansea,Newcastle,Huddersfield,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Philip,Billing,MID,HUD,4400000,0,16,0.5,1.13636363636364e-07,3.63636363636364e-06,0,38449,3,9,0,0,0,0,0,3.6,71,-1,0,16,1,0.0,0,0.0,0,0,3,0,0,0.2,32127,0,0,0,0,600,23,0,0,70,Brighton,Watford,Everton,Man City,Chelsea,0.2,0.2,0.0,0.2,0.4,0.2,15.0
Daley,Blind,DEF,MUN,5100000,0,20,0.6451612903225811,1.26502213788741e-07,3.92156862745098e-06,0,189346,0,0,0,0,0,0,0,3.9,167,-4,0,20,4,0.0,0,0.0,0,0,3,0,0,0.9,135784,0,0,0,0,274,28,0,0,88,Man City,West Brom,Bournemouth,Arsenal,Brighton,0.3,0.6,0.0,0.4,0.6,0.4,15.1
Jeremie,Boga,MID,CHE,6000000,0,1,1.0,1.66666666666667e-07,1.66666666666667e-07,0,996,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,543,0,0,0,0,17,0,0,0,1,West Ham,Southampton,Burnley,Swansea,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,6603,0,1,0,0,0,0,0,0.4,1,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.0,1882,0,0,0,0,71,0,0,0,5,Tottenham,West Ham,Burnley,Liverpool,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,1.9
Yannick,Bolasie,MID,EVE,6400000,7,27,0.84375,1.318359375e-07,4.21875e-06,0,13847,0,13,0,0,0,1,0,4.2,794,-1,0,27,1,0.8,0,5.0,0,0,2,0,1,0.2,15133,0,0,0,0,603,1331,0,0,67,Liverpool,Swansea,Newcastle,Huddersfield,Southampton,0.4,0.4,0.4,0.4,0.4,0.4,26.3
Gaetan,Bong,DEF,BHA,4400000,0,43,2.4,5.454545454545451e-07,9.772727272727271e-06,0,13140,2,24,0,0,0,0,0,9.8,307,-1,0,43,1,-0.1,0,-0.5,3,0,4,0,0,0.2,14070,1,0,0,1,1612,932,0,0,275,Huddersfield,Crystal Palace,Tottenham,Burnley,Man Utd,2.7,5.2,0.0,1.7,3.8,1.7,38.2
Wilfried,Bony,FWD,SWA,5600000,0,33,1.06451612903226,1.9009216589861802e-07,5.89285714285714e-06,0,88158,2,8,0,0,0,2,0,5.9,90,-4,0,33,4,0.0,0,0.0,3,0,2,0,1,0.1,87733,0,0,0,0,701,25,0,0,103,West Brom,Everton,Man City,Chelsea,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.8,39.3
Artur,Boruc,GLK,BOU,4100000,0,0,0.0,0.0,0.0,0,156979,0,0,0,0,0,0,0,0.0,531,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,1.4,9626,0,0,0,0,0,300,0,0,0,Crystal Palace,Liverpool,Man Utd,Southampton,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofiane,Boufal,MID,SOU,5700000,1,55,1.7741935483871,3.11262026032824e-07,9.64912280701754e-06,0,23375,1,24,0,0,0,2,0,9.6,166,-3,0,55,3,0.1,0,0.5,2,0,1,0,2,0.2,17723,0,0,0,0,1206,38,0,0,215,Arsenal,Chelsea,Leicester,Bournemouth,Everton,0.9,2.1,0.0,1.3,2.2,0.9,103.7
,Brad Smith,DEF,BOU,3900000,0,0,0.0,0.0,0.0,0,195401,0,0,0,0,0,0,0,0.0,1744,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,3.2,104739,0,0,0,0,0,2745,0,0,0,Crystal Palace,Liverpool,Man Utd,Southampton,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie,Brady,MID,BUR,5300000,0,56,1.80645161290323,3.4083992696287304e-07,1.05660377358491e-05,0,212572,3,12,0,0,0,1,0,10.6,94,-2,0,56,2,0.0,0,0.0,7,0,6,0,4,0.5,198975,0,0,0,1,1277,10,0,0,216,Watford,Leicester,Chelsea,Stoke,Brighton,0.0,0.0,0.0,0.0,0.0,1.3,97.3
Claudio,Bravo,GLK,MCI,4600000,0,1,0.032258064516129,7.012622720897621e-09,2.1739130434782601e-07,0,40063,0,0,0,0,0,0,0,0.2,113,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.5,8867,0,0,0,0,44,74,0,0,4,Man Utd,Tottenham,Swansea,West Ham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.3
