FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,149,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,61,0,250,0,0,0,2,0,0,0,Sunderland,Crystal Palace,Tottenham,Stoke,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,3,27,0.5625,1.1968085106382998e-07,5.74468085106383e-06,0,5738,3,7,0,0,0,1,0,5.7,1039,-3,0,27,3,0.9,0,4.4,2,0,3,0,1,0.4,17564,0,109,0,0,664,7173,0,0,100,Leicester,Liverpool,Chelsea,Watford,Sunderland,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10025,0,2,0,0,0,0,0,0.6,18,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,696,0,0,0,0,122,16,0,0,6,Swansea,Burnley,Man Utd,Leicester,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4800000,0,37,3.4,7.08333333333333e-07,7.70833333333333e-06,0,87777,1,20,0,37,0,0,0,7.7,3360,-2,0,37,2,0.0,0,0.0,3,0,3,0,0,2.2,53812,0,356,0,0,990,612,0,0,198,Hull City,Swansea,Leicester,Man Utd,Crystal Palace,4.3,2.9,1.9,3.3,3.9,3.3,3.6,3.4,4.1,3.0,3.6,3.0,3.7,3.5,4.3,3.7,2.6,4.3,4.2,4.5,4.8,2.7
Ibrahim,Afellay,MID,STK,5400000,0,0,0.0,0.0,0.0,0,465,0,0,0,0,0,0,0,0.0,10,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,211,0,270,0,0,0,16,0,0,0,Leicester,Liverpool,Chelsea,Watford,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5600000,5,25,2.1,3.75e-07,4.46428571428571e-06,0,23197,0,5,0,0,0,1,0,4.5,761,-4,0,25,4,0.6,0,3.6,1,0,1,0,2,0.6,18682,0,146,0,0,338,9369,0,0,58,Southampton,Chelsea,Swansea,Arsenal,Hull City,2.1,1.0,1.5,1.9,1.8,2.1,2.3,1.0,2.2,1.1,1.1,2.5,2.4,1.0,1.2,1.7,1.0,2.0,1.3,1.9,2.7,1.2
Sergio,Aguero,FWD,MCI,12800000,0,74,6.2,4.84375e-07,5.78125e-06,0,2674933,3,13,0,0,0,10,0,5.7,41077,-2,1,74,2,0.2,1,2.6,16,0,2,0,1,18.1,1629003,0,789,0,4,1006,465,-1,1,284,Arsenal,Hull City,Liverpool,Burnley,Everton,0.0,0.0,7.7,9.3,7.2,8.9,7.8,8.6,6.5,8.2,7.6,8.0,8.9,8.0,6.7,8.6,6.9,8.5,8.2,8.3,9.3,7.8
Ola,Aina,DEF,CHE,4600000,0,1,0.0208333333333333,4.528985507246379e-09,2.1739130434782601e-07,0,4451,0,0,0,0,0,0,0,0.2,42,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.1,475,0,0,0,0,9,15,0,0,3,Crystal Palace,Bournemouth,Stoke,Tottenham,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,BOU,4400000,8,34,0.708333333333333,1.60984848484849e-07,7.727272727272729e-06,0,50768,0,11,0,0,0,2,0,7.9,1684,-1,-1,34,1,1.5,0,6.4,5,0,2,0,0,5.1,178367,0,232,0,1,465,53499,1,0,153,Southampton,Chelsea,Swansea,Arsenal,Hull City,0.5,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8540,0,0,0,0,0,0,0,0.0,33,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1174,0,0,0,0,0,9,0,0,0,Man City,West Brom,Crystal Palace,Bournemouth,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc,Albrighton,MID,LEI,5000000,2,28,2.2,4.4e-07,5.6e-06,0,56527,1,17,0,0,0,0,0,5.6,691,-5,0,28,5,0.4,0,1.8,0,0,4,0,0,0.7,9961,0,519,0,0,934,362,0,0,139,Stoke,Everton,West Ham,Middlesbrough,Chelsea,1.1,2.2,1.8,1.3,1.5,1.1,1.1,2.0,1.1,1.3,2.0,1.1,1.1,1.8,2.8,1.1,1.1,1.9,1.1,2.2,1.1,2.3
Toby,Alderweireld,DEF,TOT,6300000,6,39,3.9,6.19047619047619e-07,6.190476190476191e-06,0,572835,0,4,0,0,0,0,0,6.2,2088,-2,0,39,2,0.3,0,1.6,0,0,5,0,0,10.0,83422,0,598,0,0,869,3636,0,0,206,Burnley,Southampton,Watford,Chelsea,West Brom,5.7,3.7,3.3,4.6,5.2,3.3,2.8,4.8,4.2,5.7,5.4,3.8,5.8,2.9,3.2,5.0,5.8,2.0,5.6,4.2,4.3,3.8
Trent,Alexander-Arnold,MID,LIV,4300000,1,1,0.0208333333333333,4.844961240310079e-09,2.3255813953488398e-07,0,1059,0,0,0,0,0,0,0,0.2,26,-2,0,1,2,0.0,0,0.2,0,0,0,0,0,0.0,895,0,0,0,0,1,24,0,0,1,Everton,Stoke,Man City,Sunderland,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,5200000,2,65,4.3,8.269230769230771e-07,1.25e-05,0,489820,5,20,0,0,0,4,0,12.5,25348,2,0,65,-2,0.3,0,1.8,9,0,4,0,3,12.2,887299,0,132,0,1,1192,23393,0,0,287,Leicester,Liverpool,Chelsea,Watford,Sunderland,6.0,2.5,3.3,5.1,5.3,4.7,5.1,4.0,4.1,3.0,4.8,3.5,3.7,4.4,4.0,3.3,4.6,4.3,4.3,3.6,3.0,3.7
Bamidele,Alli,MID,TOT,8100000,3,62,4.1,5.06172839506173e-07,7.65432098765432e-06,0,394576,2,8,0,0,0,3,0,7.7,8406,-4,0,62,4,0.5,0,4.0,3,0,6,0,4,5.1,146667,0,666,0,0,1137,5781,0,0,190,Burnley,Southampton,Watford,Chelsea,West Brom,5.9,2.7,3.4,4.0,4.8,2.5,4.1,5.0,2.0,4.5,5.3,3.1,5.1,2.9,3.2,5.3,5.4,3.3,3.3,2.6,5.0,3.1
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,235,0,0,0,0,0,0,0,0.0,56,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1240,0,0,0,0,0,150,0,0,0,Southampton,Chelsea,Swansea,Arsenal,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6400000,7,67,6.1,9.53125e-07,1.046875e-05,0,29840,1,2,0,0,0,1,0,10.6,2992,4,-1,67,-4,0.8,0,5.4,3,0,8,0,2,8.5,358718,0,0,0,1,936,24377,1,0,269,Crystal Palace,Bournemouth,Stoke,Tottenham,Leicester,7.9,9.1,8.4,7.0,5.2,8.6,7.4,8.3,6.7,8.2,7.5,8.6,7.9,8.4,8.1,7.0,6.4,9.1,6.8,8.3,7.5,8.4
Daniel,Amartey,MID,LEI,4500000,2,27,2.1,4.66666666666667e-07,6e-06,0,7112,2,21,0,0,0,0,0,6.0,231,0,0,27,0,0.4,0,1.8,0,0,2,0,1,0.2,8315,0,23,0,0,1017,172,0,0,145,Stoke,Everton,West Ham,Middlesbrough,Chelsea,1.0,2.1,1.7,1.2,1.4,1.0,1.0,1.9,1.0,1.2,1.8,1.0,1.0,1.7,2.6,1.0,1.0,1.7,1.0,2.1,1.0,2.1
Jordi,Amat,DEF,SWA,4100000,1,19,1.5,3.65853658536585e-07,4.6341463414634106e-06,0,209158,4,28,0,0,0,0,0,4.6,5621,1,0,19,-1,0.4,0,1.6,0,0,2,0,0,13.0,356561,0,63,0,0,1170,9376,0,0,206,Middlesbrough,West Ham,Bournemouth,Crystal Palace,Arsenal,0.9,1.7,1.5,1.0,1.7,1.1,1.5,0.8,1.0,0.8,1.4,1.0,0.8,1.0,1.3,1.4,0.8,1.4,0.8,1.2,0.8,1.2
Nordin,Amrabat,MID,WAT,5000000,2,40,2.7,5.4e-07,8e-06,0,8900,3,26,0,0,0,0,0,8.0,273,0,0,40,0,0.5,0,2.4,5,0,2,0,3,0.2,12443,0,74,0,0,1149,2149,0,0,166,Sunderland,Crystal Palace,Tottenham,Stoke,Middlesbrough,2.5,2.1,2.3,1.9,2.5,1.5,1.4,3.2,1.9,2.2,2.6,1.4,1.8,3.4,2.4,1.4,2.4,1.9,1.6,2.0,1.6,1.8
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2221,0,0,0,0,0,0,0,0.0,22,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1620,0,0,0,0,0,15,0,0,0,Chelsea,Watford,Arsenal,Swansea,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2178,0,0,0,0,0,0,0,0.0,39,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,787,0,0,0,0,0,15,0,0,0,Arsenal,Hull City,Liverpool,Burnley,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4700000,0,31,4.4,9.36170212765958e-07,6.595744680851059e-06,0,81287,1,8,0,0,0,3,0,6.6,27134,2,0,31,-2,0.8,0,3.8,5,0,1,0,1,4.3,251116,0,0,0,1,465,9414,0,0,120,Watford,Man Utd,Burnley,Liverpool,Stoke,0.0,4.2,4.1,6.2,5.3,4.3,6.0,5.2,5.8,3.9,5.9,4.7,6.6,4.4,4.5,5.4,6.4,4.6,5.9,5.2,6.3,3.6
Michail,Antonio,MID,WHU,6700000,3,71,4.7,7.01492537313433e-07,1.05970149253731e-05,0,714628,4,25,0,0,0,7,0,10.6,8492,-3,0,71,3,0.5,0,3.6,4,0,4,0,1,9.0,869908,0,452,0,2,1283,50828,0,0,244,Hull City,Swansea,Leicester,Man Utd,Crystal Palace,5.6,4.5,4.7,5.7,5.0,5.2,4.5,3.9,5.4,4.8,4.5,3.8,7.0,4.4,3.3,5.6,5.5,6.1,4.5,5.3,4.1,4.2
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,5814,0,0,0,0,0,0,0,0.2,29,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,348,0,176,0,0,10,3,0,0,3,Sunderland,Crystal Palace,Tottenham,Stoke,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4600000,0,0,0.0,0.0,0.0,0,4665,3,9,0,0,0,0,0,0.0,113,-4,0,0,4,0.0,0,-0.2,0,0,0,0,0,0.1,4859,0,0,0,0,258,58,0,0,34,Hull City,Swansea,Leicester,Man Utd,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,2,35,2.3,4.4230769230769206e-07,6.73076923076923e-06,0,5704,3,18,0,0,0,1,0,6.7,150,-3,0,35,3,0.3,0,1.6,3,0,3,0,1,0.1,3097,0,0,0,1,982,55,0,0,118,Tottenham,Middlesbrough,Sunderland,Man City,Southampton,1.2,2.2,3.0,1.2,2.3,1.2,2.9,1.2,1.7,1.2,1.2,1.2,1.5,2.0,2.0,1.3,1.2,2.2,1.2,2.1,1.2,2.0
Marko,Arnautovic,MID,STK,7200000,-2,36,2.4,3.3333333333333304e-07,5e-06,0,85919,5,20,0,0,0,1,0,5.0,4830,-3,0,36,3,0.3,0,2.2,0,0,4,0,2,0.8,37759,0,528,0,0,1232,135,0,1,131,Leicester,Liverpool,Chelsea,Watford,Sunderland,0.0,0.0,0.0,2.2,2.3,2.0,2.2,1.5,1.6,1.2,2.0,1.3,1.4,1.8,1.5,1.2,1.9,1.7,1.7,1.4,1.2,1.4
Harry,Arter,MID,BOU,5000000,3,38,2.4,4.8e-07,7.6e-06,0,12487,4,25,0,0,0,0,0,7.6,504,0,0,38,0,0.4,0,1.8,2,0,5,0,2,0.3,15067,0,188,0,0,1393,747,0,1,236,Southampton,Chelsea,Swansea,Arsenal,Hull City,2.4,1.2,1.2,1.4,1.2,2.5,2.0,1.2,1.7,1.2,1.3,2.1,2.2,1.2,1.2,1.7,1.2,2.3,1.7,2.1,2.9,1.3
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4195,0,0,0,0,0,0,0,0.0,23,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,484,0,0,0,0,0,3,0,0,0,Man City,West Brom,Crystal Palace,Bournemouth,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.0208333333333333,4.73484848484848e-09,2.2727272727272702e-07,0,513,0,0,0,0,0,0,0,0.2,13,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,448,0,0,0,0,10,5,0,0,3,Watford,Man Utd,Burnley,Liverpool,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6600000,0,59,4.5,6.81818181818182e-07,8.93939393939394e-06,0,789858,1,7,0,0,0,6,0,8.8,84681,1,1,59,-1,0.4,0,2.4,10,0,6,0,1,4.4,866093,0,32,0,1,866,968,-1,0,211,Bournemouth,Tottenham,West Brom,Everton,Burnley,0.0,0.0,0.0,0.0,0.0,6.8,5.2,6.6,4.8,5.6,4.4,5.7,3.6,6.2,6.3,4.2,6.1,3.6,6.6,4.5,4.7,5.5
Daniel,Ayala,DEF,MID,4900000,0,20,0.4166666666666671,8.50340136054422e-08,4.08163265306122e-06,0,9368,2,5,0,0,0,1,0,4.1,215,-1,0,20,1,0.0,0,0.0,0,0,2,0,0,0.1,5670,0,0,0,0,390,60,0,0,91,Swansea,Burnley,Man Utd,Leicester,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andre,Ayew,MID,WHU,7100000,1,12,0.25,3.5211267605633804e-08,1.6901408450704202e-06,0,271176,0,8,0,0,0,0,0,1.7,369,-4,0,12,4,0.2,0,1.4,0,0,1,0,0,1.1,6192,0,524,0,0,316,267,0,0,30,Hull City,Swansea,Leicester,Man Utd,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cesar,Azpilicueta,DEF,CHE,6400000,8,77,4.8,7.5e-07,1.203125e-05,0,260923,3,11,0,0,0,0,0,12.2,3209,4,-1,77,-4,0.8,0,5.2,12,0,9,0,1,17.8,460694,0,470,0,0,1440,44078,1,0,394,Crystal Palace,Bournemouth,Stoke,Tottenham,Leicester,5.8,7.2,6.6,5.0,3.5,6.7,5.8,6.5,4.7,6.0,5.9,6.2,6.2,6.2,5.8,5.3,4.4,7.2,4.8,6.0,5.5,6.1
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1078,0,0,0,0,0,0,0,0.0,33,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,165,0,138,0,0,0,16,0,0,0,Crystal Palace,Bournemouth,Stoke,Tottenham,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,1,32,2.9,5.47169811320755e-07,6.037735849056599e-06,0,478207,3,10,0,0,0,0,0,6.0,9038,-2,0,32,2,0.1,0,0.4,7,0,3,0,0,6.5,190340,0,0,0,0,828,1229,0,0,201,West Brom,Sunderland,Middlesbrough,West Ham,Liverpool,0.0,3.0,2.9,3.6,3.9,3.4,3.4,1.5,3.1,2.4,3.8,2.8,2.7,3.2,3.3,2.1,2.7,2.2,2.9,3.8,2.3,3.0
Leighton,Baines,DEF,EVE,5300000,7,42,4.2,7.92452830188679e-07,7.924528301886791e-06,0,397654,2,10,0,0,0,1,0,7.9,1616,-2,0,42,2,0.8,1,4.2,7,0,2,0,2,5.1,257685,0,212,0,0,884,8653,0,0,187,Liverpool,Leicester,Hull City,Southampton,Man City,6.3,2.3,4.3,6.3,5.2,4.2,4.9,6.3,4.1,5.4,3.5,5.7,5.9,4.5,3.0,5.2,6.3,4.6,5.1,3.6,5.6,4.9
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11130,0,0,0,0,0,0,0,0.0,53,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1525,0,0,0,0,0,31,0,0,0,Everton,Stoke,Man City,Sunderland,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,Bamford,FWD,BUR,5000000,1,5,0.10416666666666699,2.08333333333333e-08,1e-06,0,2644,0,1,0,0,0,0,0,1.0,75,0,0,5,0,0.0,0,0.2,0,0,0,0,0,0.0,3356,0,0,0,0,36,49,0,0,12,Tottenham,Middlesbrough,Sunderland,Man City,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3220,0,0,0,0,0,0,0,0.0,33,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2458,0,0,0,0,0,10,0,0,0,Swansea,Burnley,Man Utd,Leicester,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4400000,0,20,0.4166666666666671,9.469696969696972e-08,4.54545454545455e-06,0,8635,2,9,0,0,0,0,0,4.5,377,-1,0,20,1,0.0,0,0.2,0,0,2,0,0,0.1,6643,0,107,0,0,661,8,0,0,105,Leicester,Liverpool,Chelsea,Watford,Sunderland,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7000000,6,48,3.4,4.857142857142861e-07,6.85714285714286e-06,0,621420,2,15,0,0,0,2,0,6.9,4324,-5,0,48,5,0.3,0,2.0,6,0,2,0,2,6.1,469677,0,654,0,0,1107,1540,0,0,168,Liverpool,Leicester,Hull City,Southampton,Man City,2.6,2.5,2.3,3.9,2.9,2.3,2.4,4.2,2.8,4.8,1.7,3.6,3.7,1.7,2.4,4.8,4.6,1.9,3.0,2.4,4.1,1.7
Ashley,Barnes,FWD,BUR,4400000,1,12,0.25,5.68181818181818e-08,2.7272727272727298e-06,0,26750,1,4,0,0,0,1,0,2.7,3049,-1,0,12,1,0.2,0,1.0,1,0,0,0,0,1.1,56485,0,0,0,0,233,2878,0,0,36,Tottenham,Middlesbrough,Sunderland,Man City,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Antonio,Barragan,DEF,MID,4600000,1,44,2.8,6.08695652173913e-07,9.56521739130435e-06,0,25328,4,19,0,0,0,0,0,9.8,2471,1,-1,44,-1,0.5,0,2.4,5,0,4,0,0,1.9,79935,0,0,0,0,1418,5902,1,0,283,Swansea,Burnley,Man Utd,Leicester,Watford,2.6,2.2,2.0,2.5,2.5,3.9,2.9,2.4,3.0,2.8,3.4,2.6,2.2,2.4,2.9,3.3,3.6,2.5,2.5,2.2,3.5,3.1
Modou,Barrow,FWD,SWA,5000000,1,32,2.0,4e-07,6.4e-06,0,76627,1,18,0,0,0,0,0,6.4,4268,0,0,32,0,0.3,0,1.6,0,0,4,0,2,1.5,101197,0,120,0,0,1034,6679,0,0,125,Middlesbrough,West Ham,Bournemouth,Crystal Palace,Arsenal,1.5,2.1,1.8,1.7,1.5,1.4,1.7,1.6,2.4,1.1,2.3,2.0,1.0,1.6,1.9,1.6,1.4,1.5,1.3,2.0,1.6,1.7
Gareth,Barry,MID,EVE,4500000,0,40,2.9,6.44444444444444e-07,8.88888888888889e-06,0,286056,6,18,0,0,0,2,0,8.7,7330,0,1,40,0,0.4,0,1.6,3,0,3,0,1,4.6,337517,0,418,0,0,1193,2511,-1,0,196,Liverpool,Leicester,Hull City,Southampton,Man City,2.0,1.9,1.8,3.1,2.3,1.7,1.8,3.4,2.2,3.9,1.4,2.9,2.9,1.4,1.9,3.9,3.8,1.5,2.3,1.8,3.3,1.4
Borja,Baston,FWD,SWA,6800000,4,23,0.4791666666666671,7.04656862745098e-08,3.3823529411764703e-06,0,9096,0,8,0,0,0,1,0,3.4,109,-2,0,23,2,0.1,0,1.0,1,0,1,0,2,0.0,6167,0,0,0,0,398,100,0,0,60,Middlesbrough,West Ham,Bournemouth,Crystal Palace,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,0,17,1.9,2.2352941176470603e-07,2e-06,0,104652,0,0,0,0,0,1,0,2.0,392,-5,0,17,5,0.0,0,0.2,1,0,0,0,1,1.0,38134,0,0,0,0,85,52,0,0,50,Crystal Palace,Bournemouth,Stoke,Tottenham,Leicester,1.6,1.7,1.4,1.0,1.3,2.2,1.3,1.4,1.2,1.9,1.5,1.6,1.2,1.7,1.7,1.0,1.2,1.6,1.1,1.5,1.2,2.0
Asmir,Begovic,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,5307,0,0,0,0,0,0,0,0.0,91,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1223,0,150,0,0,0,21,0,0,0,Crystal Palace,Bournemouth,Stoke,Tottenham,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,0,26,1.9,4.2222222222222205e-07,5.7777777777777805e-06,0,13414,5,22,0,0,0,0,0,5.8,612,0,0,26,0,0.2,0,1.0,0,0,3,0,0,0.2,11714,0,127,0,0,1203,52,0,0,136,Sunderland,Crystal Palace,Tottenham,Stoke,Middlesbrough,0.0,1.2,1.3,1.0,1.5,1.0,1.0,1.9,1.1,1.3,1.5,1.0,1.0,2.1,1.3,1.0,1.4,1.0,1.0,1.1,1.0,1.0
Hector,Bellerin,DEF,ARS,6400000,1,54,4.2,6.5625e-07,8.4375e-06,0,825459,0,14,0,0,0,0,0,8.4,5701,-1,0,54,1,0.2,0,1.4,7,0,4,0,3,16.1,299500,0,541,0,1,1146,7034,0,0,252,Man City,West Brom,Crystal Palace,Bournemouth,Swansea,4.6,5.1,4.9,4.6,4.5,5.8,4.9,4.2,5.3,5.1,5.4,4.6,4.8,4.6,5.8,5.1,5.0,4.8,4.4,4.1,5.7,5.3
Yohan,Benalouane,DEF,LEI,4000000,0,0,0.0,0.0,0.0,0,7454,0,0,0,0,0,0,0,0.0,72,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,1324,0,15,0,0,0,6,0,0,0,Stoke,Everton,West Ham,Middlesbrough,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,4100,0,0,0,0,0,0,0,0.0,16,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,441,0,29,0,0,0,4,0,0,0,Burnley,Southampton,Watford,Chelsea,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saido,Berahino,FWD,WBA,6000000,0,6,1.5,2.5e-07,1e-06,0,43117,1,2,0,0,0,0,0,1.0,208,-5,0,6,5,0.0,0,0.0,0,0,2,0,0,0.4,10523,0,226,0,0,243,62,0,0,-3,Man Utd,Arsenal,Southampton,Hull City,Tottenham,0.0,0.0,0.0,1.6,0.8,1.4,0.9,1.0,1.0,1.2,1.2,0.8,1.0,0.8,0.8,1.1,1.3,0.9,1.6,0.8,0.9,1.1
