FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Morgan,Schneiderlin,MID,MUN,4600000,0,3,0.0625,1.3586956521739098e-08,6.52173913043478e-07,0,10773,0,1,0,0,0,0,0,0.7,104,-4,0,3,4,0.0,0,0.2,0,0,0,0,0,0.2,1590,0,317,0,0,14,45,0,0,9,West Brom,Sunderland,Middlesbrough,West Ham,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bastian,Schweinsteiger,MID,MUN,5100000,0,0,0.0,0.0,0.0,0,6050,0,0,0,0,0,0,0,0.0,67,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,936,0,200,0,0,0,35,0,0,0,West Brom,Sunderland,Middlesbrough,West Ham,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xherdan,Shaqiri,MID,STK,6300000,1,44,4.0,6.349206349206351e-07,6.984126984126981e-06,0,409212,1,7,0,0,0,3,0,7.0,8604,-2,0,44,2,0.3,0,2.2,5,0,5,0,0,4.1,225443,0,302,0,1,852,3967,0,0,131,Leicester,Liverpool,Chelsea,Watford,Sunderland,5.5,2.3,2.9,4.6,4.8,4.3,4.6,3.5,3.7,2.6,4.3,3.1,3.3,4.0,3.5,2.9,4.1,3.8,3.8,3.2,2.7,3.3
Luke,Shaw,DEF,MUN,5300000,0,28,0.583333333333333,1.10062893081761e-07,5.28301886792453e-06,0,796118,0,5,0,0,0,0,0,5.3,19761,-2,0,28,2,0.0,0,0.0,2,0,3,0,1,8.2,366735,0,92,0,1,525,51,0,0,132,West Brom,Sunderland,Middlesbrough,West Ham,Liverpool,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3
Ryan,Shawcross,DEF,STK,4900000,6,37,2.8,5.714285714285711e-07,7.55102040816327e-06,0,76665,3,19,0,0,0,0,0,7.6,1375,-1,0,37,1,0.3,0,1.6,2,0,3,0,2,1.8,59506,0,176,0,1,1170,777,0,0,209,Leicester,Liverpool,Chelsea,Watford,Sunderland,2.5,3.1,2.2,2.8,2.1,2.2,3.1,2.6,2.8,2.3,2.6,2.4,2.5,1.5,2.2,3.6,3.1,2.4,3.9,2.5,3.7,2.8
,Sheyi Ojo,MID,LIV,4700000,0,0,0.0,0.0,0.0,0,817,0,0,0,0,0,0,0,0.0,6,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.0,105,0,81,0,0,0,9,0,0,0,Everton,Stoke,Man City,Sunderland,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gylfi,Sigurdsson,MID,SWA,7500000,2,79,4.9,6.53333333333333e-07,1.05333333333333e-05,0,263771,1,34,0,0,0,5,0,10.5,18867,0,0,79,0,1.0,0,7.2,8,0,2,0,5,10.3,384031,0,586,0,2,1347,40413,0,0,300,Middlesbrough,West Ham,Bournemouth,Crystal Palace,Arsenal,5.7,5.4,6.4,4.8,3.9,3.0,6.0,4.1,7.3,3.8,7.0,4.9,4.2,5.9,5.5,4.2,5.3,5.4,5.1,6.3,5.9,5.6
David,Silva,MID,MCI,8700000,10,47,3.4,3.9080459770114897e-07,5.40229885057471e-06,0,195625,1,16,0,0,0,1,0,5.4,1304,-3,0,47,3,0.4,0,3.6,4,0,3,0,3,2.1,55445,0,351,0,0,1159,1681,0,0,245,Arsenal,Hull City,Liverpool,Burnley,Everton,2.1,2.9,1.7,4.3,2.5,3.1,2.4,3.3,2.4,3.4,3.7,3.0,2.3,2.1,2.2,3.3,2.5,3.2,3.4,2.9,4.5,3.1
Danny,Simpson,DEF,LEI,4900000,0,29,2.1,4.28571428571429e-07,5.91836734693878e-06,0,69942,5,21,0,0,0,0,0,5.9,1539,-1,0,29,1,0.2,0,1.2,1,0,3,0,1,1.3,18746,0,390,0,0,1195,148,0,0,193,Stoke,Everton,West Ham,Middlesbrough,Chelsea,1.8,2.3,3.0,1.3,1.9,1.3,1.0,1.7,1.1,2.7,2.3,2.3,1.9,2.6,2.0,1.0,1.3,2.5,1.2,2.1,1.1,2.7
Joshua,Sims,MID,SOU,4300000,0,7,0.145833333333333,3.39147286821705e-08,1.62790697674419e-06,0,3498,0,1,0,0,0,0,0,1.6,859,-2,1,7,2,0.4,0,1.8,0,0,1,0,1,0.1,8900,0,0,0,0,115,159,-1,0,31,Bournemouth,Tottenham,West Brom,Everton,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
