FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Adam Smith,DEF,BOU,4500000,0,56,4.0508323128589496e-27,9.00184958413099e-34,1.24444444444444e-05,0,0,6,38,0,0,0,1,0,0,0,0,0,56,0,0,0,0,3,0,2,0,3,0.3,0,0,0,0,0,2067,0,0,0,376,Cardiff City,West Ham,Everton,Chelsea,Leicester,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5
,Adrian,GLK,WHU,4500000,0,72,5.2082129736757896e-27,1.15738066081684e-33,1.6e-05,0,0,2,29,0,69,0,0,0,0,0,0,0,72,0,0,0,0,5,0,6,0,0,0.6,0,0,0,0,0,1710,0,0,0,374,Liverpool,Bournemouth,Arsenal,Wolverhampton,Everton,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
Sergio,Aguero,FWD,MCI,11000000,0,169,4.44736842105263,4.0430622009569397e-07,1.5363636363636403e-05,0,0,2,12,0,0,0,21,0,0,0,0,0,169,0,0,0,0,22,0,13,0,6,12.9,0,0,0,0,0,1960,0,0,0,740,Arsenal,Huddersfield,Wolverhampton,Newcastle,Fulham,4.2,5.7,5.5,5.6,6.3,5.5,5.8,4.0,5.4,4.1,5.8,4.8,4.8,6.0,4.7,3.7,5.6,5.6,4.9,4.9,4.9,6.3,4.8,4.8,5.1,4.5,4.7,5.6,5.1,5.6,3.9,5.5,6.3,4.7,5.0,4.6,5.8,5.0,302.5
Nathan,Ake,DEF,BOU,5000000,0,102,2.6842105263157903,5.368421052631579e-07,2.0399999999999998e-05,0,0,5,59,0,0,0,2,0,0,0,0,0,102,0,0,0,0,8,0,6,0,3,6.4,0,0,0,0,0,3352,0,0,0,642,Cardiff City,West Ham,Everton,Chelsea,Leicester,3.8,2.0,2.8,2.4,2.4,2.1,2.8,2.6,2.9,3.3,2.6,2.0,2.5,1.9,2.5,2.6,3.3,3.2,2.2,2.1,3.1,2.2,2.5,3.0,3.3,2.1,3.8,1.9,2.5,2.0,2.5,1.9,2.6,2.6,3.8,2.4,2.7,2.3,133.5
Marc,Albrighton,MID,LEI,5500000,0,107,2.81578947368421,5.119617224880379e-07,1.9454545454545497e-05,0,0,5,42,0,0,0,2,0,0,0,0,0,107,0,0,0,0,12,0,8,0,8,0.8,0,0,0,0,0,2533,0,0,1,458,Man Utd,Wolverhampton,Southampton,Liverpool,Bournemouth,1.6,4.0,2.4,2.0,2.3,3.0,2.1,2.7,2.1,3.0,3.5,2.8,2.0,3.1,3.5,2.1,2.3,1.8,1.6,4.0,2.1,3.0,3.5,1.5,2.2,1.6,2.9,2.6,2.6,4.0,2.3,2.8,2.4,2.6,2.5,2.6,1.4,2.3,160.2
Toby,Alderweireld,DEF,TOT,6000000,0,43,3.1104605259452603e-27,5.184100876575439e-34,7.16666666666667e-06,0,0,3,13,0,0,0,0,0,0,0,0,0,43,0,0,0,0,3,0,5,0,0,3.7,0,0,0,0,0,1177,0,0,0,247,Newcastle,Fulham,Man Utd,Watford,Liverpool,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8
Trent,Alexander-Arnold,DEF,LIV,5000000,0,83,6.00391217798737e-27,1.2007824355974699e-33,1.66e-05,0,0,3,17,0,0,0,1,0,0,0,0,0,83,0,0,0,0,10,0,8,0,2,15.1,0,0,0,0,0,1573,0,0,0,385,West Ham,Crystal Palace,Brighton,Leicester,Tottenham,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.1
,Alisson,GLK,LIV,5500000,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,West Ham,Crystal Palace,Brighton,Leicester,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bamidele,Alli,MID,TOT,9000000,0,175,4.60526315789474,5.11695906432749e-07,1.9444444444444398e-05,0,0,7,28,0,0,0,9,0,0,0,0,0,175,0,0,0,0,12,0,16,0,13,3.6,0,0,0,0,0,2957,0,0,0,565,Newcastle,Fulham,Man Utd,Watford,Liverpool,4.5,6.5,3.7,5.3,4.4,4.4,5.0,6.5,5.2,3.6,5.7,4.9,4.9,4.5,6.0,5.3,5.7,4.6,5.7,6.5,5.7,4.6,5.7,6.2,5.4,6.2,4.8,4.0,5.4,5.1,5.8,3.5,5.3,5.9,2.8,6.0,4.8,5.5,258.8
Marcos,Alonso,DEF,CHE,6500000,0,165,4.34210526315789,6.68016194331984e-07,2.53846153846154e-05,0,0,6,30,0,0,0,7,0,0,0,0,0,165,0,0,0,0,15,0,13,0,2,16.9,0,0,0,0,0,2855,0,0,0,650,Huddersfield,Arsenal,Newcastle,Bournemouth,Cardiff City,4.3,5.0,4.2,4.9,6.2,4.3,5.2,4.9,5.2,4.4,5.5,5.5,4.6,6.2,5.4,5.0,5.3,4.9,5.2,4.7,5.7,5.1,4.1,4.1,5.2,4.1,6.1,5.5,5.4,6.2,4.6,5.4,5.2,4.4,5.2,4.4,6.0,4.0,207.1
