FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marko,Grujic,MID,LIV,4200000,0,3,1.0,2.38095238095238e-07,7.142857142857141e-07,0,46508,0,0,0,0,0,0,0,0.7,1752,-3,0,3,3,0.0,0,0.0,0,0,0,0,0,0.6,51732,0,0,0,0,14,556,0,0,9,Swansea,Huddersfield,Tottenham,Southampton,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
Johann Berg,Gudmundsson,MID,BUR,5000000,2,66,3.0,6e-07,1.32e-05,0,30365,2,17,0,0,0,1,0,13.2,6093,0,0,66,0,0.6,0,3.2,1,0,8,0,5,0.6,58327,0,0,0,0,1688,3494,0,0,275,Man Utd,Newcastle,Man City,Swansea,Southampton,2.4,2.7,1.8,3.0,2.7,3.5,2.2,2.6,2.3,2.4,2.7,2.3,3.0,1.8,3.2,115.5
Idrissa,Gueye,MID,EVE,4800000,2,46,2.2,4.58333333333333e-07,9.58333333333333e-06,0,61222,4,31,0,0,0,1,0,9.6,827,-2,0,46,2,0.5,0,2.4,2,0,5,0,0,0.8,29442,0,0,0,0,1759,692,0,1,324,West Brom,Leicester,Arsenal,Crystal Palace,Watford,2.2,1.8,1.1,1.8,1.3,1.3,2.0,1.3,1.1,1.4,1.7,1.9,1.3,1.8,1.2,58.6
Ilkay,Gundogan,MID,MCI,5300000,13,43,1.8695652173913,3.5274815422477396e-07,8.11320754716981e-06,0,59540,0,7,0,0,0,2,0,8.1,4695,-2,0,43,2,0.7,0,3.6,5,0,2,0,2,0.9,82253,0,0,0,2,560,22749,0,0,167,Newcastle,West Brom,Burnley,Leicester,Arsenal,1.4,1.5,1.1,1.2,0.9,1.1,1.1,1.4,1.3,1.0,0.9,1.5,1.0,1.7,1.2,48.6
Florent,Hadergjonaj,DEF,HUD,4500000,0,18,0.7826086956521741,1.7391304347826098e-07,4e-06,0,1500,1,12,0,0,0,0,0,4.0,70,0,0,18,0,0.1,0,0.6,2,0,1,0,1,0.0,1844,0,0,0,0,510,34,0,0,112,Stoke,Liverpool,Man Utd,Bournemouth,West Brom,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.9,0.4,0.4,0.4,0.4,0.4,0.4,0.5,21.9
Massadio,Haidara,DEF,NEW,3900000,0,0,0.0,0.0,0.0,0,91171,0,0,0,0,0,0,0,0.0,2998,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,1.6,92505,0,0,0,0,0,4822,0,0,0,Man City,Burnley,Crystal Palace,Man Utd,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sead,Haksabanovic,MID,WHU,5000000,0,0,0.0,0.0,0.0,0,586,0,0,0,0,0,0,0,0.0,22,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,688,0,0,0,0,0,20,0,0,0,Bournemouth,Crystal Palace,Brighton,Watford,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben,Hamer,GLK,LEI,4400000,0,0,0.0,0.0,0.0,0,1943,0,0,0,0,0,0,0,0.0,51,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,747,0,0,0,0,0,32,0,0,0,Watford,Everton,Swansea,Man City,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant,Hanley,DEF,NEW,4000000,0,0,0.0,0.0,0.0,0,83912,0,0,0,0,0,0,0,0.0,661,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,5749,0,0,0,0,0,15,0,0,0,Man City,Burnley,Crystal Palace,Man Utd,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rekeem,Harper,MID,WBA,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,2132,0,0,0,0,0,0,0,0.2,17,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1348,0,0,0,0,20,5,0,0,6,Everton,Man City,Southampton,Chelsea,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
