FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Bernardo Silva,MID,MCI,7400000,4,36,2.0,2.7027027027027e-07,4.86486486486486e-06,0,101142,0,3,0,0,0,1,0,4.9,713,-6,0,36,6,0.3,0,2.2,0,0,2,0,3,0.6,21830,0,0,0,0,455,920,0,0,149,Bournemouth,Newcastle,Crystal Palace,Watford,Liverpool,1.6,1.5,1.2,1.0,1.0,1.6,1.6,1.2,1.3,1.0,1.2,1.3,1.4,1.5,1.2,1.0,1.7,1.2,1.8,1.4,54.1
Ryan,Bertrand,DEF,SOU,5400000,2,57,3.2,5.92592592592593e-07,1.05555555555556e-05,0,613348,0,24,0,0,0,0,0,10.6,43899,-1,0,57,1,0.6,0,3.3,4,0,4,0,3,7.3,276528,0,0,0,1,1615,11133,0,0,321,Huddersfield,Tottenham,Man Utd,Crystal Palace,Watford,0.0,3.0,2.2,4.5,4.0,3.7,4.1,3.3,3.3,3.1,3.4,2.8,2.8,3.5,2.3,3.5,2.6,3.0,2.0,2.6,81.8
Muhamed,Besic,MID,EVE,4300000,0,2,0.111111111111111,2.5839793281653704e-08,4.65116279069767e-07,0,11502,0,0,0,0,0,0,0,0.5,466,-2,0,2,2,0.0,0,0.0,0,0,0,0,0,0.2,9619,0,0,0,0,46,208,0,0,10,Chelsea,West Brom,Bournemouth,Man Utd,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.0
Philip,Billing,MID,HUD,4400000,0,12,0.666666666666667,1.51515151515151e-07,2.7272727272727298e-06,0,35911,2,5,0,0,0,0,0,2.7,491,-1,0,12,1,0.0,0,0.0,0,0,3,0,0,0.2,31595,0,0,0,0,420,13,0,0,52,Southampton,Stoke,Burnley,Leicester,West Ham,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,12.6
Daley,Blind,DEF,MUN,5200000,0,19,1.05555555555556,2.02991452991453e-07,3.65384615384615e-06,0,177436,0,0,0,0,0,0,0,3.7,1502,-3,0,19,3,0.0,0,0.0,0,0,3,0,0,1.0,133232,0,0,0,0,271,495,0,0,84,Leicester,Burnley,Southampton,Everton,Stoke,0.5,0.7,0.7,0.5,0.7,0.5,0.5,0.8,0.5,0.7,0.9,0.6,0.5,0.6,0.5,0.8,0.5,0.8,0.5,0.7,14.8
Jeremie,Boga,MID,CHE,6000000,0,1,1.0,1.66666666666667e-07,1.66666666666667e-07,0,958,0,0,0,0,0,0,0,0.2,2,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,530,0,0,0,0,17,1,0,0,1,Everton,Brighton,Stoke,Arsenal,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,6471,0,1,0,0,0,0,0,0.4,16,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.0,1865,0,0,0,0,71,0,0,0,5,West Brom,Huddersfield,Chelsea,Newcastle,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
Yannick,Bolasie,MID,EVE,6400000,0,0,0.0,0.0,0.0,0,3948,0,0,0,0,0,0,0,0.0,89,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,755,0,0,0,0,0,67,0,0,0,Chelsea,West Brom,Bournemouth,Man Utd,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaetan,Bong,DEF,BHA,4400000,6,24,2.7,6.13636363636364e-07,5.45454545454545e-06,0,6385,1,13,0,0,0,0,0,5.5,231,-1,0,24,1,0.3,0,1.5,0,0,3,0,0,0.1,5684,0,0,0,0,810,631,0,0,156,Watford,Chelsea,Newcastle,Bournemouth,West Brom,2.9,2.3,1.9,2.5,2.3,2.9,2.3,3.6,2.2,2.5,3.1,1.4,1.9,2.3,3.3,3.2,3.1,2.1,2.7,1.9,16.0
Wilfried,Bony,FWD,SWA,5700000,1,29,1.61111111111111,2.82651072124756e-07,5.08771929824561e-06,0,69362,2,8,0,0,0,2,0,5.1,10412,-3,0,29,3,0.6,0,3.5,3,0,2,0,1,0.4,83108,0,0,0,0,650,2891,0,0,94,Crystal Palace,Liverpool,Watford,Tottenham,Newcastle,0.0,0.0,1.2,1.1,1.1,1.0,1.2,1.0,1.0,1.0,1.2,0.9,1.1,0.8,1.0,1.4,1.0,0.8,1.1,1.5,37.3
Artur,Boruc,GLK,BOU,4200000,0,0,0.0,0.0,0.0,0,140352,0,0,0,0,0,0,0,0.0,1753,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,1.5,4842,0,0,0,0,0,148,0,0,0,Man City,West Ham,Everton,Brighton,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofiane,Boufal,MID,SOU,5700000,1,31,1.72222222222222,3.02144249512671e-07,5.43859649122807e-06,0,15254,0,15,0,0,0,1,0,5.4,764,-3,0,31,3,0.4,0,2.0,2,0,0,0,1,0.2,10971,0,0,0,0,684,415,0,0,140,Huddersfield,Tottenham,Man Utd,Crystal Palace,Watford,1.5,0.9,0.9,1.2,1.1,1.0,1.1,1.0,0.9,0.9,1.1,1.1,1.3,0.9,0.9,0.9,1.0,1.3,1.1,0.9,56.2
,Brad Smith,DEF,BOU,3900000,0,0,0.0,0.0,0.0,0,157003,0,0,0,0,0,0,0,0.0,3726,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,2.6,54389,0,0,0,0,0,895,0,0,0,Man City,West Ham,Everton,Brighton,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie,Brady,MID,BUR,5400000,0,56,3.7,6.85185185185185e-07,1.03703703703704e-05,0,199447,3,12,0,0,0,1,0,10.4,5851,-1,1,56,1,0.5,0,2.5,7,0,6,0,4,0.7,198666,0,0,0,1,1277,105,-1,0,216,Tottenham,Man Utd,Huddersfield,Liverpool,Crystal Palace,0.0,0.0,0.0,0.0,0.0,3.7,3.5,2.4,4.0,3.9,4.9,3.0,3.5,3.2,3.4,3.8,3.2,4.0,2.4,4.3,97.3
Claudio,Bravo,GLK,MCI,4600000,0,1,0.0555555555555556,1.2077294685990301e-08,2.1739130434782601e-07,0,36111,0,0,0,0,0,0,0,0.2,548,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.5,7239,0,0,0,0,44,147,0,0,4,Bournemouth,Newcastle,Crystal Palace,Watford,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Miguel,Britos,DEF,WAT,4400000,0,20,1.11111111111111,2.52525252525253e-07,4.54545454545455e-06,0,135562,3,12,0,0,0,1,0,4.5,1865,-1,0,20,1,0.0,0,0.2,0,0,2,0,0,0.7,115027,0,0,0,0,704,12,0,1,129,Brighton,Leicester,Swansea,Man City,Southampton,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.6,1.3,0.6,0.6,0.6,24.4
Leon,Britton,MID,SWA,4400000,0,9,0.5,1.13636363636364e-07,2.04545454545455e-06,0,7541,1,1,0,0,0,0,0,2.0,212,-1,0,9,1,0.0,0,0.0,0,0,3,0,0,0.1,3895,0,0,0,0,269,32,0,0,25,Crystal Palace,Liverpool,Watford,Tottenham,Newcastle,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.6
Isaiah,Brown,MID,BHA,5200000,1,15,0.833333333333333,1.6025641025641e-07,2.8846153846153802e-06,0,3549,0,8,0,0,0,0,0,2.9,42,-3,0,15,3,0.2,0,1.2,0,0,0,0,0,0.0,551,0,0,0,0,300,17,0,0,57,Watford,Chelsea,Newcastle,Bournemouth,West Brom,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,14.5
,Bruno,DEF,BHA,4500000,7,51,3.2,7.11111111111111e-07,1.1333333333333302e-05,0,29066,3,16,0,0,0,0,0,11.3,2299,0,0,51,0,0.6,0,2.7,5,0,6,0,0,0.9,59372,0,0,0,0,1352,13859,0,0,262,Watford,Chelsea,Newcastle,Bournemouth,West Brom,3.7,3.0,2.5,3.2,3.0,3.7,3.0,4.5,2.9,3.2,4.0,1.8,2.5,3.0,4.1,3.7,3.9,2.8,3.5,2.6,33.8
Chris,Brunt,MID,WBA,5100000,1,21,1.16666666666667,2.2875816993464103e-07,4.11764705882353e-06,0,130024,1,2,0,0,0,0,0,4.1,716,-4,0,21,4,0.1,0,0.3,3,0,3,0,1,0.5,119094,0,0,0,0,439,102,0,0,99,Stoke,Everton,Arsenal,West Ham,Brighton,0.6,0.9,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,25.4
Harry,Bunn,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,580,0,0,0,0,0,0,0,0.0,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,81,0,0,0,0,0,0,0,0,0,Southampton,Stoke,Burnley,Leicester,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver,Burke,MID,WBA,5000000,2,10,0.555555555555556,1.11111111111111e-07,2e-06,0,3211,0,4,0,0,0,0,0,2.0,36,-5,0,10,5,0.1,0,0.7,0,0,0,0,1,0.0,3534,0,0,0,0,131,105,0,0,33,Stoke,Everton,Arsenal,West Ham,Brighton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,9.3
Jack,Butland,GLK,STK,5000000,2,39,2.6,5.2e-07,7.8e-06,0,130187,0,32,0,42,0,0,0,7.8,1683,0,0,39,0,0.3,0,1.5,3,0,2,0,0,2.3,91905,0,0,0,1,1350,1075,0,0,240,West Brom,Huddersfield,Chelsea,Newcastle,Man Utd,2.9,1.9,2.3,2.4,1.5,3.0,2.7,2.0,3.1,1.8,2.3,1.9,2.0,1.6,2.8,2.5,2.7,2.0,3.7,2.0,30.8
Sam,Byram,DEF,WHU,4300000,0,0,0.0,0.0,0.0,0,8340,0,0,0,0,0,0,0,0.0,155,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,1365,0,0,0,0,0,24,0,0,0,Newcastle,Bournemouth,West Brom,Tottenham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willy,Caballero,GLK,CHE,4800000,0,0,0.0,0.0,0.0,0,3955,0,0,0,0,0,0,0,0.0,67,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,660,0,0,0,0,0,19,0,0,0,Everton,Brighton,Stoke,Arsenal,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yohan,Cabaye,MID,CRY,5400000,3,39,2.6,4.81481481481482e-07,7.2222222222222195e-06,0,27393,3,19,0,0,0,0,0,7.2,654,-1,0,39,1,0.6,0,3.0,3,0,2,0,3,0.3,15893,0,0,0,0,1176,915,0,0,243,Swansea,Arsenal,Man City,Southampton,Burnley,2.3,2.7,1.4,1.8,2.4,1.3,1.7,2.7,2.0,2.2,2.1,1.5,1.7,1.9,2.1,2.4,1.9,2.2,1.7,2.6,92.5
Gary,Cahill,DEF,CHE,6200000,7,39,2.1666666666666696,3.49462365591398e-07,6.29032258064516e-06,0,544142,0,10,0,0,0,0,0,6.3,3980,-3,0,39,3,0.5,0,3.0,2,0,5,0,0,3.2,63746,0,0,0,0,954,4055,0,1,205,Everton,Brighton,Stoke,Arsenal,Leicester,1.1,2.4,1.9,1.2,1.5,1.9,1.7,2.3,2.2,1.1,1.4,3.1,1.6,2.1,2.6,1.8,2.3,1.5,1.8,1.5,31.3
Dominic,Calvert-Lewin,FWD,EVE,5400000,6,62,3.4,6.2962962962963e-07,1.14814814814815e-05,0,261773,2,19,0,0,0,3,0,11.5,36769,4,-1,62,-4,1.0,0,5.2,3,0,4,0,6,11.7,839094,0,0,0,1,1308,119417,1,0,180,Chelsea,West Brom,Bournemouth,Man Utd,Tottenham,3.0,3.0,3.2,3.9,2.3,4.3,4.0,1.8,4.4,3.4,2.4,4.2,3.7,3.5,3.6,2.8,4.3,2.6,3.9,2.5,94.7
Geoff,Cameron,DEF,STK,4300000,1,17,0.944444444444444,2.19638242894057e-07,3.9534883720930196e-06,0,34820,0,16,0,0,0,0,0,4.0,400,-2,0,17,2,0.2,0,0.7,0,0,1,0,0,0.3,24161,0,0,0,0,758,985,0,0,117,West Brom,Huddersfield,Chelsea,Newcastle,Man Utd,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,1.1,0.5,19.5
Emre,Can,MID,LIV,4800000,0,38,2.9,6.04166666666667e-07,7.91666666666667e-06,0,453561,5,17,0,0,0,1,0,7.9,11127,-2,0,38,2,0.5,0,2.5,1,0,4,0,3,4.0,281168,0,0,0,0,995,1449,0,0,204,Arsenal,Swansea,Leicester,Burnley,Man City,1.6,3.2,2.6,2.0,1.6,2.8,2.1,2.5,2.3,3.1,3.2,1.4,2.2,2.0,2.5,3.0,2.2,2.7,1.9,2.7,53.9
Etienne,Capoue,MID,WAT,4900000,2,17,0.944444444444444,1.92743764172336e-07,3.4693877551020403e-06,0,284513,1,8,0,0,0,1,0,3.5,2062,-6,0,17,6,0.1,0,0.5,0,0,0,0,1,1.4,38645,0,0,0,0,291,219,0,0,74,Brighton,Leicester,Swansea,Man City,Southampton,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,21.7
Michael,Carrick,MID,MUN,4300000,0,0,0.0,0.0,0.0,0,95776,0,0,0,0,0,0,0,0.0,1911,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.9,70851,0,0,0,0,0,124,0,0,0,Leicester,Burnley,Southampton,Everton,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre,Carrillo,MID,WAT,5500000,2,33,2.1,3.8181818181818203e-07,6e-06,0,3366,0,22,0,0,0,0,0,6.0,159,0,0,33,0,0.4,0,2.2,0,0,2,0,2,0.0,4269,0,0,0,0,891,162,0,0,146,Brighton,Leicester,Swansea,Man City,Southampton,1.3,1.3,1.7,1.0,1.3,1.5,1.5,1.1,1.5,1.9,1.6,1.1,1.1,1.5,1.4,1.5,1.4,1.2,1.6,1.0,48.2
Andy,Carroll,FWD,WHU,5800000,0,8,1.0,1.7241379310344802e-07,1.37931034482759e-06,0,46778,3,9,0,0,0,0,0,1.4,870,-2,0,8,2,0.1,0,0.3,0,0,3,0,0,0.2,46840,0,0,0,0,539,719,0,1,1,Newcastle,Bournemouth,West Brom,Tottenham,Huddersfield,0.7,0.5,0.0,1.2,0.5,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.8,0.5,0.5,0.5,0.7,26.3
Tom,Carroll,MID,SWA,4300000,5,43,2.5,5.81395348837209e-07,1e-05,0,403989,2,19,0,0,0,0,0,9.8,16678,-2,1,43,2,0.5,0,2.3,2,0,6,0,2,4.1,323931,0,0,0,0,1343,9287,-1,0,217,Crystal Palace,Liverpool,Watford,Tottenham,Newcastle,2.1,1.3,1.9,1.9,2.1,1.6,2.4,1.8,2.1,1.6,2.4,1.7,2.0,1.2,1.9,2.7,1.2,1.8,2.2,2.0,67.5
Cameron,Carter-Vickers,DEF,TOT,4500000,0,0,0.0,0.0,0.0,0,670,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,361,0,0,0,0,0,1,0,0,0,Burnley,Southampton,Swansea,West Ham,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig,Cathcart,DEF,WAT,4400000,0,1,0.0555555555555556,1.26262626262626e-08,2.2727272727272702e-07,0,987,0,0,0,0,0,0,0,0.2,16,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,205,0,0,0,0,19,9,0,0,4,Brighton,Leicester,Swansea,Man City,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Santiago,Cazorla,MID,ARS,6900000,0,0,0.0,0.0,0.0,0,1899,0,0,0,0,0,0,0,0.0,57,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,642,0,0,0,0,0,26,0,0,0,Liverpool,Crystal Palace,West Brom,Chelsea,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petr,Cech,GLK,ARS,5400000,6,75,4.2,7.77777777777778e-07,1.3888888888888901e-05,0,178120,0,20,0,38,0,0,0,13.9,7448,-1,0,75,1,0.8,0,4.5,4,0,9,0,0,5.1,99298,0,0,0,0,1620,2352,0,0,350,Liverpool,Crystal Palace,West Brom,Chelsea,Bournemouth,5.5,4.2,3.8,5.7,3.2,6.3,3.2,4.9,3.4,4.7,4.1,5.8,2.9,5.7,5.6,3.2,6.3,2.5,5.8,3.1,32.2
,Cedric,DEF,SOU,4800000,1,40,2.5,5.20833333333333e-07,8.33333333333333e-06,0,638003,0,20,0,0,0,0,0,8.3,21666,-2,0,40,2,0.2,0,0.8,0,0,4,0,0,3.4,232990,0,0,0,0,1354,295,0,0,231,Huddersfield,Tottenham,Man Utd,Crystal Palace,Watford,0.0,2.0,1.5,3.5,2.8,2.6,2.9,2.3,2.2,2.1,2.4,1.9,1.9,2.4,1.6,2.4,1.7,2.0,1.3,1.8,57.5
Nacer,Chadli,MID,WBA,5600000,0,12,0.666666666666667,1.19047619047619e-07,2.1428571428571398e-06,0,38389,1,1,0,0,0,1,0,2.1,190,-4,0,12,4,0.0,0,0.0,3,0,1,0,0,0.2,9538,0,0,0,1,159,22,0,0,26,Stoke,Everton,Arsenal,West Ham,Brighton,0.0,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,8.4
Nathaniel,Chalobah,MID,WAT,4300000,0,12,0.666666666666667,1.55038759689922e-07,2.7906976744186e-06,0,188866,1,7,0,0,0,0,0,2.8,2545,-2,0,12,2,0.0,0,0.0,0,0,3,0,0,0.8,125569,0,0,0,0,429,127,0,0,37,Brighton,Leicester,Swansea,Man City,Southampton,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19.6
,Chamberlain,MID,LIV,5600000,6,40,2.22222222222222,3.9682539682539704e-07,7.142857142857139e-06,0,220401,1,16,0,0,0,1,0,7.1,2204,-4,0,40,4,0.6,0,3.2,2,0,2,0,2,1.5,108858,0,0,0,0,856,4495,0,0,200,Arsenal,Swansea,Leicester,Burnley,Man City,1.1,2.2,1.7,1.3,1.1,1.9,1.3,1.7,1.5,2.1,2.1,1.1,1.4,1.3,1.6,2.0,1.4,1.8,1.2,1.8,78.2
Calum,Chambers,DEF,ARS,4700000,0,0,0.0,0.0,0.0,0,19108,0,0,0,0,0,0,0,0.0,241,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,2861,0,0,0,0,0,215,0,0,0,Liverpool,Crystal Palace,West Brom,Chelsea,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Chicharito,FWD,WHU,6700000,1,43,3.3,4.92537313432836e-07,6.41791044776119e-06,0,1720676,3,21,0,0,0,4,0,6.4,11162,-3,0,43,3,0.0,0,0.3,6,0,4,0,0,7.0,1045179,0,0,0,2,919,14829,0,0,132,Newcastle,Bournemouth,West Brom,Tottenham,Huddersfield,4.2,3.0,0.0,6.4,2.4,3.9,4.2,2.6,3.5,2.2,2.7,3.5,3.7,3.7,2.0,4.5,1.7,3.3,2.8,4.3,63.8
Benjamin,Chilwell,DEF,LEI,4300000,1,23,1.27777777777778,2.9715762273901803e-07,5.34883720930233e-06,0,23594,0,11,0,0,0,0,0,5.3,1961,-2,0,23,2,0.5,0,2.2,0,0,2,0,0,0.5,26130,0,0,0,0,740,1749,0,0,132,Man Utd,Watford,Liverpool,Huddersfield,Chelsea,0.8,1.0,0.6,1.0,0.7,0.9,0.6,0.7,0.6,0.8,0.7,0.7,0.9,0.8,0.8,0.7,0.8,1.5,1.2,0.6,22.7
Hamza,Choudhury,MID,LEI,4500000,0,1,0.0555555555555556,1.23456790123457e-08,2.22222222222222e-07,0,97,0,0,0,0,0,0,0,0.2,24,0,0,1,0,0.0,0,0.2,0,0,0,0,0,0.0,136,0,0,0,0,7,13,0,0,2,Man Utd,Watford,Liverpool,Huddersfield,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Eric Maxim,Choupo-Moting,MID,STK,5400000,0,63,3.7,6.85185185185185e-07,1.1666666666666698e-05,0,481556,1,33,0,0,0,3,0,11.5,40391,-1,1,63,1,0.3,0,1.5,6,0,2,0,3,3.5,618462,0,0,0,1,1336,6198,-1,0,169,West Brom,Huddersfield,Chelsea,Newcastle,Man Utd,4.2,3.2,3.0,4.4,2.2,4.7,3.1,3.8,3.9,3.3,3.4,2.3,4.8,2.5,3.6,3.2,3.9,2.5,3.9,4.1,98.6
Andreas,Christensen,DEF,CHE,5600000,8,52,3.7,6.607142857142861e-07,9.28571428571429e-06,0,45554,0,8,0,0,0,0,0,9.3,8746,1,0,52,-1,0.8,0,4.3,3,0,6,0,0,5.0,297654,0,0,0,0,1043,60979,0,0,266,Everton,Brighton,Stoke,Arsenal,Leicester,2.5,5.0,4.3,2.9,3.5,4.3,3.8,4.8,4.8,2.8,3.4,5.3,3.8,4.6,5.3,4.0,4.8,3.5,4.1,3.5,32.3
Ciaran,Clark,DEF,NEW,4500000,0,40,3.1,6.88888888888889e-07,8.88888888888889e-06,0,173223,2,22,0,0,0,2,0,8.9,6428,0,0,40,0,0.4,0,1.7,4,0,2,0,0,1.8,201748,0,0,0,1,1115,570,0,0,204,West Ham,Man City,Brighton,Stoke,Swansea,3.2,2.7,4.1,2.8,3.0,2.4,3.6,3.7,3.3,2.5,2.5,3.4,2.7,3.9,2.3,3.7,1.7,3.8,3.7,3.5,47.3
Jordy,Clasie,MID,SOU,4400000,0,0,0.0,0.0,0.0,0,17972,0,0,0,0,0,0,0,0.0,114,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,3988,0,0,0,0,0,1,0,0,0,Huddersfield,Tottenham,Man Utd,Crystal Palace,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom,Cleverley,MID,WAT,5000000,0,47,2.8,5.6e-07,9.4e-06,0,80188,1,27,0,0,0,1,0,9.4,3534,0,0,47,0,0.3,1,1.7,3,0,5,0,2,0.8,99596,0,0,0,1,1496,814,0,1,244,Brighton,Leicester,Swansea,Man City,Southampton,2.2,2.1,2.7,1.7,2.1,2.4,2.4,1.9,2.3,2.9,2.5,1.8,1.8,2.5,2.2,2.3,2.2,1.9,2.6,1.6,73.1
Sam,Clucas,MID,SWA,4800000,1,24,2.2,4.58333333333333e-07,5e-06,0,5160,1,10,0,0,0,1,0,5.0,115,-2,0,24,2,0.1,0,0.5,0,0,2,0,0,0.0,5916,0,0,0,0,663,24,0,0,110,Crystal Palace,Liverpool,Watford,Tottenham,Newcastle,1.7,1.1,1.6,1.5,1.7,1.3,2.0,1.4,1.7,1.3,2.0,1.4,1.6,1.1,1.5,2.3,1.1,1.4,1.8,1.7,21.2
Nathaniel,Clyne,DEF,LIV,5300000,0,0,0.0,0.0,0.0,0,26881,0,0,0,0,0,0,0,0.0,144,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1196,0,0,0,0,0,20,0,0,0,Arsenal,Swansea,Leicester,Burnley,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Colback,MID,NEW,4300000,0,0,0.0,0.0,0.0,0,83458,0,0,0,0,0,0,0,0.0,3356,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,1.2,91260,0,0,0,0,0,420,0,0,0,West Ham,Man City,Brighton,Stoke,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Coleman,GLK,HUD,4000000,0,0,0.0,0.0,0.0,0,44858,0,0,0,0,0,0,0,0.0,1095,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1.4,19477,0,0,0,0,0,549,0,0,0,Southampton,Stoke,Burnley,Leicester,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
