FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Juan,Mata,MID,MUN,6800000,3,71,4.2,6.17647058823529e-07,1.0441176470588199e-05,0,220120,0,7,0,0,0,3,0,10.4,12726,-2,0,71,2,0.9,0,5.8,6,0,10,0,3,2.5,185341,0,0,0,1,1174,15898,0,0,294,Stoke,Burnley,Tottenham,Huddersfield,Newcastle,4.8,3.7,3.0,5.8,4.2,4.5,3.4,4.1,3.5,5.4,2.5,5.4,4.1,5.1,3.2,4.3,110.1
Nemanja,Matic,MID,MUN,4800000,3,55,2.5,5.20833333333333e-07,1.1458333333333301e-05,0,990385,3,14,0,0,0,0,0,11.5,22463,-2,0,55,2,0.4,0,1.8,0,0,12,0,1,8.7,542923,0,0,0,0,1943,11938,0,0,334,Stoke,Burnley,Tottenham,Huddersfield,Newcastle,2.2,1.6,1.2,2.9,1.9,2.0,1.5,1.8,1.5,2.6,1.2,2.6,1.8,2.4,1.3,1.9,72.0
Joel,Matip,DEF,LIV,5400000,1,57,3.6,6.66666666666667e-07,1.05555555555556e-05,0,207757,1,19,0,0,0,1,0,10.6,4166,-1,0,57,1,0.3,0,1.8,3,0,6,0,0,1.8,128544,0,0,0,1,1351,1126,0,0,324,Man City,Swansea,Huddersfield,Tottenham,Southampton,3.5,3.2,3.1,4.1,3.7,5.0,3.9,2.8,4.5,4.4,2.5,3.9,3.5,4.4,3.7,5.1,59.6
Konstantinos,Mavropanos,DEF,ARS,4500000,0,0,0.0,0.0,0.0,0,19,0,0,0,0,0,0,0,0.0,19,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,169,0,0,0,0,0,169,0,0,0,Bournemouth,Crystal Palace,Swansea,Everton,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfie,Mawson,DEF,SWA,5000000,1,64,2.9,5.8e-07,1.28e-05,0,79665,0,34,0,0,0,1,0,12.8,4475,0,0,64,0,0.2,0,1.2,3,0,6,0,0,1.0,68113,0,0,0,0,1980,2296,0,0,395,Newcastle,Liverpool,Arsenal,Leicester,Burnley,2.6,2.8,3.2,2.1,3.0,2.9,3.6,2.4,2.9,2.2,2.7,2.4,2.4,3.2,2.3,3.1,62.6
Chancel,Mbemba,DEF,NEW,3900000,0,20,0.9090909090909091,2.3310023310023302e-07,5.12820512820513e-06,0,677246,0,11,0,0,0,0,0,5.1,54872,-1,0,20,1,0.2,0,0.6,3,0,1,0,0,12.2,1130090,0,0,0,1,670,61593,0,0,133,Swansea,Man City,Burnley,Crystal Palace,Man Utd,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,23.2
James,McArthur,MID,CRY,4300000,9,47,2.13636363636364,4.96828752642706e-07,1.0930232558139501e-05,0,259725,3,13,0,0,0,3,0,10.9,16595,-2,0,47,2,0.7,0,2.8,6,0,2,0,0,3.0,195415,0,0,0,1,1026,33004,0,0,185,Burnley,Arsenal,West Ham,Newcastle,Everton,1.6,1.1,1.2,1.8,1.6,1.4,1.4,1.1,1.3,1.3,1.5,1.8,1.3,1.6,1.3,1.9,61.0
Gareth,McAuley,DEF,WBA,4600000,0,4,0.18181818181818202,3.95256916996047e-08,8.695652173913041e-07,0,82800,0,9,0,0,0,0,0,0.9,998,-4,0,4,4,0.0,0,0.0,0,0,0,0,0,0.4,5588,0,0,0,0,258,234,0,0,47,Brighton,Everton,Man City,Southampton,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.1
Oliver,McBurnie,FWD,SWA,4500000,1,14,0.6363636363636359,1.41414141414141e-07,3.11111111111111e-06,0,160521,0,4,0,0,0,0,0,3.1,19278,0,0,14,0,0.3,0,1.4,0,0,0,0,1,3.0,195875,0,0,0,0,197,50816,0,0,38,Newcastle,Liverpool,Arsenal,Leicester,Burnley,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,12.5
Alex,McCarthy,GLK,SOU,4400000,1,9,0.409090909090909,9.29752066115703e-08,2.04545454545455e-06,0,3465,0,2,0,5,0,0,0,2.0,400,-1,0,9,1,0.4,0,1.8,1,0,1,0,0,0.1,3559,0,0,0,0,180,844,0,0,39,Watford,Tottenham,Brighton,West Brom,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.9
