FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Dominic,Calvert-Lewin,FWD,EVE,5500000,1,66,3.1,5.63636363636364e-07,1.2e-05,0,454604,3,20,0,0,0,3,0,12.0,106375,5,0,66,-5,0.7,0,4.0,3,0,6,0,6,13.1,1110828,0,0,0,1,1511,31521,0,0,187,Man Utd,Tottenham,West Brom,Leicester,Arsenal,3.4,2.1,3.8,3.6,1.7,3.7,2.9,2.2,3.7,3.2,2.9,3.2,2.6,3.6,2.3,3.4,2.3,99.6
Geoff,Cameron,DEF,STK,4300000,0,20,0.9523809523809521,2.21483942414175e-07,4.65116279069767e-06,0,36474,1,23,0,0,0,0,0,4.7,666,-2,0,20,2,0.2,0,1.0,0,0,1,0,0,0.3,26297,0,0,0,0,1028,1422,0,0,145,Newcastle,Man Utd,Huddersfield,Watford,Bournemouth,0.5,0.5,0.6,0.6,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.2,0.5,25.3
Emre,Can,MID,LIV,4800000,1,50,3.1,6.45833333333333e-07,1.0416666666666699e-05,0,471448,6,21,0,0,0,1,0,10.4,6574,-2,0,50,2,0.6,0,3.1,4,0,5,0,4,4.0,304523,0,0,0,0,1265,5511,0,0,278,Burnley,Man City,Swansea,Huddersfield,Tottenham,2.3,1.9,3.0,2.3,2.7,2.5,3.4,3.3,1.6,2.6,2.2,2.7,3.4,2.4,3.0,2.0,3.2,68.5
Etienne,Capoue,MID,WAT,4900000,0,18,0.857142857142857,1.7492711370262402e-07,3.6734693877551003e-06,0,289523,1,8,0,0,0,1,0,3.7,1045,-6,0,18,6,0.1,0,0.6,0,0,0,0,1,1.3,38925,0,0,0,0,307,57,0,0,77,Man City,Southampton,Leicester,Stoke,Chelsea,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.8
Michael,Carrick,MID,MUN,4200000,0,0,0.0,0.0,0.0,0,100347,0,0,0,0,0,0,0,0.0,1340,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.9,73008,0,0,0,0,0,553,0,0,0,Everton,Stoke,Burnley,Tottenham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre,Carrillo,MID,WAT,5500000,9,48,2.5,4.54545454545455e-07,8.72727272727273e-06,0,4053,1,24,0,0,0,1,0,8.7,436,0,0,48,0,0.6,0,3.3,4,0,3,0,2,0.1,5776,0,0,0,0,1152,1148,0,0,210,Man City,Southampton,Leicester,Stoke,Chelsea,1.3,1.9,1.9,1.8,1.7,1.9,2.5,2.2,1.5,1.4,2.2,1.9,1.9,1.9,1.5,2.1,1.3,65.6
Andy,Carroll,FWD,WHU,5800000,0,13,1.3,2.24137931034483e-07,2.24137931034483e-06,0,50211,3,11,0,0,0,0,0,2.2,1166,-2,0,13,2,0.1,0,0.8,0,0,3,0,1,0.3,54964,0,0,0,0,600,4718,0,1,19,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,1.6,0.6,1.0,1.0,0.6,0.8,0.6,0.6,0.8,0.9,0.9,0.6,1.2,0.6,0.7,0.7,1.0,35.5
Tom,Carroll,MID,SWA,4300000,1,52,2.6,6.046511627906979e-07,1.2093023255814e-05,0,454176,3,26,0,0,0,0,0,12.1,24354,-2,0,52,2,0.6,0,2.6,3,0,6,0,3,4.8,408684,0,0,0,0,1613,30246,0,0,268,Tottenham,Newcastle,Liverpool,Arsenal,Leicester,1.9,2.2,1.7,2.4,1.9,2.2,1.6,2.5,1.9,2.2,1.3,2.0,2.8,1.3,2.0,2.1,2.2,83.9
Cameron,Carter-Vickers,DEF,TOT,4500000,0,0,0.0,0.0,0.0,0,682,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,367,0,0,0,0,0,2,0,0,0,Swansea,West Ham,Everton,Southampton,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig,Cathcart,DEF,WAT,4400000,0,1,0.0476190476190476,1.08225108225108e-08,2.2727272727272702e-07,0,1031,0,0,0,0,0,0,0,0.2,6,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,235,0,0,0,0,19,4,0,0,4,Man City,Southampton,Leicester,Stoke,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Santiago,Cazorla,MID,ARS,6900000,0,0,0.0,0.0,0.0,0,2012,0,0,0,0,0,0,0,0.0,38,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,691,0,0,0,0,0,21,0,0,0,Chelsea,Bournemouth,Crystal Palace,Swansea,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petr,Cech,GLK,ARS,5400000,1,80,3.8,7.037037037037041e-07,1.4814814814814801e-05,0,195712,1,26,0,46,0,0,0,14.8,7388,-1,0,80,1,0.5,0,2.9,4,0,9,0,0,4.9,106858,0,0,0,0,1890,1170,0,0,389,Chelsea,Bournemouth,Crystal Palace,Swansea,Everton,5.2,2.8,5.7,2.8,4.3,2.8,4.1,3.6,5.2,2.6,5.1,4.9,3.1,5.7,2.5,5.0,2.8,37.6
,Cedric,DEF,SOU,4700000,0,40,2.5,5.31914893617021e-07,8.510638297872341e-06,0,676836,0,20,0,0,0,0,0,8.5,6097,-3,0,40,3,0.0,0,0.1,0,0,4,0,0,2.7,233153,0,0,0,0,1354,60,0,0,231,Crystal Palace,Watford,Tottenham,Brighton,West Brom,3.5,2.8,2.3,3.0,2.2,2.3,2.2,2.5,2.0,1.9,2.4,1.6,2.6,1.7,2.1,1.4,1.8,57.5
Nacer,Chadli,MID,WBA,5600000,0,13,0.6190476190476191,1.1054421768707499e-07,2.32142857142857e-06,0,38825,1,2,0,0,0,1,0,2.3,74,-4,0,13,4,0.0,0,0.1,3,0,1,0,0,0.2,9585,0,0,0,1,174,12,0,0,30,West Ham,Brighton,Everton,Man City,Southampton,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,10.1
Nathaniel,Chalobah,MID,WAT,4300000,0,12,0.5714285714285711,1.32890365448505e-07,2.7906976744186e-06,0,194061,1,7,0,0,0,0,0,2.8,1578,-2,0,12,2,0.0,0,0.0,0,0,3,0,0,0.7,125755,0,0,0,0,429,44,0,0,37,Man City,Southampton,Leicester,Stoke,Chelsea,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19.6
,Chamberlain,MID,LIV,5600000,1,50,2.38095238095238,4.25170068027211e-07,8.92857142857143e-06,0,228956,1,16,0,0,0,2,0,8.9,3097,-4,0,50,4,0.5,0,2.9,2,0,3,0,2,1.6,122766,0,0,0,0,970,5271,0,0,237,Burnley,Man City,Swansea,Huddersfield,Tottenham,1.5,1.2,2.0,1.5,1.8,1.6,2.3,2.2,1.2,1.7,1.4,1.8,2.3,1.6,2.0,1.3,2.1,89.0
Calum,Chambers,DEF,ARS,4700000,2,2,0.0952380952380952,2.02634245187437e-08,4.25531914893617e-07,0,19799,1,3,0,0,0,0,0,0.4,212,-3,0,2,3,0.1,0,0.3,0,0,0,0,0,0.2,4012,0,0,0,0,180,420,0,0,29,Chelsea,Bournemouth,Crystal Palace,Swansea,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
,Chicharito,FWD,WHU,6700000,0,48,3.2,4.77611940298508e-07,7.164179104477609e-06,0,1756335,3,22,0,0,0,4,0,7.2,8169,-3,0,48,3,0.2,0,1.2,6,0,4,0,1,7.2,1094438,0,0,0,2,959,37443,0,0,150,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,6.1,2.4,3.9,3.9,2.4,3.4,2.2,2.7,3.2,3.5,3.5,1.7,4.4,1.8,3.0,2.9,3.8,69.4
Benjamin,Chilwell,DEF,LEI,4300000,0,25,1.19047619047619,2.76854928017719e-07,5.81395348837209e-06,0,30381,0,13,0,0,0,0,0,5.8,3564,-2,0,25,2,0.4,0,1.7,0,0,2,0,0,0.5,30068,0,0,0,0,840,608,0,0,145,Huddersfield,Chelsea,Watford,Everton,Swansea,0.0,0.6,0.8,0.6,0.6,0.6,0.8,0.6,0.6,0.8,0.7,0.7,0.6,0.7,1.3,1.0,0.6,25.9
Hamza,Choudhury,MID,LEI,4400000,0,1,0.0476190476190476,1.08225108225108e-08,2.2727272727272702e-07,0,150,0,0,0,0,0,0,0,0.2,12,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,183,0,0,0,0,7,13,0,0,2,Huddersfield,Chelsea,Watford,Everton,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Eric Maxim,Choupo-Moting,MID,STK,5400000,1,79,4.0,7.407407407407409e-07,1.4629629629629599e-05,0,532832,1,36,0,0,0,4,0,14.6,20844,-1,0,79,1,0.6,0,3.0,9,0,2,0,4,3.8,681686,0,0,0,2,1525,19758,0,0,233,Newcastle,Man Utd,Huddersfield,Watford,Bournemouth,4.7,2.5,5.2,3.8,3.9,4.6,3.5,3.8,2.9,5.3,2.8,3.9,3.5,4.3,2.6,4.4,4.4,121.8
Andreas,Christensen,DEF,CHE,5600000,0,58,2.76190476190476,4.93197278911565e-07,1.03571428571429e-05,0,186866,0,8,0,0,0,0,0,10.4,52296,1,1,58,-1,0.6,0,3.4,3,0,7,0,0,4.5,409860,0,0,0,0,1133,6343,-1,0,291,Arsenal,Leicester,Brighton,Bournemouth,Watford,1.8,2.4,2.6,2.6,3.1,3.2,1.8,2.0,4.0,2.4,2.8,3.6,2.5,3.2,2.1,2.7,2.2,33.5
Ciaran,Clark,DEF,NEW,4400000,8,49,3.3,7.5e-07,1.11363636363636e-05,0,185697,2,24,0,0,0,2,0,11.1,3960,-1,0,49,1,0.3,0,1.4,6,0,3,0,0,1.7,212933,0,0,0,1,1295,6470,0,0,245,Stoke,Swansea,Man City,Burnley,Crystal Palace,3.2,3.2,2.8,3.8,4.1,3.5,2.8,2.8,3.7,2.8,4.0,2.6,3.9,2.2,4.0,4.0,3.9,52.8
Jordy,Clasie,MID,SOU,4400000,0,0,0.0,0.0,0.0,0,18266,0,0,0,0,0,0,0,0.0,81,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,3999,0,0,0,0,0,3,0,0,0,Crystal Palace,Watford,Tottenham,Brighton,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom,Cleverley,MID,WAT,5000000,2,53,2.6,5.2e-07,1.06e-05,0,86215,1,31,0,0,0,1,0,10.6,1758,0,0,53,0,0.3,1,1.6,3,0,5,0,2,0.7,101358,0,0,0,1,1766,415,0,1,281,Man City,Southampton,Leicester,Stoke,Chelsea,1.4,2.0,2.0,2.0,1.8,2.0,2.7,2.4,1.6,1.5,2.3,2.0,2.1,2.1,1.6,2.2,1.4,88.9
Sam,Clucas,MID,SWA,4800000,2,29,2.1,4.375e-07,6.04166666666667e-06,0,5348,1,14,0,0,0,1,0,6.0,45,-2,0,29,2,0.2,0,1.1,0,0,2,0,0,0.0,5967,0,0,0,0,858,17,0,0,135,Tottenham,Newcastle,Liverpool,Arsenal,Leicester,1.3,1.5,1.2,1.7,1.3,1.5,1.1,1.8,1.3,1.5,1.0,1.4,2.1,1.0,1.4,1.5,1.6,25.3
Nathaniel,Clyne,DEF,LIV,5300000,0,0,0.0,0.0,0.0,0,27181,0,0,0,0,0,0,0,0.0,56,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1247,0,0,0,0,0,13,0,0,0,Burnley,Man City,Swansea,Huddersfield,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Colback,MID,NEW,4200000,0,0,0.0,0.0,0.0,0,91769,0,0,0,0,0,0,0,0.0,3187,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,1.2,98977,0,0,0,0,0,4492,0,0,0,Stoke,Swansea,Man City,Burnley,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Coleman,GLK,HUD,4000000,0,0,0.0,0.0,0.0,0,48235,0,0,0,0,0,0,0,0.0,1403,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1.4,21008,0,0,0,0,0,562,0,0,0,Leicester,West Ham,Stoke,Liverpool,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seamus,Coleman,DEF,EVE,6400000,0,0,0.0,0.0,0.0,0,8449,0,0,0,0,0,0,0,0.0,56,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,975,0,0,0,0,0,21,0,0,0,Man Utd,Tottenham,West Brom,Leicester,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James,Collins,DEF,WHU,4300000,0,20,1.0,2.3255813953488398e-07,4.65116279069767e-06,0,17950,1,6,0,0,0,1,0,4.7,715,-2,0,20,2,0.5,0,2.0,0,0,2,0,0,0.2,14090,0,0,0,0,417,3795,0,0,97,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,1.2,0.5,0.5,1.3,0.5,0.7,0.5,0.5,0.6,0.6,0.6,0.5,0.7,0.5,0.5,0.5,0.5,24.5
