FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Matteo,Darmian,DEF,MUN,5000000,0,9,0.42857142857142894,8.57142857142857e-08,1.8000000000000001e-06,0,32368,0,2,0,0,0,0,0,1.8,158,-5,0,9,5,0.0,0,0.1,0,0,1,0,0,0.2,6566,0,0,0,0,195,28,0,0,46,Everton,Stoke,Burnley,Tottenham,Huddersfield,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.8
,David Luiz,DEF,CHE,5700000,0,29,1.38095238095238,2.4227234753550503e-07,5.08771929824561e-06,0,1160203,2,9,0,0,0,1,0,5.1,2581,-3,0,29,3,0.0,0,0.0,0,0,3,0,1,8.1,320586,0,0,0,0,716,68,0,1,165,Arsenal,Leicester,Brighton,Bournemouth,Watford,0.0,0.0,0.0,0.9,1.1,1.1,0.7,0.7,1.9,0.8,0.9,1.3,0.8,1.1,0.7,0.9,0.7,26.3
,David Silva,MID,MCI,8100000,0,105,5.8,7.160493827160491e-07,1.2962962962963e-05,0,1921961,3,11,0,0,0,5,0,13.0,134606,1,1,105,-1,0.6,0,5.1,15,0,9,0,8,10.7,2122058,0,0,0,3,1516,4922,-1,0,411,Watford,Liverpool,Newcastle,West Brom,Burnley,0.0,5.2,7.5,7.8,6.6,6.9,5.4,6.5,6.5,7.3,7.2,6.3,5.6,7.8,6.5,8.2,6.9,185.2
Ben,Davies,DEF,TOT,5500000,0,71,4.7,8.54545454545455e-07,1.29090909090909e-05,0,1406710,1,11,0,0,0,2,0,12.9,37349,0,0,71,0,0.5,0,2.7,7,0,4,0,4,13.3,1682895,0,0,0,3,1072,67258,0,0,297,Swansea,West Ham,Everton,Southampton,Man Utd,11.6,5.4,5.4,5.9,4.6,6.5,5.6,6.6,4.5,5.9,5.3,5.2,5.2,5.4,6.4,5.2,5.3,87.5
Tom,Davies,MID,EVE,5200000,0,30,1.6,3.07692307692308e-07,5.76923076923077e-06,0,62971,6,13,0,0,0,0,0,5.8,522,-3,0,30,3,0.3,0,1.3,0,0,4,0,2,0.4,32465,0,0,0,0,946,155,0,0,102,Man Utd,Tottenham,West Brom,Leicester,Arsenal,0.9,0.8,1.3,1.1,0.8,1.1,0.8,0.8,1.2,0.8,0.8,0.8,1.0,1.2,0.8,1.1,0.8,24.8
Steven,Davis,MID,SOU,4900000,0,60,3.5,7.142857142857141e-07,1.22448979591837e-05,0,372822,0,18,0,0,0,3,0,12.2,13145,-1,0,60,1,0.2,0,1.0,6,0,4,0,1,2.6,470033,0,0,0,2,1291,2077,0,0,296,Crystal Palace,Watford,Tottenham,Brighton,West Brom,3.5,3.2,3.0,3.6,3.2,2.8,3.1,3.5,3.4,3.8,3.0,2.4,3.1,3.0,3.9,3.5,2.2,74.3
Craig,Dawson,DEF,WBA,4800000,1,33,1.57142857142857,3.27380952380952e-07,6.875e-06,0,302603,3,11,0,0,0,0,0,6.9,536,-2,0,33,2,0.2,0,0.9,1,0,4,0,0,1.0,82031,0,0,0,0,990,230,0,0,164,West Ham,Brighton,Everton,Man City,Southampton,1.0,1.7,0.8,0.8,1.2,0.9,1.4,1.3,1.0,0.8,1.3,1.0,0.8,1.2,0.8,1.2,1.9,36.1
Kevin,De Bruyne,MID,MCI,10300000,3,125,6.0,5.8252427184466e-07,1.21359223300971e-05,0,1708387,1,12,0,0,0,6,0,12.1,301993,3,0,125,-3,0.5,0,5.4,16,0,11,0,9,21.0,1345065,0,0,0,2,1796,17660,0,0,541,Watford,Liverpool,Newcastle,West Brom,Burnley,0.0,5.5,7.9,8.1,7.0,7.3,5.7,6.8,6.8,7.7,7.5,6.7,5.9,8.1,6.8,8.5,7.3,220.1
David,de Gea,GLK,MUN,5900000,7,108,5.1,8.644067796610171e-07,1.83050847457627e-05,0,667636,0,16,0,74,0,0,0,18.3,72820,4,0,108,-4,0.8,0,4.7,10,0,11,0,0,42.6,984428,0,0,0,0,1890,19374,0,0,456,Everton,Stoke,Burnley,Tottenham,Huddersfield,3.9,7.3,5.7,5.0,7.5,5.3,7.4,5.8,6.8,5.7,6.4,4.8,7.5,4.9,7.4,5.6,7.1,51.1
Siem,de Jong,MID,NEW,4900000,0,0,0.0,0.0,0.0,0,9596,0,0,0,0,0,0,0,0.0,14,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,520,0,0,0,0,0,2,0,0,0,Stoke,Swansea,Man City,Burnley,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathieu,Debuchy,DEF,ARS,4500000,0,0,0.0,0.0,0.0,0,837,0,0,0,0,0,0,0,0.0,53,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1119,0,0,0,0,0,59,0,0,0,Chelsea,Bournemouth,Crystal Palace,Swansea,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy,Deeney,FWD,WAT,6300000,0,27,2.1,3.3333333333333304e-07,4.28571428571429e-06,0,65667,1,14,0,0,0,2,0,4.3,373,-2,0,27,2,0.1,0,0.6,1,0,1,0,1,0.3,38465,0,0,0,0,628,42,0,1,95,Man City,Southampton,Leicester,Stoke,Chelsea,0.0,1.6,1.8,2.1,1.1,1.5,1.8,1.8,1.1,1.3,1.8,1.4,1.5,1.8,1.4,1.7,1.3,41.9
Jermain,Defoe,FWD,BOU,7600000,0,41,2.7,3.5526315789473703e-07,5.39473684210526e-06,0,202655,1,15,0,0,0,3,0,5.4,837,-4,0,41,4,0.3,0,2.4,4,0,2,0,1,1.4,46205,0,0,0,1,787,90,0,0,129,Brighton,Arsenal,West Ham,Chelsea,Stoke,0.0,0.0,0.0,0.0,0.0,1.9,2.8,2.4,2.5,3.0,2.5,2.9,1.8,2.6,2.3,2.6,1.9,60.1
Steven,Defour,MID,BUR,5400000,3,58,2.8,5.185185185185179e-07,1.07407407407407e-05,0,24835,4,13,0,0,0,1,0,10.7,1127,-1,0,58,1,0.6,0,3.1,0,0,12,0,1,0.4,23737,0,0,0,0,1728,1330,0,0,301,Liverpool,Crystal Palace,Man Utd,Newcastle,Man City,2.0,1.9,2.2,2.4,1.5,2.6,2.5,3.2,2.0,2.3,2.2,2.2,2.5,2.0,2.7,1.6,2.9,60.9
Damien,Delaney,DEF,CRY,4200000,0,0,0.0,0.0,0.0,0,23178,0,4,0,0,0,0,0,0.0,220,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,2955,0,0,0,0,90,33,0,0,19,Southampton,Burnley,Arsenal,West Ham,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Fabian,Delph,MID,MCI,4500000,0,39,1.85714285714286,4.12698412698413e-07,8.66666666666667e-06,0,95263,1,10,0,0,0,1,0,8.7,5767,0,0,39,0,0.4,0,1.6,0,0,5,0,1,0.7,113046,0,0,0,0,1162,596,0,0,274,Watford,Liverpool,Newcastle,West Brom,Burnley,0.0,0.9,1.4,1.5,1.1,1.2,0.9,1.1,1.1,1.3,1.3,1.0,0.9,1.5,1.1,1.6,1.2,49.1
Mousa,Dembele,MID,TOT,4900000,0,25,1.25,2.55102040816327e-07,5.10204081632653e-06,0,157594,2,14,0,0,0,0,0,5.1,1619,-1,0,25,1,0.3,0,1.7,3,0,1,0,0,1.4,75314,0,0,0,0,877,224,0,0,167,Swansea,West Ham,Everton,Southampton,Man Utd,0.0,1.0,0.6,0.6,0.6,0.8,0.6,0.9,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.7,32.2
Laurent,Depoitre,FWD,HUD,5500000,2,67,3.7,6.727272727272729e-07,1.2181818181818199e-05,0,157382,1,21,0,0,0,5,0,12.2,54514,0,-1,67,0,0.9,0,4.7,11,0,4,0,2,6.8,514693,0,0,0,1,1212,60415,1,0,214,Leicester,West Ham,Stoke,Liverpool,Man Utd,3.4,4.7,4.0,4.2,2.5,4.9,3.2,2.6,4.5,4.8,3.4,2.9,4.3,2.1,4.8,2.8,4.6,68.5
Mohamed,Diame,MID,NEW,4600000,0,25,1.19047619047619,2.5879917184265e-07,5.43478260869565e-06,0,13084,0,11,0,0,0,1,0,5.4,300,-4,0,25,4,0.4,0,2.0,0,0,0,0,0,0.1,3836,0,0,0,0,563,117,0,0,90,Stoke,Swansea,Man City,Burnley,Crystal Palace,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.6,0.7,0.6,0.6,22.4
Brahim,Diaz,MID,MCI,4700000,0,0,0.0,0.0,0.0,0,3755,0,0,0,0,0,0,0,0.0,34,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.0,1177,0,0,0,0,0,32,0,0,0,Watford,Liverpool,Newcastle,West Brom,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Dier,MID,TOT,4700000,0,44,2.2,4.68085106382979e-07,9.36170212765957e-06,0,221145,3,18,0,0,0,0,0,9.4,4290,-3,0,44,3,0.5,0,2.3,0,0,8,0,0,2.5,138531,0,0,0,0,1688,17016,0,0,265,Swansea,West Ham,Everton,Southampton,Man Utd,3.7,2.3,1.4,1.5,1.1,2.0,1.2,2.3,1.5,2.0,1.1,1.3,1.1,1.1,1.5,1.4,1.7,65.4
Mame Biram,Diouf,FWD,STK,5500000,1,62,3.1,5.63636363636364e-07,1.1272727272727301e-05,0,406620,3,40,0,0,0,4,0,11.3,23512,0,0,62,0,0.4,0,2.1,5,0,2,0,2,3.7,557687,0,0,0,0,1617,9101,0,0,253,Newcastle,Man Utd,Huddersfield,Watford,Bournemouth,3.5,2.1,3.7,3.1,3.0,3.6,2.9,2.8,2.8,3.5,1.9,3.1,2.4,3.0,2.2,3.6,2.8,95.9
Abdoulaye,Doucoure,MID,WAT,5300000,1,84,4.2,7.92452830188679e-07,1.58490566037736e-05,0,1035620,6,36,0,0,0,6,0,15.8,60307,3,0,84,-3,0.5,0,2.7,12,0,5,0,1,12.2,1558353,0,0,0,1,1800,26073,0,0,401,Man City,Southampton,Leicester,Stoke,Chelsea,3.1,4.2,4.3,4.2,3.9,4.2,5.3,4.8,3.4,3.3,4.8,4.2,4.3,4.3,3.5,4.6,3.1,110.4
Aleksandar,Dragovic,DEF,LEI,4900000,0,0,0.0,0.0,0.0,0,1336,1,2,0,0,0,0,0,0.0,56,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,1338,0,0,0,0,72,77,0,0,10,Huddersfield,Chelsea,Watford,Everton,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
Daniel,Drinkwater,MID,CHE,4800000,9,19,0.9047619047619051,1.88492063492063e-07,3.95833333333333e-06,0,18115,0,3,0,0,0,1,0,4.0,484,-2,0,19,2,0.4,0,1.9,1,0,1,0,0,0.2,10823,0,0,0,1,331,2175,0,0,82,Arsenal,Leicester,Brighton,Bournemouth,Watford,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20.1
Shane,Duffy,DEF,BHA,4600000,6,65,3.3,7.173913043478259e-07,1.4130434782608701e-05,0,139937,5,24,0,0,0,0,0,14.1,9827,1,0,65,-1,0.5,0,2.4,5,0,8,0,1,3.5,296375,0,0,0,1,1782,47981,0,0,356,Bournemouth,West Brom,Chelsea,Southampton,West Ham,3.6,2.9,4.2,3.0,4.7,2.9,3.4,4.1,1.9,2.4,3.3,4.2,3.8,3.8,3.0,3.7,2.5,83.7
Paul,Dummett,DEF,NEW,4200000,6,9,0.42857142857142894,1.0204081632653099e-07,2.1428571428571398e-06,0,37516,0,1,0,0,0,0,0,2.1,661,-3,0,9,3,0.3,0,1.1,0,0,1,0,0,0.2,5635,0,0,0,0,187,2690,0,0,37,Stoke,Swansea,Man City,Burnley,Crystal Palace,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.7
Lewis,Dunk,DEF,BHA,4500000,6,58,2.8,6.22222222222222e-07,1.28888888888889e-05,0,124453,5,25,0,0,0,0,0,12.9,8169,0,0,58,0,0.7,0,3.1,5,0,8,0,0,3.4,222567,3,0,0,0,1890,23616,0,0,371,Bournemouth,West Brom,Chelsea,Southampton,West Ham,2.8,2.2,3.3,2.3,3.8,2.2,2.7,3.3,1.4,1.9,2.6,3.4,3.2,3.0,2.3,2.9,1.9,89.3
Nathan,Dyer,MID,SWA,4400000,4,18,0.857142857142857,1.94805194805195e-07,4.09090909090909e-06,0,7761,2,10,0,0,0,0,0,4.1,354,-1,0,18,1,0.4,0,1.7,0,0,1,0,1,0.1,9558,0,0,0,0,536,682,0,0,69,Tottenham,Newcastle,Liverpool,Arsenal,Leicester,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,18.9
,Ederson,GLK,MCI,5500000,14,93,4.4,8e-07,1.69090909090909e-05,0,220457,0,12,0,31,0,0,0,16.9,11587,0,0,93,0,1.1,0,5.9,5,0,10,0,0,6.2,275176,0,0,1,1,1845,49112,0,0,387,Watford,Liverpool,Newcastle,West Brom,Burnley,5.7,4.5,5.1,5.8,5.2,4.5,4.1,5.7,5.1,6.4,3.7,5.1,4.6,4.7,5.5,5.8,5.3,30.3
,Eduardo,GLK,CHE,4800000,0,0,0.0,0.0,0.0,0,3025,0,0,0,0,0,0,0,0.0,37,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,852,0,0,0,0,0,26,0,0,0,Arsenal,Leicester,Brighton,Bournemouth,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas,Edwards,DEF,STK,4000000,0,4,0.19047619047619,4.76190476190476e-08,1e-06,0,3555,0,14,0,0,0,0,0,1.0,895,0,0,4,0,0.1,0,0.6,0,0,0,0,0,0.1,10115,0,0,0,0,391,3338,0,0,67,Newcastle,Man Utd,Huddersfield,Watford,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.3
Robert,Elliot,GLK,NEW,4100000,0,57,3.6,8.78048780487805e-07,1.3902439024390198e-05,0,528973,0,21,0,44,0,0,0,13.9,82629,1,0,57,-1,0.5,0,2.1,4,0,3,0,0,21.5,802302,0,0,1,3,1440,7945,0,0,280,Stoke,Swansea,Man City,Burnley,Crystal Palace,0.0,0.0,0.0,4.2,4.5,3.9,3.2,3.2,4.1,3.2,4.5,3.0,4.4,2.5,4.5,4.6,4.4,36.5
Mohamed,Elneny,MID,ARS,4200000,0,11,0.523809523809524,1.2471655328798197e-07,2.61904761904762e-06,0,246512,1,5,0,0,0,0,0,2.6,6343,-3,0,11,3,0.0,0,0.0,0,0,1,0,1,2.6,197960,0,0,0,0,263,5686,0,0,54,Chelsea,Bournemouth,Crystal Palace,Swansea,Everton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,14.8
Christian,Eriksen,MID,TOT,9200000,0,107,5.3,5.76086956521739e-07,1.16304347826087e-05,0,1513611,0,18,0,0,0,5,0,11.6,21525,-3,0,107,3,0.7,0,6.3,15,0,9,0,6,18.4,1614781,0,0,0,2,1692,334805,0,0,410,Swansea,West Ham,Everton,Southampton,Man Utd,13.5,7.8,5.6,6.0,4.0,7.0,5.1,7.6,5.9,7.0,4.7,5.2,4.6,4.8,5.9,5.6,6.5,175.4
Jonny,Evans,DEF,WBA,4900000,1,45,2.5,5.102040816326529e-07,9.183673469387759e-06,0,54195,5,26,0,0,0,1,0,9.2,2206,-1,0,45,1,0.8,0,3.7,1,0,4,0,1,0.9,58476,1,0,0,0,1561,2609,0,0,291,West Ham,Brighton,Everton,Man City,Southampton,2.2,3.2,1.3,1.6,2.5,2.0,2.8,2.6,2.1,1.6,2.6,2.2,1.4,2.4,1.8,2.5,2.9,56.9
Lukasz,Fabianski,GLK,SWA,4600000,3,87,4.1,8.91304347826087e-07,1.89130434782609e-05,0,263803,0,32,0,83,0,0,0,18.9,24793,1,0,87,-1,0.8,0,3.6,7,0,6,0,0,7.9,435043,0,0,1,2,1890,6336,0,0,437,Tottenham,Newcastle,Liverpool,Arsenal,Leicester,4.8,4.3,4.7,5.2,3.7,5.0,4.9,5.9,4.0,4.9,3.6,4.5,4.2,3.9,5.2,3.9,5.2,60.5
Cesc,Fabregas,MID,CHE,6800000,0,56,3.1,4.5588235294117604e-07,8.23529411764706e-06,0,640644,1,11,0,0,0,1,0,8.2,10538,-2,0,56,2,0.3,0,1.9,4,0,7,0,4,3.5,388504,0,0,0,1,1275,1213,0,1,321,Arsenal,Leicester,Brighton,Bournemouth,Watford,1.8,2.9,2.1,3.4,2.5,3.4,1.6,1.6,3.0,2.4,2.6,3.3,2.5,3.7,3.0,2.4,2.7,151.3
Adam,Federici,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,127384,0,0,0,0,0,0,0,0.0,2830,0,0,0,0,0.0,0,0.0,0,0,0,0,0,2.3,13364,0,0,0,0,0,187,0,0,0,Brighton,Arsenal,West Ham,Chelsea,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofiane,Feghouli,MID,WHU,5500000,0,0,0.0,0.0,0.0,0,1413,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,85,0,0,0,0,0,2,0,0,0,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marouane,Fellaini,MID,MUN,4700000,0,32,1.52380952380952,3.24214792299899e-07,6.80851063829787e-06,0,199087,1,0,0,0,0,3,0,6.8,1081,-3,0,32,3,0.0,0,0.0,3,0,3,0,0,0.6,189096,0,0,0,1,373,30,0,0,110,Everton,Stoke,Burnley,Tottenham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.8,0.9,0.8,0.8,0.8,1.3,0.8,1.2,0.8,1.1,0.8,0.8,43.7
Leroy,Fer,MID,SWA,5200000,0,35,2.1,4.0384615384615397e-07,6.73076923076923e-06,0,37890,5,24,0,0,0,1,0,6.7,151,-3,0,35,3,0.3,0,1.6,0,0,3,0,1,0.2,16688,0,0,0,0,1179,51,0,0,165,Tottenham,Newcastle,Liverpool,Arsenal,Leicester,1.3,1.5,1.2,1.7,1.3,1.5,1.1,1.8,1.3,1.5,1.0,1.4,2.1,1.0,1.4,1.5,1.6,47.3
Nathan,Ferguson,DEF,WBA,4000000,0,0,0.0,0.0,0.0,0,614,0,0,0,0,0,0,0,0.0,151,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1785,0,0,0,0,0,311,0,0,0,West Ham,Brighton,Everton,Man City,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edimilson,Fernandes,MID,WHU,4400000,0,9,0.45,1.0227272727272699e-07,2.04545454545455e-06,0,15705,1,13,0,0,0,0,0,2.0,199,-1,0,9,1,0.1,0,0.3,0,0,0,0,0,0.2,6368,0,0,0,0,412,15,0,0,44,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,10.6
Federico,Fernandez,DEF,SWA,4500000,1,39,2.4,5.33333333333333e-07,8.66666666666667e-06,0,184710,4,25,0,0,0,0,0,8.7,3188,0,0,39,0,0.1,0,0.3,6,0,4,0,0,1.6,174306,1,0,0,0,1440,167,0,0,265,Tottenham,Newcastle,Liverpool,Arsenal,Leicester,2.2,1.9,2.1,2.4,1.6,2.3,2.2,2.9,1.7,2.2,1.5,2.0,1.8,1.7,2.4,1.7,2.4,44.9
,Fernandinho,MID,MCI,5100000,2,70,3.3,6.47058823529412e-07,1.37254901960784e-05,0,460486,5,11,0,0,0,2,0,13.7,20264,1,0,70,-1,0.5,0,2.4,3,0,10,0,4,6.2,649947,0,0,0,1,1741,18610,0,0,350,Watford,Liverpool,Newcastle,West Brom,Burnley,2.6,2.1,3.4,3.5,2.8,3.0,2.2,2.8,2.7,3.3,3.2,2.7,2.3,3.6,2.8,3.8,3.0,100.5
,Fernando,MID,MCI,4500000,0,0,0.0,0.0,0.0,0,4334,0,0,0,0,0,0,0,0.0,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,502,0,0,0,0,0,2,0,0,0,Watford,Liverpool,Newcastle,West Brom,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam,Field,MID,WBA,4500000,0,19,0.9047619047619051,2.0105820105820102e-07,4.2222222222222194e-06,0,19587,3,2,0,0,0,1,0,4.2,398,0,0,19,0,0.0,0,0.1,2,0,4,0,0,0.2,21485,0,0,0,0,438,16,0,0,59,West Ham,Brighton,Everton,Man City,Southampton,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20.9
Roberto,Firmino,FWD,LIV,9000000,2,108,5.4,6e-07,1.2e-05,0,1997539,0,18,0,0,0,9,0,12.0,118272,5,0,108,-5,0.9,0,7.7,19,0,9,0,5,36.9,2778935,0,0,0,3,1487,155976,0,0,441,Burnley,Man City,Swansea,Huddersfield,Tottenham,5.5,6.4,6.2,5.6,6.9,6.3,7.5,7.5,5.1,7.0,6.2,5.7,7.8,6.1,7.8,4.4,7.6,171.3
Jon,Flanagan,DEF,LIV,4400000,0,0,0.0,0.0,0.0,0,1072,0,0,0,0,0,0,0,0.0,27,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,965,0,0,0,0,0,22,0,0,0,Burnley,Man City,Swansea,Huddersfield,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley,Fletcher,FWD,WHU,4500000,0,0,0.0,0.0,0.0,0,32514,0,0,0,0,0,0,0,0.0,344,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.3,5913,0,0,0,0,0,144,0,0,0,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren,Fletcher,MID,STK,4900000,2,55,2.6,5.306122448979589e-07,1.12244897959184e-05,0,50092,0,44,0,0,0,1,0,11.2,924,-1,0,55,1,0.5,0,2.4,3,0,2,0,1,0.5,27417,0,0,0,1,1795,316,0,0,279,Newcastle,Man Utd,Huddersfield,Watford,Bournemouth,2.5,1.3,2.8,1.9,2.0,2.4,1.8,1.9,1.4,2.9,1.3,2.0,1.7,2.3,1.3,2.3,2.3,67.9
Phil,Foden,MID,MCI,4700000,0,1,0.0476190476190476,1.01317122593718e-08,2.1276595744680897e-07,0,2344,0,1,0,0,0,0,0,0.2,19,-3,0,1,3,0.0,0,0.1,0,0,0,0,0,0.0,680,0,0,0,0,7,13,0,0,1,Watford,Liverpool,Newcastle,West Brom,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Michael,Folivi,FWD,WAT,4500000,0,0,0.0,0.0,0.0,0,5844,0,0,0,0,0,0,0,0.0,2251,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,14529,0,0,0,0,0,4410,0,0,0,Man City,Southampton,Leicester,Stoke,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose,Fonte,DEF,WHU,4800000,0,34,1.7,3.5416666666666705e-07,7.08333333333333e-06,0,147667,0,11,0,0,0,0,0,7.1,669,-2,0,34,2,0.0,0,0.0,3,0,3,0,2,0.9,76710,0,0,0,0,688,16,0,0,156,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,0.0,0.0,0.0,0.0,0.0,1.6,0.8,0.8,1.5,1.3,1.4,1.0,1.5,0.8,1.1,0.8,1.2,33.4
Fraser,Forster,GLK,SOU,4900000,0,73,3.6,7.3469387755102e-07,1.4897959183673499e-05,0,403794,0,30,0,69,0,0,0,14.9,22555,-1,0,73,1,0.4,0,1.9,6,0,4,0,0,6.0,356567,0,0,1,1,1800,3359,0,0,351,Crystal Palace,Watford,Tottenham,Brighton,West Brom,5.1,4.6,4.0,5.0,3.8,3.9,3.8,4.3,3.5,3.3,4.2,3.0,4.4,3.1,3.7,2.6,3.3,48.9
Ben,Foster,GLK,WBA,4400000,3,67,3.4,7.72727272727273e-07,1.52272727272727e-05,0,568288,2,27,0,48,0,0,0,15.2,26679,-1,0,67,1,1.0,0,4.4,5,0,6,0,0,9.6,351827,0,0,0,0,1800,13708,0,0,333,West Ham,Brighton,Everton,Man City,Southampton,3.5,4.8,2.1,2.7,4.0,3.3,4.3,4.0,3.3,2.7,4.1,3.5,2.4,3.8,3.0,3.9,4.0,35.1
Timothy,Fosu-Mensah,DEF,CRY,4400000,6,22,1.7,3.8636363636363604e-07,5e-06,0,81537,0,18,0,0,0,0,0,5.0,581,-1,0,22,1,0.3,0,1.4,0,0,1,0,0,0.7,32877,0,0,0,0,960,2365,0,0,182,Southampton,Burnley,Arsenal,West Ham,Newcastle,1.1,1.4,0.8,1.2,1.3,0.8,1.3,1.3,1.1,0.9,1.3,0.9,1.8,1.4,1.1,1.1,1.6,28.1
Juan,Foyth,DEF,TOT,4500000,0,0,0.0,0.0,0.0,0,1369,0,0,0,0,0,0,0,0.0,49,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1476,0,0,0,0,0,36,0,0,0,Swansea,West Ham,Everton,Southampton,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
