FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Scott,Arfield,MID,BUR,5200000,0,60,2.2,4.23076923076923e-07,1.15384615384615e-05,0,8105,3,31,0,0,0,1,0,11.5,109,-3,0,60,3,0.1,0,0.5,3,0,5,0,2,0.1,4716,0,0,0,1,1767,12,0,0,231,Man Utd,Crystal Palace,West Brom,Bournemouth,West Ham,0.0,1.1,2.0,1.1,1.6
Giedrius,Arlauskis,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,180,0,0,0,0,0,0,0,0.0,12,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,442,0,0,0,0,0,15,0,0,0,Hull City,Liverpool,Leicester,Everton,Chelsea,0.0,0.0,0.0,0.0,0.0
Marko,Arnautovic,MID,STK,7100000,12,101,3.6,5.07042253521127e-07,1.4225352112676098e-05,0,124294,9,35,0,0,0,6,0,14.2,2284,-4,0,101,4,0.6,0,4.3,8,0,8,0,4,1.2,93568,0,528,0,3,2371,7131,0,1,346,Swansea,West Ham,Bournemouth,Arsenal,Southampton,2.8,3.2,2.5,3.2,2.5
Harry,Arter,MID,BOU,5000000,2,71,2.3,4.6e-07,1.42e-05,0,23014,9,60,0,0,0,1,0,14.2,295,0,0,71,0,0.5,1,2.5,5,0,6,0,3,0.3,23659,0,188,0,0,2606,358,0,1,435,Middlesbrough,Sunderland,Stoke,Burnley,Leicester,2.2,1.8,2.1,2.6,1.4
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4478,0,0,0,0,0,0,0,0.0,4,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,655,0,0,0,0,0,2,0,0,0,Leicester,Tottenham,Man Utd,Southampton,Stoke,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.0101010101010101,2.2956841138659303e-09,2.2727272727272702e-07,0,653,0,0,0,0,0,0,0,0.2,10,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,549,0,0,0,0,10,3,0,0,3,Middlesbrough,Bournemouth,Hull City,Swansea,Arsenal,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6300000,0,59,4.5,7.142857142857141e-07,9.36507936507936e-06,0,900189,1,7,0,0,0,6,0,9.4,468,-2,0,59,2,0.0,0,0.0,10,0,6,0,1,1.8,869917,0,32,0,1,866,87,0,0,211,Chelsea,Hull City,Liverpool,Arsenal,Middlesbrough,3.9,6.7,10.9,9.4,6.0
Daniel,Ayala,DEF,MID,4800000,1,30,0.303030303030303,6.313131313131309e-08,6.25e-06,0,11312,2,12,0,0,0,1,0,6.3,86,-2,0,30,2,0.4,0,1.8,0,0,3,0,0,0.1,7616,0,0,0,0,757,1430,0,0,158,Bournemouth,Sunderland,Man City,Chelsea,Southampton,0.4,0.2,0.2,0.2,0.2
Andre,Ayew,MID,WHU,7100000,7,62,0.626262626262626,8.82060036989615e-08,8.73239436619718e-06,0,281141,1,20,0,0,0,5,0,8.7,820,-4,0,62,4,0.5,0,3.3,2,0,3,0,1,1.1,18064,0,524,0,0,1032,593,0,0,191,Everton,Stoke,Tottenham,Liverpool,Burnley,0.3,0.3,0.3,0.3,0.3
Jordan,Ayew,FWD,SWA,5000000,1,14,0.141414141414141,2.8282828282828302e-08,2.8e-06,0,6777,1,5,0,0,0,0,0,2.8,2066,0,0,14,0,0.5,0,2.3,0,0,2,0,1,0.2,13107,0,0,0,0,417,1082,0,0,26,Stoke,Man Utd,Everton,Sunderland,West Brom,0.1,0.1,0.1,0.1,0.1
Cesar,Azpilicueta,DEF,CHE,6400000,1,132,4.1,6.40625e-07,2.0625e-05,0,579610,3,27,0,0,0,0,0,20.6,15946,4,0,132,-4,0.4,0,2.5,17,0,13,0,3,17.0,731181,0,470,0,1,2880,9293,0,0,713,Southampton,Everton,Middlesbrough,West Brom,Watford,5.8,3.3,5.2,9.9,5.0
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1427,0,0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,345,0,138,0,0,0,7,0,0,0,Southampton,Everton,Middlesbrough,West Brom,Watford,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5400000,6,74,3.9,7.22222222222222e-07,1.3703703703703699e-05,0,529314,3,13,0,0,0,0,0,13.7,1932,-1,0,74,1,1.1,0,6.0,13,0,8,0,0,9.0,358042,0,0,0,0,1548,96785,0,0,412,Burnley,Man City,Swansea,Arsenal,Tottenham,7.7,4.6,4.9,8.6,4.9
Leighton,Baines,DEF,EVE,5900000,6,116,4.3,7.288135593220341e-07,1.96610169491525e-05,0,656981,3,27,0,0,0,2,0,19.7,20337,4,-1,116,-4,0.4,1,2.3,14,0,9,0,4,12.9,840300,0,212,0,1,2369,11960,1,0,546,West Ham,Chelsea,Swansea,Watford,Arsenal,4.9,5.8,4.2,5.8,4.8
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11995,0,0,0,0,0,0,0,0.0,38,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,2061,0,0,0,0,0,28,0,0,0,Crystal Palace,Watford,Southampton,West Ham,Middlesbrough,0.0,0.0,0.0,0.0,0.0
Patrick,Bamford,FWD,MID,4900000,0,11,0.111111111111111,2.2675736961451203e-08,2.24489795918367e-06,0,6000,0,2,0,0,0,0,0,2.2,108,-1,0,11,1,0.1,0,0.5,0,0,0,0,0,0.1,7032,0,0,0,0,112,49,0,0,31,Bournemouth,Sunderland,Man City,Chelsea,Southampton,0.2,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3705,0,0,0,0,0,0,0,0.0,14,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2609,0,0,0,0,0,2,0,0,0,Bournemouth,Sunderland,Man City,Chelsea,Southampton,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,0,27,0.272727272727273,6.34249471458774e-08,6.2790697674418605e-06,0,11610,4,17,0,0,0,0,0,6.3,133,-2,0,27,2,0.0,0,0.0,0,0,3,0,0,0.1,9135,0,107,0,0,1168,34,0,1,174,Swansea,West Ham,Bournemouth,Arsenal,Southampton,0.1,0.1,0.1,0.1,0.1
Ross,Barkley,MID,EVE,7100000,4,126,4.1,5.774647887323941e-07,1.7746478873239398e-05,0,793761,5,31,0,0,0,4,0,17.7,12734,-4,0,126,4,0.5,0,3.3,9,0,10,0,11,7.5,706808,0,654,0,2,2531,6019,0,0,474,West Ham,Chelsea,Swansea,Watford,Arsenal,2.5,4.1,3.4,6.0,2.3
Ashley,Barnes,FWD,BUR,4500000,2,64,0.646464646464647,1.43658810325477e-07,1.4222222222222198e-05,0,206135,5,22,0,0,0,5,0,14.2,26339,0,0,64,0,0.3,0,1.3,7,0,5,0,2,3.3,327848,0,0,0,1,1486,3846,0,1,177,Man Utd,Crystal Palace,West Brom,Bournemouth,West Ham,0.3,0.3,0.3,0.3,0.3
Antonio,Barragan,DEF,MID,4400000,1,71,2.8,6.36363636363636e-07,1.6136363636363597e-05,0,101372,5,30,0,0,0,0,0,16.1,1422,-1,0,71,1,0.7,0,3.3,8,0,7,0,0,1.7,148576,0,0,0,0,2171,31433,0,0,452,Bournemouth,Sunderland,Man City,Chelsea,Southampton,5.5,2.7,2.3,3.4,3.0
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,122504,1,23,0,0,0,0,0,6.8,318,0,0,34,0,0.0,0,0.0,0,0,4,0,2,0.6,111764,0,120,0,0,1145,7,0,0,136,Stoke,Man Utd,Everton,Sunderland,West Brom,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,EVE,4300000,1,64,2.2,5.11627906976744e-07,1.4883720930232598e-05,0,381045,9,26,0,0,0,2,0,14.9,3287,-2,0,64,2,0.2,0,1.0,3,0,7,0,1,3.4,386398,0,418,0,0,1944,1563,0,0,342,West Ham,Chelsea,Swansea,Watford,Arsenal,1.1,1.5,1.2,2.6,1.1
Joey,Barton,MID,BUR,4300000,2,35,0.353535353535354,8.221752407798919e-08,8.139534883720931e-06,0,12788,4,14,0,0,0,1,0,8.1,989,-2,0,35,2,0.5,0,2.3,0,0,4,0,2,0.3,23093,0,0,0,0,1015,711,0,0,192,Man Utd,Crystal Palace,West Brom,Bournemouth,West Ham,0.2,0.2,0.2,0.2,0.2
Borja,Baston,FWD,SWA,6600000,1,30,0.303030303030303,4.59136822773186e-08,4.54545454545455e-06,0,10165,0,11,0,0,0,1,0,4.5,23,-4,1,30,4,0.0,0,0.3,1,0,1,0,2,0.0,6840,0,0,0,0,551,19,-1,0,77,Stoke,Man Utd,Everton,Sunderland,West Brom,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,0,25,1.5,1.7647058823529398e-07,2.94117647058824e-06,0,130156,0,0,0,0,0,1,0,2.9,105,-5,0,25,5,0.0,0,0.3,1,0,0,0,1,0.9,60988,0,0,0,0,127,26,0,0,68,Southampton,Everton,Middlesbrough,West Brom,Watford,1.1,0.8,1.1,2.1,1.4
Asmir,Begovic,GLK,CHE,4700000,1,1,0.0101010101010101,2.1491510853213e-09,2.1276595744680897e-07,0,6633,0,2,0,1,0,0,0,0.2,48,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.2,1991,0,150,0,0,90,216,0,0,9,Southampton,Everton,Middlesbrough,West Brom,Watford,0.0,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,1,43,1.8,4e-07,9.55555555555555e-06,0,17449,6,29,0,0,0,0,0,9.6,51,0,0,43,0,0.1,0,0.3,0,0,5,0,0,0.2,12906,0,127,0,0,1780,30,0,0,224,Hull City,Liverpool,Leicester,Everton,Chelsea,0.9,1.0,0.9,1.8,1.0
Hector,Bellerin,DEF,ARS,6500000,1,88,3.4,5.23076923076923e-07,1.35384615384615e-05,0,1011694,2,32,0,0,0,0,0,13.5,5304,0,0,88,0,0.3,0,2.0,10,0,8,0,3,13.8,384424,0,541,0,1,2065,1279,0,0,439,Leicester,Tottenham,Man Utd,Southampton,Stoke,3.7,2.7,6.8,7.2,3.9
Yohan,Benalouane,DEF,LEI,4000000,1,14,0.141414141414141,3.53535353535354e-08,3.5000000000000004e-06,0,10461,0,8,0,0,0,0,0,3.5,1227,0,0,14,0,0.8,0,3.3,0,0,2,0,0,0.4,14001,0,15,0,0,435,2005,0,0,74,Arsenal,West Brom,Watford,Man City,Tottenham,0.1,0.1,0.1,0.2,0.1
Nabil,Bentaleb,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,4351,0,0,0,0,0,0,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,536,0,29,0,0,0,6,0,0,0,Crystal Palace,Arsenal,West Ham,Man Utd,Leicester,0.0,0.0,0.0,0.0,0.0
Saido,Berahino,FWD,STK,6000000,1,21,0.212121212121212,3.53535353535354e-08,3.5000000000000004e-06,0,63481,1,9,0,0,0,0,0,3.5,1980,-5,0,21,5,0.3,0,1.8,0,0,3,0,0,0.5,34793,0,226,0,0,767,371,0,0,47,Swansea,West Ham,Bournemouth,Arsenal,Southampton,0.1,0.1,0.1,0.1,0.1
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,93,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,44,0,55,0,0,0,0,0,0,0,Hull City,Liverpool,Leicester,Everton,Chelsea,0.0,0.0,0.0,0.0,0.0
,Bernardo,DEF,MID,4300000,0,35,0.353535353535354,8.221752407798919e-08,8.139534883720931e-06,0,4459,2,13,0,0,0,0,0,8.1,623,-2,0,35,2,0.7,0,3.0,3,0,4,0,0,0.2,10233,0,0,0,0,975,716,0,0,198,Bournemouth,Sunderland,Man City,Chelsea,Southampton,0.4,0.2,0.2,0.2,0.2
Ryan,Bertrand,DEF,SOU,5500000,1,100,4.5,8.18181818181818e-07,1.81818181818182e-05,0,118507,2,28,0,0,0,1,0,18.2,7027,0,0,100,0,0.6,0,3.3,8,0,10,0,5,2.9,194254,0,415,0,2,1967,3675,0,0,451,Chelsea,Hull City,Liverpool,Arsenal,Middlesbrough,4.9,6.4,11.9,9.4,6.5
Muhamed,Besic,MID,EVE,4300000,0,0,0.0,0.0,0.0,0,1455,0,0,0,0,0,0,0,0.0,21,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,825,0,75,0,0,0,22,0,0,0,West Ham,Chelsea,Swansea,Watford,Arsenal,0.0,0.0,0.0,0.0,0.0
Daley,Blind,DEF,MUN,5200000,0,81,4.3,8.269230769230771e-07,1.55769230769231e-05,0,465867,2,14,0,0,0,1,0,15.6,4485,-3,0,81,3,0.1,0,0.5,12,0,7,0,2,4.3,477393,0,477,0,1,1470,11552,0,0,432,Burnley,Man City,Swansea,Arsenal,Tottenham,8.9,5.3,5.5,9.9,5.6
Hiram,Boateng,MID,CRY,4500000,0,0,0.0,0.0,0.0,0,700,0,0,0,0,0,0,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,562,0,0,0,0,0,3,0,0,0,Liverpool,Tottenham,Burnley,Man City,Hull City,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,30,3.3,6e-07,5.45454545454545e-06,0,109775,1,12,0,0,0,3,0,5.5,87,-5,0,30,5,0.0,1,0.0,4,0,0,0,0,0.7,46608,0,360,0,0,475,5,0,0,93,Swansea,West Ham,Bournemouth,Arsenal,Southampton,0.0,0.0,0.0,0.0,0.0
Yannick,Bolasie,MID,EVE,5700000,0,45,3.2,5.6140350877193e-07,7.89473684210526e-06,0,420320,3,14,0,0,0,1,0,7.9,235,-3,0,45,3,0.0,0,0.0,3,0,3,0,4,1.7,292958,0,469,0,0,1048,23,0,0,172,West Ham,Chelsea,Swansea,Watford,Arsenal,0.0,0.0,0.0,0.0,0.0
Wilfried,Bony,FWD,STK,6900000,0,29,0.29292929292929304,4.24535207143903e-08,4.20289855072464e-06,0,131378,1,12,0,0,0,2,0,4.2,121,-6,0,29,6,0.0,0,0.0,3,0,3,0,0,0.6,113714,0,249,0,1,684,38,0,0,92,Swansea,West Ham,Bournemouth,Arsenal,Southampton,0.1,0.1,0.1,0.1,0.1
Fabio,Borini,FWD,SUN,5100000,7,40,2.2,4.313725490196079e-07,7.84313725490196e-06,0,86936,3,24,0,0,0,2,0,7.8,679,-4,0,40,4,0.6,0,3.0,3,0,4,0,0,0.6,30302,0,280,0,0,1266,1867,0,0,145,Middlesbrough,Bournemouth,Hull City,Swansea,Arsenal,1.4,2.3,1.7,3.8,1.1
Cameron,Borthwick-Jackson,DEF,MUN,4400000,0,0,0.0,0.0,0.0,0,3062,0,0,0,0,0,0,0,0.0,9,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,127,0,123,0,0,0,3,0,0,0,Burnley,Man City,Swansea,Arsenal,Tottenham,0.0,0.0,0.0,0.0,0.0
Artur,Boruc,GLK,BOU,4500000,4,104,3.4,7.555555555555559e-07,2.3111111111111102e-05,0,257971,2,60,0,104,0,0,0,23.1,3422,0,0,104,0,1.0,0,4.3,7,0,7,0,0,6.0,281665,0,281,2,2,2790,9755,0,0,581,Middlesbrough,Sunderland,Stoke,Burnley,Leicester,4.0,2.7,4.6,4.2,2.1
Sofiane,Boufal,MID,SOU,6700000,1,33,0.33333333333333304,4.9751243781094504e-08,4.9253731343283596e-06,0,12945,4,18,0,0,0,1,0,4.9,28,-3,0,33,3,0.1,0,0.5,1,0,3,0,1,0.1,13132,0,0,0,0,815,14,0,0,136,Chelsea,Hull City,Liverpool,Arsenal,Middlesbrough,0.2,0.2,0.4,0.4,0.2
