FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Joe,Allen,MID,STK,5100000,2,107,3.6,7.058823529411759e-07,2.0980392156862697e-05,0,994105,8,43,0,0,0,6,0,21.0,18965,1,0,107,-1,0.3,0,1.7,10,0,8,0,3,9.7,1288005,0,132,0,1,2506,8164,0,0,465,Liverpool,Hull City,Swansea,West Ham,Bournemouth,3.0,4.9,2.8,3.1,2.4,3.1,2.3
Bamidele,Alli,MID,TOT,9100000,12,180,6.2,6.813186813186811e-07,1.97802197802198e-05,0,854759,4,18,0,0,0,15,0,20.0,4536,6,-1,180,-6,0.9,0,8.3,16,0,13,0,8,33.7,1829235,0,666,0,4,2341,101169,1,0,525,Watford,Bournemouth,Crystal Palace,Arsenal,West Ham,9.3,8.4,6.4,7.2,4.9,7.9,6.6
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,1381,0,0,0,0,0,0,0,0.0,20,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,3379,0,0,0,0,0,29,0,0,0,Chelsea,Tottenham,Middlesbrough,Sunderland,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6800000,2,135,5.4,7.94117647058824e-07,1.9852941176470603e-05,0,259240,2,15,0,0,0,4,0,19.9,17215,8,0,135,-8,0.4,0,3.0,7,0,12,0,4,15.5,857587,0,0,0,2,2153,9125,0,0,531,Bournemouth,Man Utd,Southampton,Everton,Middlesbrough,6.5,5.8,7.9,5.2,7.4,6.4,7.2
Daniel,Amartey,MID,LEI,4400000,0,47,2.4,5.454545454545451e-07,1.06818181818182e-05,0,26294,3,25,0,0,0,1,0,10.7,143,-1,0,47,1,0.1,0,0.3,3,0,4,0,1,0.2,27631,0,23,0,1,1438,70,0,0,220,Everton,Crystal Palace,Arsenal,West Brom,Watford,1.2,1.3,1.2,1.2,2.9,1.2,2.2
Jordi,Amat,DEF,SWA,3900000,0,21,1.2,3.07692307692308e-07,5.3846153846153804e-06,0,462362,5,36,0,0,0,0,0,5.4,5039,-1,0,21,1,0.0,0,0.0,0,0,2,0,0,8.1,418404,0,63,0,0,1409,2137,0,0,237,West Ham,Watford,Stoke,Man Utd,Everton,0.9,0.6,1.0,0.6,0.7,0.6,1.0
Nordin,Amrabat,MID,WAT,5000000,3,51,2.4,4.8e-07,1.0199999999999999e-05,0,16983,3,33,0,0,0,0,0,10.2,22,0,0,51,0,0.3,0,1.7,5,0,3,0,3,0.1,15862,0,74,0,0,1551,45,0,0,199,Tottenham,Swansea,Hull City,Liverpool,Leicester,1.2,2.2,1.6,1.6,1.4,1.2,1.6
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2514,0,0,0,0,0,0,0,0.0,6,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1813,0,0,0,0,0,6,0,0,0,Arsenal,Leicester,Liverpool,Tottenham,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2799,0,0,0,0,0,0,0,0.0,7,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,960,0,0,0,0,0,0,0,0,0,Hull City,Southampton,Man Utd,Middlesbrough,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4300000,1,38,0.408602150537634,9.50237559389848e-08,8.83720930232558e-06,0,298642,1,13,0,0,0,3,0,8.8,1451,-2,0,38,2,0.1,0,0.3,5,0,2,0,1,1.3,337337,0,0,0,1,733,7523,0,0,133,Man Utd,West Ham,Middlesbrough,Bournemouth,Hull City,0.2,0.2,0.2,0.2,0.2,0.2,0.2
