FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW38Forecast
Curtis,Davies,DEF,HUL,4900000,0,38,1.5,3.06122448979592e-07,7.755102040816329e-06,0,111044,4,53,0,0,0,0,0,7.8,0,-1,0,38,1,0,0,0,3,0,1,0,2,1.3,100208,1,0,0,1,2135,0,0,0,368,Tottenham,,,,,1.2
Tom,Davies,MID,EVE,4400000,1,63,0.567567567567568,1.2899262899262901e-07,1.43181818181818e-05,0,121560,4,17,0,0,0,2,0,14.3,0,-1,0,63,1,0,0,0,0,0,8,0,3,2.3,219111,0,0,0,0,1544,0,0,0,248,Arsenal,,,,,0.3
Steven,Davis,MID,SOU,5100000,2,77,2.4,4.7058823529411793e-07,1.5098039215686301e-05,0,41871,3,37,0,0,0,0,0,15.1,0,-4,0,77,4,0,0,0,0,0,10,0,3,0.5,9571,0,535,0,0,2643,0,0,0,450,Stoke,,,,,2.1
Craig,Dawson,DEF,WBA,4900000,1,102,2.8,5.714285714285711e-07,2.08163265306122e-05,0,105636,10,50,0,0,0,4,0,20.8,0,-1,0,102,1,0,0,0,6,0,6,0,0,2.5,99611,0,433,0,1,3276,0,0,0,500,Swansea,,,,,2.2
Michael,Dawson,DEF,HUL,4200000,-1,46,2.1,5e-07,1.0952380952381e-05,0,55903,4,44,0,0,0,3,0,11.0,0,-3,0,46,3,0,0,0,4,0,1,0,0,0.5,69678,1,0,0,2,1722,0,0,0,311,Tottenham,,,,,2.1
Kevin,De Bruyne,MID,MCI,10500000,9,199,5.5,5.23809523809524e-07,1.8952380952381e-05,0,1264140,4,34,0,0,0,6,0,19.0,0,0,0,199,0,0,1,0,33,0,11,0,21,10.4,1369908,0,546,0,5,2877,0,0,0,825,Watford,,,,,6.6
David,de Gea,GLK,MUN,5500000,0,136,3.9,7.09090909090909e-07,2.47272727272727e-05,0,1029405,2,29,0,74,0,0,0,24.7,0,0,0,136,0,0,0,0,5,0,14,0,0,33.2,583759,0,368,0,2,3150,0,0,0,575,Crystal Palace,,,,,4.9
Ritchie,de Laet,DEF,LEI,4400000,0,0,0.0,0.0,0.0,0,6016,0,0,0,0,0,0,0,0.0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,311,0,129,0,0,0,0,0,0,0,Bournemouth,,,,,0.0
Carlos,De Pena,MID,MID,4200000,0,0,0.0,0.0,0.0,0,16085,0,0,0,0,0,0,0,0.0,0,-3,0,0,3,0,0,0,0,0,0,0,0,0.2,15586,0,0,0,0,0,0,0,0,0,Liverpool,,,,,0.0
Marten,de Roon,MID,MID,4300000,0,91,2.8,6.51162790697674e-07,2.1162790697674397e-05,0,156893,8,44,0,0,0,4,0,21.2,0,-2,0,91,2,0,0,0,5,0,8,0,1,1.8,220485,0,0,0,2,2773,0,0,0,399,Liverpool,,,,,1.4
Julien,de Sart,MID,MID,4300000,0,0,0.0,0.0,0.0,0,3496,0,0,0,0,0,0,0,0.0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0.0,2427,0,0,0,0,0,0,0,0,0,Liverpool,,,,,0.0
Zachary,Dearnley,MID,MUN,4500000,0,0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66,0,0,0,0,0,0,0,0,0,Crystal Palace,,,,,0.0
Mathieu,Debuchy,DEF,ARS,4600000,0,1,0.009009009009009009,1.95848021934978e-09,2.1739130434782601e-07,0,10701,0,0,0,0,0,0,0,0.2,0,-4,0,1,4,0,0,0,0,0,0,0,0,0.2,2211,0,11,0,0,15,0,0,0,2,Everton,,,,,0.0
Troy,Deeney,FWD,WAT,6600000,1,130,3.5,5.3030303030303e-07,1.96969696969697e-05,0,814246,7,52,0,0,0,10,0,19.7,0,-4,0,130,4,0,0,0,18,0,6,0,4,4.8,813559,1,629,0,2,2944,0,0,0,441,Man City,,,,,4.0
Jermain,Defoe,FWD,SUN,7400000,0,166,4.5,6.081081081081079e-07,2.2432432432432396e-05,0,1925947,1,63,0,0,0,15,0,22.4,0,4,0,166,-4,0,0,0,24,0,6,0,3,16.1,2275476,0,595,0,6,3322,0,0,0,529,Chelsea,,,,,3.8
Steven,Defour,MID,BUR,5600000,1,54,0.48648648648648607,8.68725868725869e-08,9.642857142857139e-06,0,31417,1,13,0,0,0,1,0,9.6,0,-4,0,54,4,0,0,0,6,0,5,0,3,0.2,30928,0,0,0,0,1068,0,0,0,245,West Ham,,,,,0.2
Damien,Delaney,DEF,CRY,4800000,0,51,1.7,3.5416666666666705e-07,1.0625e-05,0,39134,8,39,0,0,0,0,0,10.6,0,-2,0,51,2,0,0,0,3,0,3,0,2,0.5,15220,0,366,0,1,2014,0,0,0,344,Man Utd,,,,,1.0
Fabian,Delph,MID,MCI,4700000,0,13,0.11711711711711699,2.4918535556833398e-08,2.7659574468085098e-06,0,7989,1,4,0,0,0,1,0,2.8,0,-3,0,13,3,0,0,0,0,0,0,0,0,0.1,3083,0,156,0,0,224,0,0,0,62,Watford,,,,,0.1
Mousa,Dembele,MID,TOT,5400000,1,76,0.684684684684685,1.2679346012679301e-07,1.40740740740741e-05,0,34419,5,17,0,0,0,1,0,14.1,0,-1,0,76,1,0,0,0,6,0,11,0,2,0.5,42432,0,473,0,0,2056,0,0,0,456,Hull City,,,,,0.3
Jason,Denayer,DEF,SUN,4700000,0,56,2.3,4.8936170212766e-07,1.1914893617021302e-05,0,4666,2,30,0,0,0,0,0,11.9,0,-3,0,56,3,0,0,0,2,0,6,0,0,0.1,2647,1,0,0,0,1878,0,0,0,320,Chelsea,,,,,1.7
Memphis,Depay,MID,MUN,7100000,0,3,0.8,1.12676056338028e-07,4.2253521126760605e-07,0,7914,1,1,0,0,0,0,0,0.4,0,-4,0,3,4,0,0,0,0,0,0,0,0,0.2,1125,0,259,0,0,24,0,0,0,6,Crystal Palace,,,,,0.0
Gerard,Deulofeu,MID,EVE,5900000,0,13,1.2,2.03389830508475e-07,2.20338983050847e-06,0,133511,1,6,0,0,0,0,0,2.2,0,-6,0,13,6,0,0,0,0,0,0,0,0,0.8,19211,0,283,0,0,460,0,0,0,53,Arsenal,,,,,0.0
Mohamed,Diame,MID,HUL,5500000,0,0,0.0,0.0,0.0,0,892,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,313,0,0,0,0,0,0,0,0,0,Tottenham,,,,,0.0
Eric,Dier,MID,TOT,5000000,2,93,2.6,5.2e-07,1.86e-05,0,424578,6,24,0,0,0,2,0,18.6,0,-5,0,93,5,0,0,0,4,0,16,0,0,5.1,96830,0,526,0,1,3043,0,0,0,505,Hull City,,,,,1.7
Adama,Diomande,FWD,HUL,4300000,0,42,1.9,4.4186046511627905e-07,9.76744186046512e-06,0,524303,1,29,0,0,0,2,0,9.8,0,-2,0,42,2,0,0,0,2,0,2,0,0,3.6,545903,0,0,0,0,1171,0,0,0,127,Tottenham,,,,,1.7
Mame Biram,Diouf,FWD,STK,5700000,2,51,1.9,3.3333333333333304e-07,8.94736842105263e-06,0,36207,3,26,0,0,0,1,0,8.9,0,-3,0,51,3,0,0,0,2,0,5,0,2,0.3,19376,0,245,0,0,1385,0,0,0,190,Southampton,,,,,1.1
Brice,Dja Djedje,DEF,WAT,4400000,0,0,0.0,0.0,0.0,0,1190,0,0,0,0,0,0,0,0.0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0.0,123,0,0,0,0,0,0,0,0,0,Man City,,,,,0.0
Papy,Djilobodji,DEF,SUN,4200000,0,24,0.216216216216216,5.1480051480051504e-08,5.71428571428571e-06,0,17507,4,35,0,0,0,0,0,5.7,0,-3,0,24,3,0,0,0,0,0,2,0,0,0.2,12283,0,0,0,0,1577,0,0,1,281,Chelsea,,,,,0.1
