FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.0232558139534897e-07,1.16279069767442e-06,0,19545,0,2,0,0,0,0,0,1.2,100,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,0.2,11791,0,0,0,0,136,6,0,0,19,Liverpool,Southampton,Huddersfield,Leicester,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
Tammy,Abraham,FWD,SWA,5400000,4,69,3.1,5.74074074074074e-07,1.27777777777778e-05,0,1311823,0,28,0,0,0,4,0,12.8,3783,-1,0,69,1,0.3,0,1.7,8,0,4,0,3,3.4,1306221,0,0,0,1,1430,2255,0,0,197,West Ham,Huddersfield,Man Utd,West Brom,Everton,3.6,2.7,0.0,2.1,2.7,3.7,2.5,2.5,3.0,3.9,88.8
Charlie,Adam,MID,STK,4700000,0,12,0.42857142857142894,9.118541033434651e-08,2.5531914893617e-06,0,7439,2,7,0,0,0,0,0,2.6,74,-3,0,12,3,-0.1,1,-0.3,0,0,2,0,0,0.1,3363,0,0,0,0,376,51,0,0,62,Southampton,Man City,Everton,Arsenal,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,27.1
,Adam Smith,DEF,BOU,4800000,7,51,1.82142857142857,3.79464285714286e-07,1.0625e-05,0,44688,5,32,0,0,0,1,0,10.6,252,-2,0,51,2,0.6,0,2.7,3,0,2,0,2,0.4,10067,0,0,0,0,1831,1423,0,0,342,Leicester,Tottenham,West Brom,Watford,Crystal Palace,1.0,1.5,1.6,1.4,2.3,1.2,1.5,1.4,1.4,1.3,83.3
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,1618,0,0,0,0,0,0,0,0.0,122,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2974,0,0,0,0,0,223,0,0,0,Chelsea,Stoke,Everton,Man Utd,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4400000,2,47,3.4,7.72727272727273e-07,1.06818181818182e-05,0,88825,2,20,0,47,0,0,0,10.7,3197,-1,0,47,1,0.7,0,3.3,1,0,4,0,0,3.5,252637,0,0,0,0,1260,3579,0,0,261,Swansea,Burnley,Southampton,Chelsea,Stoke,2.7,4.2,0.0,4.0,3.0,4.4,2.9,3.4,2.5,3.7,31.8
Ibrahim,Afellay,MID,STK,4800000,0,6,0.214285714285714,4.46428571428571e-08,1.25e-06,0,1761,1,9,0,0,0,0,0,1.3,24,-2,0,6,2,0.0,0,0.0,0,0,0,0,0,0.0,1289,0,0,0,0,162,23,0,0,29,Southampton,Man City,Everton,Arsenal,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.4561403508771896e-07,4.21052631578947e-06,0,33604,0,12,0,0,0,0,0,4.2,85,-3,0,24,3,0.0,0,0.0,0,0,0,0,1,0.2,7412,0,0,0,0,534,1,0,0,73,Leicester,Tottenham,West Brom,Watford,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3
Sergio,Aguero,FWD,MCI,12000000,5,167,7.3,6.08333333333333e-07,1.3916666666666699e-05,0,3145181,1,12,0,0,0,21,0,13.9,77104,5,0,167,-5,0.8,0,9.3,22,0,12,0,6,28.4,4023710,0,0,0,4,1862,32543,0,0,728,Chelsea,Stoke,Everton,Man Utd,Tottenham,8.7,9.2,0.0,8.9,10.4,8.5,10.2,8.9,10.8,9.7,289.9
Nathan,Ake,DEF,BOU,5000000,4,83,3.0,6e-07,1.66e-05,0,390385,4,41,0,0,0,2,0,16.6,13132,0,0,83,0,0.4,0,2.0,8,0,5,0,2,6.4,338715,0,0,0,1,2452,19449,0,0,489,Leicester,Tottenham,West Brom,Watford,Crystal Palace,2.3,3.1,3.3,3.0,4.3,2.7,3.3,3.0,3.0,2.9,96.8
Marc,Albrighton,MID,LEI,5600000,5,95,3.4,6.071428571428571e-07,1.6964285714285698e-05,0,323092,5,34,0,0,0,2,0,17.0,7009,1,0,95,-1,0.5,0,3.0,12,0,6,0,7,3.5,408960,0,0,0,2,2107,14946,0,0,391,Bournemouth,West Brom,Brighton,Newcastle,Burnley,3.7,2.8,0.0,2.3,3.7,2.7,3.3,2.6,3.9,2.1,132.6
Toby,Alderweireld,DEF,TOT,5800000,0,38,1.35714285714286,2.33990147783251e-07,6.55172413793103e-06,0,653139,3,7,0,0,0,0,0,6.6,2551,-2,0,38,2,0.0,0,0.0,3,0,5,0,0,4.6,165933,0,0,0,0,900,146,0,0,200,Huddersfield,Bournemouth,Chelsea,Stoke,Man City,0.0,0.0,0.0,0.7,0.8,0.7,0.7,1.1,0.7,0.9,27.7
Trent,Alexander-Arnold,DEF,LIV,4300000,2,44,1.57142857142857,3.65448504983389e-07,1.02325581395349e-05,0,285215,3,13,0,0,0,1,0,10.2,4649,-2,0,44,2,0.6,0,2.7,4,0,4,0,1,3.3,333956,0,0,0,1,979,12084,0,0,235,Newcastle,Man Utd,Watford,Crystal Palace,Everton,1.0,0.8,1.3,1.6,0.8,1.0,0.8,1.4,0.9,1.4,60.0
Joe,Allen,MID,STK,5100000,4,85,3.3,6.47058823529412e-07,1.6666666666666698e-05,0,223967,6,42,0,0,0,2,0,16.7,3475,-4,0,85,4,0.5,0,2.7,10,0,4,0,5,1.9,115598,0,0,0,2,2322,3771,0,0,399,Southampton,Man City,Everton,Arsenal,Tottenham,2.8,2.2,4.3,2.2,2.9,2.5,3.3,1.9,3.4,2.7,122.4
Bamidele,Alli,MID,TOT,8900000,3,122,4.5,5.0561797752809e-07,1.3707865168539301e-05,0,2101540,5,22,0,0,0,5,0,13.7,11982,-6,0,122,6,0.3,0,2.3,7,0,12,0,10,12.3,1016674,0,0,0,2,2275,15708,0,0,383,Huddersfield,Bournemouth,Chelsea,Stoke,Man City,6.1,4.5,0.0,3.7,4.1,3.7,3.7,5.0,4.3,5.5,201.1
Marcos,Alonso,DEF,CHE,7200000,1,139,5.3,7.361111111111109e-07,1.9305555555555602e-05,0,1448663,5,21,0,0,0,6,0,19.3,40271,2,0,139,-2,0.0,0,0.3,13,0,12,0,1,19.7,1557470,0,0,0,4,2233,9345,0,0,539,Man City,Crystal Palace,Tottenham,West Ham,Southampton,5.4,7.6,0.0,7.0,7.8,6.8,7.5,5.7,7.2,5.6,168.5
Daniel,Amartey,MID,LEI,4300000,0,12,0.42857142857142894,9.966777408637869e-08,2.7906976744186e-06,0,24056,0,7,0,0,0,0,0,2.8,680,-2,0,12,2,0.0,0,0.0,0,0,3,0,0,0.3,23671,0,0,0,0,467,148,0,1,50,Bournemouth,West Brom,Brighton,Newcastle,Burnley,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,0.0357142857142857,7.936507936507941e-09,2.22222222222222e-07,0,627,0,1,0,0,0,0,0,0.2,33,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,756,0,0,0,0,10,14,0,0,6,Man City,Crystal Palace,Tottenham,West Ham,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2.0,4e-07,1.2e-06,0,7638,0,3,0,0,0,0,0,1.2,1,0,0,6,0,0.0,0,0.0,0,0,1,0,0,0.0,3626,0,0,0,0,198,0,0,0,11,West Brom,Arsenal,Liverpool,Bournemouth,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,50930,0,0,0,0,0,0,0,0.0,300,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,59588,0,0,0,0,0,33,0,0,0,Man Utd,Chelsea,Huddersfield,Liverpool,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Andre Ayew,MID,SWA,6800000,1,48,1.7142857142857097,2.5210084033613403e-07,7.05882352941176e-06,0,100449,3,28,0,0,0,3,0,7.1,642,-2,0,48,2,0.0,1,0.3,2,0,1,0,2,1.0,50361,0,0,0,0,971,287,0,0,159,West Ham,Huddersfield,Man Utd,West Brom,Everton,1.4,0.9,0.0,0.9,0.9,1.6,0.9,1.0,1.0,1.2,50.9
Michail,Antonio,MID,WHU,7400000,6,53,1.89285714285714,2.55791505791506e-07,7.16216216216216e-06,0,84207,1,18,0,0,0,2,0,7.2,430,-1,0,53,1,0.6,0,4.3,1,0,7,0,2,0.2,81811,0,0,0,0,1207,1740,0,0,139,Swansea,Burnley,Southampton,Chelsea,Stoke,1.0,1.4,0.0,1.4,0.9,1.5,0.9,0.9,0.9,2.0,75.6
Scott,Arfield,MID,BUR,4900000,0,56,2.0,4.08163265306122e-07,1.14285714285714e-05,0,41330,3,15,0,0,0,2,0,11.4,905,-1,0,56,1,0.1,0,0.3,6,0,6,0,2,0.2,47967,0,0,0,2,1330,15,0,0,185,Everton,West Ham,West Brom,Watford,Leicester,0.0,1.2,0.0,1.2,1.1,1.6,1.1,1.5,1.0,1.6,60.1
Marko,Arnautovic,MID,WHU,7000000,2,90,3.21428571428571,4.59183673469388e-07,1.28571428571429e-05,0,885845,2,32,0,0,0,7,0,13.0,7413,0,-1,90,0,0.5,0,3.3,7,0,4,0,4,6.7,1159310,0,0,0,2,1432,94273,1,1,287,Swansea,Burnley,Southampton,Chelsea,Stoke,2.5,3.3,0.0,3.1,2.0,3.4,1.9,2.2,2.3,4.2,147.1
Harry,Arter,MID,BOU,4700000,0,27,0.9642857142857142,2.0516717325228e-07,5.74468085106383e-06,0,40623,4,13,0,0,0,1,0,5.7,163,-3,0,27,3,0.0,0,0.0,0,0,3,0,0,0.3,13628,0,0,0,0,959,102,0,0,156,Leicester,Tottenham,West Brom,Watford,Crystal Palace,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,29.2
Christian,Atsu,MID,NEW,4800000,1,73,3.0,6.25e-07,1.5208333333333301e-05,0,509290,1,19,0,0,0,2,0,15.2,4615,-2,0,73,2,0.2,0,1.0,5,0,6,0,4,1.5,448540,0,0,0,1,1625,1151,0,0,219,Liverpool,Southampton,Huddersfield,Leicester,Arsenal,1.7,2.6,0.0,3.4,2.3,3.1,2.7,3.3,2.3,2.5,106.4
Pierre-Emerick,Aubameyang,FWD,ARS,10400000,0,8,0.28571428571428603,2.74725274725275e-08,7.69230769230769e-07,0,135270,0,5,0,0,0,1,0,0.8,41465,-1,1,8,1,0.3,1,2.7,0,0,0,0,0,4.6,388371,0,0,0,0,270,17492,-1,0,35,Brighton,Watford,Stoke,Southampton,Newcastle,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15.1
Serge,Aurier,DEF,TOT,5900000,6,54,1.92857142857143,3.2687651331719105e-07,9.15254237288136e-06,0,84264,0,10,0,0,0,1,0,9.2,526,-1,0,54,1,0.3,0,2.0,6,0,5,0,1,0.6,101186,0,0,0,2,1067,3377,0,1,234,Huddersfield,Bournemouth,Chelsea,Stoke,Man City,1.9,1.1,0.0,1.3,1.4,1.3,1.3,1.9,1.1,1.5,58.6
Charlie,Austin,FWD,SOU,5900000,0,53,1.89285714285714,3.20823244552058e-07,8.98305084745763e-06,0,445253,1,10,0,0,0,6,0,9.0,734,-6,0,53,6,0.0,0,0.0,9,0,1,0,0,0.6,399683,0,0,0,1,596,42,0,0,163,Stoke,Newcastle,West Ham,Arsenal,Chelsea,0.0,0.0,0.0,1.2,1.0,1.0,1.4,1.6,1.3,1.2,69.5
Cesar,Azpilicueta,DEF,CHE,7000000,1,137,5.1,7.285714285714291e-07,1.95714285714286e-05,0,937927,1,25,0,0,0,1,0,19.6,43214,5,0,137,-5,0.4,0,3.0,18,0,13,0,6,20.9,1345583,1,0,0,3,2430,5086,0,0,681,Man City,Crystal Palace,Tottenham,West Ham,Southampton,5.1,7.3,0.0,6.7,7.5,6.4,7.1,5.4,6.8,5.3,121.5
Daniel,Bachmann,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,3291,0,0,0,0,0,0,0,0.0,116,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,7913,0,0,0,0,0,129,0,0,0,West Brom,Arsenal,Liverpool,Bournemouth,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Badou Ndiaye,MID,STK,5400000,2,8,0.28571428571428603,5.29100529100529e-08,1.48148148148148e-06,0,604,1,3,0,0,0,0,0,1.5,154,-1,1,8,1,0.5,0,2.7,0,0,0,0,1,0.0,1757,0,0,0,0,238,52,-1,0,42,Southampton,Man City,Everton,Arsenal,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,14.5
Eric,Bailly,DEF,MUN,6000000,1,47,1.67857142857143,2.79761904761905e-07,7.83333333333333e-06,0,875508,2,3,0,0,0,1,0,7.8,780,0,0,47,0,0.1,0,0.3,3,0,6,0,0,5.5,586494,0,0,0,1,729,3345,0,0,201,Crystal Palace,Liverpool,Swansea,Man City,West Brom,1.5,1.5,0.0,1.3,0.8,1.5,0.8,1.8,0.9,1.6,28.3
Leighton,Baines,DEF,EVE,5600000,0,36,1.28571428571429,2.29591836734694e-07,6.42857142857143e-06,0,433778,1,25,0,0,0,2,0,6.4,473,-4,0,36,4,0.0,0,0.0,2,0,1,0,1,2.8,65765,0,0,0,1,1099,459,0,0,189,Burnley,Brighton,Stoke,Man City,Liverpool,0.6,1.1,0.6,0.7,0.9,0.6,0.8,0.6,0.9,0.6,51.0
Tiemoue,Bakayoko,MID,CHE,4900000,0,67,2.8,5.714285714285711e-07,1.3673469387755099e-05,0,342247,2,19,0,0,0,2,0,13.7,4386,-1,0,67,1,-0.1,0,-0.7,5,0,9,0,2,1.4,357906,0,0,0,1,1759,21,0,1,306,Man City,Crystal Palace,Tottenham,West Ham,Southampton,0.0,2.6,0.0,2.2,2.9,2.2,3.1,2.2,2.0,2.3,100.1
Sam,Baldock,FWD,BHA,4900000,0,1,0.0357142857142857,7.28862973760933e-09,2.04081632653061e-07,0,2640,0,0,0,0,0,0,0,0.2,46,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,2233,0,0,0,0,24,55,0,0,1,Arsenal,Everton,Leicester,Huddersfield,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Beni,Baningime,MID,EVE,4500000,0,5,0.178571428571429,3.96825396825397e-08,1.11111111111111e-06,0,431,0,1,0,0,0,0,0,1.1,9,0,0,5,0,0.0,0,0.0,0,0,0,0,0,0.0,555,0,0,0,0,145,14,0,0,17,Burnley,Brighton,Stoke,Man City,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
