FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Daniel,Ayala,DEF,MID,4800000,0,20,0.33333333333333304,6.94444444444444e-08,4.16666666666667e-06,0,10342,2,5,0,0,0,1,0,4.2,382,-2,0,20,2,0.0,0,0.0,0,0,2,0,0,0.1,5813,0,0,0,0,390,46,0,0,91,Watford,West Ham,West Brom,Tottenham,Everton,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andre,Ayew,MID,WHU,7100000,1,24,0.4,5.6338028169014096e-08,3.38028169014085e-06,0,274330,0,9,0,0,0,1,0,3.4,1692,-4,0,24,4,0.4,0,3.0,0,0,2,0,0,1.0,8223,0,524,0,0,501,167,0,0,60,Crystal Palace,Middlesbrough,Man City,Southampton,West Brom,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Cesar,Azpilicueta,DEF,CHE,6600000,1,97,4.8,7.27272727272727e-07,1.4696969696969699e-05,0,332806,3,15,0,0,0,0,0,14.7,35530,6,0,97,-6,0.8,0,5.0,15,0,11,0,2,21.0,648736,0,470,0,1,1800,32103,0,0,482,Leicester,Hull City,Liverpool,Arsenal,Burnley,3.7,6.9,5.7,6.9,4.0,6.1,5.8,6.5,5.9,6.6,6.2,5.4,4.3,7.1,4.6,6.4,5.4,6.2
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1198,0,0,0,0,0,0,0,0.0,41,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,221,0,138,0,0,0,15,0,0,0,Leicester,Hull City,Liverpool,Arsenal,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,0,34,2.8,5.283018867924531e-07,6.41509433962264e-06,0,503957,3,11,0,0,0,0,0,6.4,8916,-2,0,34,2,0.1,0,0.5,7,0,3,0,0,5.8,193399,0,0,0,0,918,313,0,0,216,Liverpool,Stoke,Hull City,Leicester,Watford,0.0,3.0,3.2,1.7,2.9,2.5,3.4,3.0,2.6,2.9,2.8,1.9,2.7,1.8,2.7,3.2,2.3,3.0
Leighton,Baines,DEF,EVE,5500000,15,72,5.1,9.27272727272727e-07,1.30909090909091e-05,0,427737,2,13,0,0,0,2,0,13.3,18359,0,-1,72,0,1.4,1,7.5,13,0,4,0,3,9.5,465674,0,212,0,1,1244,126228,1,0,297,Man City,Crystal Palace,Stoke,Bournemouth,Middlesbrough,6.8,6.3,6.0,7.6,5.6,6.8,5.2,7.2,7.4,5.9,4.5,6.5,7.5,6.0,6.8,5.7,7.1,6.1
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11492,0,0,0,0,0,0,0,0.0,148,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1736,0,0,0,0,0,84,0,0,0,Man Utd,Swansea,Chelsea,Hull City,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,Bamford,FWD,BUR,4900000,1,6,0.1,2.04081632653061e-08,1.22448979591837e-06,0,3049,0,1,0,0,0,0,0,1.2,146,-1,1,6,1,0.1,0,0.3,0,0,0,0,0,0.0,3577,0,0,0,0,39,75,-1,0,14,Southampton,Arsenal,Leicester,Watford,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3444,0,0,0,0,0,0,0,0.0,79,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2526,0,0,0,0,0,25,0,0,0,Watford,West Ham,West Brom,Tottenham,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,0,20,0.33333333333333304,7.75193798449612e-08,4.65116279069767e-06,0,9584,2,9,0,0,0,0,0,4.7,231,-2,0,20,2,0.0,0,0.0,0,0,2,0,0,0.1,6976,0,107,0,0,661,157,0,0,105,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7000000,3,64,3.6,5.14285714285714e-07,9.142857142857139e-06,0,645416,3,18,0,0,0,3,0,9.1,9320,-5,0,64,5,0.6,0,4.0,7,0,3,0,3,5.9,488983,0,654,0,0,1386,6049,0,0,223,Man City,Crystal Palace,Stoke,Bournemouth,Middlesbrough,3.2,2.8,2.7,4.1,3.0,5.2,1.9,3.8,3.9,1.8,2.9,4.8,5.0,2.4,3.2,3.0,4.5,2.0
Ashley,Barnes,FWD,BUR,4500000,2,32,0.5333333333333329,1.1851851851851899e-07,7.11111111111111e-06,0,58363,2,9,0,0,0,3,0,7.1,17730,0,0,32,0,1.1,0,5.0,3,0,1,0,1,2.4,140354,0,0,0,1,529,26443,0,0,106,Southampton,Arsenal,Leicester,Watford,Chelsea,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Antonio,Barragan,DEF,MID,4600000,1,52,2.7,5.8695652173913e-07,1.1304347826087e-05,0,65469,5,20,0,0,0,0,0,11.3,18177,1,0,52,-1,0.4,0,2.0,5,0,5,0,0,1.4,99672,0,0,0,0,1631,901,0,0,327,Watford,West Ham,West Brom,Tottenham,Everton,0.0,3.8,2.9,2.1,2.7,2.7,2.8,2.7,2.0,2.3,2.6,3.1,3.4,2.4,2.7,2.0,3.4,2.6
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,102298,1,23,0,0,0,0,0,6.8,8683,0,0,34,0,0.1,0,0.5,0,0,4,0,2,1.1,111336,0,120,0,0,1145,1144,0,0,136,Arsenal,Liverpool,Southampton,Man City,Leicester,0.0,1.3,1.6,1.4,2.0,1.0,2.1,1.9,1.2,1.5,1.6,1.5,1.3,1.5,1.2,1.5,1.4,1.5
Gareth,Barry,MID,EVE,4500000,1,47,2.6,5.77777777777778e-07,1.04444444444444e-05,0,322358,6,21,0,0,0,2,0,10.4,15492,0,0,47,0,0.4,0,1.8,3,0,4,0,1,4.2,359089,0,418,0,0,1376,5107,0,0,230,Man City,Crystal Palace,Stoke,Bournemouth,Middlesbrough,1.9,1.7,1.6,2.5,1.8,3.4,1.3,2.3,2.4,1.3,1.7,3.1,3.2,1.4,1.9,1.8,2.8,1.3
Joey,Barton,MID,BUR,4500000,0,0,0.0,0.0,0.0,0,71,0,0,0,0,0,0,0,0.0,71,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,290,0,0,0,0,0,290,0,0,0,Southampton,Arsenal,Leicester,Watford,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borja,Baston,FWD,SWA,6700000,0,25,0.4166666666666671,6.21890547263682e-08,3.73134328358209e-06,0,9522,0,9,0,0,0,1,0,3.7,113,-3,1,25,3,0.1,0,0.5,1,0,1,0,2,0.0,6363,0,0,0,0,475,42,-1,0,64,Arsenal,Liverpool,Southampton,Man City,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,1,20,1.7,2e-07,2.3529411764705897e-06,0,125408,0,0,0,0,0,1,0,2.4,1952,-5,0,20,5,0.1,0,0.8,1,0,0,0,1,1.0,59798,0,0,0,0,94,1758,0,0,58,Leicester,Hull City,Liverpool,Arsenal,Burnley,1.0,1.9,1.0,1.3,0.9,1.6,1.1,1.5,1.0,1.5,1.4,0.9,0.9,1.4,0.8,1.3,1.0,1.7
Asmir,Begovic,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,5771,0,0,0,0,0,0,0,0.0,164,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1363,0,150,0,0,0,47,0,0,0,Leicester,Hull City,Liverpool,Arsenal,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,1,29,1.7,3.7777777777777797e-07,6.444444444444439e-06,0,15514,6,23,0,0,0,0,0,6.4,683,0,0,29,0,0.2,0,0.8,0,0,3,0,0,0.2,12061,0,127,0,0,1351,69,0,0,164,Middlesbrough,Bournemouth,Arsenal,Burnley,Man Utd,0.0,0.8,0.8,1.7,0.8,1.0,1.2,0.8,0.8,1.9,1.2,0.8,1.2,0.8,0.8,0.9,0.8,0.9
Hector,Bellerin,DEF,ARS,6500000,0,70,4.1,6.30769230769231e-07,1.0769230769230802e-05,0,897615,1,19,0,0,0,0,0,10.8,53389,0,0,70,0,0.6,0,4.0,10,0,6,0,3,15.8,354788,0,541,0,1,1506,7649,0,0,324,Swansea,Burnley,Watford,Chelsea,Hull City,0.0,5.4,5.1,3.9,5.5,5.0,4.9,4.6,4.4,4.9,5.9,5.0,4.4,4.9,4.0,3.9,5.0,4.9
Yohan,Benalouane,DEF,LEI,4000000,0,0,0.0,0.0,0.0,0,7900,0,0,0,0,0,0,0,0.0,164,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,1398,0,15,0,0,0,22,0,0,0,Chelsea,Southampton,Burnley,Man Utd,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,4221,0,0,0,0,0,0,0,0.0,52,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,475,0,29,0,0,0,11,0,0,0,West Brom,Man City,Sunderland,Middlesbrough,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
