FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.5925925925925896e-07,3.08641975308642e-06,0,181871,0,7,0,0,0,2,0,3.1,57,-4,0,25,4,0.0,0,0.0,3,0,1,0,1,0.5,121640,1,0,0,1,351,1,0,0,77,Swansea,Liverpool,Huddersfield,Newcastle,,0.0,0.0,0.0,0.0,25.7
Moritz,Bauer,DEF,STK,4500000,7,32,0.941176470588235,2.0915032679738602e-07,7.11111111111111e-06,0,33400,2,14,0,0,0,0,0,7.1,736,0,0,32,0,0.7,0,3.0,1,0,4,0,0,0.7,63460,0,0,0,0,969,2899,0,0,160,Burnley,Liverpool,Crystal Palace,Swansea,,0.5,0.5,0.9,0.5,36.2
Jan,Bednarek,DEF,SOU,4100000,13,13,0.38235294117647106,9.325681492109039e-08,3.17073170731707e-06,0,10249,0,3,0,0,0,1,0,3.2,416,-4,0,13,4,0.8,0,3.3,0,0,1,0,0,0.1,5612,0,0,0,1,180,2645,0,0,48,Bournemouth,Everton,Swansea,Man City,,0.0,0.2,0.4,0.2,8.3
Asmir,Begovic,GLK,BOU,4500000,3,98,2.8,6.22222222222222e-07,2.1777777777777803e-05,0,283038,2,58,0,101,0,0,0,21.8,10162,0,0,98,0,0.4,0,1.8,4,0,5,0,0,4.2,220730,0,0,1,3,3150,858,0,0,571,Southampton,Swansea,Burnley,,,0.0,2.7,2.8,2.4,73.5
Valon,Behrami,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,10032,0,0,0,0,0,0,0,0.0,8,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,647,0,0,0,0,0,1,0,0,0,Crystal Palace,Tottenham,Newcastle,Man Utd,,0.0,0.0,0.0,0.0,0.0
Hector,Bellerin,DEF,ARS,5900000,0,107,3.5,5.932203389830511e-07,1.8135593220339003e-05,0,936648,5,41,0,0,0,2,0,18.1,7438,-1,0,107,1,0.3,0,2.0,7,0,10,0,2,10.4,709865,0,0,0,1,2690,22309,0,0,538,West Ham,Man Utd,Burnley,Leicester,Huddersfield,5.1,2.3,6.4,2.5,141.5
Yohan,Benalouane,DEF,LEI,4200000,0,0,0.0,0.0,0.0,0,3744,0,0,0,0,0,0,0,0.0,32,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1685,0,0,0,0,0,21,0,0,0,Crystal Palace,West Ham,Arsenal,Tottenham,,0.0,0.0,0.0,0.0,0.0
Christian,Benteke,FWD,CRY,7500000,1,76,2.8,3.7333333333333297e-07,1.0133333333333301e-05,0,519631,6,36,0,0,0,2,0,10.1,1686,-5,0,76,5,0.1,1,0.7,5,0,6,0,7,2.5,189360,0,0,0,0,2172,4557,0,0,144,Watford,Leicester,Stoke,West Brom,,2.4,2.9,2.7,3.1,147.3
Saido,Berahino,FWD,STK,5600000,0,20,0.588235294117647,1.0504201680672301e-07,3.5714285714285697e-06,0,35776,0,13,0,0,0,0,0,3.6,86,-4,0,20,4,0.1,1,0.3,0,0,2,0,1,0.3,15425,0,0,0,0,483,64,0,0,42,Burnley,Liverpool,Crystal Palace,Swansea,,0.3,0.3,0.3,0.3,23.7
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,239,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,41,0,0,0,0,0,0,0,0,0,Crystal Palace,Tottenham,Newcastle,Man Utd,,0.0,0.0,0.0,0.0,0.0
