FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Kasper,Schmeichel,GLK,LEI,5000000,3,66,3.9,7.8e-07,1.32e-05,0,121438,2,23,0,55,0,0,0,13.2,5083,0,0,66,0,0.7,0,3.3,9,0,4,0,0,4.4,140506,0,0,1,1,1530,4463,0,0,329,Crystal Palace,Man Utd,Watford,Liverpool,Huddersfield,5.8,4.6,4.9,3.7,5.6,4.2,4.8,2.7,4.1,3.4,4.8,4.3,4.1,5.0,4.4,4.4,3.9,4.5,4.6,5.8,3.8,42.4
Morgan,Schneiderlin,MID,EVE,4700000,3,18,1.5,3.1914893617021297e-07,3.82978723404255e-06,0,50443,2,17,0,0,0,0,0,3.8,419,-3,0,18,3,0.3,0,1.2,0,0,2,0,0,0.5,16392,0,0,0,0,893,527,0,1,132,Swansea,Chelsea,West Brom,Bournemouth,Man Utd,1.3,0.8,0.8,0.8,0.9,0.8,1.2,1.0,0.8,1.2,0.8,0.8,1.0,0.8,0.8,0.8,0.9,1.2,0.8,0.9,0.8,21.1
Kyle,Scott,MID,CHE,4400000,0,0,0.0,0.0,0.0,0,4687,0,0,0,0,0,0,0,0.0,86,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,4729,0,0,0,0,0,40,0,0,0,Southampton,Everton,Brighton,Stoke,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xherdan,Shaqiri,MID,STK,6200000,3,74,4.6,7.41935483870968e-07,1.19354838709677e-05,0,392739,3,33,0,0,0,4,0,11.9,29260,2,-1,74,-2,0.8,0,4.8,9,0,2,0,5,10.0,688207,0,0,0,1,1326,69755,1,0,275,West Ham,West Brom,Huddersfield,Chelsea,Newcastle,6.4,5.9,4.4,4.1,5.9,3.1,6.7,4.5,5.0,5.4,4.2,4.7,3.5,6.5,3.5,4.9,4.4,5.4,3.4,5.9,5.6,116.7
Luke,Shaw,DEF,MUN,4900000,7,7,0.411764705882353,8.40336134453782e-08,1.4285714285714301e-06,0,4913,0,0,0,0,0,0,0,1.4,294,-1,0,7,1,0.2,0,1.2,1,0,1,0,0,0.2,6551,0,0,0,0,82,3326,0,0,29,West Brom,Leicester,Burnley,Southampton,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.0
Ryan,Shawcross,DEF,STK,4800000,2,32,2.7,5.625e-07,6.66666666666667e-06,0,64789,0,20,0,0,0,1,0,6.7,968,-2,0,32,2,0.5,0,2.3,0,0,2,0,1,0.9,25587,1,0,0,0,1080,2687,0,0,175,West Ham,West Brom,Huddersfield,Chelsea,Newcastle,3.7,3.1,2.1,2.4,2.6,1.6,3.5,2.8,1.9,3.3,1.7,2.4,2.0,2.3,1.6,2.9,2.5,2.9,2.1,4.1,2.0,51.0
Jonjo,Shelvey,MID,NEW,5200000,-1,18,1.05882352941176,2.0361990950226198e-07,3.4615384615384596e-06,0,79901,2,15,0,0,0,0,0,3.5,1953,-3,0,18,3,0.1,0,0.7,1,0,1,0,1,0.4,14385,0,0,0,0,835,25,0,2,100,Arsenal,West Ham,Man City,Brighton,Stoke,0.0,0.0,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.6,0.5,0.6,0.5,0.5,48.1
,Sheyi Ojo,MID,LIV,5000000,0,0,0.0,0.0,0.0,0,1479,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,56,0,0,0,0,0,1,0,0,0,Bournemouth,Arsenal,Swansea,Leicester,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve,Sidwell,MID,BHA,4300000,0,0,0.0,0.0,0.0,0,20257,0,0,0,0,0,0,0,0.0,391,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,2391,0,0,0,0,0,135,0,0,0,Burnley,Watford,Chelsea,Newcastle,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gylfi,Sigurdsson,MID,EVE,8000000,3,51,3.2,4e-07,6.375e-06,0,326774,2,27,0,0,0,2,0,6.4,4807,-5,0,51,5,0.7,0,5.5,4,0,3,0,2,2.4,124859,0,0,0,1,1293,8047,0,0,225,Swansea,Chelsea,West Brom,Bournemouth,Man Utd,3.9,2.8,2.4,2.7,3.0,1.9,3.7,3.2,1.8,3.7,2.5,2.2,3.3,2.3,2.1,2.8,3.2,3.7,2.3,3.1,2.3,88.3
Danny,Simpson,DEF,LEI,4500000,2,42,2.5,5.55555555555556e-07,9.33333333333333e-06,0,185591,0,23,0,0,0,0,0,9.3,5352,0,0,42,0,0.5,0,2.3,0,0,4,0,0,4.1,144726,0,0,0,0,1513,9030,0,0,249,Crystal Palace,Man Utd,Watford,Liverpool,Huddersfield,3.8,2.4,2.6,1.8,3.1,2.1,2.5,1.3,2.1,1.7,2.6,2.2,2.1,2.7,2.2,2.3,1.9,2.3,2.9,3.4,1.9,46.2
Jack,Simpson,DEF,BOU,4000000,0,0,0.0,0.0,0.0,0,1034,0,0,0,0,0,0,0,0.0,235,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2743,0,0,0,0,0,337,0,0,0,Liverpool,Man City,West Ham,Everton,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua,Sims,MID,SOU,4400000,0,0,0.0,0.0,0.0,0,4875,0,0,0,0,0,0,0,0.0,86,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,4965,0,0,0,0,0,25,0,0,0,Chelsea,Huddersfield,Tottenham,Man Utd,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
