FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
John,Stones,DEF,MCI,5300000,0,55,1.57142857142857,2.96495956873315e-07,1.0377358490566001e-05,0,785388,0,11,0,0,0,0,0,10.4,970,-2,0,55,2,0.0,0,0.0,2,0,7,0,0,3.0,622328,0,0,0,0,1139,150,0,0,280,Huddersfield,Brighton,Southampton,,,2.7,1.1,36.5
Daniel,Sturridge,FWD,WBA,7900000,0,30,0.833333333333333,1.05485232067511e-07,3.7974683544303802e-06,0,94537,0,7,0,0,0,2,0,3.8,134,-1,0,30,1,0.0,0,0.3,0,0,3,0,1,0.6,78395,0,0,0,0,508,80,0,0,123,Tottenham,Crystal Palace,,,,0.4,0.4,61.5
Isaac,Success,MID,WAT,5300000,0,0,0.0,0.0,0.0,0,3083,0,0,0,0,0,0,0,0.0,3,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,881,0,0,0,0,0,1,0,0,0,Newcastle,Man Utd,,,,0.0,0.0,0.0
Andrew,Surman,MID,BOU,4300000,1,72,2.0,4.65116279069767e-07,1.67441860465116e-05,0,731186,2,28,0,0,0,2,0,16.7,3609,-2,0,72,2,0.2,0,1.0,7,0,4,0,4,3.1,804070,0,0,0,1,1671,645,0,0,322,Swansea,Burnley,,,,1.6,1.3,73.7
Markus,Suttner,DEF,BHA,4200000,0,38,1.08571428571429,2.5850340136054396e-07,9.04761904761905e-06,0,83546,0,18,0,0,0,0,0,9.0,466,-3,0,38,3,0.0,0,0.0,3,0,4,0,0,0.4,60156,0,0,0,1,1178,45,0,0,204,Man Utd,Man City,Liverpool,,,1.2,0.5,30.8
Dusan,Tadic,MID,SOU,6200000,15,114,3.5,5.645161290322579e-07,1.83870967741936e-05,0,311267,4,42,0,0,0,6,0,18.4,2756,-3,0,114,3,1.2,0,7.3,10,0,8,0,3,3.6,322385,0,0,0,2,2550,102846,0,0,444,Everton,Swansea,Man City,,,6.6,2.2,206.3
Matt,Targett,DEF,SOU,4300000,0,2,1.0,2.3255813953488398e-07,4.65116279069767e-07,0,7565,0,6,0,0,0,0,0,0.5,14,-2,0,2,2,0.0,0,0.0,0,0,0,0,0,0.1,1585,0,0,0,0,166,0,0,0,35,Everton,Swansea,Man City,,,0.0,0.0,8.1
James,Tarkowski,DEF,BUR,4600000,7,101,3.5,7.608695652173909e-07,2.19565217391304e-05,0,579636,4,23,0,0,0,0,0,22.0,26823,1,0,101,-1,0.7,0,3.4,4,0,11,0,1,4.8,830667,0,0,0,0,2610,8828,0,0,510,Arsenal,Bournemouth,,,,2.9,3.3,109.5
Charlie,Taylor,DEF,BUR,4200000,0,23,0.6388888888888891,1.5211640211640198e-07,5.47619047619048e-06,0,58829,3,12,0,0,0,0,0,5.5,1410,-3,0,23,3,0.0,0,0.0,0,0,2,0,0,0.4,64302,0,0,0,0,949,80,0,0,132,Arsenal,Bournemouth,,,,0.3,0.3,27.5
Kyle,Taylor,MID,BOU,4500000,0,0,0.0,0.0,0.0,0,241,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,355,0,0,0,0,0,13,0,0,0,Swansea,Burnley,,,,0.0,0.0,0.0
Stuart,Taylor,GLK,SOU,4000000,0,0,0.0,0.0,0.0,0,13411,0,0,0,0,0,0,0,0.0,154,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,18373,0,0,0,0,0,70,0,0,0,Everton,Swansea,Man City,,,0.0,0.0,0.0
George,Thomas,MID,LEI,4500000,0,0,0.0,0.0,0.0,0,463,0,0,0,0,0,0,0,0.0,20,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,583,0,0,0,0,0,30,0,0,0,West Ham,Arsenal,Tottenham,,,0.0,0.0,0.0
James,Tomkins,DEF,CRY,4400000,6,93,3.6,8.18181818181818e-07,2.11363636363636e-05,0,189331,6,31,0,0,0,3,0,21.1,12601,-1,-1,93,1,1.1,0,5.0,9,0,8,0,0,3.9,338852,0,0,0,2,2206,20674,1,0,477,Stoke,West Brom,,,,3.9,4.0,100.2
Fikayo,Tomori,DEF,CHE,4500000,0,0,0.0,0.0,0.0,0,812,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,428,0,0,0,0,0,1,0,0,0,Liverpool,Huddersfield,Newcastle,,,0.0,0.0,0.0
Cenk,Tosun,FWD,EVE,6800000,7,51,1.4166666666666698,2.0833333333333302e-07,7.499999999999999e-06,0,213049,0,11,0,0,0,5,0,7.5,22187,-7,0,51,7,0.5,0,3.3,9,0,4,0,0,2.1,331007,0,0,0,2,834,10583,0,0,181,Southampton,West Ham,,,,1.1,0.7,70.2
Andros,Townsend,MID,CRY,5600000,3,113,3.3,5.892857142857139e-07,2.0178571428571398e-05,0,205060,3,47,0,0,0,2,0,20.2,6591,-4,0,113,4,0.6,0,3.3,7,0,8,0,8,1.3,148144,0,0,0,0,2949,2419,0,0,522,Stoke,West Brom,,,,2.7,3.7,208.4
Kieran,Trippier,DEF,TOT,5200000,12,105,4.8,9.23076923076923e-07,2.01923076923077e-05,0,888842,1,20,0,0,0,0,0,20.2,3190,-3,0,105,3,0.6,0,3.3,18,0,8,0,7,5.4,975381,0,0,0,5,1740,55708,0,0,495,West Brom,Newcastle,Leicester,,,10.6,5.7,102.7
Nathan,Trott,GLK,WHU,4000000,0,0,0.0,0.0,0.0,0,4682,0,0,0,0,0,0,0,0.0,243,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,12894,0,0,0,0,0,368,0,0,0,Leicester,Man Utd,Everton,,,0.0,0.0,0.0
Axel,Tuanzebe,DEF,MUN,3900000,0,1,1.0,2.56410256410256e-07,2.56410256410256e-07,0,137570,0,0,0,0,0,0,0,0.3,617,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,1.2,111040,0,0,0,0,1,40,0,0,3,Brighton,West Ham,Watford,,,0.0,0.0,0.0
Rayhaan,Tulloch,FWD,WBA,4500000,0,0,0.0,0.0,0.0,0,45397,0,0,0,0,0,0,0,0.0,1266,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.6,81928,0,0,0,0,0,1723,0,0,0,Tottenham,Crystal Palace,,,,0.0,0.0,0.0
Josh,Tymon,DEF,STK,4400000,0,0,0.0,0.0,0.0,0,1411,0,9,0,0,0,0,0,0.0,4,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,738,0,0,0,0,162,2,0,0,18,Crystal Palace,Swansea,,,,0.0,0.0,2.5
Leonardo,Ulloa,FWD,BHA,4800000,2,13,0.37142857142857105,7.73809523809524e-08,2.70833333333333e-06,0,36552,0,1,0,0,0,0,0,2.7,448,-2,0,13,2,0.3,0,1.3,0,0,1,0,0,0.3,36244,0,0,0,0,206,826,0,0,37,Man Utd,Man City,Liverpool,,,0.4,0.2,14.5
Fredrik,Ulvestad,MID,BUR,4400000,0,0,0.0,0.0,0.0,0,294,0,0,0,0,0,0,0,0.0,3,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,325,0,0,0,0,0,3,0,0,0,Arsenal,Bournemouth,,,,0.0,0.0,0.0
Antonio,Valencia,DEF,MUN,6900000,2,140,4.7,6.81159420289855e-07,2.02898550724638e-05,0,1259534,7,22,0,0,0,3,0,20.3,8240,4,0,140,-4,0.2,0,1.3,13,0,15,0,1,11.8,1234285,0,0,0,2,2651,20408,0,0,633,Brighton,West Ham,Watford,,,10.6,7.0,120.0
Enner,Valencia,FWD,WHU,5000000,0,0,0.0,0.0,0.0,0,2518,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,840,0,0,0,0,0,3,0,0,0,Leicester,Man Utd,Everton,,,0.0,0.0,0.0
