FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Nordin,Amrabat,MID,WAT,5000000,1,48,2.4,4.8e-07,9.6e-06,0,16960,3,33,0,0,0,0,0,9.6,35,0,0,48,0,0.2,0,1.0,5,0,2,0,3,0.1,15816,0,74,0,0,1483,36,0,0,192,West Brom,Tottenham,Swansea,Hull City,Liverpool,2.1,1.2,2.2,1.7,1.5,1.5,1.2,1.6
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2508,0,0,0,0,0,0,0,0.0,6,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1807,0,0,0,0,0,4,0,0,0,Southampton,Arsenal,Leicester,Liverpool,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2792,0,0,0,0,0,0,0,0.0,10,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,960,0,0,0,0,0,3,0,0,0,Chelsea,Hull City,Southampton,Man Utd,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4300000,0,37,0.41111111111111104,9.56072351421189e-08,8.6046511627907e-06,0,297159,1,12,0,0,0,3,0,8.6,1556,-2,0,37,2,0.0,0,0.0,5,0,2,0,1,1.1,329777,0,0,0,1,715,2367,0,0,131,Leicester,Man Utd,West Ham,Middlesbrough,Bournemouth,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
Michail,Antonio,MID,WHU,6800000,0,130,4.8,7.058823529411759e-07,1.9117647058823497e-05,0,1282281,4,43,0,0,0,9,0,19.1,16315,-2,1,130,2,0.5,0,3.3,8,0,7,0,8,7.3,1360136,0,452,0,3,2349,3962,-1,1,404,Arsenal,Swansea,Sunderland,Everton,Stoke,3.7,5.6,5.8,5.9,4.5,5.1,4.3,4.9
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6087,0,0,0,0,0,0,0,0.2,5,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,382,0,176,0,0,10,0,0,0,3,West Brom,Tottenham,Swansea,Hull City,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0.0,0.0,0.0,0,5764,3,9,0,0,0,0,0,0.0,11,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,5351,0,0,0,0,258,17,0,0,34,Arsenal,Swansea,Sunderland,Everton,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,2,60,2.2,4.23076923076923e-07,1.15384615384615e-05,0,7899,3,31,0,0,0,1,0,11.5,21,-3,0,60,3,0.4,0,2.3,3,0,5,0,2,0.1,4663,0,0,0,1,1767,52,0,0,231,Stoke,Middlesbrough,Everton,Man Utd,Crystal Palace,2.1,1.2,1.1,1.7,1.1,2.0,1.1,1.5
Giedrius,Arlauskis,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,144,0,0,0,0,0,0,0,0.0,12,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,385,0,0,0,0,0,21,0,0,0,West Brom,Tottenham,Swansea,Hull City,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko,Arnautovic,MID,STK,7100000,1,85,3.4,4.788732394366201e-07,1.19718309859155e-05,0,117263,9,31,0,0,0,5,0,12.0,1414,-4,0,85,4,0.1,0,1.0,6,0,8,0,3,1.0,78640,0,528,0,2,2101,1990,0,1,306,Burnley,Liverpool,Hull City,Swansea,West Ham,2.6,2.7,4.5,2.6,2.8,2.2,2.8,2.2
Harry,Arter,MID,BOU,5000000,-1,60,2.1,4.2e-07,1.2e-05,0,22236,8,51,0,0,0,1,0,12.0,202,0,0,60,0,0.1,1,0.3,2,0,6,0,2,0.3,22643,0,188,0,0,2336,76,0,1,379,Liverpool,Chelsea,Tottenham,Middlesbrough,Sunderland,1.0,1.3,1.0,1.9,1.5,1.8,2.3,1.2
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4456,0,0,0,0,0,0,0,0.0,8,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,642,0,0,0,0,0,6,0,0,0,West Ham,Crystal Palace,Middlesbrough,Leicester,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.0111111111111111,2.5252525252525305e-09,2.2727272727272702e-07,0,628,0,0,0,0,0,0,0,0.2,2,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,536,0,0,0,0,10,1,0,0,3,Leicester,Man Utd,West Ham,Middlesbrough,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6300000,0,59,4.5,7.142857142857141e-07,9.36507936507936e-06,0,898761,1,7,0,0,0,6,0,9.4,330,-2,0,59,2,0.0,0,0.0,10,0,6,0,1,1.8,869731,0,32,0,1,866,68,0,0,211,Crystal Palace,West Brom,Man City,Chelsea,Hull City,0.0,0.0,0.0,3.7,6.8,4.9,4.4,6.0
Daniel,Ayala,DEF,MID,4800000,0,23,0.25555555555555604,5.32407407407408e-08,4.79166666666667e-06,0,11169,2,6,0,0,0,1,0,4.8,19,-2,0,23,2,0.0,0,0.0,0,0,2,0,0,0.1,6046,0,0,0,0,487,11,0,0,106,Hull City,Burnley,Arsenal,Bournemouth,Sunderland,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
Andre,Ayew,MID,WHU,7100000,2,51,0.566666666666667,7.98122065727699e-08,7.1830985915492996e-06,0,277976,0,15,0,0,0,4,0,7.2,1163,-4,0,51,4,0.7,0,4.8,2,0,2,0,1,1.1,15849,0,524,0,0,767,302,0,0,152,Arsenal,Swansea,Sunderland,Everton,Stoke,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Jordan,Ayew,FWD,SWA,5000000,2,7,0.0777777777777778,1.55555555555556e-08,1.4e-06,0,3130,0,4,0,0,0,0,0,1.4,373,0,0,7,0,0.3,0,1.3,0,0,1,0,0,0.1,6915,0,0,0,0,243,957,0,0,7,Tottenham,West Ham,Watford,Stoke,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesar,Azpilicueta,DEF,CHE,6400000,1,123,4.2,6.5625e-07,1.921875e-05,0,539184,3,23,0,0,0,0,0,19.2,13723,4,0,123,-4,0.3,0,1.7,16,0,13,0,2,17.4,707985,0,470,0,1,2610,2575,0,0,655,Man City,Bournemouth,Man Utd,Southampton,Everton,4.9,4.9,3.9,5.9,3.5,5.3,4.8,5.1
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1400,0,0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,334,0,138,0,0,0,6,0,0,0,Man City,Bournemouth,Man Utd,Southampton,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,8,58,3.6,6.79245283018868e-07,1.09433962264151e-05,0,523849,3,12,0,0,0,0,0,10.9,682,-2,0,58,2,0.9,0,5.0,11,0,6,0,0,6.3,234144,0,0,0,0,1278,5493,0,0,346,Everton,Sunderland,Chelsea,Burnley,Man City,3.9,3.3,4.0,6.8,4.0,4.5,3.3,4.3
Leighton,Baines,DEF,EVE,5800000,1,108,4.5,7.758620689655171e-07,1.86206896551724e-05,0,610888,2,23,0,0,0,2,0,18.6,12545,3,-1,108,-3,0.5,1,2.7,13,0,9,0,3,12.2,764279,0,212,0,1,2099,12974,1,0,498,Man Utd,Leicester,Burnley,West Ham,Chelsea,3.9,5.8,6.2,5.2,6.1,4.5,6.0,5.1
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11906,0,0,0,0,0,0,0,0.0,16,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1990,0,0,0,0,0,13,0,0,0,Bournemouth,Stoke,West Brom,Crystal Palace,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,Bamford,FWD,MID,4900000,0,9,0.1,2.04081632653061e-08,1.8367346938775502e-06,0,5738,0,2,0,0,0,0,0,1.8,74,-1,0,9,1,0.0,0,0.0,0,0,0,0,0,0.1,6847,0,0,0,0,84,28,0,0,26,Hull City,Burnley,Arsenal,Bournemouth,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3675,0,0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2597,0,0,0,0,0,2,0,0,0,Hull City,Burnley,Arsenal,Bournemouth,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,0,27,0.3,6.97674418604651e-08,6.2790697674418605e-06,0,11277,4,17,0,0,0,0,0,6.3,61,-2,0,27,2,0.2,0,1.0,0,0,3,0,0,0.1,9002,0,107,0,0,1168,33,0,1,174,Burnley,Liverpool,Hull City,Swansea,West Ham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7100000,1,114,4.1,5.774647887323941e-07,1.6056338028169e-05,0,758393,4,28,0,0,0,4,0,16.1,19537,-4,0,114,4,0.6,0,4.3,9,0,9,0,9,7.7,683649,0,654,0,2,2273,2870,0,0,425,Man Utd,Leicester,Burnley,West Ham,Chelsea,3.4,5.8,5.8,2.5,3.9,3.4,5.8,2.4
Ashley,Barnes,FWD,BUR,4500000,1,60,0.666666666666667,1.48148148148148e-07,1.3333333333333301e-05,0,157749,4,19,0,0,0,5,0,13.3,4754,0,0,60,0,0.8,0,3.7,7,0,4,0,2,3.7,296781,0,0,0,1,1301,22372,0,1,174,Stoke,Middlesbrough,Everton,Man Utd,Crystal Palace,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Antonio,Barragan,DEF,MID,4400000,6,64,2.9,6.59090909090909e-07,1.45454545454545e-05,0,98336,5,24,0,0,0,0,0,14.5,327,-1,0,64,1,0.8,0,3.5,8,0,6,0,0,0.8,105733,0,0,0,0,1901,1622,0,0,397,Hull City,Burnley,Arsenal,Bournemouth,Sunderland,2.5,3.2,3.7,5.8,2.9,2.4,3.6,3.1
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,121608,1,23,0,0,0,0,0,6.8,199,0,0,34,0,0.0,0,0.0,0,0,4,0,2,0.6,111736,0,120,0,0,1145,13,0,0,136,Tottenham,West Ham,Watford,Stoke,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,EVE,4400000,1,61,2.3,5.22727272727273e-07,1.3863636363636402e-05,0,372854,8,25,0,0,0,2,0,13.9,2092,-1,0,61,1,0.4,0,1.7,3,0,7,0,1,3.5,381308,0,418,0,0,1821,442,0,0,323,Man Utd,Leicester,Burnley,West Ham,Chelsea,1.3,2.6,2.7,1.2,1.6,1.3,2.7,1.2
Joey,Barton,MID,BUR,4400000,2,28,0.311111111111111,7.070707070707071e-08,6.36363636363636e-06,0,10376,3,11,0,0,0,1,0,6.4,563,-1,0,28,1,0.4,0,1.7,0,0,2,0,2,0.3,21498,0,0,0,0,745,185,0,0,147,Stoke,Middlesbrough,Everton,Man Utd,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Borja,Baston,FWD,SWA,6700000,0,29,0.32222222222222197,4.80928689883914e-08,4.32835820895522e-06,0,10081,0,11,0,0,0,1,0,4.3,37,-3,0,29,3,0.0,0,0.3,1,0,1,0,2,0.0,6789,0,0,0,0,518,25,0,0,74,Tottenham,West Ham,Watford,Stoke,Man Utd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,1,25,1.5,1.7647058823529398e-07,2.94117647058824e-06,0,129847,0,0,0,0,0,1,0,2.9,91,-5,0,25,5,0.0,0,0.3,1,0,0,0,1,0.9,60909,0,0,0,0,127,24,0,0,68,Man City,Bournemouth,Man Utd,Southampton,Everton,1.0,0.8,0.8,1.2,0.8,1.1,0.8,1.4
Asmir,Begovic,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,6475,0,0,0,0,0,0,0,0.0,50,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1746,0,150,0,0,0,10,0,0,0,Man City,Bournemouth,Man Utd,Southampton,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,0,42,1.8,4e-07,9.33333333333333e-06,0,17184,6,29,0,0,0,0,0,9.3,100,0,0,42,0,0.1,0,0.5,0,0,5,0,0,0.2,12858,0,127,0,0,1778,3,0,0,220,West Brom,Tottenham,Swansea,Hull City,Liverpool,0.0,0.9,1.4,1.0,0.9,0.9,0.9,1.0
Hector,Bellerin,DEF,ARS,6500000,1,81,3.5,5.384615384615379e-07,1.24615384615385e-05,0,1000517,1,29,0,0,0,0,0,12.5,1723,0,0,81,0,0.2,0,1.0,10,0,7,0,3,13.9,375373,0,541,0,1,1884,3109,0,0,400,West Ham,Crystal Palace,Middlesbrough,Leicester,Tottenham,4.9,4.1,3.3,3.9,2.9,3.2,3.6,3.9
Yohan,Benalouane,DEF,LEI,4000000,6,7,0.0777777777777778,1.94444444444444e-08,1.75e-06,0,8441,0,2,0,0,0,0,0,1.8,81,0,0,7,0,0.9,0,3.5,0,0,1,0,0,0.2,4234,0,15,0,0,180,1860,0,0,32,Sunderland,Everton,Crystal Palace,Arsenal,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,4332,0,0,0,0,0,0,0,0.0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,525,0,29,0,0,0,0,0,0,0,Swansea,Watford,Bournemouth,Crystal Palace,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saido,Berahino,FWD,STK,6000000,2,16,0.17777777777777803,2.96296296296296e-08,2.66666666666667e-06,0,60198,1,5,0,0,0,0,0,2.7,423,-5,0,16,5,0.3,0,2.0,0,0,3,0,0,0.5,31552,0,226,0,0,550,597,0,0,23,Burnley,Liverpool,Hull City,Swansea,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,92,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,43,0,55,0,0,0,0,0,0,0,West Brom,Tottenham,Swansea,Hull City,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo,DEF,MID,4300000,6,29,0.32222222222222197,7.49354005167959e-08,6.74418604651163e-06,0,3300,2,13,0,0,0,0,0,6.7,110,-2,0,29,2,0.8,0,3.5,3,0,3,0,0,0.1,7872,0,0,0,0,893,1004,0,0,174,Hull City,Burnley,Arsenal,Bournemouth,Sunderland,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2
Ryan,Bertrand,DEF,SOU,5500000,6,93,4.7,8.54545454545455e-07,1.69090909090909e-05,0,88564,2,25,0,0,0,1,0,16.9,1736,0,0,93,0,0.9,0,5.0,8,0,9,0,5,3.2,181061,0,415,0,2,1787,12589,0,0,415,Crystal Palace,West Brom,Man City,Chelsea,Hull City,6.5,5.4,5.9,5.0,6.9,5.4,5.0,7.0
Muhamed,Besic,MID,EVE,4300000,0,0,0.0,0.0,0.0,0,1381,0,0,0,0,0,0,0,0.0,11,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,750,0,75,0,0,0,21,0,0,0,Man Utd,Leicester,Burnley,West Ham,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daley,Blind,DEF,MUN,5200000,0,79,4.6,8.846153846153851e-07,1.51923076923077e-05,0,454101,2,13,0,0,0,1,0,15.2,3800,-3,0,79,3,0.0,0,0.0,12,0,7,0,2,4.3,462668,0,477,0,1,1395,564,0,0,417,Everton,Sunderland,Chelsea,Burnley,Man City,5.5,4.8,5.7,9.9,5.7,6.0,4.8,6.0
Hiram,Boateng,MID,CRY,4500000,0,0,0.0,0.0,0.0,0,687,0,0,0,0,0,0,0,0.0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,553,0,0,0,0,0,4,0,0,0,Southampton,Arsenal,Leicester,Liverpool,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,30,3.3,6e-07,5.45454545454545e-06,0,109475,1,12,0,0,0,3,0,5.5,67,-5,0,30,5,0.0,1,0.0,4,0,0,0,0,0.7,46580,0,360,0,0,475,12,0,0,93,Burnley,Liverpool,Hull City,Swansea,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yannick,Bolasie,MID,EVE,5700000,0,45,0.5,8.7719298245614e-08,7.89473684210526e-06,0,419613,3,14,0,0,0,1,0,7.9,146,-3,0,45,3,0.0,0,0.0,3,0,3,0,4,1.7,292862,0,469,0,0,1048,17,0,0,172,Man Utd,Leicester,Burnley,West Ham,Chelsea,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
