FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Oliver,Norwood,MID,BHA,4500000,0,0,0.0,0.0,0.0,0,487,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,113,0,0,0,0,0,1,0,0,0,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan-Romeo,Nyom,DEF,WBA,4800000,0,49,1.6333333333333302,3.40277777777778e-07,1.0208333333333301e-05,0,183584,4,31,0,0,0,0,0,10.2,393,-2,0,49,2,0.0,0,0.0,6,0,4,0,1,1.1,176182,0,0,0,0,1586,179,0,0,285,Bournemouth,Burnley,Swansea,Man Utd,Liverpool,0.8,1.3,1.3,0.8,1.4,0.8,1.4,1.5,54.9
Tashan,Oakley-Boothe,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,1937,0,0,0,0,0,0,0,0.0,32,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2109,0,0,0,0,0,29,0,0,0,Chelsea,Stoke,Man City,Brighton,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael,Obafemi,FWD,SOU,4500000,0,1,0.0333333333333333,7.407407407407409e-09,2.22222222222222e-07,0,33981,0,0,0,0,0,0,0,0.2,4000,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.7,72955,0,0,0,0,8,2412,0,0,-1,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Pedro,Obiang,MID,WHU,4300000,0,53,1.76666666666667,4.10852713178295e-07,1.23255813953488e-05,0,234824,3,29,0,0,0,2,0,12.3,2627,-2,0,53,2,0.0,0,0.0,6,0,5,0,0,0.8,226128,0,0,0,1,1558,22,0,0,267,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.8,60.0
Angelo,Ogbonna,DEF,WHU,4300000,1,53,2.2,5.11627906976744e-07,1.23255813953488e-05,0,308215,3,49,0,0,0,1,0,12.3,18872,-2,0,53,2,0.1,0,0.3,4,0,4,0,0,3.1,464257,0,0,0,1,2160,507,0,0,385,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,2.2,1.5,2.4,1.4,1.7,1.2,1.9,72.6
Stefano,Okaka,FWD,WAT,5300000,1,21,0.7,1.3207547169811303e-07,3.9622641509434e-06,0,65011,0,6,0,0,0,1,0,4.0,214,-2,0,21,2,0.4,0,2.0,1,0,1,0,1,0.4,50279,0,0,0,0,324,358,0,0,57,Liverpool,Bournemouth,Burnley,Huddersfield,Crystal Palace,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,23.8
Shinji,Okazaki,FWD,LEI,5300000,1,70,2.9,5.47169811320755e-07,1.32075471698113e-05,0,780581,2,16,0,0,0,6,0,13.2,3271,-2,0,70,2,0.1,0,0.3,7,0,5,0,2,3.1,784842,0,0,0,1,1181,2897,0,0,251,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,0.0,2.4,3.2,2.3,3.1,2.5,3.3,1.9,102.6
Martin,Olsson,DEF,SWA,5000000,5,75,2.7,5.4e-07,1.4999999999999999e-05,0,26787,5,38,0,0,0,0,0,15.0,353,0,0,75,0,0.5,0,2.3,0,0,9,0,1,0.3,22148,0,0,0,0,2484,256,0,0,373,Man Utd,West Brom,Everton,Man City,Chelsea,0.0,1.7,2.0,2.5,1.9,3.0,1.9,3.1,57.5
Aiden,O'Neill,MID,BUR,4500000,0,0,0.0,0.0,0.0,0,135,0,0,0,0,0,0,0,0.0,21,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,233,0,0,0,0,0,6,0,0,0,West Brom,Watford,Leicester,Stoke,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divock,Origi,FWD,LIV,7400000,0,1,1.0,1.35135135135135e-07,1.35135135135135e-07,0,21985,0,1,0,0,0,0,0,0.1,11,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.2,1158,0,0,0,0,9,3,0,0,3,Watford,Crystal Palace,Everton,Bournemouth,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Oriol Romeu,MID,SOU,4300000,0,55,2.0,4.65116279069767e-07,1.27906976744186e-05,0,279165,8,38,0,0,0,1,0,12.8,5603,-2,0,55,2,0.4,0,1.7,0,0,6,0,0,2.0,161857,0,0,0,0,2267,294,0,0,382,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0.0,1.3,1.0,1.3,1.2,1.5,1.4,1.0,92.9
David,Ospina,GLK,ARS,4800000,0,1,0.0333333333333333,6.94444444444444e-09,2.0833333333333302e-07,0,8940,0,0,0,1,0,0,0,0.2,91,-2,0,1,2,0.0,0,0.0,0,0,0,0,0,0.2,2226,0,0,0,0,20,41,0,0,6,Stoke,Southampton,Newcastle,West Ham,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Nicolas,Otamendi,DEF,MCI,6400000,8,142,4.9,7.65625e-07,2.21875e-05,0,1415556,8,20,0,0,0,4,0,22.2,30852,9,0,142,-9,1.0,0,6.3,18,0,14,0,0,25.8,2606043,1,0,0,4,2580,22759,0,0,661,Everton,Man Utd,Tottenham,Swansea,West Ham,0.0,4.3,6.2,5.4,6.1,6.1,6.8,6.2,125.1
Reece,Oxford,DEF,WHU,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,10,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,17,0,0,0,0,4,0,0,0,2,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Mesut,Ozil,MID,ARS,9300000,6,105,4.2,4.5161290322580607e-07,1.12903225806452e-05,0,338668,4,36,0,0,0,4,0,11.3,3262,-2,0,105,2,0.4,0,3.3,10,0,7,0,8,2.2,295734,0,0,0,2,2071,2400,0,0,478,Stoke,Southampton,Newcastle,West Ham,Man Utd,0.0,5.1,5.0,3.3,5.6,2.1,5.0,3.2,236.1
Alex,Palmer,GLK,WBA,4000000,0,0,0.0,0.0,0.0,0,5553,0,0,0,0,0,0,0,0.0,188,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,12709,0,0,0,0,0,126,0,0,0,Bournemouth,Burnley,Swansea,Man Utd,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasey,Palmer,MID,CHE,5300000,0,4,1.0,1.88679245283019e-07,7.54716981132075e-07,0,4754,2,2,0,0,0,0,0,0.8,6,-2,0,4,2,0.0,0,0.0,0,0,1,0,0,0.0,1098,0,0,0,0,168,1,0,0,9,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
Costel,Pantilimon,GLK,WAT,4500000,0,0,0.0,0.0,0.0,0,5247,0,0,0,0,0,0,0,0.0,12,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,293,0,0,0,0,0,1,0,0,0,Liverpool,Bournemouth,Burnley,Huddersfield,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Payne,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,511,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,118,0,0,0,0,0,1,0,0,0,Crystal Palace,Newcastle,Brighton,Watford,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Pedro,MID,CHE,7700000,1,73,2.43333333333333,3.16017316017316e-07,9.480519480519479e-06,0,319245,1,12,0,0,0,4,0,9.5,901,-3,0,73,3,0.2,0,1.3,2,0,8,0,2,1.0,210131,0,0,0,1,1304,144,0,0,242,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0.0,1.8,2.4,1.7,2.6,1.6,1.6,1.6,113.7
Matthew,Pennington,DEF,EVE,4000000,0,0,0.0,0.0,0.0,0,5084,0,0,0,0,0,0,0,0.0,25,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,1471,0,0,0,0,0,9,0,0,0,Stoke,Man City,Liverpool,Swansea,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas,Pereira,MID,MUN,4900000,0,0,0.0,0.0,0.0,0,3937,0,0,0,0,0,0,0,0.0,2,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,223,0,0,0,0,0,0,0,0,0,Swansea,Man City,West Brom,Bournemouth,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto,Pereyra,MID,WAT,5800000,2,47,1.5666666666666698,2.70114942528736e-07,8.10344827586207e-06,0,13543,2,22,0,0,0,2,0,8.1,206,-2,0,47,2,0.3,0,2.0,0,0,1,0,2,0.1,6431,0,0,0,0,1051,416,0,0,175,Liverpool,Bournemouth,Burnley,Huddersfield,Crystal Palace,0.8,1.1,1.0,0.8,1.0,0.8,1.1,0.8,73.1
Ayoze,Perez,FWD,NEW,5200000,2,69,2.5,4.807692307692311e-07,1.3269230769230801e-05,0,177088,2,21,0,0,0,2,0,13.3,3444,-3,0,69,3,0.4,0,2.3,5,0,6,0,4,1.1,160053,1,0,0,1,1791,3276,0,0,209,Huddersfield,Leicester,Arsenal,Everton,West Brom,0.0,2.9,2.0,2.5,1.8,2.8,1.9,1.9,109.3
Lucas,Perez,FWD,ARS,7400000,0,0,0.0,0.0,0.0,0,9079,0,0,0,0,0,0,0,0.0,12,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,527,0,0,0,0,0,4,0,0,0,Stoke,Southampton,Newcastle,West Ham,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt,Phillips,MID,WBA,5400000,2,59,2.6,4.81481481481482e-07,1.09259259259259e-05,0,180255,2,26,0,0,0,1,0,10.9,344,-6,0,59,6,0.4,0,2.0,0,0,7,0,3,0.6,74461,0,0,0,0,1593,1360,0,0,211,Bournemouth,Burnley,Swansea,Man Utd,Liverpool,1.9,2.3,2.6,1.3,1.9,1.7,2.1,1.6,90.2
Jordan,Pickford,GLK,EVE,4900000,7,111,3.7,7.55102040816327e-07,2.26530612244898e-05,0,469110,0,49,0,100,0,0,0,22.7,4465,-1,0,111,1,0.9,0,4.3,12,0,7,0,0,10.7,398851,0,0,1,2,2700,38151,0,0,580,Stoke,Man City,Liverpool,Swansea,Newcastle,3.6,4.0,4.8,3.0,4.2,2.9,4.7,3.7,77.3
