FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Jairo,Riedewald,DEF,CRY,4600000,1,22,0.733333333333333,1.59420289855072e-07,4.78260869565217e-06,0,16568,0,6,0,0,0,0,0,4.8,30,-4,0,22,4,0.3,0,1.3,0,0,2,0,0,0.1,1561,0,0,0,0,425,67,0,0,97,Huddersfield,Liverpool,Bournemouth,Brighton,Watford,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.6
Matt,Ritchie,MID,NEW,5400000,8,95,3.5,6.48148148148148e-07,1.75925925925926e-05,0,497236,4,30,0,0,0,2,0,17.6,3197,-6,0,95,6,0.6,0,3.0,9,0,7,0,7,1.8,407595,0,0,0,1,2195,2971,0,0,414,Huddersfield,Leicester,Arsenal,Everton,West Brom,0.0,4.3,2.8,4.0,3.2,4.2,2.7,3.3,153.9
Connor,Roberts,DEF,SWA,4000000,0,1,0.0333333333333333,8.33333333333333e-09,2.5e-07,0,5432,0,1,0,0,0,0,0,0.3,503,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,12438,0,0,0,0,25,156,0,0,3,Man Utd,West Brom,Everton,Man City,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Andrew,Robertson,DEF,LIV,5000000,1,66,2.2,4.4e-07,1.32e-05,0,214192,2,16,0,0,0,0,0,13.5,9108,0,-1,66,0,0.9,0,4.3,4,0,7,0,2,6.5,529534,0,0,0,1,1507,35967,1,0,336,Watford,Crystal Palace,Everton,Bournemouth,West Brom,2.4,2.4,1.1,1.7,1.4,2.3,1.6,2.5,73.8
Paul,Robinson,GLK,BUR,4500000,0,0,0.0,0.0,0.0,0,390,0,0,0,0,0,0,0,0.0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,93,0,0,0,0,0,3,0,0,0,West Brom,Watford,Leicester,Stoke,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Robles,GLK,EVE,4200000,0,0,0.0,0.0,0.0,0,9147,0,0,0,0,0,0,0,0.0,99,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1756,0,0,0,0,0,90,0,0,0,Stoke,Man City,Liverpool,Swansea,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hal,Robson-Kanu,FWD,WBA,4900000,1,28,0.933333333333333,1.9047619047619e-07,5.71428571428571e-06,0,72670,2,12,0,0,0,2,0,5.7,397,-1,0,28,1,0.1,0,0.3,1,0,4,0,0,0.4,49556,0,0,0,0,791,359,0,1,72,Bournemouth,Burnley,Swansea,Man Utd,Liverpool,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.5
Joe,Rodon,DEF,SWA,4000000,0,0,0.0,0.0,0.0,0,3940,0,0,0,0,0,0,0,0.0,68,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,5472,0,0,0,0,0,10,0,0,0,Man Utd,West Brom,Everton,Man City,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay,Rodriguez,FWD,WBA,5300000,1,75,2.6,4.90566037735849e-07,1.4150943396226402e-05,0,273178,2,34,0,0,0,4,0,14.2,4991,-7,1,75,7,0.3,0,1.7,5,0,7,0,1,1.7,228250,0,0,0,0,2163,7952,-1,0,203,Bournemouth,Burnley,Swansea,Man Utd,Liverpool,2.2,2.5,2.6,1.5,2.4,1.9,2.4,2.0,126.0
Marcos,Rojo,DEF,MUN,5400000,0,16,0.5333333333333329,9.876543209876538e-08,2.96296296296296e-06,0,24548,5,7,0,0,0,0,0,3.0,295,-1,0,16,1,0.0,0,0.0,4,0,2,0,0,0.1,24660,0,0,0,0,474,13,0,0,88,Swansea,Man City,West Brom,Bournemouth,Arsenal,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,18.5
Sergio,Romero,GLK,MUN,4700000,0,0,0.0,0.0,0.0,0,6883,0,0,0,0,0,0,0,0.0,68,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1611,0,0,0,0,0,30,0,0,0,Swansea,Man City,West Brom,Bournemouth,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salomon,Rondon,FWD,WBA,6000000,6,68,2.4,4e-07,1.1333333333333302e-05,0,147675,4,40,0,0,0,5,0,11.3,1244,-5,0,68,5,0.6,0,3.3,0,0,3,0,1,1.3,97548,0,0,0,0,2087,13386,0,0,178,Bournemouth,Burnley,Swansea,Man Utd,Liverpool,1.9,2.2,2.3,1.3,2.1,1.7,2.1,1.7,111.7
Wayne,Rooney,FWD,EVE,7200000,0,102,4.1,5.69444444444444e-07,1.41666666666667e-05,0,2248598,5,28,0,0,0,10,0,14.2,13920,-3,0,102,3,0.1,3,1.0,19,0,5,0,3,12.3,1890025,0,0,0,2,1829,60663,0,0,416,Stoke,Man City,Liverpool,Swansea,Newcastle,4.2,4.7,4.7,3.4,5.4,3.6,5.4,3.6,137.1
Danny,Rose,DEF,TOT,6400000,1,15,0.5,7.8125e-08,2.34375e-06,0,36279,2,8,0,0,0,0,0,2.3,195,-1,0,15,1,0.0,0,0.3,0,0,2,0,0,0.3,22421,0,0,0,0,528,213,0,0,94,Chelsea,Stoke,Man City,Brighton,Watford,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,27.6
Liam,Rosenior,DEF,BHA,3900000,0,3,0.1,2.56410256410256e-08,7.69230769230769e-07,0,243145,0,3,0,0,0,0,0,0.8,4524,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,3.1,271211,0,0,0,0,163,1611,0,0,22,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
Wayne,Routledge,MID,SWA,5100000,0,14,0.46666666666666706,9.150326797385618e-08,2.7450980392156897e-06,0,5295,1,9,0,0,0,0,0,2.7,30,-4,0,14,4,0.0,0,0.0,0,0,1,0,0,0.1,1529,0,0,0,0,321,7,0,0,45,Man Utd,West Brom,Everton,Man City,Chelsea,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,13.8
Antonio,Rudiger,DEF,CHE,5800000,0,96,4.6,7.93103448275862e-07,1.6551724137931e-05,0,271825,4,16,0,0,0,2,0,16.3,16421,-2,1,96,2,0.1,0,0.7,8,0,10,0,1,3.1,297404,0,0,0,2,1796,842,-1,0,452,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0.0,6.0,6.8,5.4,6.4,4.6,6.1,4.3,64.2
Mathew,Ryan,GLK,BHA,4500000,7,115,3.8,8.444444444444441e-07,2.55555555555556e-05,0,105673,0,40,0,92,0,0,0,25.6,7056,0,0,115,0,1.0,0,4.3,9,0,8,0,0,2.3,214570,0,0,2,2,2700,5415,0,0,566,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,0.0,4.4,5.1,4.3,4.8,3.5,4.7,3.4,67.7
Abdelhamid,Sabiri,MID,HUD,4700000,0,10,0.33333333333333304,7.09219858156028e-08,2.12765957446809e-06,0,1078,1,5,0,0,0,0,0,2.1,8,-3,0,10,3,0.0,0,0.0,0,0,1,0,1,0.0,1054,0,0,0,0,217,14,0,0,30,Crystal Palace,Newcastle,Brighton,Watford,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,12.4
Henri,Saivet,MID,NEW,4400000,0,8,8.0,1.81818181818182e-06,1.81818181818182e-06,0,3798,0,2,0,0,0,1,0,1.8,26,-1,0,8,1,0.0,0,0.0,1,0,0,0,0,0.0,3977,0,0,0,0,83,1,0,0,27,Huddersfield,Leicester,Arsenal,Everton,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8
Diafra,Sakho,FWD,WHU,5500000,0,24,1.7,3.09090909090909e-07,4.3636363636363605e-06,0,30466,2,11,0,0,0,2,0,4.4,72,0,0,24,0,0.0,0,0.0,1,0,0,0,1,0.1,28581,0,0,0,0,294,4,0,0,65,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2
Mamadou,Sakho,DEF,CRY,4600000,0,41,1.3666666666666698,2.97101449275362e-07,8.91304347826087e-06,0,139477,1,16,0,0,0,1,0,8.9,313,-4,0,41,4,0.0,0,0.0,10,0,2,0,1,0.4,143948,0,0,0,1,877,1047,0,0,214,Huddersfield,Liverpool,Bournemouth,Brighton,Watford,0.7,1.0,0.7,1.2,0.8,0.8,0.8,1.0,33.8
Bakary,Sako,MID,CRY,4900000,0,36,1.2,2.44897959183673e-07,7.346938775510201e-06,0,21222,0,10,0,0,0,3,0,7.3,292,-1,0,36,1,0.0,0,0.0,1,0,1,0,0,0.1,20340,0,0,0,0,466,11,0,0,115,Huddersfield,Liverpool,Bournemouth,Brighton,Watford,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.8,46.9
Mohamed,Salah,MID,LIV,10600000,2,237,8.2,7.73584905660377e-07,2.2358490566037697e-05,0,1826754,0,26,0,0,0,24,0,22.4,2972,16,0,237,-16,0.6,1,6.7,23,0,11,0,10,62.6,3692231,0,0,0,10,2289,64669,0,0,684,Watford,Crystal Palace,Everton,Bournemouth,West Brom,11.7,9.9,9.4,11.6,9.6,11.8,9.1,12.1,352.2
Renato,Sanches,MID,SWA,4300000,0,20,0.666666666666667,1.55038759689922e-07,4.65116279069767e-06,0,168251,1,10,0,0,0,0,0,4.7,308,-7,0,20,7,0.0,0,0.0,0,0,2,0,0,0.3,170516,0,0,0,0,699,21,0,0,83,Man Utd,West Brom,Everton,Man City,Chelsea,0.0,0.3,0.3,0.4,0.3,0.3,0.3,0.3,27.0
Alexis,Sanchez,MID,MUN,11600000,2,115,4.6,3.96551724137931e-07,9.91379310344828e-06,0,504542,5,28,0,0,0,8,0,9.9,15761,-4,0,115,4,0.3,1,3.0,8,0,8,0,6,2.7,507610,0,0,0,2,2031,897,0,0,383,Swansea,Man City,West Brom,Bournemouth,Arsenal,0.0,5.9,2.7,6.4,4.4,6.2,3.5,5.6,271.5
Davinson,Sanchez,DEF,TOT,6000000,2,84,3.5,5.83333333333333e-07,1.4000000000000001e-05,0,63039,1,15,0,0,0,0,0,14.0,5230,0,0,84,0,0.9,0,5.3,5,0,11,0,0,1.2,117400,1,0,0,0,1980,3275,0,1,460,Chelsea,Stoke,Man City,Brighton,Watford,0.0,3.3,3.6,3.5,3.3,4.5,3.0,3.7,58.4
,Sandro,FWD,EVE,7000000,0,10,1.3,1.8571428571428602e-07,1.4285714285714301e-06,0,74770,0,7,0,0,0,0,0,1.4,53,-5,0,10,5,0.0,0,0.0,0,0,1,0,0,0.4,7747,0,0,0,0,275,3,0,0,21,Stoke,Man City,Liverpool,Swansea,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8
Leroy,Sane,MID,MCI,8600000,3,137,4.56666666666667,5.31007751937984e-07,1.59302325581395e-05,0,2145517,4,15,0,0,0,8,0,15.9,48172,1,0,137,-1,0.7,0,6.3,13,0,10,0,11,11.1,2537117,0,0,0,4,1812,19669,0,0,486,Everton,Man Utd,Tottenham,Swansea,West Ham,0.0,5.1,4.6,3.7,5.4,4.6,6.0,4.8,211.0
Sean,Scannell,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,3091,0,0,0,0,0,0,0,0.0,19,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,347,0,0,0,0,0,17,0,0,0,Crystal Palace,Newcastle,Brighton,Watford,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezequiel,Schelotto,DEF,BHA,4400000,0,15,0.5,1.13636363636364e-07,3.40909090909091e-06,0,2122,3,20,0,0,0,0,0,3.4,179,-1,0,15,1,0.2,0,1.0,0,0,0,0,0,0.0,4060,0,0,0,0,952,67,0,0,138,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,28.7
Christopher,Schindler,DEF,HUD,4700000,7,80,2.8,5.95744680851064e-07,1.70212765957447e-05,0,352113,4,45,0,0,0,0,0,17.4,2656,2,-1,80,-2,0.7,0,3.3,13,0,7,0,2,7.9,525064,0,0,0,4,2544,56616,1,1,556,Crystal Palace,Newcastle,Brighton,Watford,Chelsea,4.2,1.7,2.1,3.5,2.1,2.9,1.8,3.7,96.2
Jeffrey,Schlupp,DEF,CRY,4700000,1,44,2.1,4.4680851063829794e-07,9.36170212765957e-06,0,36349,3,30,0,0,0,0,0,9.4,194,-3,0,44,3,0.4,0,1.7,0,0,3,0,1,0.3,29092,0,0,0,0,1713,1750,0,0,265,Huddersfield,Liverpool,Bournemouth,Brighton,Watford,1.3,2.0,1.3,2.3,1.6,1.7,1.7,2.0,66.3
Kasper,Schmeichel,GLK,LEI,5000000,2,106,3.5,7e-07,2.12e-05,0,234257,3,43,0,87,0,0,0,21.2,9000,0,0,106,0,0.3,0,1.7,14,0,7,0,0,4.5,272757,1,0,1,3,2700,843,0,0,534,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,0.0,3.3,3.7,3.3,4.1,4.3,4.8,3.1,64.4
Morgan,Schneiderlin,MID,EVE,4700000,0,36,1.6,3.4042553191489397e-07,7.65957446808511e-06,0,58175,3,30,0,0,0,0,0,7.7,608,-3,0,36,3,0.0,0,0.0,0,0,4,0,0,0.5,21867,0,0,0,0,1530,30,0,1,242,Stoke,Man City,Liverpool,Swansea,Newcastle,0.0,0.8,0.9,0.8,1.2,0.8,1.1,0.8,38.7
Kyle,Scott,MID,CHE,4300000,0,0,0.0,0.0,0.0,0,6552,0,0,0,0,0,0,0,0.0,88,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,6581,0,0,0,0,0,49,0,0,0,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xherdan,Shaqiri,MID,STK,6400000,2,124,4.4,6.875e-07,1.9375e-05,0,967521,4,47,0,0,0,7,0,19.7,47686,4,-1,124,-4,0.7,0,4.7,16,0,5,0,6,16.2,1463290,0,0,0,1,2334,101474,1,0,451,Everton,Arsenal,Tottenham,West Ham,Burnley,0.0,3.5,4.4,4.2,4.9,3.1,5.0,4.3,213.1
Luke,Shaw,DEF,MUN,4900000,0,32,1.06666666666667,2.1768707482993197e-07,6.53061224489796e-06,0,95310,1,2,0,0,0,0,0,6.5,4785,-1,0,32,1,0.1,0,0.3,1,0,5,0,0,0.6,123316,0,0,0,0,555,99,0,0,144,Swansea,Man City,West Brom,Bournemouth,Arsenal,0.0,0.7,0.5,0.7,0.5,0.9,0.5,0.8,27.9
Ryan,Shawcross,DEF,STK,4800000,0,52,2.7,5.625e-07,1.0833333333333301e-05,0,97130,1,28,0,0,0,1,0,10.8,705,-2,0,52,2,0.0,0,0.0,2,0,4,0,1,1.0,53479,1,0,0,0,1651,1298,0,0,262,Everton,Arsenal,Tottenham,West Ham,Burnley,2.5,2.1,2.8,2.6,2.7,2.2,3.9,2.0,73.2
Jonjo,Shelvey,MID,NEW,5200000,11,46,2.1,4.0384615384615397e-07,8.84615384615385e-06,0,86318,2,23,0,0,0,0,0,8.8,345,-3,0,46,3,0.8,0,4.3,3,0,4,0,3,0.4,19359,0,0,0,1,1552,2014,0,2,228,Huddersfield,Leicester,Arsenal,Everton,West Brom,0.0,2.1,1.2,1.9,1.4,2.0,1.2,1.5,86.3
,Sheyi Ojo,MID,LIV,5000000,0,0,0.0,0.0,0.0,0,1509,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,70,0,0,0,0,0,2,0,0,0,Watford,Crystal Palace,Everton,Bournemouth,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve,Sidwell,MID,BHA,4300000,0,0,0.0,0.0,0.0,0,22900,0,0,0,0,0,0,0,0.0,57,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,3037,0,0,0,0,0,14,0,0,0,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gylfi,Sigurdsson,MID,EVE,8000000,3,96,3.6,4.5e-07,1.2e-05,0,416279,2,40,0,0,0,4,0,12.0,21681,-5,0,96,5,0.3,0,2.3,8,0,6,0,4,2.2,194546,0,0,0,1,2257,3113,0,0,396,Stoke,Man City,Liverpool,Swansea,Newcastle,0.0,0.0,0.0,0.0,0.0,2.7,3.9,2.7,154.0
,Silva,MID,LEI,6000000,0,8,0.266666666666667,4.444444444444441e-08,1.33333333333333e-06,0,3564,1,3,0,0,0,0,0,1.3,198,0,0,8,0,0.0,0,0.0,0,0,0,0,1,0.0,4555,0,0,0,0,175,61,0,0,36,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.5
Danny,Simpson,DEF,LEI,4300000,1,47,2.0,4.65116279069767e-07,1.0930232558139501e-05,0,341642,2,34,0,0,0,0,0,10.9,2974,-2,0,47,2,0.2,0,1.0,0,0,4,0,0,2.1,186964,0,0,0,0,1934,464,0,0,294,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,0.0,1.4,1.6,1.4,1.8,2.1,2.2,1.2,53.6
Jack,Simpson,DEF,BOU,4000000,0,1,0.0333333333333333,8.33333333333333e-09,2.5e-07,0,7113,0,2,0,0,0,0,0,0.3,345,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,13841,0,0,0,0,71,326,0,0,10,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Joshua,Sims,MID,SOU,4300000,1,6,0.2,4.65116279069767e-08,1.3953488372093e-06,0,6682,0,1,0,0,0,0,0,1.4,148,-2,0,6,2,0.4,0,1.7,0,0,1,0,0,0.1,7208,0,0,0,0,143,47,0,0,15,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15.9
Jerome,Sinclair,FWD,WAT,4900000,0,3,0.1,2.04081632653061e-08,6.12244897959184e-07,0,13524,0,0,0,0,0,0,0,0.6,173,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.2,10893,0,0,0,0,28,132,0,0,8,Liverpool,Bournemouth,Burnley,Huddersfield,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Moussa,Sissoko,MID,TOT,5300000,1,47,1.5666666666666698,2.9559748427673e-07,8.86792452830189e-06,0,45467,3,13,0,0,0,1,0,8.9,203,-2,0,47,2,0.1,0,0.7,0,0,6,0,1,0.4,36070,0,0,0,0,1114,62,0,0,201,Chelsea,Stoke,Man City,Brighton,Watford,0.0,0.8,0.8,0.8,0.8,1.0,0.8,1.1,76.9
Jiri,Skalak,MID,BHA,4700000,0,0,0.0,0.0,0.0,0,2165,0,0,0,0,0,0,0,0.0,11,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.0,667,0,0,0,0,0,4,0,0,0,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Islam,Slimani,FWD,NEW,6600000,0,21,0.7,1.0606060606060599e-07,3.18181818181818e-06,0,36659,0,3,0,0,0,1,0,3.2,375,-4,0,21,4,0.0,0,0.0,1,0,1,0,1,0.3,23028,0,0,0,0,240,26,0,0,61,Huddersfield,Leicester,Arsenal,Everton,West Brom,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.0
Chris,Smalling,DEF,MUN,5400000,2,84,3.8,7.037037037037041e-07,1.55555555555556e-05,0,378506,3,19,0,0,0,2,0,15.6,9212,-1,0,84,1,0.7,0,4.0,6,0,8,0,0,3.9,516435,0,0,0,1,1905,12056,0,0,424,Swansea,Man City,West Brom,Bournemouth,Arsenal,0.0,4.6,3.0,4.9,3.0,5.5,3.5,5.2,74.5
Tommy,Smith,DEF,HUD,4700000,0,41,2.0,4.25531914893617e-07,8.72340425531915e-06,0,35015,6,29,0,0,0,0,0,8.7,166,-3,0,41,3,0.1,0,0.3,2,0,4,0,1,0.3,16903,0,0,0,0,1646,312,0,0,267,Crystal Palace,Newcastle,Brighton,Watford,Chelsea,2.7,1.0,1.2,2.2,1.2,1.7,1.0,2.3,56.5
Robert,Snodgrass,MID,WHU,5800000,0,0,0.0,0.0,0.0,0,233626,0,0,0,0,0,0,0,0.0,46,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.6,1842,0,0,0,0,0,3,0,0,0,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramadan,Sobhi,MID,STK,4500000,1,40,1.33333333333333,2.96296296296296e-07,8.88888888888889e-06,0,67166,2,24,0,0,0,2,0,8.9,609,-5,0,40,5,0.1,0,0.3,2,0,1,0,1,0.5,39074,0,0,0,0,887,304,0,0,186,Everton,Arsenal,Tottenham,West Ham,Burnley,1.1,0.7,0.7,0.7,0.7,0.7,0.8,0.7,50.5
Dominic,Solanke,FWD,LIV,4600000,1,23,1.4,3.04347826086957e-07,5e-06,0,222908,0,4,0,0,0,0,0,5.0,2260,-4,0,23,4,0.2,0,0.7,0,0,1,0,1,1.5,118270,0,0,0,0,384,1360,0,0,56,Watford,Crystal Palace,Everton,Bournemouth,West Brom,1.0,0.8,0.7,1.1,0.7,1.1,0.7,1.2,43.5
Heung-Min,Son,MID,TOT,8200000,15,154,5.3,6.46341463414634e-07,1.8780487804878e-05,0,994354,0,13,0,0,0,12,0,19.0,36946,2,-1,154,-2,1.3,0,10.7,16,0,12,0,5,12.2,1769433,0,0,0,7,1859,117854,1,0,481,Chelsea,Stoke,Man City,Brighton,Watford,0.0,4.7,5.3,4.7,4.8,6.6,5.6,6.7,213.1
Alexander,S?rloth,FWD,CRY,5500000,2,8,2.0,3.63636363636364e-07,1.45454545454545e-06,0,2519,0,9,0,0,0,0,0,1.5,420,0,0,8,0,0.4,0,2.0,0,0,0,0,0,0.3,14451,0,0,0,0,360,6385,0,0,25,Huddersfield,Liverpool,Bournemouth,Brighton,Watford,1.3,1.5,1.5,2.0,1.3,1.9,1.5,2.0,22.5
Pape,Souare,DEF,CRY,4500000,0,0,0.0,0.0,0.0,0,1496,0,0,0,0,0,0,0,0.0,19,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1428,0,0,0,0,0,31,0,0,0,Huddersfield,Liverpool,Bournemouth,Brighton,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry,Souttar,DEF,STK,4000000,0,0,0.0,0.0,0.0,0,8076,0,0,0,0,0,0,0,0.0,70,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,10476,0,0,0,0,0,8,0,0,0,Everton,Arsenal,Tottenham,West Ham,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian,Speroni,GLK,CRY,4100000,0,36,1.2,2.9268292682926804e-07,8.78048780487805e-06,0,202538,0,14,0,30,0,0,0,8.8,9326,1,0,36,-1,0.0,0,0.0,3,0,2,0,0,3.3,291938,0,0,0,1,990,80,0,0,175,Huddersfield,Liverpool,Bournemouth,Brighton,Watford,0.0,0.0,0.6,1.0,0.6,0.7,0.7,0.8,21.3
Konstantinos,Stafylidis,DEF,STK,4400000,1,5,0.166666666666667,3.78787878787879e-08,1.13636363636364e-06,0,418,0,4,0,0,0,0,0,1.1,29,-1,0,5,1,0.3,0,1.3,0,0,0,0,0,0.0,914,0,0,0,0,244,174,0,0,25,Everton,Arsenal,Tottenham,West Ham,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.7
Junior,Stanislas,MID,BOU,6000000,7,64,2.13333333333333,3.55555555555556e-07,1.06666666666667e-05,0,38219,1,20,0,0,0,4,0,10.8,1484,0,-1,64,0,0.6,0,3.7,4,0,2,0,3,4.9,152267,0,0,0,2,1150,96615,1,0,244,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,2.0,1.2,1.6,1.1,1.4,1.4,1.7,1.4,108.3
Jon Gorenc,Stankovic,DEF,HUD,3900000,0,0,0.0,0.0,0.0,0,8928,0,0,0,0,0,0,0,0.0,254,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,8928,0,0,0,0,0,156,0,0,0,Crystal Palace,Newcastle,Brighton,Watford,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maarten,Stekelenburg,GLK,EVE,4200000,0,0,0.0,0.0,0.0,0,22480,0,0,0,0,0,0,0,0.0,148,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.3,2484,0,0,0,0,0,16,0,0,0,Stoke,Man City,Liverpool,Swansea,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dale,Stephens,MID,BHA,4500000,0,73,2.5,5.55555555555556e-07,1.62222222222222e-05,0,169201,4,38,0,0,0,0,0,16.2,13826,0,0,73,0,0.4,0,2.0,2,0,8,0,3,1.3,217785,0,0,0,0,2610,294,0,0,460,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,0.0,2.3,2.8,1.4,2.0,1.5,2.0,1.2,90.0
Jack,Stephens,DEF,SOU,4500000,0,52,2.9,6.44444444444444e-07,1.15555555555556e-05,0,69123,5,26,0,0,0,2,0,11.6,4730,-5,0,52,5,0.6,0,2.7,2,0,4,0,0,0.7,67842,0,0,0,1,1620,114,0,0,303,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0.0,3.0,2.5,3.1,2.2,2.5,1.9,2.4,60.9
Dujon,Sterling,DEF,CHE,4500000,0,0,0.0,0.0,0.0,0,497,0,0,0,0,0,0,0,0.0,48,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,793,0,0,0,0,0,50,0,0,0,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raheem,Sterling,MID,MCI,8600000,6,179,6.9,8.02325581395349e-07,2.08139534883721e-05,0,2598156,2,17,0,0,0,15,0,20.8,61234,6,1,179,-6,0.2,0,2.0,18,0,10,0,11,16.3,3255390,0,0,0,5,2001,22321,-1,1,567,Everton,Man Utd,Tottenham,Swansea,West Ham,0.0,8.3,8.3,6.9,9.5,8.4,10.2,8.7,255.5
,Steve Cook,DEF,BOU,4600000,0,63,2.4,5.217391304347829e-07,1.3695652173913e-05,0,112471,4,40,0,0,0,2,0,13.7,1088,-4,0,63,4,0.2,0,1.0,6,0,4,0,0,1.4,130017,1,0,0,2,2044,7818,0,0,350,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,2.4,2.1,3.3,1.9,2.2,2.2,2.2,1.9,86.2
