FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,1519,0,0,0,0,0,0,0,0.0,37,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,3456,0,0,0,0,0,23,0,0,0,Sunderland,Stoke,Burnley,Leicester,,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6800000,4,147,5.4,7.94117647058824e-07,2.1617647058823497e-05,0,347855,2,18,0,0,0,5,0,21.6,11298,8,0,147,-8,0.4,0,3.0,7,0,12,0,5,14.9,918817,0,0,0,2,2333,17109,0,0,574,Everton,Middlesbrough,West Brom,Watford,Sunderland,5.2,7.6,14.1,7.3
Daniel,Amartey,MID,LEI,4400000,0,49,2.3,5.22727272727273e-07,1.11363636363636e-05,0,26811,3,29,0,0,0,1,0,11.1,129,-1,0,49,1,0.1,0,0.6,3,0,4,0,1,0.2,27865,0,23,0,1,1528,30,0,0,241,West Brom,Watford,Man City,Tottenham,Bournemouth,1.2,2.9,3.0,2.1
Jordi,Amat,DEF,SWA,3900000,0,21,1.2,3.07692307692308e-07,5.3846153846153804e-06,0,486473,5,36,0,0,0,0,0,5.4,7614,-1,0,21,1,0.0,0,0.0,0,0,2,0,0,7.7,424090,0,63,0,0,1409,886,0,0,237,Man Utd,Everton,Sunderland,West Brom,,0.6,0.8,0.6,1.0
Nordin,Amrabat,MID,WAT,5000000,2,58,2.4,4.8e-07,1.1599999999999999e-05,0,17129,3,38,0,0,0,0,0,11.6,35,0,0,58,0,0.4,0,2.2,5,0,4,0,3,0.1,16013,0,74,0,0,1749,25,0,0,217,Liverpool,Leicester,Everton,Chelsea,Man City,1.6,1.3,2.4,1.7
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2544,0,0,0,0,0,0,0,0.0,8,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1839,0,0,0,0,0,6,0,0,0,Burnley,Man City,Hull City,Man Utd,,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2820,0,0,0,0,0,0,0,0.0,3,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,971,0,0,0,0,0,2,0,0,0,Middlesbrough,Crystal Palace,Leicester,West Brom,Watford,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4300000,2,44,0.431372549019608,1.0031919744642e-07,1.02325581395349e-05,0,312597,1,19,0,0,0,3,0,10.2,3935,-2,0,44,2,0.3,0,1.4,5,0,2,0,1,1.6,366185,0,0,0,1,1003,8701,0,0,152,Bournemouth,Hull City,Swansea,Arsenal,Chelsea,0.2,0.2,0.4,0.2
Michail,Antonio,MID,WHU,6700000,0,132,4.6,6.86567164179104e-07,1.9701492537313398e-05,0,1364141,4,43,0,0,0,9,0,19.7,7573,-3,0,132,3,0.1,0,0.4,8,0,7,0,8,5.6,1366901,0,452,0,3,2433,144,0,1,410,Stoke,Tottenham,Liverpool,Burnley,,0.0,0.0,0.0,0.0
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6126,0,0,0,0,0,0,0,0.2,12,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,392,0,176,0,0,10,3,0,0,3,Liverpool,Leicester,Everton,Chelsea,Man City,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0.0,0.0,0.0,0,5844,3,9,0,0,0,0,0,0.0,19,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,5474,0,0,0,0,258,26,0,0,34,Stoke,Tottenham,Liverpool,Burnley,,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,0,60,2.2,4.23076923076923e-07,1.15384615384615e-05,0,8150,3,31,0,0,0,1,0,11.5,40,-3,0,60,3,0.1,0,0.4,3,0,5,0,2,0.1,4718,0,0,0,1,1767,2,0,0,231,Crystal Palace,West Brom,Bournemouth,West Ham,,0.0,1.9,1.1,1.5
Giedrius,Arlauskis,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,197,0,0,0,0,0,0,0,0.0,17,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,463,0,0,0,0,0,20,0,0,0,Liverpool,Leicester,Everton,Chelsea,Man City,0.0,0.0,0.0,0.0
Marko,Arnautovic,MID,STK,7100000,0,101,3.5,4.92957746478873e-07,1.4225352112676098e-05,0,127686,9,37,0,0,0,6,0,14.2,3249,-4,0,101,4,0.5,1,3.4,8,0,8,0,4,1.4,104723,0,528,0,3,2454,10778,0,1,348,West Ham,Bournemouth,Arsenal,Southampton,,3.1,2.2,3.2,2.3
Harry,Arter,MID,BOU,5000000,7,78,2.4,4.8e-07,1.56e-05,0,23189,9,60,0,0,0,1,0,15.6,167,0,0,78,0,0.7,1,3.4,6,0,7,0,4,0.3,25218,0,188,0,0,2696,1541,0,1,469,Sunderland,Stoke,Burnley,Leicester,,1.9,2.3,2.7,1.5
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4487,0,0,0,0,0,0,0,0.0,8,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,661,0,0,0,0,0,6,0,0,0,Tottenham,Man Utd,Southampton,Stoke,Sunderland,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.00980392156862745,2.22816399286988e-09,2.2727272727272702e-07,0,655,0,0,0,0,0,0,0,0.2,2,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,556,0,0,0,0,10,7,0,0,3,Bournemouth,Hull City,Swansea,Arsenal,Chelsea,0.0,0.0,0.0,0.0
