FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Leon,Britton,MID,SWA,4400000,0,9,0.6428571428571429,1.46103896103896e-07,2.04545454545455e-06,0,6933,1,1,0,0,0,0,0,2.0,177,-1,0,9,1,0.0,0,0.0,0,0,3,0,0,0.1,3772,0,0,0,0,269,43,0,0,25,Stoke,West Brom,Man City,Everton,Crystal Palace,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.6
Isaiah,Brown,MID,BHA,5200000,1,10,0.7142857142857142,1.37362637362637e-07,1.92307692307692e-06,0,3383,0,3,0,0,0,0,0,1.9,33,-3,1,10,3,0.2,0,1.0,0,0,0,0,0,0.0,428,0,0,0,0,144,14,-1,0,29,Liverpool,Huddersfield,Tottenham,Burnley,Watford,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,4.7
,Bruno,DEF,BHA,4500000,6,43,3.3,7.33333333333333e-07,9.55555555555555e-06,0,19271,2,11,0,0,0,0,0,9.6,2172,0,0,43,0,0.8,0,3.8,4,0,5,0,0,0.7,40045,0,0,0,0,1096,7398,0,0,208,Liverpool,Huddersfield,Tottenham,Burnley,Watford,4.0,3.1,3.0,3.5,3.5,3.2,2.8,3.4,3.2,3.4,3.2,4.5,3.2,3.3,4.2,2.0,2.4,3.2,4.7,3.8,3.7,3.2,3.7,2.7,25.9
Chris,Brunt,MID,WBA,5100000,0,19,1.35714285714286,2.66106442577031e-07,3.7254901960784303e-06,0,125582,0,2,0,0,0,0,0,3.7,2805,-4,1,19,4,0.0,0,0.0,3,0,3,0,1,0.6,118931,0,0,0,0,402,11,-1,0,90,Crystal Palace,Swansea,Liverpool,Man Utd,Stoke,0.0,0.8,0.7,0.8,0.7,1.2,1.0,0.7,0.7,0.7,0.7,0.7,0.7,1.2,0.7,0.8,0.7,0.7,1.0,0.7,0.7,0.7,0.7,0.7,21.8
Harry,Bunn,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,550,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,73,0,0,0,0,0,2,0,0,0,Everton,Brighton,Chelsea,Watford,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver,Burke,MID,WBA,5100000,0,6,0.42857142857142894,8.40336134453782e-08,1.17647058823529e-06,0,3088,0,1,0,0,0,0,0,1.2,52,-4,0,6,4,0.1,0,0.3,0,0,0,0,1,0.0,3399,0,0,0,0,55,27,0,0,19,Crystal Palace,Swansea,Liverpool,Man Utd,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.9
Jack,Butland,GLK,STK,5000000,0,30,2.7,5.4e-07,6e-06,0,124103,0,22,0,27,0,0,0,6.0,6114,0,0,30,0,0.1,0,0.3,3,0,2,0,0,2.4,89506,0,0,0,1,990,32,0,0,180,Swansea,Tottenham,Burnley,West Ham,West Brom,0.0,0.0,0.0,3.3,3.0,2.4,2.5,2.6,1.5,3.5,2.4,2.2,3.1,1.9,2.5,1.8,2.3,1.6,2.6,2.5,2.5,2.1,4.0,2.3,21.7
Sam,Byram,DEF,WHU,4300000,0,0,0.0,0.0,0.0,0,7720,0,0,0,0,0,0,0,0.0,186,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,1277,0,0,0,0,0,21,0,0,0,Man City,Chelsea,Arsenal,Stoke,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willy,Caballero,GLK,CHE,4800000,0,0,0.0,0.0,0.0,0,3695,0,0,0,0,0,0,0,0.0,71,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,600,0,0,0,0,0,19,0,0,0,Newcastle,West Ham,Huddersfield,Southampton,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yohan,Cabaye,MID,CRY,5400000,3,29,2.4,4.44444444444444e-07,5.3703703703703696e-06,0,24151,3,16,0,0,0,0,0,5.4,1595,-1,0,29,1,0.6,0,3.0,3,0,1,0,2,0.3,13436,0,0,0,0,952,223,0,0,187,West Brom,Bournemouth,Watford,Leicester,Swansea,0.0,2.4,1.5,1.4,2.0,2.6,1.3,1.5,2.0,1.2,1.4,2.5,1.7,2.0,2.1,1.4,1.3,2.0,1.7,2.0,1.6,2.2,1.4,2.4,72.2
